date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,MGM,USD,0000789570,2025-02-18,2025-02-18 16:14:47,2024,FY,17240545000,9393541000,7847004000,0.4551482566,0,4825313000,0,4825313000,1531235000,6356548000,15750089000,0,443230000,831097000,2391392000,0.1387074481,1490456000,0.0864506313,-373391000,1117065000,0.0647929053,52457000,746558000,0.0433024594,2.42,2.4,307408000,310232000,https://www.sec.gov/Archives/edgar/data/789570/000078957025000008/0000789570-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957025000008/mgm-20241231.htm
2023-12-31,MGM,USD,0000789570,2024-02-23,2024-02-23 08:28:47,2023,FY,16164249000,8553562000,7610687000,0.4708345559,0,4914056000,299000000,5213056000,506134000,5719190000,14272752000,0,460293000,814128000,2397216000,0.1483035803,1891497000,0.117017314,-418734000,1472763000,0.0911123678,157839000,1142180000,0.0706608764,3.22,3.19,354926000,358627000,https://www.sec.gov/Archives/edgar/data/789570/000078957024000005/0000789570-24-000005-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957024000005/mgm-20231231.htm
2022-12-31,MGM,USD,0000789570,2023-02-24,2023-02-24 08:11:14,2022,FY,13127485000,6652983000,6474502000,0.4932020109,0,4226617000,0,4226617000,808513000,5035130000,11688113000,0,594954000,3482050000,4980803000,0.3794179159,1439372000,0.1096456785,-535573000,903799000,0.068847841,697068000,1473093000,0.1122144112,0.51,0.5,409201000,412993000,https://www.sec.gov/Archives/edgar/data/789570/000078957023000008/0000789570-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957023000008/mgm-20221231.htm
2021-12-31,MGM,USD,0000789570,2022-02-25,2022-02-25 08:14:02,2021,FY,9680140000,5030609000,4649531000,0.4803165037,0,2507239000,0,2507239000,-136407000,2370832000,7401441000,0,799593000,1150610000,3412007000,0.3524749642,2278699000,0.2353993847,-816895000,1461804000,0.1510106259,253415000,1254370000,0.1295818036,2.44,2.41,481930000,487356000,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/0000789570-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/mgm-20211231.htm
2020-12-31,MGM,USD,0000789570,2021-02-26,2021-02-26 08:16:34,2020,FY,4917133000,3207762000,1709371000,0.3476357056,0,2401080000,88000000,2489080000,-137275000,2351805000,5559567000,0,676380000,1210556000,-779793000,-0.1585869245,-642434000,-0.1306521503,-869045000,-1511479000,-0.3073903024,-191572000,-1032723999,-0.2100256387,-2.67,-2.67,494152000,494152000,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/0001564590-21-009205-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/mgm-10k_20201231.htm
2019-12-31,MGM,USD,0000789570,2020-02-27,2020-02-27 16:25:40,2019,FY,12899672000,7603489000,5296183000,0.4105672609,0,2101217000,0,2101217000,-745249000,1355968000,8959457000,0,847932000,1304649000,4999306000,0.3875529548,3940215000,0.3054507898,-1093490000,2846725000,0.2206819677,632345000,2049146000,0.1588525662,3.9,3.88,524173000,527645000,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/0001564590-20-007393-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/mgm-10k_20191231.htm
2018-12-31,MGM,USD,0000789570,2019-02-27,2019-02-27 14:03:00,2018,FY,11763096000,6918875000,4844221000,0.4118151378,0,1764638000,0,1764638000,-18140000,3513278000,10432153000,0,769513000,1178044000,2508987000,0.213293082,1469486000,0.1249234045,-835480000,634006000,0.0538978854,50112000,466772000,0.03968105,0.86,0.85,544253000,549536000,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/0001564590-19-004807-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/mgm-10k_20181231.htm
2017-12-31,MGM,USD,0000789570,2018-03-01,2018-03-01 06:04:26,2017,FY,10797479000,6193122000,4604357000,0.4264288914,0,1559575000,0,1559575000,-48241000,3028402000,9221524000,0,668745000,993480000,2569435000,0.2379661956,1712527000,0.1586043372,-751737000,960790000,0.0889828079,-1127394000,1952052000,0.1807877561,3.38,3.34,572253000,578795000,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/0001564590-18-003942-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/mgm-10k_20171231.htm
2016-12-31,MGM,USD,0000789570,2017-03-01,2017-03-01 06:23:57,2016,FY,9455123000,5495664000,3959459000,0.4187633519,0,1378617000,0,1378617000,-72698000,2680993000,8176657000,0,694773000,849527000,2803477000,0.2965034934,2079787000,0.2199640343,-819022000,1259177000,0.1331740476,22299000,1101440000,0.1164913455,1.94,1.92,568134000,573317000,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/0001564590-17-003007-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/mgm-10k_20161231.htm
2015-12-31,MGM,USD,0000789570,2016-02-29,2016-02-29 06:14:09,2015,FY,9190068000,5625376000,3564692000,0.3878852692,0,1309104000,0,1309104000,-15970000,2474865000,8100241000,0,797579000,819883000,571219000,0.0621561233,-156232000,-0.0170000918,-890011000,-1046243000,-0.1138449683,-6594000,-447720000,-0.0487178114,-0.82,-0.82,542873000,542873000,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/0001564590-16-013639-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/mgm-10k_20151231.htm
