date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,MOH,USD,0001179929,2025-02-11,2025-02-11 16:08:09,2024,FY,4662000000,4325000000,8987000000,3299000000,0,487000000,12773000000,288000000,1671000000,267000000,1938000000,0,207000000,424000000,2857000000,0,15630000000,1331000000,0,0,51000000,6514000000,7896000000,3118000000,0,0,120000000,3238000000,0,195000000,11134000000,0,0,4091000000,-57000000,462000000,4496000000,4496000000,15630000000,0,15630000000,4325000000,3118000000,-1544000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992925000023/0001179929-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992925000023/moh-20241231.htm
2023-12-31,MOH,USD,0001179929,2023-12-31,2023-12-30 19:00:00,2023,FY,4848000000,4259000000,9107000000,3104000000,0,331000000,12542000000,270000000,1241000000,208000000,1449000000,0,227000000,404000000,2350000000,0,14892000000,1252000000,0,0,418000000,6498000000,8168000000,2385000000,0,0,124000000,2509000000,0,205000000,10677000000,0,0,3887000000,-82000000,410000000,4215000000,4215000000,14892000000,0,14892000000,4259000000,2385000000,-2463000000,,
2022-12-31,MOH,USD,0001179929,2023-02-13,2023-02-13 16:22:24,2022,FY,4006000000,3499000000,7505000000,2302000000,0,277000000,10084000000,259000000,1115000000,275000000,1390000000,0,220000000,361000000,2230000000,0,12314000000,889000000,0,0,359000000,5607000000,6855000000,2391000000,0,0,104000000,2495000000,0,215000000,9350000000,0,0,2796000000,-160000000,328000000,2964000000,2964000000,12314000000,0,12314000000,3499000000,2391000000,-1615000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000025/0001179929-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000025/moh-20221231.htm
2021-12-31,MOH,USD,0001179929,2022-02-14,2022-02-14 17:12:03,2021,FY,4438000000,3202000000,7640000000,2177000000,0,247000000,10064000000,396000000,982000000,270000000,1252000000,0,106000000,391000000,2145000000,0,12209000000,842000000,0,0,370000000,5835000000,7047000000,2392000000,0,0,140000000,2532000000,0,219000000,9579000000,0,0,2399000000,-5000000,236000000,2630000000,2630000000,12209000000,0,12209000000,3202000000,2392000000,-2046000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992922000025/0001179929-22-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992922000025/moh-20211231.htm
2020-12-31,MOH,USD,0001179929,2021-02-16,2021-02-16 09:05:18,2020,FY,4154000000,1875000000,6029000000,1672000000,0,175000000,7876000000,391000000,692000000,249000000,941000000,0,69000000,255000000,1656000000,0,9532000000,641000000,0,0,375000000,3949000000,4965000000,2352000000,0,0,119000000,2471000000,0,225000000,7436000000,0,0,1860000000,37000000,199000000,2096000000,2096000000,9532000000,0,9532000000,1875000000,2352000000,-1802000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992921000024/0001179929-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992921000024/moh-20201231.htm
2019-12-31,MOH,USD,0001179929,2020-02-14,2020-02-14 15:08:03,2019,FY,2452000000,1946000000,4398000000,1406000000,0,163000000,5967000000,385000000,143000000,29000000,172000000,79000000,79000000,105000000,820000000,0,6787000000,502000000,18000000,0,249000000,2500000000,3269000000,1468000000,0,0,90000000,1558000000,0,231000000,4827000000,0,0,1781000000,4000000,175000000,1960000000,1960000000,6787000000,0,6787000000,2025000000,1486000000,-966000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992920000026/0001179929-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992920000026/moh-12312019x10k.htm
2018-12-31,MOH,USD,0001179929,2019-02-19,2019-02-19 16:13:06,2018,FY,2826000000,1681000000,4507000000,1330000000,0,625000000,6462000000,241000000,143000000,47000000,190000000,120000000,117000000,24000000,692000000,0,7154000000,390000000,241000000,0,211000000,3404000000,4246000000,1217000000,0,0,44000000,1261000000,0,198000000,5507000000,0,0,1012000000,-8000000,643000000,1647000000,1647000000,7154000000,0,7154000000,1801000000,1458000000,-1368000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992919000032/0001179929-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992919000032/moh-12312018x10k.htm
2017-12-31,MOH,USD,0001179929,2018-03-01,2018-03-01 14:43:41,2017,FY,3186000000,2524000000,5710000000,871000000,0,930000000,7511000000,342000000,186000000,69000000,255000000,119000000,103000000,141000000,960000000,0,8471000000,366000000,653000000,54000000,282000000,4202000000,5557000000,1516000000,0,0,61000000,1577000000,0,199000000,7134000000,0,0,298000000,-5000000,1044000000,1337000000,1337000000,8471000000,0,8471000000,2643000000,2169000000,-1017000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992918000040/0001179929-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992918000040/moh-12312017x10k.htm
2016-12-31,MOH,USD,0001179929,2017-03-01,2017-03-01 16:18:02,2016,FY,2819000000,1758000000,4577000000,1013000000,0,398000000,5988000000,454000000,620000000,140000000,759000000,110000000,10000000,127000000,1460000000,1000000,7449000000,385000000,472000000,39000000,315000000,3359000000,4570000000,1173000000,0,15000000,42000000,1230000000,0,199000000,5800000000,0,0,810000000,-2000000,841000000,1649000000,1649000000,7449000000,0,7449000000,1868000000,1645000000,-1174000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992917000046/0001179929-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992917000046/moh-12312016x10k.htm
2015-12-31,MOH,USD,0001179929,2016-02-26,2016-02-26 16:59:25,2015,FY,2329000000,1801000000,4130000000,610000000,0,566000000,5306000000,393000000,519000000,122000000,641000000,109000000,18000000,109000000,1270000000,0,6576000000,362000000,449000000,13000000,223000000,2775000000,3822000000,1160000000,0,0,37000000,1197000000,0,198000000,5019000000,0,0,758000000,-4000000,803000000,1557000000,1557000000,6576000000,0,6576000000,1910000000,1609000000,-720000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000231/0001179929-16-000231-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000231/moh-12312015x10k.htm
2014-12-31,MOH,USD,0001179929,2015-02-26,2015-02-26 16:30:59,2014,FY,1539000000,1019000000,2558000000,596000000,0,49000000,3203000000,341000000,272000000,89000000,361000000,102000000,15000000,413000000,1232000000,0,4435000000,242000000,341000,8987000,196000000,1727672000,2175000000,887000000,0,24271000,338729000,1250000000,0,197000000,3425000000,0,0,615000000,-1000000,396000000,1010000000,1010000000,4435000000,0,4435000000,1121000000,887341000,-651659000,https://www.sec.gov/Archives/edgar/data/1179929/000117992915000007/0001179929-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992915000007/moh-12312014x10k.htm
2013-12-31,MOH,USD,0001179929,2014-02-26,2014-02-26 16:57:40,2013,FY,935895000,703052000,1638947000,331677000,0,69040000,2039664000,292083000,230738000,98871000,329609000,63093000,0,278488000,963273000,0,3002937000,263043000,182008000,32742000,122216000,693967000,1293976000,602854000,0,580000,212590000,816024000,0,186486000,2110000000,0,46000,553129000,-1086000,340848000,892937000,892937000,3002937000,0,3002937000,766145000,784862000,-151033000,https://www.sec.gov/Archives/edgar/data/1179929/000117992914000004/0001179929-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992914000004/moh-12312013x10k.htm
2012-12-31,MOH,USD,0001179929,2013-02-28,2013-02-28 16:36:36,2012,FY,795770000,342845000,1138615000,149682000,0,60829000,1349126000,221443000,151088000,77711000,228799000,13419000,0,122035000,585696000,0,1934822000,184034000,1155000,6520000,141798000,494530000,828037000,261784000,0,37900000,24787000,324471000,0,0,1152508000,0,47000,500200000,-457000,282524000,782314000,782314000,1934822000,0,1934822000,356264000,262939000,-532831000,https://www.sec.gov/Archives/edgar/data/1179929/000144530513000387/0001445305-13-000387-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000144530513000387/moh-12312012x10k.htm
