date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,MSCI,USD,0001408198,2025-02-07,2025-02-07 16:02:25,2024,FY,2856128000,514382000,2341746000,0.8199023293,158653000,182340000,291220000,473560000,181015000,813228000,1327610000,21277000,185500000,206275000,1747943000,0.6119974315,1528518000,0.5351713929,-172350000,1356168000,0.4748274587,247040000,1109128000,0.3883327358,14.09,14.05,78710000,78960000,https://www.sec.gov/Archives/edgar/data/1408198/000140819825000053/0001408198-25-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000140819825000053/msci-20241231.htm
2023-12-31,MSCI,USD,0001408198,2024-02-09,2024-02-09 16:39:39,2023,FY,2528920000,446581000,2082339000,0.8234103886,132121000,153967000,276204000,430171000,135438000,697730000,1144311000,34479000,186679000,159219000,1714959000,0.6781388893,1384609000,0.5475100043,-15548000,1369061000,0.5413619252,220469000,1148592000,0.4541828132,14.45,14.39,79462000,79843000,https://www.sec.gov/Archives/edgar/data/1408198/000140819824000030/0001408198-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000140819824000030/msci-20231231.htm
2022-12-31,MSCI,USD,0001408198,2023-02-10,2023-02-10 16:28:55,2022,FY,2248598000,404341000,1844257000,0.8201808416,107205000,146857000,264583000,411440000,117972000,636617000,1040958000,11769000,171571000,142496000,1357908000,0.6038909578,1207640000,0.5370635391,-163799000,1043841000,0.4642185931,173268000,870573000,0.3871625786,10.78,10.72,80746000,81215000,https://www.sec.gov/Archives/edgar/data/1408198/000140819823000011/0001408198-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000140819823000011/msci-20221231.htm
2021-12-31,MSCI,USD,0001408198,2022-02-11,2022-02-11 16:30:54,2021,FY,2043544000,358684000,1684860000,0.8244794338,111564000,147893000,243185000,391078000,109493000,612135000,970819000,1497000,159614000,134125000,1151875000,0.5636653774,1072725000,0.5249336447,-214589000,858136000,0.4199253845,132153000,725983000,0.3552568479,8.8,8.7,82508000,83479000,https://www.sec.gov/Archives/edgar/data/1408198/000156459022004803/0001564590-22-004803-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459022004803/msci-10k_20211231.htm
2020-12-31,MSCI,USD,0001408198,2021-02-12,2021-02-12 16:54:12,2020,FY,1695390000,291704000,1403686000,0.8279428332,101053000,114627000,216496000,331123000,86746000,518922000,810626000,5030000,156324000,110795000,953344000,0.5623154554,884764000,0.5218645857,-198539000,686225000,0.4047593769,84403000,601822000,0.3549755513,7.19,7.12,83716000,84517000,https://www.sec.gov/Archives/edgar/data/1408198/000156459021005811/0001564590-21-005811-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459021005811/msci-10k_20201231.htm
2019-12-31,MSCI,USD,0001408198,2020-02-18,2020-02-18 13:24:25,2019,FY,1557796000,294961000,1262835000,0.8106549253,98334000,110093000,219298000,329391000,79409000,507134000,802095000,16403000,148041000,101898000,853257000,0.5477334645,755701000,0.48510909,-152383000,603318000,0.3872894782,39670000,563648000,0.3618240129,6.66,6.59,84644000,85536000,https://www.sec.gov/Archives/edgar/data/1408198/000156459020004992/0001564590-20-004992-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459020004992/msci-10k_20191231.htm
2018-12-31,MSCI,USD,0001408198,2019-02-22,2019-02-22 15:26:15,2018,FY,1433984000,287335000,1146649000,0.799624682,81411000,99882000,192923000,292805000,85535000,459751000,747086000,19669000,133114000,85535000,848545000,0.5917395173,686898000,0.4790137128,-57002000,629896000,0.4392629206,122011000,507885000,0.3541775919,5.83,5.66,87179001,89701001,https://www.sec.gov/Archives/edgar/data/1408198/000156459019003885/0001564590-19-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459019003885/msci-10k_20181231.htm
2017-12-31,MSCI,USD,0001408198,2018-02-26,2018-02-26 10:45:53,2017,FY,1274172000,273913000,1000259000,0.7850266683,75884000,87903000,177297000,265200000,79987000,421071000,694984000,6314000,116098000,79987000,661137000,0.5188757876,579770000,0.4550170621,-112871000,466899000,0.3664332602,162927000,303972000,0.2385643383,3.36,3.31,90336001,91914001,https://www.sec.gov/Archives/edgar/data/1408198/000156459018003147/0001564590-18-003147-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459018003147/msci-10k_20171231.htm
2016-12-31,MSCI,USD,0001408198,2017-02-24,2017-02-24 12:14:24,2016,FY,1150669000,252107000,898562000,0.7809039785,75204000,87235000,166666000,253901000,81353000,410458000,662565000,2906000,101651000,81353000,568942000,0.4944445362,488104000,0.4241914921,-102166000,385938000,0.3354031437,125083000,260855000,0.2266985554,2.72,2.7,95986001,96540001,https://www.sec.gov/Archives/edgar/data/1408198/000156459017002336/0001564590-17-002336-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459017002336/msci-10k_20161231.htm
2015-12-31,MSCI,USD,0001408198,2016-02-26,2016-02-26 17:06:29,2015,FY,1075013000,267695000,807318000,0.7509844067,77320000,86007000,162294000,248301000,77799000,403420000,671115000,1166000,62387000,77799000,489740000,0.4555665838,403898000,0.3757145262,-54344000,349554000,0.3251625794,119516000,223648000,0.2080421353,2.05,2.03,109124001,109926001,https://www.sec.gov/Archives/edgar/data/1408198/000119312516482334/0001193125-16-482334-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312516482334/d20757d10k.htm
2014-12-31,MSCI,USD,0001408198,2015-02-27,2015-02-27 16:08:27,2014,FY,996680000,308574000,688106000,0.6903981218,71095000,76369000,163839000,240208000,2141000,350940000,659514000,851000,31820000,71588000,411746000,0.4131175503,337166000,0.3382891199,-28828000,308338000,0.3093650921,109396000,284113000,0.2850593972,2.45,2.43,115737001,116706001,https://www.sec.gov/Archives/edgar/data/1408198/000119312515069699/0001193125-15-069699-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312515069699/d832959d10k.htm
2013-12-31,MSCI,USD,0001408198,2014-02-28,2014-02-28 17:25:37,2013,FY,1035667000,328311000,707356000,0.6829955961,61003000,68458000,137693000,206151000,-651000,335850000,664161000,1031000,26265000,80505000,420836000,0.4063429655,371506000,0.3587118253,5290000,345621000,0.3337182704,123064000,222557000,0.2148924316,1.85,1.84,120100001,121074001,https://www.sec.gov/Archives/edgar/data/1408198/000119312514077882/0001193125-14-077882-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312514077882/d640965d10k.htm
2012-12-31,MSCI,USD,0001408198,2013-03-01,2013-03-01 17:19:08,2012,FY,950141000,288075000,662066000,0.6968081579,0,233183000,0,233183000,-2053000,315181000,603256000,954000,56428000,81998000,430272000,0.4528506822,346936000,0.3651415948,-28826000,289409000,0.3045958442,105171000,184238000,0.1939059571,1.51,1.5,122023001,123204001,https://www.sec.gov/Archives/edgar/data/1408198/000119312513087988/0001193125-13-087988-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312513087988/d448124d10k.htm
2011-12-31,MSCI,USD,0001408198,2012-02-29,2012-02-29 06:18:47,2011,FY,900941000,277147000,623794000,0.6923805221,0,212972000,0,212972000,85230000,298202000,575349000,848000,55819000,85230000,402400000,0.4466441199,321998000,0.357401872,-58585000,263413000,0.2923754164,89959000,173454000,0.1925253707,1.44,1.42,120717001,122276001,https://www.sec.gov/Archives/edgar/data/1408198/000119312512086989/0001193125-12-086989-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312512086989/d264713d10k.htm
2010-11-30,MSCI,USD,0001408198,2011-01-31,2011-01-28 20:13:12,2010,FY,662901000,198626000,464275000,0.7003685317,0,0,0,190244000,59012000,249256000,447882000,993000,51337000,59012000,263840000,0.398008149,206123000,0.3109408494,-52632000,153491000,0.2315443784,61321000,92170000,0.1390403695,0.82,0.81,112074001,113357001,https://www.sec.gov/Archives/edgar/data/1408198/000119312511017728/0001193125-11-017728-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312511017728/d10k.htm
2009-11-30,MSCI,USD,0001408198,2010-01-29,2010-01-29 16:25:09,2009,FY,442948000,118665000,324283000,0.7321017365,0,0,0,135780000,37511000,173291000,291956000,1053000,19683000,37511000,188915000,0.4264947578,150992000,0.3408797421,-19271000,131721000,0.2973735066,49920000,81801000,0.1846740475,0.81,0.8,100607001,102475001,https://www.sec.gov/Archives/edgar/data/1408198/000119312510017074/0001193125-10-017074-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312510017074/d10k.htm
2008-11-30,MSCI,USD,0001408198,2009-01-29,2009-01-29 17:27:01,2008,FY,430961000,124671000,306290000,0.7107139625,0,142000000,0,142000000,28500000,170500000,295171000,8142000,26932000,33470000,170045000,0.3945716666,135790000,0.3150865159,-26147000,109643000,0.2544151327,41375000,68268000,0.1584087655,0.68,0.67,100037001,101194001,https://www.sec.gov/Archives/edgar/data/1408198/000119312509014341/0001193125-09-014341-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312509014341/d10k.htm
2007-11-30,MSCI,USD,0001408198,2008-02-28,2008-02-28 06:16:08,2007,FY,369886000,121711000,248175000,0.6709499684,0,92477000,0,92477000,26353000,118830000,240541000,0,9586000,27828000,170706000,0.4615097625,129345000,0.349688823,3947000,133292000,0.3603596784,52181000,81111000,0.2192864829,0.96,0.96,84608001,84624001,https://www.sec.gov/Archives/edgar/data/1408198/000119312508040715/0001193125-08-040715-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312508040715/d10k.htm
2006-11-30,MSCI,USD,0001408198,2006-11-30,2006-11-29 19:00:00,2006,FY,310698000,115426000,195272000,0.628494551,0,85820000,0,85820000,26156000,111976000,227402000,0,0,29655000,112951000,0.3635395143,83296000,0.2680931322,16173000,99469000,0.3201468951,36097000,71445000,0.2299499836,0.85,0.85,83900001,83900001,,
2005-11-30,MSCI,USD,0001408198,2005-11-30,2005-11-29 19:00:00,2005,FY,278474000,106598000,171876000,0.6172066333,0,70220000,0,70220000,28031000,98251000,204849000,0,0,32077000,105702000,0.3795758311,73625000,0.2643873396,7272000,80897000,0.2905010881,30449000,54554000,0.1959033877,0.65,0.65,83900001,83900001,,
2004-11-30,MSCI,USD,0001408198,2004-11-30,2004-11-29 19:00:00,2004,FY,178446000,0,178446000,1,0,0,0,0,0,0,0,0,0,0,178446000,1,178446000,1,613000,0,0,-20853000,20853000,0.1168588817,0.25,0.37,83900001,83900001,,
2003-11-30,MSCI,USD,0001408198,2003-11-30,2003-11-29 19:00:00,2003,FY,91277000,0,91277000,1,0,0,0,0,-74752000,-74752000,-74752000,0,0,74752000,91277000,1,16525000,0.1810423217,-11049000,5476000,0.0599932075,-5921000,11397000,0.1248616848,0.14,0.14,83900001,83900001,,
