holder,shares,dateReported,change
VANGUARD GROUP INC,2591173,2025-09-30,34466
"BlackRock, Inc.",1887948,2025-09-30,-59769
STATE STREET CORP,958291,2025-09-30,-4521
Capital International Investors,859559,2025-09-30,10395
Bank of New York Mellon Corp,822567,2025-09-30,-81697
ALLIANCEBERNSTEIN L.P.,793927,2025-09-30,76478
"T. Rowe Price Investment Management, Inc.",688408,2025-09-30,139562
Fundsmith LLP,590654,2025-09-30,617
"GEODE CAPITAL MANAGEMENT, LLC",583342,2025-09-30,1495
PRICE T ROWE ASSOCIATES INC /MD/,444470,2025-09-30,-38080
MORGAN STANLEY,435626,2025-09-30,56511
Fiera Capital Corp,333886,2025-09-30,-8951
StonePine Asset Management Inc.,323570,2025-09-30,-10779
PRINCIPAL FINANCIAL GROUP INC,298429,2025-09-30,8360
FRANKLIN RESOURCES INC,294900,2025-09-30,20668
JPMORGAN CHASE & CO,289481,2025-09-30,17474
BARCLAYS PLC,272696,2025-09-30,9568
UBS ASSET MANAGEMENT AMERICAS INC,271777,2025-09-30,-40055
FUNDSMITH INVESTMENT SERVICES LTD.,253786,2025-09-30,-6768
NORTHERN TRUST CORP,233326,2025-09-30,-2923
BAMCO INC /NY/,211352,2025-09-30,-27581
GOLDMAN SACHS GROUP INC,206073,2025-09-30,17848
Invesco Ltd.,189000,2025-09-30,-3198
TD ASSET MANAGEMENT INC,184187,2025-09-30,-2060
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,181867,2025-09-30,-14738
LOOMIS SAYLES & CO L P,176263,2025-09-30,-1865
Legal & General Group Plc,169256,2025-09-30,5672
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,158082,2025-09-30,2253
UBS Group AG,144902,2025-09-30,-80445
CAPITAL COUNSEL LLC/NY,142285,2025-09-30,-5914
NORDEA INVESTMENT MANAGEMENT AB,140680,2025-09-30,13056
BANK OF AMERICA CORP /DE/,128116,2025-09-30,46402
AustralianSuper Pty Ltd,126734,2025-09-30,8333
"Epoch Investment Partners, Inc.",116950,2025-09-30,-1476
"Ensign Peak Advisors, Inc",114982,2025-09-30,2549
Amundi,110927,2025-09-30,-320
"Champlain Investment Partners, LLC",110010,2025-09-30,1975
DEUTSCHE BANK AG\,106165,2025-09-30,4718
"Russell Investments Group, Ltd.",106108,2025-09-30,-1531
"Williams Jones Wealth Management, LLC.",104410,2025-09-30,-776
DIMENSIONAL FUND ADVISORS LP,102564,2025-09-30,-5160
"Rakuten Investment Management, Inc.",98583,2025-09-30,98583
VOYA INVESTMENT MANAGEMENT LLC,81086,2025-09-30,10841
THRIVENT FINANCIAL FOR LUTHERANS,73586,2025-09-30,64951
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",72365,2025-09-30,4106
HSBC HOLDINGS PLC,69149,2025-09-30,9222
Robeco Institutional Asset Management B.V.,68066,2025-09-30,-1907
CITIGROUP INC,65033,2025-09-30,2989
"Nuveen, LLC",64517,2025-09-30,3756
"CI Private Wealth, LLC",64412,2025-09-30,-75855
Swiss National Bank,59900,2025-09-30,-3200
WELCH & FORBES LLC,59721,2025-09-30,-613
Seilern Investment Management Ltd,59665,2025-09-30,-4623
FMR LLC,56971,2025-09-30,1236
Canoe Financial LP,56124,2025-09-30,-2100
CITADEL ADVISORS LLC,53972,2025-09-30,53972
"Point72 Asset Management, L.P.",53783,2025-09-30,53783
ROYAL BANK OF CANADA,51543,2025-09-30,1197
WELLINGTON MANAGEMENT GROUP LLP,49735,2025-09-30,-29300
"EVENTIDE ASSET MANAGEMENT, LLC",49443,2025-09-30,890
"Sumitomo Mitsui Trust Holdings, Inc.",49107,2025-09-30,661
SCHRODER INVESTMENT MANAGEMENT GROUP,48924,2025-09-30,4935
AMERICAN CENTURY COMPANIES INC,47716,2025-09-30,-39795
AMERIPRISE FINANCIAL INC,44199,2025-09-30,-16336
SEI INVESTMENTS CO,43087,2025-09-30,685
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",42129,2025-09-30,2367
Boston Trust Walden Corp,42031,2025-09-30,94
RHUMBLINE ADVISERS,41871,2025-09-30,633
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,41482,2025-09-30,0
Mitsubishi UFJ Trust & Banking Corp,41207,2025-09-30,4678
JUPITER ASSET MANAGEMENT LTD,40802,2025-09-30,-455
National Pension Service,39519,2025-09-30,2049
"Select Equity Group, L.P.",38293,2025-09-30,-1148
DAVIS R M INC,38109,2025-09-30,-343
AQR CAPITAL MANAGEMENT LLC,37987,2025-09-30,-3332
FIRST TRUST ADVISORS LP,37465,2025-09-30,3565
"HighTower Advisors, LLC",37089,2025-09-30,-3373
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,37016,2025-09-30,1737
Robeco Schweiz AG,36741,2025-09-30,-3265
FIL Ltd,36703,2025-09-30,14014
