date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,NCLH,USD,0001513761,2025-02-27,2025-02-27 12:20:43,2024,FY,190765000,0,190765000,221412000,149718000,448209000,1010104000,16810650000,135764000,500525000,636289000,650000,0,1512118000,18959707000,0,19969811000,171106000,1351082000,0,3105964000,1152713000,5780865000,12565390000,0,0,198117000,12763507000,0,815982000,18544372000,0,440000,-5989880000,-507039000,7921918000,1425439000,1425439000,19969811000,0,19969811000,650000,13916472000,13725707000,https://www.sec.gov/Archives/edgar/data/1513761/000155837025001743/0001558370-25-001743-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837025001743/nclh-20241231x10k.htm
2023-12-31,NCLH,USD,0001513761,2024-02-28,2024-02-28 11:45:34,2023,FY,402415000,0,402415000,280271000,157646000,472816000,1313148000,16433292000,98134000,500525000,598659000,0,0,1147891000,18179842000,0,19492990000,174338000,1744778000,0,3060666000,1058919000,6038701000,12314147000,0,0,839335000,13153482000,0,0,19192183000,0,425000,-6900137000,-508438000,7708957000,300807000,300807000,19492990000,0,19492990000,0,14058925000,13656510000,https://www.sec.gov/Archives/edgar/data/1513761/000155837024001935/0001558370-24-001935-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837024001935/nclh-20231231x10k.htm
2022-12-31,NCLH,USD,0001513761,2023-02-28,2023-02-28 16:20:52,2022,FY,946987000,0,946987000,326272000,148717000,450893000,1872869000,14516366000,98134000,500525000,598659000,0,0,1569800000,16684825000,0,18557694000,228742000,991128000,0,2516521000,1318460000,5054851000,12630402000,0,0,803850000,13434252000,0,0,18489103000,0,421000,-7066315000,-477079000,7611564000,68591000,68591000,18557694000,0,18557694000,0,13621530000,12674543000,https://www.sec.gov/Archives/edgar/data/1513761/000155837023002361/0001558370-23-002361-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837023002361/nclh-20221231x10k.htm
2021-12-31,NCLH,USD,0001513761,2022-03-01,2022-03-01 13:18:53,2021,FY,1506647000,240000000,1746647000,1167473000,118205000,269243000,3301568000,13528806000,98134000,500525000,598659000,0,0,1300804000,15428269000,0,18729837000,233172000,876890000,0,1561336000,1059034000,3730432000,11569700000,0,0,997055000,12566755000,0,0,16297187000,0,417000,-4796406000,-285086000,7513725000,2432650000,2432650000,18729837000,0,18729837000,240000000,12446590000,10939943000,https://www.sec.gov/Archives/edgar/data/1513761/000155837022002516/0001558370-22-002516-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837022002516/nclh-20211231x10k.htm
2020-12-31,NCLH,USD,0001513761,2021-02-26,2021-02-26 15:57:03,2020,FY,3300482000,0,3300482000,20578000,82381000,154103000,3557544000,13411226000,98134000,500525000,598659000,0,0,831888000,14841773000,0,18399317000,83136000,124885000,0,1109826000,596056000,1913903000,11681234000,0,0,450075000,12131309000,0,0,14045212000,0,316000,-295449000,-240117000,4889355000,4354105000,4354105000,18399317000,0,18399317000,0,11806119000,8505637000,https://www.sec.gov/Archives/edgar/data/1513761/000155837021001998/0001558370-21-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837021001998/nclh-20201231x10k.htm
2019-12-31,NCLH,USD,0001513761,2020-02-27,2020-02-27 17:05:58,2019,FY,252876000,0,252876000,75109000,95427000,306733000,730145000,13371941000,1388931000,827775000,2216706000,0,0,365807000,15954454000,0,16684599000,100777000,746358000,0,1954980000,782275000,3584390000,6055335000,0,0,529295000,6584630000,0,0,10169020000,0,237000,3829068000,-295490000,2981764000,6515579000,6515579000,16684599000,0,16684599000,0,6801693000,6548817000,https://www.sec.gov/Archives/edgar/data/1513761/000155837020001661/0001558370-20-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837020001661/nclh-20191231x10kc19a9c.htm
2018-12-31,NCLH,USD,0001513761,2019-02-27,2019-02-27 15:37:01,2018,FY,163851000,0,163851000,55249000,90202000,241011000,550313000,12119253000,1388931000,846263000,2235194000,0,0,301210000,14655657000,0,15205970000,159564000,681218000,0,1593219000,716499000,3150500000,5810873000,0,0,281596000,6092469000,0,0,9242969000,0,235000,2898840000,-161647000,3225573000,5963001000,5963001000,15205970000,0,15205970000,0,6492091000,6328240000,https://www.sec.gov/Archives/edgar/data/1513761/000114420419010508/0001144204-19-010508-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420419010508/tv513897_10k.htm
2017-12-31,NCLH,USD,0001513761,2018-02-27,2018-02-27 11:54:39,2017,FY,176190000,0,176190000,43961000,82121000,216065000,518337000,11040488000,1388931000,872426000,2261357000,0,0,274687000,13576532000,0,14094869000,53433000,619373000,0,1303498000,513717000,2490021000,5688392000,0,0,166690000,5855082000,0,0,8345103000,0,233000,1963128000,26966000,3759439000,5749766000,5749766000,14094869000,0,14094869000,0,6307765000,6131575000,https://www.sec.gov/Archives/edgar/data/1513761/000114420418011097/0001144204-18-011097-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420418011097/tv486495_10k.htm
2016-12-31,NCLH,USD,0001513761,2017-02-27,2017-02-27 16:05:32,2016,FY,128347000,0,128347000,63215000,66255000,153276000,411093000,10117689000,1388931000,908085000,2297016000,0,0,148113000,12562818000,0,12973911000,38002000,560193000,0,1172870000,541753000,2312818000,5838494000,0,0,284873000,6123367000,0,0,8436185000,0,232000,1201103000,-314473000,3650864000,4537726000,4537726000,12973911000,0,12973911000,0,6398687000,6270340000,https://www.sec.gov/Archives/edgar/data/1513761/000157104917001650/0001571049-17-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104917001650/t1700165_10k.htm
2015-12-31,NCLH,USD,0001513761,2016-02-29,2016-02-29 17:08:07,2015,FY,115937000,0,115937000,44996000,58173000,121305000,340411000,9458805000,1388931000,929585000,2318516000,0,0,147025000,11924346000,0,12264757000,51369000,629840000,0,1023973000,661337000,2366519000,5767697000,0,0,349661000,6117358000,0,0,8483877000,0,232000,568018000,-412650000,3625280000,3780880000,3780880000,12264757000,0,12264757000,0,6397537000,6281600000,https://www.sec.gov/Archives/edgar/data/1513761/000157104916012414/0001571049-16-012414-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104916012414/t1600485_10k.htm
