date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-05,22.52,22.52,22.455,22.455,22.455,276853,276853,-0.065,-0.28863233,22.48,"January 05, 26",-0.0028863233
2026-01-02,22.52,22.97,22.22,22.78,22.78,8573137,8573137,0.26,1.15,22.6225,"January 02, 26",0.0115
2025-12-31,22.41,22.47,22.25,22.32,22.32,6493000,6493000,-0.09,-0.40161,22.3625,"December 31, 25",-0.0040161
2025-12-30,22.46,22.62,22.39,22.43,22.43,7300700,7300700,-0.03,-0.13357,22.475,"December 30, 25",-0.0013357
2025-12-29,22.6,22.63,22.15,22.41,22.41,9245400,9245400,-0.19,-0.84071,22.4475,"December 29, 25",-0.0084071
2025-12-26,23.19,23.2,22.51,22.81,22.81,8498900,8498900,-0.38,-1.64,22.9275,"December 26, 25",-0.0164
2025-12-24,23.2,23.27,23.03,23.17,23.17,4279949,4279949,-0.03,-0.12931,23.1675,"December 24, 25",-0.0012931
2025-12-23,24.23,24.31,23.08,23.11,23.11,13677212,13677212,-1.12,-4.62,23.6825,"December 23, 25",-0.0462
2025-12-22,22.91,24.32,22.85,24.27,24.27,20066400,20066400,1.36,5.94,23.5875,"December 22, 25",0.0594
2025-12-19,21.61,23.23,21.51,23.04,23.04,29116700,29116700,1.43,6.62,22.3475,"December 19, 25",0.0662
2025-12-18,21.78,22.1,21.57,21.63,21.63,18262310,18262310,-0.15,-0.68871,21.77,"December 18, 25",-0.0068871
2025-12-17,21.6,22.39,21.51,21.54,21.54,19993700,19993700,-0.06,-0.27778,21.76,"December 17, 25",-0.0027778
2025-12-16,21.68,22.05,21.53,21.54,21.54,19447500,19447500,-0.14,-0.64576,21.7,"December 16, 25",-0.0064576
2025-12-15,20.85,21.79,20.73,21.65,21.65,22292700,22292700,0.8,3.84,21.255,"December 15, 25",0.0384
2025-12-12,20.98,21.33,20.65,20.86,20.86,22198100,22198100,-0.12,-0.57197,20.955,"December 12, 25",-0.0057197
2025-12-11,19.14,20.64,19.13,20.55,20.55,27382702,27382702,1.41,7.37,19.865,"December 11, 25",0.0737
2025-12-10,18.75,19.35,18.51,19.24,19.24,24865000,24865000,0.49,2.61,18.9625,"December 10, 25",0.0261
