date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,ON,USD,0001097864,2025-02-10,2025-02-10 11:50:49,2024,FY,1574600000,642900000,-129600000,136100000,-382000000,-244300000,-129600000,-62500000,54400000,64400000,1906400000,-694000000,-20500000,-1050000000,750000000,4700000,-1009800000,-2200000,25200000,-654100000,0,-52700000,-683800000,-4400000,208400000,2693400000,2485000000,1906400000,-694000000,1212400000,https://www.sec.gov/Archives/edgar/data/1097864/000162828025004557/0001628280-25-004557-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828025004557/on-20241231.htm
2023-12-31,ON,USD,0001097864,2024-02-05,2024-02-05 11:27:48,2023,FY,2185600000,609500000,-127700000,121100000,-862700000,-112800000,-495200000,-91700000,-163000000,51700000,1977500000,-1539100000,-236300000,0,33500000,4000000,-1737900000,106300000,268300000,-564200000,0,-496900000,-686500000,-1100000,-448000000,2485000000,2933000000,1977500000,-1539100000,438400000,https://www.sec.gov/Archives/edgar/data/1097864/000162828024003201/0001628280-24-003201-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828024003201/on-20231231.htm
2022-12-31,ON,USD,0001097864,2023-02-06,2023-02-06 10:50:17,2022,FY,1903800000,551800000,3100000,100800000,-250400000,-47800000,-235200000,38200000,-5600000,324000000,2633100000,-1036000000,260700000,-18000000,28800000,59100000,-705400000,-41500000,22900000,-259800000,0,-91600000,-370000000,-2400000,1555300000,2933000000,1377700000,2633100000,-1036000000,1597100000,https://www.sec.gov/Archives/edgar/data/1097864/000162828023002350/0001628280-23-002350-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828023002350/on-20221231.htm
2021-12-31,ON,USD,0001097864,2022-02-14,2022-02-14 09:20:06,2021,FY,1011200000,596700000,62400000,101300000,-58900000,-136300000,-122800000,70700000,129500000,69300000,1782000000,-492000000,-392400000,-48900000,4200000,14000000,-915100000,-483200000,117300000,0,0,-203500000,-569400000,-1300000,296200000,1377700000,1081500000,1782000000,-492000000,1290000000,https://www.sec.gov/Archives/edgar/data/1097864/000162828022002416/0001628280-22-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828022002416/on-20211231.htm
2020-12-31,ON,USD,0001097864,2021-02-16,2021-02-16 11:50:24,2020,FY,236400000,625100000,-122600000,67700000,1300000,31400000,-26300000,34200000,-38000000,76400000,884300000,-383600000,21500000,0,0,-91500000,-453600000,-165900000,23600000,-65400000,0,-36300000,-244000000,600000,187300000,1081500000,894200000,884300000,-483600000,400700000,https://www.sec.gov/Archives/edgar/data/1097864/000162828021002219/0001628280-21-002219-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828021002219/on-20201231.htm
2019-12-31,ON,USD,0001097864,2020-02-19,2020-02-19 14:25:39,2019,FY,213900000,593100000,11200000,79400000,-266700000,4700000,34600000,-79900000,-226100000,63800000,694700000,-534600000,-882800000,0,0,-93500000,-1510900000,809600000,27900000,-139000000,0,-75400000,623100000,200000,-192900000,894200000,1087100000,694700000,-634600000,60100000,https://www.sec.gov/Archives/edgar/data/1097864/000119312520041751/0001193125-20-041751-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312520041751/d864442d10k.htm
2018-12-31,ON,USD,0001097864,2019-02-20,2019-02-20 11:58:50,2018,FY,629900000,508700000,69200000,78300000,-69700000,-2700000,-129500000,44800000,17700000,57800000,1274200000,-514800000,-87100000,0,0,53000000,-548900000,-286700000,30700000,-315300000,0,-33800000,-605100000,300000,120500000,1087100000,966600000,1274200000,-514800000,759400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312519045025/0001193125-19-045025-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312519045025/d664850d10k.htm
2017-12-31,ON,USD,0001097864,2018-02-21,2018-02-21 11:26:44,2017,FY,813000000,481900000,-348300000,69800000,-27000000,-57900000,-59900000,51800000,39000000,104800000,1094200000,-387500000,19200000,-1600000,0,5100000,-364500000,-734100000,126800000,-25000000,0,-178600000,-810900000,2300000,-78900000,949200000,1028100000,1094200000,-387500000,706700000,https://www.sec.gov/Archives/edgar/data/1097864/000119312518051397/0001193125-18-051397-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312518051397/d508456d10k.htm
2016-12-31,ON,USD,0001097864,2017-02-28,2017-02-28 15:57:57,2016,FY,184500000,364100000,-38100000,56100000,23000000,28100000,-7900000,42400000,-39600000,-8500000,581100000,-212900000,-2180000000,0,0,-43500000,-2434600000,2258200000,29900000,0,0,-23400000,2264700000,-800000,410500000,1028100000,617600000,581200000,-212900000,368200000,https://www.sec.gov/Archives/edgar/data/1097864/000119312517062207/0001193125-17-062207-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312517062207/d332046d10k.htm
2015-12-31,ON,USD,0001097864,2016-02-24,2016-02-24 11:25:49,2015,FY,209000000,357600000,-9200000,46900000,-204100000,-11300000,-72500000,-32200000,-88100000,70400000,470600000,-272200000,-31300000,-800000,8300000,31500000,-264500000,298700000,93700000,-348200000,0,-144000000,-99800000,-400000,105900000,617600000,511700000,470600000,-272200000,198400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312516475009/0001193125-16-475009-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312516475009/d138223d10k.htm
2014-12-31,ON,USD,0001097864,2015-02-27,2015-02-27 15:21:16,2014,FY,192100000,268800000,-18800000,45800000,-72100000,20500000,-59000000,-17300000,-16300000,65500000,481300000,-204300000,-423700000,-18600000,116900000,-35900000,-565600000,212000000,34900000,-121800000,0,-33700000,91400000,-4900000,2200000,511700000,509500000,481300000,-204300000,277000000,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/0001193125-15-069358-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/d875301d10k.htm
2013-12-31,ON,USD,0001097864,2014-02-21,2014-02-21 13:14:42,2013,FY,153600000,211800000,1400000,32300000,-119200000,-35400000,-88300000,6600000,-2100000,47400000,327300000,-156500000,0,-195700000,224300000,9700000,-118200000,-85700000,20400000,-101000000,0,-7700000,-174000000,-12500000,22600000,509500000,486900000,327300000,-156500000,170800000,https://www.sec.gov/Archives/edgar/data/1097864/000119312514062363/0001193125-14-062363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312514062363/d675717d10k.htm
2012-12-31,ON,USD,0001097864,2013-02-26,2013-02-26 16:02:28,2012,FY,-92900000,243600000,-1900000,20500000,-119900000,95400000,-1500000,-159900000,-53900000,226600000,276000000,-256300000,0,-273800000,377600000,19100000,-133400000,-252300000,17700000,-55500000,0,-9600000,-299700000,-8900000,-166000000,486900000,652900000,276000000,-256300000,19700000,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/0001193125-13-076823-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/d476644d10k.htm
2011-12-31,ON,USD,0001097864,2012-02-22,2012-02-22 14:18:07,2011,FY,14900000,229400000,-4200000,33500000,65200000,89100000,102100000,-109700000,-16300000,206700000,545500000,-316400000,-17900000,-370800000,122200000,159200000,-423700000,-145400000,67500000,-19300000,0,0,-97200000,5000000,29600000,652900000,623300000,545500000,-316400000,229100000,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/0001193125-12-072371-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/d263194d10k.htm
2010-12-31,ON,USD,0001097864,2011-02-24,2011-02-24 15:26:00,2010,FY,292900000,166900000,2600000,52500000,-21300000,-22900000,-84000000,26800000,58800000,58200000,551800000,-191100000,-91000000,0,45500000,-99100000,-335700000,-134700000,30300000,-15000000,0,0,-119400000,900000,97600000,623300000,525700000,551800000,-191100000,360700000,https://www.sec.gov/Archives/edgar/data/1097864/000119312511045204/0001193125-11-045204-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312511045204/d10k.htm
2009-12-31,ON,USD,0001097864,2010-02-25,2010-02-25 14:08:58,2009,FY,63300000,155600000,700000,54200000,-59100000,-71500000,44800000,9800000,-42200000,62200000,276900000,-58500000,-16700000,-103800000,52400000,300000,-126300000,-98200000,23000000,-8600000,0,0,-83800000,200000,67000000,525700000,458700000,276900000,-58500000,218400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312510040363/0001193125-10-040363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312510040363/d10k.htm
2008-12-31,ON,USD,0001097864,2009-02-27,2009-02-27 15:42:36,2008,FY,-428600000,142100000,-6800000,33200000,11100000,74900000,40000000,-69000000,-34800000,642800000,393800000,-95000000,183100000,0,0,39600000,127700000,-353100000,20400000,-2900000,-1500000,0,-337100000,-300000,184100000,458700000,274600000,393800000,-95000000,298800000,https://www.sec.gov/Archives/edgar/data/1097864/000119312509040877/0001193125-09-040877-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312509040877/d10k.htm
2007-12-31,ON,USD,0001097864,2008-02-12,2008-02-12 06:17:16,2007,FY,242200000,92800000,3200000,16500000,-39800000,3900000,-7500000,28500000,-64700000,2200000,317100000,-140700000,-147000000,-1500000,0,13100000,-276100000,-23000000,46400000,-55200000,-4099999.9999999995,400000,-35500000,300000,5800000,274600000,268800000,317100000,-140700000,176400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312508026462/0001193125-08-026462-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312508026462/d10k.htm
2006-12-31,ON,USD,0001097864,2007-02-23,2007-02-23 13:05:21,2006,FY,272100000,84200000,3500000,0,-36700000,-19600000,-61900000,0,44800000,26700000,349800000,-210900000,0,-35400000,37700000,78400000,-130200000,39100000,77800000,-300000000,-1400000,0,-184500000,400000,35500000,268800000,233300000,349800000,-210900000,138900000,https://www.sec.gov/Archives/edgar/data/1097864/000119312507038100/0001193125-07-038100-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312507038100/d10k.htm
2005-12-31,ON,USD,0001097864,2006-02-22,2006-02-22 14:28:43,2005,FY,100600000,100700000,-5700000,0,-33900000,-35400000,10600000,0,-9100000,31400000,193100000,-47800000,0,-18200000,99200000,1600000,34800000,-101400000,2600000,0,-4200000,0,-99600000,-700000,127600000,233300000,105700000,193100000,-47800000,145300000,https://www.sec.gov/Archives/edgar/data/1097864/000119312506036587/0001193125-06-036587-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312506036587/d10k.htm
2004-12-31,ON,USD,0001097864,2005-03-31,2005-03-31 13:57:52,2004,FY,-123700000,109400000,3500000,0,-41600000,4800000,-32900000,0,-13500000,90800000,38400000,-81800000,0,-302700000,223100000,10800000,-150600000,-200400000,225000000,0,-4200000,-11000000,31400000,-100000,-80900000,105700000,186600000,38400000,-81800000,-43400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312505066747/0001193125-05-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312505066747/d10k.htm
2003-12-31,ON,USD,0001097864,2004-03-22,2004-03-22 15:27:01,2003,FY,-166700000,136500000,300000,0,-36100000,-20800000,-21000000,0,5700000,111700000,45700000,-59800000,0,0,0,4600000,-55200000,-144300000,164000000,0,0,-15300000,4400000,1300000,-3800000,186600000,190400000,45700000,-59800000,-14100000,https://www.sec.gov/Archives/edgar/data/1097864/000119312504046448/0001193125-04-046448-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312504046448/d10ka.htm
2002-12-31,ON,USD,0001097864,2003-03-25,2003-03-24 20:50:45,2002,FY,-141900000,156100000,7100000,0,-30200000,22400000,6400000,0,-59000000,55300000,46400000,-40500000,0,0,0,4500000,-22000000,2500000,2600000,0,0,-12100000,-7000000,1000000,2600000,182400000,179800000,30600000,-40500000,5900000,https://www.sec.gov/Archives/edgar/data/1097864/000095015303000532/0000950153-03-000532-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000095015303000532/p67558e10vk.htm
2001-12-31,ON,USD,0001097864,2002-03-29,2002-03-29 00:00:00,2001,FY,-831400000,183100000,317100000,0,-65700000,134500000,23000000,0,-223200000,280500000,-116400000,-149000000,-100000,0,20400000,13300000,-89300000,127000000,104300000,0,0,-14600000,216700000,800000,-9100000,179800000,188900000,-137300000,-149000000,-265400000,https://www.sec.gov/Archives/edgar/data/1097864/000095015302000606/0000950153-02-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000095015302000606/p66274e10-k405.htm
2000-12-31,ON,USD,0001097864,2001-03-30,2001-03-30 00:00:00,2000,FY,71000000,165000000,-12000000,0,9000000,300000,-33000000,47100000,-5400000,68000000,301000000,-199000000,-253000000,-255700000,0,239700000,-467900000,-62000000,523000000,-228000000,0,-4200000,228800000,-100000,62100000,188900000,126800000,301300000,-199000000,102000000,https://www.sec.gov/Archives/edgar/data/1097864/000095015301500189/0000950153-01-500189-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000095015301500189/p64753e10-k.htm
