date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,O,USD,0000726728,2025-02-25,2025-02-25 16:09:40,2024,FY,444962000,0,444962000,3379358000,0,195029000,4019349000,1272703000,4932199000,6322992000,11255191000,1235837000,0,51051959000,64815690000,0,68835039000,0,1130201000,204153000,352334000,711784000,2398472000,25626939000,0,0,1757942000,27384881000,0,530146000,29783353000,0,47451068000,-8648559000,38229000,0,38840738000,39051686000,68835039000,210948000,68835039000,1235837000,26757140000,26312178000,https://www.sec.gov/Archives/edgar/data/726728/000072672825000055/0000726728-25-000055-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672825000055/o-20241231.htm
2023-12-31,O,USD,0000726728,2024-02-21,2024-02-21 16:16:06,2023,FY,232923000,0,232923000,2593629000,31466000,39699000,2897717000,1301549000,3731478000,5017907000,8749385000,1178174000,0,43652532000,54881640000,0,57779357000,0,764390000,204764000,312195000,609364000,1890713000,21225305000,0,0,1556370000,22781675000,0,469558000,24672388000,0,39629709000,-6762136000,73894000,0,32941467000,33106969000,57779357000,165502000,57779357000,1178174000,21989695000,21756772000,https://www.sec.gov/Archives/edgar/data/726728/000072672824000047/0000726728-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672824000047/o-20231231.htm
2022-12-31,O,USD,0000726728,2023-02-22,2023-02-22 16:07:07,2022,FY,171102000,0,171102000,1501079000,29535000,71422000,1773138000,1071017000,3731478000,5168366000,8899844000,5951000,0,37923142000,47899954000,0,49673092000,0,2729040000,91573000,269645000,408550000,3498808000,15871258000,0,0,1459737000,17330995000,0,489565000,20829803000,0,34159509000,-5493193000,46833000,0,28713149000,28843289000,49673092000,130140000,49673092000,5951000,18600298000,18429196000,https://www.sec.gov/Archives/edgar/data/726728/000072672823000044/0000726728-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672823000044/o-20221231.htm
2021-12-31,O,USD,0000726728,2022-02-23,2022-02-23 16:07:21,2021,FY,258579000,0,258579000,755144000,0,145633000,1159356000,849847000,3676705000,5275304000,8952009000,148459000,0,32027831000,41978146000,0,43137502000,0,1551376000,66622000,242122000,360808000,2220928000,14396996000,0,0,1390178000,15787174000,0,505735000,18008102000,0,29578212000,-4530571000,4933000,0,25052574000,25129400000,43137502000,76826000,43137502000,148459000,15948372000,15689793000,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/0000726728-22-000046-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672822000046/o-20211231.htm
2020-12-31,O,USD,0000726728,2021-02-23,2021-02-23 16:24:32,2020,FY,824476000,0,824476000,416992000,0,53019000,1294487000,230634000,14180000,1710655000,1724835000,0,0,17490329000,19445798000,0,20740285000,0,0,36672000,130231000,216999000,383902000,8938282000,0,0,400371000,9338653000,0,120815000,9722555000,0,14700050000,-3659933000,-54634000,0,10985483000,11017730000,20740285000,32247000,20740285000,0,8938282000,8113806000,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/0000726728-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672821000043/o-20201231.htm
2019-12-31,O,USD,0000726728,2020-02-24,2020-02-24 06:05:54,2019,FY,54011000,0,54011000,273543000,0,127946000,455500000,16562682000,14430000,1493383000,1507813000,0,0,16434049000,18099296000,0,18554796000,0,704335000,32060000,127687000,195348000,1059430000,7325443000,127687000,0,238078000,7691208000,0,128231000,8750638000,0,12873849000,-3082291000,-17102000,0,9774456000,9804158000,18554796000,29702000,18554796000,0,8029778000,7975767000,https://www.sec.gov/Archives/edgar/data/726728/000072672820000033/0000726728-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672820000033/realtyincome10k2019.htm
2018-12-31,O,USD,0000726728,2019-02-22,2019-02-21 20:17:58,2018,FY,10387000,0,10387000,144991000,0,29509000,184887000,13832613000,14630000,1199597000,1214227000,0,0,13861369000,15075596000,0,15260483000,0,252000000,14511000,115380000,180042000,561933000,6247976000,115380000,0,208580000,6577572000,0,0,7139505000,0,10754495000,-2657655000,-8098000,0,8088742000,8120978000,15260483000,32236000,15260483000,0,6505612000,6495225000,https://www.sec.gov/Archives/edgar/data/726728/000072672819000038/0000726728-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672819000038/realtyincome10k2018.htm
2017-12-31,O,USD,0000726728,2018-02-22,2018-02-22 16:47:24,2017,FY,6898000,0,6898000,128719000,0,27704000,163321000,12675899000,14970000,1194930000,1209900000,0,0,12684945000,13894845000,0,14058166000,0,110000000,11718000,105284000,158604000,385606000,6006797000,105284000,0,169771000,6281852000,0,5326000,6667458000,0,9624264000,-2252763000,-2252763000,0,7371501000,7390708000,14058166000,19207000,14058166000,0,6116797000,6109899000,https://www.sec.gov/Archives/edgar/data/726728/000110465918011376/0001104659-18-011376-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465918011376/a18-1096_110k.htm
2016-12-31,O,USD,0000726728,2017-02-23,2017-02-23 16:13:19,2016,FY,9420000,0,9420000,109974000,0,45227000,164621000,11880801000,15067000,1082320000,1097387000,0,0,11890863000,12988250000,0,13152871000,0,1120000000,16949000,74098000,159442000,1370489000,4724621000,74098000,0,196610000,4995329000,0,5016000,6365818000,395378000,8228594000,-1857168000,-1857168000,0,6766804000,6787053000,13152871000,20249000,13152871000,0,5844621000,5835201000,https://www.sec.gov/Archives/edgar/data/726728/000110465917011170/0001104659-17-011170-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465917011170/a17-1163_110k.htm
2015-12-31,O,USD,0000726728,2016-02-11,2016-02-11 16:55:53,2015,FY,40294000,0,40294000,99583000,0,28204000,168081000,10611430000,15321000,1034417000,1049738000,0,0,10627560000,11677298000,0,11865870000,0,238000000,13354000,42840000,152816000,447010000,4587702000,42840000,0,214494000,4845036000,0,4707000,5312537000,395378000,7666428000,-1530210000,-1530210000,0,6531596000,6553333000,11865870000,21737000,11865870000,0,4825702000,4785408000,https://www.sec.gov/Archives/edgar/data/726728/000110465916095923/0001104659-16-095923-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465916095923/a15-23382_110k.htm
2014-12-31,O,USD,0000726728,2015-02-18,2015-02-18 15:33:49,2014,FY,3852000,0,3852000,82728000,0,65517000,152097000,9769300000,15470000,1039724000,1055194000,0,0,9805331000,10860525000,0,11012622000,0,223000000,0,36122000,166962000,426084000,4712344000,36122000,0,196973000,4945439000,0,4397000,5371523000,395378000,6464987000,-1246964000,-1246964000,0,5613401000,5641099000,11012622000,27698000,11012622000,0,4935344000,4931492000,https://www.sec.gov/Archives/edgar/data/726728/000110465915011630/0001104659-15-011630-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465915011630/a14-25802_110k.htm
2013-12-31,O,USD,0000726728,2014-02-14,2014-02-14 17:11:21,2013,FY,10257000,0,10257000,107245000,0,33854000,151356000,8785846000,15660000,935459000,951119000,0,0,8821966000,9773085000,0,9924441000,0,128000000,0,31144000,143963000,303107000,4038840000,31144000,0,129992000,4199976000,0,0,4503083000,609363000,5767878000,-991794000,-991794000,0,5385447000,5421358000,9924441000,35911000,9924441000,0,4166840000,4156583000,https://www.sec.gov/Archives/edgar/data/726728/000110465914010697/0001104659-14-010697-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465914010697/a13-26753_110k.htm
2012-12-31,O,USD,0000726728,2013-02-14,2013-02-14 17:38:50,2012,FY,5248000,0,5248000,84865000,0,30513000,120626000,5023827000,16945000,242125000,259070000,0,0,5049652000,5308722000,0,5443363000,0,158000000,0,20929000,94171000,273100000,2738324000,20929000,0,-15799000,2743454000,0,26471000,3030569000,609363000,2572092000,-768661000,768661000,0,2412794000,2412794000,5443363000,0,5443363000,0,2896324000,2891076000,https://www.sec.gov/Archives/edgar/data/726728/000110465913010950/0001104659-13-010950-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465913010950/a12-27698_110k.htm
2011-12-31,O,USD,0000726728,2012-02-13,2012-02-13 17:31:33,2011,FY,4165000,0,4165000,45734000,0,12036000,61935000,4160008000,17206000,153336000,170542000,0,0,29057000,4357454000,0,4419389000,18809000,237400000,0,18149000,26171000,300529000,1852976000,18149000,0,-7119000,1864006000,0,0,2164535000,337790000,2563048000,-645984000,0,0,2254854000,2254854000,4419389000,0,4419389000,0,2090376000,2086211000,https://www.sec.gov/Archives/edgar/data/726728/000114036112007480/0001140361-12-007480-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000114036112007480/ri10k_2011yt.htm
2010-12-31,O,USD,0000726728,2011-02-10,2011-02-10 17:28:04,2010,FY,17607000,0,17607000,11301000,0,0,28908000,3401247000,17206000,26221000,43427000,0,0,62008000,3506682000,0,3535590000,13779000,0,0,0,52291000,66070000,1600000000,0,0,22555000,1622555000,0,0,1688625000,337790000,2066287000,-557112000,0,0,1846965000,1846965000,3535590000,0,3535590000,0,1600000000,1582393000,https://www.sec.gov/Archives/edgar/data/726728/000072672811000013/0000726728-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672811000013/ri10k_2010yt.htm
2009-12-31,O,USD,0000726728,2010-02-11,2010-02-11 17:17:43,2009,FY,10026000,0,10026000,10396000,0,0,20422000,2816882000,17206000,0,17206000,0,0,60277000,2894365000,0,2914787000,38445000,0,0,0,16926000,55371000,1354600000,0,0,16807000,1371407000,0,0,1426778000,337790000,1629237000,-479018000,0,0,1488009000,1488009000,2914787000,0,2914787000,0,1354600000,1344574000,https://www.sec.gov/Archives/edgar/data/726728/000072672810000017/0000726728-10-000017-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672810000017/ri10k_2009yt.htm
2008-12-31,O,USD,0000726728,2009-02-12,2009-02-12 17:38:57,2008,FY,46815000,0,46815000,10624000,0,-57439000,0,2862153000,17206000,0,17206000,0,0,-2879359000,0,2994179000,2994179000,0,0,0,0,0,0,1370000000,0,0,-1370000000,0,-1300482000,0,1439518000,337790000,1624622000,-407751000,-1554661000,0,1554661000,1554661000,2994179000,0,2994179000,0,1370000000,1323185000,https://www.sec.gov/Archives/edgar/data/726728/000072672809000015/0000726728-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672809000015/ric10k_2008yr.htm
2007-12-31,O,USD,0000726728,2008-02-15,2008-02-14 17:58:16,2007,FY,193101000,0,193101000,7142000,0,-200243000,0,2824255000,17206000,0,17206000,0,0,-2841461000,0,3077352000,3077352000,0,0,0,0,0,0,1470000000,0,0,-1470000000,0,0,0,1539260000,337790000,1545037000,-344735000,-1538092000,0,1538092000,1538092000,3077352000,0,3077352000,0,1470000000,1276899000,https://www.sec.gov/Archives/edgar/data/726728/000114036108004298/0001140361-08-004298-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000114036108004298/ric10k_2007yr.htm
2006-12-31,O,USD,0000726728,2007-02-21,2007-02-21 16:13:37,2006,FY,10573000,0,10573000,5953000,0,-16526000,0,2485081000,17206000,0,17206000,0,0,-2502287000,0,2546508000,2546508000,0,0,0,0,0,0,920000000,0,0,-920000000,0,0,0,970516000,337781000,1540365000,-302154000,-35627000,0,1575992000,1575992000,2546508000,0,2546508000,0,920000000,909427000,https://www.sec.gov/Archives/edgar/data/726728/000110465907012727/0001104659-07-012727-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465907012727/a07-4922_110k.htm
2005-12-31,O,USD,0000726728,2006-02-23,2006-02-23 16:48:54,2005,FY,65704000,0,65704000,5044000,0,-70748000,0,1754963000,17206000,0,17206000,0,0,-1772169000,0,1920988000,1920988000,0,0,0,0,0,0,891700000,0,0,-891700000,0,0,0,931774000,123804000,1134300000,-268890000,0,0,989214000,989214000,1920988000,0,1920988000,0,891700000,825996000,https://www.sec.gov/Archives/edgar/data/726728/000110465906011663/0001104659-06-011663-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465906011663/a06-1908_110k.htm
2004-12-31,O,USD,0000726728,2005-03-04,2005-03-04 13:35:32,2004,FY,2141000,0,2141000,4075000,0,-6216000,0,1406710000,17206000,0,17206000,0,0,-1423916000,0,1442315000,1442315000,0,0,0,0,0,0,503600000,0,0,-503600000,0,0,0,528580000,123787000,1038973000,-249025000,0,0,913735000,913735000,1442315000,0,1442315000,0,503600000,501459000,https://www.sec.gov/Archives/edgar/data/726728/000110465905009503/0001104659-05-009503-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465905009503/a05-1739_110k.htm
2003-12-31,O,USD,0000726728,2004-02-19,2004-02-19 11:51:22,2003,FY,4837000,0,4837000,3950000,0,-8787000,0,1320645000,17206000,0,17206000,0,0,-1337851000,0,1360257000,1360257000,0,0,0,0,0,0,506400000,0,0,-506400000,0,0,0,532491000,99368000,969030000,-240632000,0,0,827766000,827766000,1360257000,0,1360257000,0,506400000,501563000,https://www.sec.gov/Archives/edgar/data/726728/000110465904005114/0001104659-04-005114-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000110465904005114/a04-2630_110k.htm
2002-12-31,O,USD,0000726728,2003-03-05,2003-03-04 18:55:01,2002,FY,8921000,0,8921000,4408000,0,-13329000,0,1038178000,17206000,0,17206000,0,0,-1055384000,0,1080230000,1080230000,0,0,0,0,0,0,339700000,0,0,-339700000,0,0,0,357775000,99368000,855818000,-232731000,0,0,722455000,722455000,1080230000,0,1080230000,0,339700000,330779000,https://www.sec.gov/Archives/edgar/data/726728/000072672803000013/0000726728-03-000013-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672803000013/form10k2002.txt
2001-12-31,O,USD,0000726728,2002-12-19,2002-12-19 14:36:57,2001,FY,2467000,0,2467000,4857000,0,-7324000,0,967670000,17206000,0,17206000,0,0,-984876000,0,1003708000,1003708000,0,0,0,0,0,0,315300000,0,0,-315300000,0,-85000,0,331915000,99368000,795505000,-223080000,-233848000,0,671793000,671793000,1003708000,0,1003708000,0,315300000,312833000,https://www.sec.gov/Archives/edgar/data/726728/000072672802000012/0000726728-02-000012-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672802000012/amended10k2001.txt
2000-12-31,O,USD,0000726728,2001-03-28,2001-03-28 00:00:00,2000,FY,3815000,0,3815000,5053000,0,-8868000,0,894278000,18130000,0,18130000,0,0,-912408000,0,934766000,934766000,0,0,0,0,0,0,404000000,0,0,-404000000,0,197000,0,419197000,99368000,630932000,-214731000,-212379000,0,515569000,515569000,934766000,0,934766000,0,404000000,400185000,https://www.sec.gov/Archives/edgar/data/726728/000072672801000004/0000726728-01-000004-index.htm,https://www.sec.gov/Archives/edgar/data/726728/000072672801000004/0000726728-01-000004-0001.txt
1999-12-31,O,USD,0000726728,2000-03-23,2000-03-23 00:00:00,1999,FY,773000,0,773000,3407000,0,-4180000,0,867093000,19053000,0,19053000,0,0,-886146000,0,905404000,905404000,0,0,0,0,0,0,349200000,0,0,-349200000,0,-427000,0,370573000,99679000,636611000,-201459000,-195386000,0,534831000,534831000,905404000,0,905404000,0,349200000,348427000,https://www.sec.gov/Archives/edgar/data/726728/000072672800000002/0000726728-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/726728/000072672800000002/
1998-12-31,O,USD,0000726728,1999-03-24,1999-03-24 00:00:00,1998,FY,2533000,0,2533000,2973000,0,-5506000,0,718280000,19977000,0,19977000,0,0,-738257000,0,759234000,759234000,0,0,0,0,0,0,294800000,0,0,-294800000,0,25000,0,309025000,0,26817000,-186277000,-171555000,609669000,450209000,450209000,759234000,0,759234000,0,294800000,292267000,https://www.sec.gov/Archives/edgar/data/726728/000072672899000006/0000726728-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/726728/0000726728-99-000006.txt
1997-12-31,O,USD,0000726728,1998-03-20,1998-03-20 00:00:00,1997,FY,2123000,0,2123000,3236000,0,-5359000,0,547591000,20901000,0,20900000,0,0,-568500000,0,577000000,577021000,0,0,0,0,0,0,132600000,0,0,-132600000,0,-294000,0,143706000,0,25698000,-174833000,-152206000,734623000,433315000,433315000,577021000,0,577021000,0,132600000,130477000,https://www.sec.gov/Archives/edgar/data/726728/000072672898000005/0000726728-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/726728/0000726728-98-000005.txt
1996-12-31,O,USD,0000726728,1997-03-26,1997-03-26 00:00:00,1996,FY,1559000,0,1559000,2288000,0,-3847000,0,426233000,21834000,0,21834000,0,0,-448067000,0,454097000,454097000,0,0,0,0,0,0,70000000,0,0,-70000000,0,-144000,0,79856000,0,22980000,-164743000,-138307000,516004000,374241000,374241000,454097000,0,454097000,0,70000000,68441000,https://www.sec.gov/Archives/edgar/data/726728/000072672897000007/0000726728-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/726728/0000726728-97-000007.txt
1995-12-31,O,USD,0000726728,1996-03-21,1996-03-21 00:00:00,1995,FY,1650000,0,1650000,2131000,0,-3781000,0,389364000,22567000,0,22567000,0,0,-411931000,0,417639000,417639000,0,0,0,0,0,0,18597000,0,0,-18597000,0,218000,0,36218000,0,22976000,-157674000,-126062000,516119000,381421000,381421000,417639000,0,417639000,0,18597000,16947000,https://www.sec.gov/Archives/edgar/data/726728/000072672896000009/0000726728-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/726728/0000726728-96-000009.txt
1994-12-31,O,USD,0000726728,1994-12-31,1994-12-31 00:00:00,1994,FY,0,0,0,0,0,-11673000,0,338500000,0,0,0,0,0,-338500000,0,352768000,352800000,0,0,0,0,0,0,12616000,0,0,-12616000,0,0,0,12600000,0,0,-137100000,0,472500000,335400000,335400000,352800000,0,352800000,0,12616000,943000,,
1993-12-31,O,USD,0000726728,1993-12-31,1993-12-31 00:00:00,1993,FY,29329000,0,29329000,0,0,-29329000,0,0,0,0,0,0,0,0,0,384474000,384474000,0,0,0,0,0,0,255000,0,0,-255000,0,0,0,255000,0,0,0,0,381904000,381904000,381904000,384474000,0,384474000,0,255000,-29074000,,
