date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2025-07-31,PANW,USD,0001327567,2025-07-31,2025-07-31 06:34:51,2025,FY,1133900000,302300000,-349900000,1295100000,922800000,-154200000,0,106800000,970200000,411800000,3716000000,-246200000,-1054400000,-3695900000,2791800000,0,-2204700000,-965600000,370500000,0,0,-183800000,-778900000,0,732400000,2279200000,1546800000,3716000000,-246200000,3469800000,https://www.sec.gov/Archives/edgar/data/1327567/000119312525169870/0001193125-25-169870-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000119312525169870/d804159dex21.htm
2024-07-31,PANW,USD,0001327567,2024-09-06,2024-09-06 16:14:01,2024,FY,2577600000,283300000,-2033700000,1075400000,910300000,-1020200000,0,-15000000,1945500000,444700000,3257600000,-156800000,-610600000,-3551300000,2808800000,0,-1509900000,-1033700000,0,-566700000,0,257300000,-1343100000,0,404600000,1546800000,1142200000,3257600000,-156800000,3100800000,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/0001327567-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm
2023-07-31,PANW,USD,0001327567,2023-09-01,2023-09-01 16:15:43,2023,FY,439700000,282200000,1910100000,1074500000,550800000,-1059000000,0,1000000,1608800000,-1479800000,2777500000,-146300000,-204500000,-5460400000,3777400000,0,-2033800000,-1692000000,0,-272700000,0,238400000,-1726300000,0,-982600000,1142200000,2124800000,2777500000,-146300000,2631200000,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/0001327567-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/panw-20230731.htm
2022-07-31,PANW,USD,0001327567,2022-09-06,2022-09-06 16:07:52,2022,FY,-267000000,282600000,-3100000,1011100000,520800000,-902000000,0,69300000,1353500000,440300000,1984700000,-192800000,-37000000,-2271700000,1568100000,0,-933400000,-600000,0,-892300000,0,86300000,-806600000,0,244700000,2124800000,1880100000,1984700000,-192800000,1791900000,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/panw-20220731.htm
2021-07-31,PANW,USD,0001327567,2021-09-03,2021-09-03 16:42:39,2021,FY,-498900000,304900000,13100000,894500000,348600000,-172400000,-327600000,-11800000,860400000,440800000,1503000000,-116000000,-777300000,-1958900000,1371600000,0,-1480600000,-900000,0,-1178100000,0,75000000,-1104000000,0,-1081600000,1880100000,2961700000,1503000000,-116000000,1387000000,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/panw-20210731.htm
2020-07-31,PANW,USD,0001327567,2020-09-04,2020-09-04 16:27:32,2020,FY,-267000000,253500000,-6200000,658400000,71800000,-435600000,-448800000,-12800000,969000000,325200000,1035700000,-214400000,-583500000,-1180800000,2266700000,0,288000000,1979100000,0,-1198100000,0,-108000000,673000000,0,1996700000,2961700000,965000000,1035700000,-214400000,821300000,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/panw-20200731.htm
2019-07-31,PANW,USD,0001327567,2019-09-09,2019-09-09 17:23:18,2019,FY,-81900000,153800000,-17500000,567700000,227500000,-108700000,-353100000,32300000,657000000,206000000,1055600000,-131200000,-773700000,-2984600000,2063600000,0,-1825900000,-477400000,0,-330000000,0,33500000,-773900000,0,-1544200000,965000000,2509200000,1055600000,-131200000,924400000,https://www.sec.gov/Archives/edgar/data/1327567/000132756719000032/0001327567-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756719000032/panw-7312019x10k.htm
2018-07-31,PANW,USD,0001327567,2018-09-13,2018-09-13 16:30:18,2018,FY,-147900000,96400000,500000,496700000,521400000,-33000000,-80600000,3700000,631300000,69900000,1037000000,-112000000,-374100000,-725700000,691800000,0,-520000000,1682400000,0,-259100000,0,-177700000,1245600000,0,1762600000,2506900000,744300000,1037000000,-112000000,925000000,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000024/0001327567-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000024/panw-7312018x10k.htm
2017-07-31,PANW,USD,0001327567,2017-09-07,2017-09-07 17:19:13,2017,FY,-216600000,59800000,23600000,474500000,502700000,-82900000,5100000,5900000,574600000,24500000,868500000,-163400000,-90700000,-995900000,777400000,0,-472600000,0,0,-411000000,0,25000000,-386000000,0,9900000,744300000,734400000,868500000,-163400000,705100000,https://www.sec.gov/Archives/edgar/data/1327567/000132756717000027/0001327567-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756717000027/panw-7312017x10k.htm
2016-07-31,PANW,USD,0001327567,2016-09-08,2016-09-08 17:10:31,2016,FY,-225900000,42800000,2500000,392800000,422500000,-136400000,23000000,15100000,520800000,23400000,658100000,-72500000,-6400000,-1037000000,770600000,6400000,-338900000,0,45300000,0,0,38900000,39400000,0,358600000,734400000,375800000,658100000,-72500000,585600000,https://www.sec.gov/Archives/edgar/data/1327567/000132756716000064/0001327567-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756716000064/panw-7312016x10k.htm
