symbol,date,marketCap
PAYC,2026-01-02,8549640000
PAYC,2025-12-31,8940096000
PAYC,2025-12-30,9005172000
PAYC,2025-12-29,9018636000
PAYC,2025-12-26,8999001000
PAYC,2025-12-24,8998440000
PAYC,2025-12-23,8955243000
PAYC,2025-12-22,9280062000
PAYC,2025-12-19,9128592000
PAYC,2025-12-18,9217791000
PAYC,2025-12-17,9367017000
PAYC,2025-12-16,9131397000
PAYC,2025-12-15,9133641000
PAYC,2025-12-12,9346821000
PAYC,2025-12-11,9317088000
PAYC,2025-12-10,9189180000
PAYC,2025-12-09,9127470000
PAYC,2025-12-08,9198717000
PAYC,2025-12-05,9296892000
PAYC,2025-12-04,9320454000
PAYC,2025-12-03,9231816000
PAYC,2025-12-02,9085395000
PAYC,2025-12-01,9077541000
PAYC,2025-11-28,9041637000
PAYC,2025-11-26,9022002000
PAYC,2025-11-25,9219474000
PAYC,2025-11-24,8931681000
PAYC,2025-11-21,9096054000
PAYC,2025-11-20,8970951000
PAYC,2025-11-19,9030417000
PAYC,2025-11-18,9050613000
PAYC,2025-11-17,9205449000
PAYC,2025-11-14,9319332000
PAYC,2025-11-13,9237426000
PAYC,2025-11-12,9405726000
PAYC,2025-11-11,9556074000
PAYC,2025-11-10,9357480000
PAYC,2025-11-07,9096615000
PAYC,2025-11-06,9200961000
PAYC,2025-11-05,10306131000
PAYC,2025-11-04,10205151000
PAYC,2025-11-03,10370085000
PAYC,2025-10-31,10477040000
PAYC,2025-10-30,10376240000
PAYC,2025-10-29,10441760000
PAYC,2025-10-28,11116000000
PAYC,2025-10-27,11213440000
PAYC,2025-10-24,11172560000
PAYC,2025-10-23,11214000000
PAYC,2025-10-22,11331600000
PAYC,2025-10-21,11584160000
PAYC,2025-10-20,11261040000
PAYC,2025-10-17,11238640000
PAYC,2025-10-16,11227440000
PAYC,2025-10-15,11172000000
PAYC,2025-10-14,11229680000
PAYC,2025-10-13,11272800000
PAYC,2025-10-10,11189920000
PAYC,2025-10-09,11345040000
PAYC,2025-10-08,11484480000
PAYC,2025-10-07,11407760000
PAYC,2025-10-06,11212320000
PAYC,2025-10-03,11304160000
PAYC,2025-10-02,11277280000
PAYC,2025-10-01,11156880000
PAYC,2025-09-30,11655840000
PAYC,2025-09-29,12217520000
PAYC,2025-09-26,12180560000
PAYC,2025-09-25,12031600000
PAYC,2025-09-24,12175520000
PAYC,2025-09-23,12300960000
PAYC,2025-09-22,12325600000
PAYC,2025-09-19,12129600000
PAYC,2025-09-18,12126800000
PAYC,2025-09-17,12024880000
