date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,dividend,paymentDate,declarationDate
2026-01-02,228.12,230.65,226.1,229.71,229.71,605900,605900,1.59,0.697,228.645,"January 02, 26",0.00697,,,,,
2025-12-31,230.28,231.14,228.75,228.75,228.75,436461,436461,-1.53,-0.66441,229.73,"December 31, 25",-0.0066441,,,,,
2025-12-30,228.33,232.6,227.4,231.07,231.07,789312,789312,2.74,1.2,229.85,"December 30, 25",0.012,,,,,
2025-12-29,231.17,232.3,228.19,229.33,229.33,734000,734000,-1.84,-0.79595,230.2475,"December 29, 25",-0.0079595,,,,,
2025-12-26,231,233.8,230.77,232.49,232.49,431100,431100,1.49,0.64502,232.015,"December 26, 25",0.0064502,,,,,
2025-12-24,230.35,233.03,228.51,231.24,231.24,407600,407600,0.89,0.38637,230.7825,"December 24, 25",0.0038637,,,,,
2025-12-23,233.44,234.31,229.9,230.55,230.55,675954,675954,-2.89,-1.24,232.05,"December 23, 25",-0.0124,,,,,
2025-12-22,231.68,234,231.06,232.3,232.3,665472,665472,0.62,0.26761,232.26,"December 22, 25",0.0026761,,,,,
2025-12-19,236.25,236.25,231.57,232.01,232.01,1100687,1100687,-4.24,-1.79,234.02,"December 19, 25",-0.0179,,,,,
2025-12-18,237.56,241.26,233.71,236.36,236.36,914164,914164,-1.2,-0.50514,237.2225,"December 18, 25",-0.0050514,,,,,
2025-12-17,236,238.73,234.37,236.28,236.28,538817,538817,0.28,0.11864,236.345,"December 17, 25",0.0011864,,,,,
2025-12-16,238.57,239.6,234.37,236.67,236.67,545750,545750,-1.9,-0.79641,237.3025,"December 16, 25",-0.0079641,,,,,
2025-12-15,242.37,244,236.77,238.34,238.34,661100,661100,-4.03,-1.66,240.37,"December 15, 25",-0.0166,,,,,
2025-12-12,241.69,245.22,239.4,240.27,240.27,486318,486318,-1.42,-0.58753,241.645,"December 12, 25",-0.0058753,,,,,
2025-12-11,241.5,246.13,239.93,240.29,240.29,578902,578902,-1.21,-0.50104,241.9625,"December 11, 25",-0.0050104,,,,,
2025-12-10,234.11,241.61,233.48,240.58,240.58,690212,690212,6.47,2.76,237.445,"December 10, 25",0.0276,,,,,
2025-12-09,236.12,237.34,232.83,233.31,233.31,726600,726600,-2.81,-1.19,234.9,"December 09, 25",-0.0119,,,,,
2025-12-08,240.44,240.44,234.7,236.92,236.92,538928,538928,-3.52,-1.46,238.125,"December 08, 25",-0.0146,,,,,
2025-12-05,241.16,243.56,238.53,239.52,239.52,677505,677505,-1.64,-0.68005,240.6925,"December 05, 25",-0.0068005,,,,,
2025-12-04,246.37,248.05,240.83,241.92,241.92,519416,519416,-4.45,-1.81,244.2925,"December 04, 25",-0.0181,,,,,
2025-12-03,246.13,251.73,245.48,245.98,245.98,524721,524721,-0.15,-0.0609434,247.33,"December 03, 25",-0.000609434,,,,,
2025-12-02,244.5,247.34,241.26,244.73,244.73,709105,709105,0.235,0.09406953,244.4575,"December 02, 25",0.0009406953,,,,,
2025-12-01,240.51,248.39,240.31,243.37,243.37,594891,594891,2.86,1.19,243.145,"December 01, 25",0.0119,,,,,
2025-11-28,246.31,246.4,243.34,243.6,243.6,202900,202900,-2.71,-1.1,244.9125,"November 28, 25",-0.011,,,,,
2025-11-26,242.99,246.39,241.71,244.27,244.27,477728,477728,1.28,0.52677,243.84,"November 26, 25",0.0052677,,,,,
2025-11-25,238.82,246.12,238.51,243.89,243.89,813805,813805,5.07,2.12,241.835,"November 25, 25",0.0212,,,,,
2025-11-24,238.88,240.31,235.17,236.71,236.71,3865600,3865600,-2.17,-0.90841,237.7675,"November 24, 25",-0.0090841,,,,,
2025-11-21,232.34,243.42,229.81,239.98,239.98,914309,914309,7.64,3.29,236.3875,"November 21, 25",0.0329,,,,,
2025-11-20,235.05,237.17,229.63,230.21,230.21,812480,812480,-4.84,-2.06,233.015,"November 20, 25",-0.0206,,,,,
2025-11-19,240.24,241.83,231.53,233.88,233.88,939980,939980,-6.36,-2.65,236.87,"November 19, 25",-0.0265,,,,,
2025-11-18,235.01,241.81,233.06,240.24,240.24,990775,990775,5.23,2.23,237.53,"November 18, 25",0.0223,,,,,
2025-11-17,242.83,244.99,237.25,237.84,237.84,796322,796322,-4.99,-2.05,240.7275,"November 17, 25",-0.0205,,,,,
2025-11-14,244.94,246.78,241.9,242.32,242.32,658838,658838,-2.62,-1.07,243.985,"November 14, 25",-0.0107,,,,,
2025-11-13,248.87,252.64,244.63,245.93,245.93,1210730,1210730,-2.94,-1.18,248.0175,"November 13, 25",-0.0118,,,,,
2025-11-12,253.71,255.66,249.39,250.54,250.54,665204,665204,-3.17,-1.25,252.325,"November 12, 25",-0.0125,2025-11-12,1.25,1.25,2025-11-26,2025-10-29
2025-11-11,250.87,255.23,248.17,254.31,253.06,700144,700144,3.44,1.37,252.145,"November 11, 25",0.0137,,,,,
