symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
PYPL,2024-12-31,85.35,1029000000,87825150000,6561000000,9879000000,91143150000
PYPL,2023-12-31,61.41,1103000000,67735230000,9081000000,9676000000,68330230000
PYPL,2022-12-31,71.22,1154000000,82187880000,7776000000,10417000000,84828880000
PYPL,2021-12-31,188.58,1174000000,221392920000,5197000000,9048000000,225243920000
PYPL,2020-12-31,234.2,1173000000,274716600000,4794000000,8939000000,278861600000
PYPL,2019-12-31,108.17,1174000000,126991580000,7349000000,4965000000,124607580000
PYPL,2018-12-31,84.09,1184000000,99562560000,7575000000,1998000000,93985560000
PYPL,2017-12-31,73.62,1203000000,88564860000,2883000000,1000000000,86681860000
PYPL,2016-12-31,39.47,1210000000,47758700000,1590000000,0,46168700000
PYPL,2015-12-31,36.2,1222000000,44236400000,1393000000,0,42843400000
PYPL,2014-12-31,36.71,1218000000,44712778782,2201000000,1479000000,43990778782
PYPL,2013-12-31,36.71,1171000000,42987408829,1604000000,1612000000,42995408829
PYPL,2012-12-31,36.71,1171000000,42987408829,0,0,42987408829
