symbol,date,marketCap
PYPL,2026-01-05,57702480000
PYPL,2026-01-02,56279520000
PYPL,2025-12-31,56511840000
PYPL,2025-12-30,57208800000
PYPL,2025-12-29,57586320000
PYPL,2025-12-26,58050960000
PYPL,2025-12-24,58118720000
PYPL,2025-12-23,57508880000
PYPL,2025-12-22,57944480000
PYPL,2025-12-19,57896080000
PYPL,2025-12-18,57537920000
PYPL,2025-12-17,58254240000
PYPL,2025-12-16,59367440000
PYPL,2025-12-15,58796320000
PYPL,2025-12-12,59686880000
PYPL,2025-12-11,59715920000
PYPL,2025-12-10,59202880000
PYPL,2025-12-09,58835040000
PYPL,2025-12-08,59164160000
PYPL,2025-12-05,60287040000
PYPL,2025-12-04,59754640000
PYPL,2025-12-03,59280320000
PYPL,2025-12-02,60887200000
PYPL,2025-12-01,60577440000
PYPL,2025-11-28,60683920000
PYPL,2025-11-26,59851440000
PYPL,2025-11-25,59260960000
PYPL,2025-11-24,58622080000
PYPL,2025-11-21,58631760000
PYPL,2025-11-20,56250480000
PYPL,2025-11-19,58186480000
PYPL,2025-11-18,58757600000
PYPL,2025-11-17,59909520000
PYPL,2025-11-14,60800080000
PYPL,2025-11-13,63239440000
PYPL,2025-11-12,65049600000
PYPL,2025-11-11,65243200000
PYPL,2025-11-10,64130000000
PYPL,2025-11-07,64100960000
PYPL,2025-11-06,64139680000
PYPL,2025-11-05,65882080000
PYPL,2025-11-04,63965440000
PYPL,2025-11-03,66153120000
PYPL,2025-10-31,67053359999
PYPL,2025-10-30,65756240000
PYPL,2025-10-29,67450240000
PYPL,2025-10-28,70683360000
PYPL,2025-10-27,68002000000
PYPL,2025-10-24,67537359999
PYPL,2025-10-23,67500540000
PYPL,2025-10-22,65959829999
PYPL,2025-10-21,67878450000
PYPL,2025-10-20,67054800000
PYPL,2025-10-17,65320290000
PYPL,2025-10-16,64002450000
PYPL,2025-10-15,65872620000
PYPL,2025-10-14,67006350000
PYPL,2025-10-13,66725340000
PYPL,2025-10-10,67674960000
PYPL,2025-10-09,73401750000
PYPL,2025-10-08,73769970000
PYPL,2025-10-07,72297090000
PYPL,2025-10-06,69080010000
PYPL,2025-10-03,67103250000
PYPL,2025-10-02,66793170000
PYPL,2025-10-01,64593540000
PYPL,2025-09-30,64981140000
PYPL,2025-09-29,67519920000
PYPL,2025-09-26,65213700000
PYPL,2025-09-25,64671059999
PYPL,2025-09-24,65756340000
PYPL,2025-09-23,65223390000
PYPL,2025-09-22,65581920000
PYPL,2025-09-19,66105180000
PYPL,2025-09-18,66395879999
PYPL,2025-09-17,66492780000
PYPL,2025-09-16,64777649999
PYPL,2025-09-15,65029590000
PYPL,2025-09-12,64816410000
PYPL,2025-09-11,65184629999
PYPL,2025-09-10,63605160000
PYPL,2025-09-09,65581920000
PYPL,2025-09-08,66279600000
PYPL,2025-09-05,66143940000
PYPL,2025-09-04,66337739999
PYPL,2025-09-03,67481160000
PYPL,2025-09-02,67103250000
PYPL,2025-08-29,68014110000
PYPL,2025-08-28,67888140000
PYPL,2025-08-27,67490850000
PYPL,2025-08-26,68004420000
PYPL,2025-08-25,67326120000
PYPL,2025-08-22,67733100000
PYPL,2025-08-21,65455950000
PYPL,2025-08-20,65969520000
PYPL,2025-08-19,66909450000
PYPL,2025-08-18,67374570000
PYPL,2025-08-15,67083870000
PYPL,2025-08-14,67229219999
PYPL,2025-08-13,68440469999
PYPL,2025-08-12,65862930000
PYPL,2025-08-11,65000520000
PYPL,2025-08-08,65552850000
PYPL,2025-08-07,66105180000
PYPL,2025-08-06,67267980000
PYPL,2025-08-05,65727270000
PYPL,2025-08-04,65901690000
PYPL,2025-08-01,65029590000
PYPL,2025-07-31,66628440000
PYPL,2025-07-30,67548989999
PYPL,2025-07-29,69235050000
PYPL,2025-07-28,75795180000
PYPL,2025-07-25,76888280000
PYPL,2025-07-24,76730520000
PYPL,2025-07-23,75586760000
PYPL,2025-07-22,74936000000
PYPL,2025-07-21,73772520000
PYPL,2025-07-18,73131620000
PYPL,2025-07-17,72825960000
PYPL,2025-07-16,71948420000
PYPL,2025-07-15,71938560000
PYPL,2025-07-14,72855540000
PYPL,2025-07-11,70360960000
PYPL,2025-07-10,74640200000
PYPL,2025-07-09,73782380000
PYPL,2025-07-08,73979580000
PYPL,2025-07-07,75113480000
PYPL,2025-07-03,75517740000
PYPL,2025-07-02,75241660000
PYPL,2025-07-01,74235940000
PYPL,2025-06-30,73279520000
PYPL,2025-06-27,72609040000
PYPL,2025-06-26,72145620000
