symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
STLD,2024-12-31,114.07,155420000,17728759400,589464000,3345339000,20484634400
STLD,2023-12-31,118.1,166552000,19669791200,1400887000,3071056000,21339960200
STLD,2022-12-31,97.7,183393000,17917496100,1628417000,3070575000,19359654100
STLD,2021-12-31,62.07,205115000,12731488050,1243868000,3105876000,14593496050
STLD,2020-12-31,36.87,211140000,7784731799,1368618000,3102676000,9518789799
STLD,2019-12-31,34.04,219639000,7476511560,1381460000,2734344000,8829395560
STLD,2018-12-31,30.04,233923000,7027046920,828220000,2376723000,8575549920
STLD,2017-12-31,43.13,240132000,10356893160,1028649000,2381940000,11710184160
STLD,2016-12-31,35.58,243576000,8666434080,841483000,2356826000,10181777080
STLD,2015-12-31,17.87,241316666,4312328821,727032000,2594656000,6179952821
STLD,2014-12-31,19.74,232547000,4590477780,361363000,2981849000,7210963780
STLD,2013-12-31,19.54,220916000,4316698640,395156000,2107589000,6029131640
STLD,2012-12-31,13.73,219159000,3009053070,375917000,2202237000,4835373070
STLD,2011-12-31,13.15,218471000,2872893650,475591000,2380100000,4777402650
STLD,2010-12-31,18.3,216760000,3966708000,186513000,2386821000,6167016000
STLD,2009-12-31,17.72,200704000,3556474880,9008000,2222754000,5770220880
STLD,2008-12-31,11.18,189140000,2114585200,16233000,2650384000,4748736200
STLD,2007-12-31,29.79,186322000,5550532380,28486000,2029845000,7551891380
STLD,2006-12-31,16.23,187862000,3049000260,29373000,438878000,3458505260
STLD,2005-12-31,8.88,178484000,1584937920,65518000,440575000,1959994920
STLD,2004-12-31,9.47,197148000,1866991560,16334000,448379000,2299036560
STLD,2003-12-31,5.75,191316000,1100067000,65430000,607574000,1642211000
STLD,2002-12-31,3.01,188576000,567613760,24218000,555450000,1098845760
STLD,2001-12-31,2.9,182620000,529598000,78241000,599924000,1051281000
STLD,2000-12-31,2.75,187288000,515042000,10184000,532520000,1037378000
STLD,1999-12-31,3.98,191656000,762790880,16600000,506000000,1252190880
STLD,1998-12-31,2.94,193848000,569913120,5200000,483900000,1048613120
STLD,1997-12-31,4,193406593,773626372,8600000,219500000,984526372
STLD,1996-12-31,4.78,138284000,660997520,57500000,207400000,810897520
STLD,1995-12-31,4.66,128387097,598283872,6900000,223100000,814483872
