date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2025-10-03,SWKS,USD,0000004127,2025-10-28,2025-10-28 07:04:13,2025,FY,477100000,463000000,-55800000,232400000,193200000,-89300000,41800000,67099999,173600000,-9100000,1300800000,-195000000,0,-633500000,618300000,-23800000,-234000000,0,0,-44400000,-432600000,-797100000,-1274100000,0,-207300000,1161300000,1368600000,1300800000,-195000000,1105800000,https://www.sec.gov/Archives/edgar/data/4127/000110465925102806/0001104659-25-102806-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000110465925102806/tm2529220d2_ex2-1.htm
2024-09-27,SWKS,USD,0000004127,2025-01-24,2025-01-24 16:04:21,2024,FY,596000000,451300000,-108400000,180300000,563900000,355400000,330400000,10400000,-132300000,141600000,1824700000,-183100000,0,-270900000,86500000,11600000,-355900000,-300000000,0,-113600000,-439100000,33700000,-819000000,0,649800000,1368600000,718800000,1824700000,-157000000,1667700000,https://www.sec.gov/Archives/edgar/data/4127/000000412725000006/0000004127-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412725000006/swks-20240927.htm
2023-09-29,SWKS,USD,0000004127,2024-01-26,2024-01-25 20:11:56,2023,FY,982800000,613700000,-151200000,185100000,161000000,229800000,90800000,-87100000,-72500000,65000000,1856400000,-236100000,0,-288800000,294000000,6500000,-224400000,-900000000,0,-211200000,-405200000,37200000,-1479200000,0,152800000,718800000,566000000,1856400000,-236100000,1620300000,https://www.sec.gov/Archives/edgar/data/4127/000000412724000002/0000004127-24-000002-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412724000002/swks-20230929.htm
2022-09-30,SWKS,USD,0000004127,2023-01-27,2023-01-27 16:20:03,2022,FY,1275200000,690100000,68400000,195200000,-827500000,-337800000,-337300000,31300000,-183700000,23200000,1424600000,-509700000,7700000,-97200000,220300000,0,-378900000,-50000000,0,-975300000,-373100000,35800000,-1362600000,0,-316900000,566000000,882900000,1424600000,-509700000,914900000,https://www.sec.gov/Archives/edgar/data/4127/000000412723000005/0000004127-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412723000005/swks-20220930.htm
2021-10-01,SWKS,USD,0000004127,2021-11-24,2021-11-24 16:48:16,2021,FY,1498300000,436700000,-59500000,191900000,-303800000,-397700000,-41200000,59600000,75500000,8400000,1772000000,-652100000,-2751000000,-500800000,770700000,0,-3133200000,2238200000,0,-250800000,-340600000,30600000,1677400000,0,316200000,882900000,566700000,1772000000,-652100000,1119900000,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/0000004127-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/swks-20211001.htm
2020-10-02,SWKS,USD,0000004127,2021-01-29,2021-01-29 16:30:34,2020,FY,814800000,364300000,-14500000,156600000,-132300000,71700000,-190400000,61100000,-74700000,15600000,1204500000,-398500000,398500000,-790500000,607600000,-398500000,-581400000,0,0,-680600000,-307000000,79900000,-907700000,0,-284600000,566700000,851300000,1204500000,-398500000,806000000,https://www.sec.gov/Archives/edgar/data/4127/000000412721000015/0000004127-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412721000015/swks-20201002.htm
2019-09-27,SWKS,USD,0000004127,2020-01-27,2020-01-27 08:22:03,2019,FY,853600000,371600000,-6100000,80100000,54500000,190500000,-119600000,-33000000,16600000,13700000,1367400000,-423400000,423400000,-360500000,447000000,-423400000,-336900000,0,0,-680400000,-273900000,41800000,-912500000,0,118000000,851300000,733300000,1367400000,-423400000,944000000,https://www.sec.gov/Archives/edgar/data/4127/000000412720000009/0000004127-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412720000009/fy1910-kajanuary242020.htm
2018-09-28,SWKS,USD,0000004127,2019-01-25,2019-01-25 16:32:35,2018,FY,918400000,299200000,27300000,107800000,-79500000,-193800000,11900000,-126000000,228400000,-12600000,1260600000,-430900000,-404000000,-683700000,368200000,0,-1150400000,0,0,-807500000,-243200000,57000000,-993700000,0,-883500000,733300000,1616800000,1260600000,-430900000,829700000,https://www.sec.gov/Archives/edgar/data/4127/000000412719000005/0000004127-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412719000005/fy1810-kajanuary252019.htm
2017-09-29,SWKS,USD,0000004127,2018-01-26,2018-01-26 17:15:27,2017,FY,1010200000,254800000,2200000,88500000,142400000,-37100000,-69200000,147800000,100900000,-25500000,1471300000,-315400000,-13700000,12100000,3200000,-12100000,-325900000,0,0,-481500000,-214600000,83700000,-612400000,0,533000000,1616800000,1083800000,1471300000,-315400000,1155900000,https://www.sec.gov/Archives/edgar/data/4127/000000412718000004/0000004127-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412718000004/fy1710-kajanuary262018.htm
2016-09-30,SWKS,USD,0000004127,2016-11-22,2016-11-22 16:24:26,2016,FY,995200000,247800000,-25700000,78000000,-199900000,121400000,-147300000,-181500000,7500000,300000,1095700000,-195300000,-55600000,0,0,0,-250900000,0,0,-598900000,-201000000,-4700000,-804600000,0,40200000,1083800000,1043600000,1095700000,-195300000,900400000,https://www.sec.gov/Archives/edgar/data/4127/000000412716000068/0000004127-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412716000068/fy1610k93016.htm
