symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
SW,2029-12-31,40752947064,43268512492,41647385400,6338626080,6729891738,6477745103,4227074298,4487999771,4319849363,1796160824,1941250044,1847750004,6000531890,6370927938,6132230482,4.75,4.99036,4.61738,5,6
SW,2028-12-31,39820340699,42278338944,40694310358,6193570484,6575882265,6329505853,4130340278,4385294630,4220992242,1910880814,2065236015,1965764825,5863213373,6225133134,5991898123,5.05338,5.30909,4.91229,4,7
SW,2027-12-31,38022533878,40369558537,38857045597,5913943463,6278994650,6043741628,3943863875,4187307560,4030423088,1379728543,1491180933,1419355973,5598501298,5944081123,5721376196,3.64873,3.83337,3.54686,5,6
SW,2026-12-31,37280274246,38883349441,37760026677,5798493990,6047832871,5873113655,3866873452,4033151438,3916635477,977798182,1486256193,1192915183,5489209752,5725249218,5559849300,3.06662,3.82071,2.51362,10,8
SW,2025-12-31,36335852762,37897933054,36813802703,5651600695,5894563318,5725940005,3768913916,3930939731,3818488979,883076682,1020922722,951999702,5350151558,5580154865,5420525704,2.4473,2.62448,2.27012,9,5
SW,2024-12-31,30755800585,30965023718,30855430649,4783691334,4816233452,4799187581,3190126446,3211827986,3200460513,884387612,955827462,909789312,4528535370,4559341733,4543205066,2.33879,2.45714,2.27349,4,5
SW,2023-12-31,13004647434,13644629676,13241932189,2022715001,2122256468,2059621764,1348899034,1415280797,1373511248,1412007763,1502835373,1445683493,1914825976,2009058028,1949764179,3.71641,3.86333,3.62984,3,1
SW,2022-12-30,14310604060,14966691677,14564600519,2225840697,2327887160,2265346762,1484358579,1552410863,1510704205,1688617884,1789800674,1727790184,2107117207,2203720642,2144516070,4.44162,4.60103,4.34092,2,2
SW,2021-12-30,12467956416,13039565537,12689248038,1939239230,2028146088,1973658455,1293231089,1352520892,1316184426,1134051702,1202006113,1160359772,1835802695,1919967375,1868386043,2.98293,3.08999,2.9153,3,1
SW,2020-12-30,12296692265,12860449566,12514944149,1912601171,2000286774,1946547602,1275466820,1333942199,1298104862,1050825152,1113788692,1075199892,1810585476,1893594041,1842721247,2.76401,2.86321,2.70135,3,1
SW,2019-12-30,11345996080,11866167520,11547374220,1764731923,1845638275,1796053848,1176856445,1230810907,1197744268,1192596203,1264055503,1220261883,1670603384,1747194295,1700254637,3.13692,3.2495,3.0658,2,2
SW,2018-12-30,12200951008,12760318931,12417503597,1897709781,1984712669,1931391907,1265536118,1323556210,1287997901,1240808863,1315154543,1269590973,1796488374,1878850639,1828373938,3.26373,3.38086,3.18974,3,1
SW,2017-12-30,11829181245,12371504916,12039135356,1839885509,1924237371,1872541321,1226974528,1283226716,1248751889,874903792,927325432,895197922,1741748374,1821601015,1772662367,2.30128,2.38387,2.24911,3,1
SW,2016-12-30,9190238822,9611576863,9353354796,1429430058,1494964074,1454800767,953251853,996954881,970170957,825555252,875020492,844705722,1353186090,1415224606,1377203558,2.17148,2.24941,2.12225,2,2
SW,2015-12-30,9473262391,9907576003,9641401702,1473450937,1541003146,1499602965,982608298,1027657210,1000048444,788047872,835264692,806326982,1394858953,1458808013,1419616065,2.07282,2.14721,2.02583,3,1
