symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
SYF,2028-12-31,15911983306,16629329918,16270656612,4657169899,4867125187,4762147543,4192708804,4381725182,4287216993,4210991036,4444841287,4362982682,2343055623,2448685637,2395870630,10.89112,11.09546,10.51171,1,7
SYF,2027-12-31,16262113032,16355435476,16308774254,4759646981,4786960891,4773303936,4284965813,4309555698,4297260755,3248172970,4518796053,3883484511.5,2394612579,2408354403,2401483491,10.37786,11.28007,8.10827,13,14
SYF,2026-12-31,15407153752,15778021922,15600650189,4509414779,4617961655,4566047931,4059689351,4157410811,4110674461,3581928854,3826334915,3704131884.5,2268718961,2323329674,2297211507,9.29147,9.55151,8.94141,12,15
SYF,2025-12-31,15000591507,15065599488,15033095498,4390420847,4409447590,4399934219,3952562724,3969691923,3961127324,3593574296,3804486191,3699030243.5,2208852260,2218424750,2213638505,9.3046,9.49697,8.97048,11,15
SYF,2024-12-31,15706804004,15776534544,15732952957,4597117368,4617526324,4604770726,4138645332,4157018896,4145535419,2634165336,2756115988,2695140662,2312842764,2323110656,2316693223,6.63643,6.87997,6.57555,11,12
SYF,2023-12-31,8434745758,8792087969,8667000000,2468708224,2573296279,2536685134,2222503136,2316660590,2283700687,2698637900,2848506367,2773572133.5,1242024837,1294643839,1276224509,6.97964,7.1106,6.73649,9,10
SYF,2022-12-30,11426602522,11705592988,11588507179,4773933522,7160900286,5967416904,3010838817,3084351073,3053499689,2896306908,4344460363,3620383636,1354734598,2032101897,1693418248,5.96027,6.03856,5.85202,6,13
SYF,2021-12-30,9913946428,10156004076,10054418112,4395818032,6593727049,5494772541,2612263328,2676044016,2649276745,2674636211,4011954317,3343295264,1303965246,1955947868,1629956557,7.22089,7.31573,7.08974,7,8
SYF,2020-12-30,11037761576,11307258152,11194156708,6835439340,10253159010,8544299175,2908381642,2979392317,2949590788,2051774901,3077662351,2564718626,3893609098,5840413648,4867011373,2.01988,2.04641,1.98319,11,10
SYF,2019-12-30,13186143027,13508094209,13372978787,5724028864,8586043297,7155036081,3474466815,3559298953,3523696878,2838461033,4257691550,3548076292,1895772624,2843658935,2369715780,4.26567,4.3217,4.18819,6,9
SYF,2018-12-30,12989919550,13307079764,13173975000,4017857253,6026785879,5022321567,3422763147,3506332895,3471260616,1927906484,2891859727,2409883106,1646633400,2469950102,2058291751,3.57056,3.61746,3.50571,7,8
SYF,2017-12-30,12153860749,12450607859,12326070000,3847481211,5771221817,4809351514,3202466844,3280657865,3247842913,1509929079,2264893620,1887411350,1691122511,2536683768,2113903140,2.57,2.60376,2.52332,11,16
SYF,2016-12-30,10764269997,11027089037,10916790000,3806271711,5709407569,4757839640,2836318309,2905569494,2876506383,1701169917,2551754876,2126462397,1485938249,2228907375,1857422812,2.6739,2.70902,2.62534,6,9
SYF,2015-12-30,9605453822,9839979354,9741554444,3704003115,5556004673,4630003894,2530977442,2592773463,2566839111,1694254880,2541382321,2117818601,1356013605,2034020408,1695017007,2.62952,2.66406,2.58176,7,14
