date,symbol,calendarYear,period,growthNetIncome,growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2024-12-31,SYF,2024,FY,0.563449508489723,0.05021834061135371,0.7860262008733624,0,0.4057971014492754,1.0511627906976744,0,0,-1.7933333333333332,-0.07895522388059702,0.14604910974048643,0,0,0.22412365443003035,-0.2783875473957294,0.47100243246703366,0.37452578333567516,-1.301631963984243,0,0.09352517985611511,-0.049107142857142856,-0.9028146574614976,-1.0634343853820598,0,-0.916311701327988,0.023160668469592954,0.3826462128475551,0.14604910974048643,0,0.14604910974048643
2023-12-31,SYF,2023,FY,-0.2579575596816976,0.09307875894988067,-0.08788598574821853,0,-0.2825278810408922,-2.2741116751269037,0,0,5.166666666666667,0.6966320587490504,0.2836868837765163,0,0,0.06285566476978789,0.25778112449799195,-0.509080370942813,-0.3908540160250147,1.3362982588947767,0,0.6650602409638554,0.058823529411764705,0.000637687320650441,0.8228614685844058,0,1.2884174311926606,0.3826462128475551,0.20078286898457287,0.2836868837765163,0,0.2836868837765163
2022-12-31,SYF,2022,FY,-0.28547737502961384,0.07435897435897436,-2.922374429223744,0,-1.2634671890303624,-1.4646226415094339,0,0,-1.120603015075377,2.1642628205128207,-0.05705028877306663,0,0,-0.2929765886287625,-0.215748031496063,-0.49942062572421786,-1.1258828417116742,-3.1249024199843873,0,-0.15438108484005564,0.12177121771217712,19.631683168316833,2.0153727901614142,0,1.5974648852346693,0.20078286898457287,-0.25152951314088756,-0.05705028877306663,0,-0.05705028877306663
2021-12-31,SYF,2021,FY,2.047653429602888,0.018276762402088774,1.3637873754152825,0,2.508591065292096,0.25073746312684364,0,0,13.4375,-0.7930348258706468,-0.051823160144250036,0,0,0.6983758700696056,-0.3940116903256591,-7.689922480620155,-8.666666666666666,0.6881694255111976,0,-1.9197969543147209,0.03558718861209965,0.7874579124579124,0.3520109575395343,0,-1.8013435700575815,-0.25152951314088756,-0.08239108088874832,-0.051823160144250036,0,-0.051823160144250036
2020-12-31,SYF,2020,FY,-0.6303709634374166,0.043596730245231606,-27.17391304347826,0,3.476923076923077,1.867007672634271,0,0,-1.105263157894737,0.2593984962406015,-0.1671857619577308,0,0,-0.2618380855397149,0.036858379715522575,3.1061224489795918,-0.9080459770114943,0.5665294924554184,0,0.7277501381978994,0.03270223752151463,-3.0589254766031195,-0.24357386187674201,0,-1.4588287098194628,-0.08239108088874832,0.21887047031611412,-0.1671857619577308,0,-0.1671857619577308
2019-12-31,SYF,2019,FY,0.34301075268817205,0.2152317880794702,1.4339622641509433,0,-0.5859872611464968,-0.3964285714285714,0,0,0.043478260869565216,-0.22095671981776766,-0.03767929779490473,0,0,-0.08045660844450557,0.42642907551164433,0.9718923879997705,0.9862891363731876,-2.0019005384859043,0,-0.936830835117773,-0.08801498127340825,-0.84561872909699,-1.7825033321216528,0,2.5759888965995836,0.21887047031611412,-0.12194296352712194,-0.03767929779490473,0,-0.03767929779490473
2018-12-31,SYF,2018,FY,0.4418604651162791,0.1889763779527559,-1.1376623376623376,0,-0.6045340050377834,0.06040268456375839,0,0,-0.3712230215827338,8.46995377503852,0.0477792732166891,0,0,-1.3016777461221907,0.5066454013822435,-0.7410366523519425,-1.0229543039319873,0.41645101663585954,0,-0.24782899131596525,-0.19730941704035873,0.8298653610771114,1.974054054054054,0,-1.6317404647084612,-0.10567143595931736,0.26778242677824265,0.0477792732166891,0,0.0477792732166891
2017-12-31,SYF,2017,FY,-0.14038205242114615,0.1598173515981735,-0.010282776349614395,0,1.7257769652650823,0.30536130536130535,0,0,6.889830508474576,-0.8561294613167812,0.3067565586985197,0,0,0.06538461538461539,1.7260869565217392,0.11545936395759718,0.29354354354354356,0.4087431693989071,0,-2.1449579831932772,-1.0841121495327102,-0.5283454566447292,-0.20555396507300314,0,1.7593209054593875,0.2447162321639309,-0.24373225152129818,0.3067565586985197,0,0.3067565586985197
2016-12-31,SYF,2016,FY,0.016711833785004515,0.25862068965517243,2.31864406779661,0,-1.7704225352112677,-1.6319018404907975,0,0,-1.1351660939289805,0.33422064477965097,0.10333117723156533,0,0,0.33751470011760093,-0.6099491237987563,-0.22524082692932135,-0.23299083587892253,0.08435905133593516,0,0,0,0.048166525475009075,-0.3172400312744332,0,-7.044265593561368,-0.24373225152129818,0.04201893811295232,0.10333117723156533,0,0.10333117723156533
2015-12-31,SYF,2015,FY,0.049786628733997154,0.3282442748091603,-0.45320197044334976,0,6.717391304347826,-3.3970588235294117,0,0,35.375,0.052943008408595456,0.15805243445692885,0,0,-2.707848837209302,130.03703703703704,-0.059639866957219866,-0.07300357568533969,0.37889241096401266,-1,0,0,-0.26648912561029736,-0.6406546322961298,0,-0.9477337259438426,0.04201893811295232,4.100474342388961,0.15805243445692885,0,0.15805243445692885
2014-12-31,SYF,2014,FY,0.06568974229408793,0.25961538461538464,0.14345991561181434,0,-0.8681948424068768,1.4473684210526316,0,0,-0.971764705882353,0.024242424242424242,-0.05969360802958267,1,-1,-12.76,-0.325,-67.65354330708661,-8.444652908067543,-2.6926784484737203,0,0,0,83.22627737226277,4.9242006615215,0,8.653807106598984,4.100474342388961,0.7383808095952024,-0.05969360802958267,1,4.352165725047081
2013-12-31,SYF,2013,FY,-0.06606890042472864,0.25301204819277107,-12.166666666666666,0,-0.1570048309178744,0.7190388170055453,0,0,-0.379108838568298,51.25,0.007450771687067589,0,0,-2.225806451612903,0,0.9803436000619099,0.8347799132052077,0.2582567245488594,0,0,0,0.857736240913811,-4.771309771309771,0,5.700680272108843,0.7383808095952024,0.12384161752316765,0.007450771687067589,0,-1.2825971261309208
2012-12-31,SYF,2012,FY,0.12116402116402117,-0.13541666666666666,-1.140625,0,-0.31795716639209226,-0.38010204081632654,0,0,-0.14757160647571607,1.8571428571428572,0.0219361856417694,1,-1,0.6702127659574468,1.3529411764705883,-202.90625,-3.1095541401273885,0.34762327854286984,0,0,0,-1.4656673114119922,1.32303559435863,0,-0.8481404958677686,0.12384161752316765,4.420091324200913,0.0219361856417694,1,5.72673031026253
2011-12-31,SYF,2011,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
