date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2026-01-05,84.84,87.48,84.6,86.9108,86.9108,760191,760191,2.07,2.44083,86.33,"January 05, 26",0.0244083,,,,,
2026-01-02,83.71,84.67,83.28,84.65,84.65,1407287,1407287,0.94,1.12,84.0775,"January 02, 26",0.0112,,,,,
2025-12-31,84.44,84.45,83.39,83.43,83.43,1794762,1794762,-1.01,-1.2,83.9275,"December 31, 25",-0.012,,,,,
2025-12-30,84.75,84.83,84.12,84.31,84.31,1158800,1158800,-0.44,-0.51917,84.5025,"December 30, 25",-0.0051917,,,,,
2025-12-29,85.75,85.99,84.58,84.74,84.74,1733700,1733700,-1.01,-1.18,85.265,"December 29, 25",-0.0118,,,,,
2025-12-26,85.84,86.12,85.58,86.01,86.01,819294,819294,0.17,0.19804,85.8875,"December 26, 25",0.0019804,,,,,
2025-12-24,85.83,86.48,85.73,86.06,86.06,772400,772400,0.23,0.26797,86.025,"December 24, 25",0.0026797,,,,,
2025-12-23,85.76,86.14,85.13,85.57,85.57,1837167,1837167,-0.19,-0.22155,85.65,"December 23, 25",-0.0022155,,,,,
2025-12-22,85.47,86.22,85.12,85.85,85.85,1836500,1836500,0.38,0.4446,85.665,"December 22, 25",0.004446,,,,,
2025-12-19,83.23,84.82,83,84.68,84.68,10591212,10591212,1.45,1.74,83.9325,"December 19, 25",0.0174,,,,,
2025-12-18,83.79,84.89,83.32,83.68,83.68,2292327,2292327,-0.11,-0.13128,83.92,"December 18, 25",-0.0013128,,,,,
2025-12-17,83.93,84.19,82.89,83.23,83.23,2420100,2420100,-0.7,-0.83403,83.56,"December 17, 25",-0.0083403,,,,,
2025-12-16,83.56,84.06,82.95,83.39,83.39,3835243,3835243,-0.17,-0.20345,83.49,"December 16, 25",-0.0020345,,,,,
2025-12-15,84.42,84.62,82.95,83.21,83.21,3088500,3088500,-1.21,-1.43,83.8,"December 15, 25",-0.0143,,,,,
2025-12-12,85.72,86.13,83.15,84.22,84.22,3797100,3797100,-1.5,-1.75,84.805,"December 12, 25",-0.0175,,,,,
2025-12-11,84.74,86.22,84.14,85.66,85.66,2812478,2812478,0.92,1.09,85.19,"December 11, 25",0.0109,,,,,
2025-12-10,80.78,84.91,80.77,84.55,84.55,4143768,4143768,3.77,4.67,82.7525,"December 10, 25",0.0467,,,,,
2025-12-09,79.79,81.43,79.39,81.01,81.01,3172563,3172563,1.22,1.53,80.405,"December 09, 25",0.0153,,,,,
2025-12-08,80.68,80.98,79.69,79.78,79.78,3920700,3920700,-0.9,-1.12,80.2825,"December 08, 25",-0.0112,,,,,
2025-12-05,79.38,80.65,79.22,80.36,80.36,2620735,2620735,0.98,1.23,79.9025,"December 05, 25",0.0123,,,,,
2025-12-04,79.18,80.65,79.15,80.4,80.4,2121400,2121400,1.22,1.54,79.845,"December 04, 25",0.0154,,,,,
2025-12-03,78.77,80.4,78.71,79.15,79.15,3705220,3705220,0.38,0.48242,79.2575,"December 03, 25",0.0048242,,,,,
2025-12-02,78.55,79.18,77.64,78.88,78.88,2381179,2381179,0.33,0.42011,78.5625,"December 02, 25",0.0042011,,,,,
2025-12-01,76.96,78.4,76.15,78.05,78.05,3366164,3366164,1.09,1.42,77.39,"December 01, 25",0.0142,,,,,
2025-11-28,77.34,77.91,76.9,77.36,77.36,923600,923600,0.02,0.02585984,77.3775,"November 28, 25",0.0002585984,,,,,
2025-11-26,76.44,77.55,76.27,76.95,76.95,1938827,1938827,0.51,0.66719,76.8025,"November 26, 25",0.0066719,,,,,
2025-11-25,74.98,76.91,74.74,76.51,76.51,2648600,2648600,1.53,2.04,75.785,"November 25, 25",0.0204,,,,,
2025-11-24,74.59,75.21,73.93,74.52,74.52,7559200,7559200,-0.07,-0.09384636,74.5625,"November 24, 25",-0.0009384636,,,,,
2025-11-21,72.78,75.46,72.51,74.62,74.62,4040325,4040325,1.84,2.53,73.8425,"November 21, 25",0.0253,,,,,
2025-11-20,73.97,75.28,72.17,72.25,72.25,5452350,5452350,-1.72,-2.33,73.4175,"November 20, 25",-0.0233,,,,,
2025-11-19,71.61,72.74,71.48,72.55,72.55,5567700,5567700,0.94,1.31,72.095,"November 19, 25",0.0131,,,,,
2025-11-18,69.63,72.13,69.52,71.22,71.22,4652424,4652424,1.59,2.28,70.625,"November 18, 25",0.0228,,,,,
2025-11-17,72.8,73.07,69.89,70.47,70.47,3708580,3708580,-2.33,-3.2,71.5575,"November 17, 25",-0.032,,,,,
2025-11-14,73,73.94,72.1,73.09,73.09,3144900,3144900,0.09,0.12329,73.0325,"November 14, 25",0.0012329,,,,,
2025-11-13,74.73,75.52,73.71,73.79,73.79,3980833,3980833,-0.94,-1.26,74.4375,"November 13, 25",-0.0126,,,,,
2025-11-12,74.3,76.11,74.3,75.49,75.49,2756440,2756440,1.19,1.6,75.05,"November 12, 25",0.016,,,,,
2025-11-11,74.58,75.03,73.89,74.42,74.42,2231100,2231100,-0.16,-0.21453,74.48,"November 11, 25",-0.0021453,,,,,
2025-11-10,73.7,74.79,73.31,74.7,74.7,3135000,3135000,1,1.36,74.125,"November 10, 25",0.0136,,,,,
2025-11-07,73.06,73.61,72.05,73.19,73.19,3710600,3710600,0.13,0.17794,72.9775,"November 07, 25",0.0017794,,,,,
2025-11-06,74.47,75.24,73.08,73.55,73.55,3940640,3940640,-0.92,-1.24,74.085,"November 06, 25",-0.0124,,,,,
2025-11-05,72.91,75.09,71.85,74.37,74.37,3501461,3501461,1.46,2,73.555,"November 05, 25",0.02,2025-11-05,0.3,2025-10-23,2025-11-17,0.3
2025-11-04,73.2,74.39,73.1,73.3,73,3353922,3353922,0.1,0.13661,73.4975,"November 04, 25",0.0013661,,,,,
2025-11-03,74.02,74.77,73.52,74.01,73.71,3684800,3684800,-0.01,-0.01350986,74.08,"November 03, 25",-0.0001350986,,,,,
2025-10-31,73.53,74.99,73.25,74.38,74.08,2986800,2986800,0.85,1.16,74.0375,"October 31, 25",0.0116,,,,,
2025-10-30,73.07,74.81,73,73.59,73.29,2571724,2571724,0.52,0.71165,73.6175,"October 30, 25",0.0071165,,,,,
2025-10-29,74.11,74.84,72.91,73.21,72.91,3200509,3200509,-0.9,-1.21,73.7675,"October 29, 25",-0.0121,,,,,
2025-10-28,75,75.08,74.25,74.72,74.41,2322100,2322100,-0.28,-0.37333,74.7625,"October 28, 25",-0.0037333,,,,,
2025-10-27,75.6,75.72,74.69,74.96,74.65,5008839,5008839,-0.64,-0.84656,75.2425,"October 27, 25",-0.0084656,,,,,
2025-10-24,74.16,75.7,74.14,74.84,74.53,2342196,2342196,0.68,0.91694,74.71,"October 24, 25",0.0091694,,,,,
2025-10-23,73.32,73.98,72.72,73.24,72.94,2363008,2363008,-0.08,-0.10911,73.315,"October 23, 25",-0.0010911,,,,,
2025-10-22,74,74.81,72.53,73.01,72.71,2696346,2696346,-0.99,-1.34,73.5875,"October 22, 25",-0.0134,,,,,
2025-10-21,72.15,74.21,72.05,74,73.7,2403828,2403828,1.85,2.56,73.1025,"October 21, 25",0.0256,,,,,
