date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2025-06-30,TECH,USD,0000842023,2025-08-22,2025-08-22 06:31:16,2025,FY,1219635000,429363000,790272000,0.6479577907,99496000,415097000,0,415097000,173424000,688017000,1117380000,3886000,8509000,109903000,216875000,0.1778195936,102255000,0.0838406572,-3792000,98463000,0.0807315303,25063000,73400000,0.0601819397,0.47,0.46,157521000,159717000,https://www.sec.gov/Archives/edgar/data/842023/000155837025011716/0001558370-25-011716-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000155837025011716/tech-20250630x10k.htm
2024-06-30,TECH,USD,0000842023,2024-08-22,2024-08-22 16:30:35,2024,FY,1159060000,389335000,769725000,0.6640941798,96664000,393320000,0,393320000,73055000,563039000,952374000,3323000,15736000,111711000,313136000,0.2701637534,206686000,0.1783220886,-20997000,185689000,0.1602065467,17584000,168105000,0.1450356323,1.07,1.05,157708000,160774000,https://www.sec.gov/Archives/edgar/data/842023/000155837024012430/0001558370-24-012430-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000155837024012430/tech-20240630x10k.htm
2023-06-30,TECH,USD,0000842023,2023-08-23,2023-08-23 16:30:51,2023,FY,1136702000,366887000,769815000,0.6772355463,92493000,352438000,0,352438000,25940000,470871000,837758000,3410000,11215000,107238000,457112000,0.4021388191,298944000,0.2629924114,39715000,338659000,0.297931208,53217000,285263000,0.2509567151,1.81,1.76,157179000,161855000,https://www.sec.gov/Archives/edgar/data/842023/000155837023015226/0001558370-23-015226-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000155837023015226/tmb-20230630x10k.htm
2022-06-30,TECH,USD,0000842023,2022-08-24,2022-08-24 16:31:27,2022,FY,1105599000,349103000,756496000,0.6842408504,87140000,339001000,0,339001000,33765000,459906000,809009000,794000,11309000,101069000,413764000,0.374244188,296590000,0.2682618201,4796000,301386000,0.2725997401,38287000,272051000,0.2460666119,1.73,1.66,156876000,164116000,https://www.sec.gov/Archives/edgar/data/842023/000155837022013935/0001558370-22-013935-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000155837022013935/tmb-20220630x10k.htm
2021-06-30,TECH,USD,0000842023,2021-08-25,2021-08-25 16:46:35,2021,FY,931032000,298182000,632850000,0.6797295904,70603000,289924000,0,289924000,35027000,395554000,693736000,473000,13952000,87747000,249874000,0.2683839009,237296000,0.2548741611,-89121000,148175000,0.1591513503,8590000,140410000,0.1508111429,0.91,0.87,154988000,161932000,https://www.sec.gov/Archives/edgar/data/842023/000143774921020980/0001437749-21-020980-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774921020980/tech20200630b_10k.htm
2020-06-30,TECH,USD,0000842023,2020-08-26,2020-08-26 16:36:54,2020,FY,738691000,255497000,483194000,0.6541219536,65192000,240882000,0,240882000,19701000,325775000,581272000,605000,19197000,82737000,378411000,0.5122723845,157419000,0.2131053445,119058000,276477000,0.3742796379,47181000,229296000,0.310408547,1.5,1.45,152804000,157604000,https://www.sec.gov/Archives/edgar/data/842023/000143774920018754/0001437749-20-018754-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774920018754/tech20200630_10k.htm
2019-06-30,TECH,USD,0000842023,2019-08-28,2019-08-28 16:16:47,2019,FY,714006000,240515000,473491000,0.6631470884,62413000,236867000,27492000,264359000,0,326772000,567287000,569000,21705000,78171000,211891000,0.2967636126,125583000,0.1758850766,-34704000,112015000,0.1568824352,15943000,96072000,0.1345534911,0.64,0.62,151124000,155568000,https://www.sec.gov/Archives/edgar/data/842023/000143774919017565/0001437749-19-017565-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774919017565/tech20190630_10k.htm
2018-06-30,TECH,USD,0000842023,2018-08-27,2018-08-27 16:47:54,2018,FY,642993000,210850000,432143000,0.6720804115,55329000,240636000,0,240636000,0,295965000,506815000,409000,10188000,64463000,200603000,0.3119831787,136178000,0.2117876866,-10226000,125952000,0.1958839365,-602000,125350000,0.1949476899,0.84,0.82,149904000,152220000,https://www.sec.gov/Archives/edgar/data/842023/000143774918016190/0001437749-18-016190-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774918016190/tech20180630_10k.htm
2017-06-30,TECH,USD,0000842023,2017-09-07,2017-09-07 17:06:02,2017,FY,563003000,188462000,374541000,0.6652557802,53514000,153326000,45917000,199243000,0,252757000,441219000,304000,7361000,60036000,179358000,0.3185737909,121784000,0.2163114584,-8623000,113161000,0.2009953766,35875000,77286000,0.1372745794,0.52,0.52,149252000,150000000,https://www.sec.gov/Archives/edgar/data/842023/000143774917015711/0001437749-17-015711-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774917015711/tech20170630_10k.htm
2016-06-30,TECH,USD,0000842023,2016-08-29,2016-08-29 16:49:57,2016,FY,499023000,162364000,336659000,0.6746362392,45187000,140879000,0,140879000,0,186066000,348430000,249000,1748000,42764000,191993000,0.3847377776,150593000,0.3017756697,-3112000,147481000,0.2955394842,43005000,104476000,0.2093610916,0.7,0.7,148776000,149304000,https://www.sec.gov/Archives/edgar/data/842023/000143774916038182/0001437749-16-038182-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774916038182/tech20160630_10k.htm
