date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,TKO,USD,0001973266,2025-02-26,2025-02-26 16:19:27,2024,FY,2804341000,1292717000,1511624000,0.5390300252,0,0,0,736644000,0,736644000,2029361000,0,249115000,392842000,676307000,0.2411643235,774980000,0.27635013,-742897000,32083000,0.0114404775,25706000,9408000,0.0033547989,0.12,0.0547,81340000,171875000,https://www.sec.gov/Archives/edgar/data/1973266/000095017025027778/0000950170-25-027778-index.htm,https://www.sec.gov/Archives/edgar/data/1973266/000095017025027778/tko-20241231.htm
2023-12-31,TKO,USD,0001973266,2024-02-27,2024-02-27 16:39:11,2023,FY,1674968000,679214000,995754000,0.5944913574,0,0,0,409562000,0,409562000,1088776000,0,239042000,164616000,611093000,0.3648386118,586192000,0.3499720592,-379023000,207169000,0.123685348,31446000,-35227000,-0.0210314466,-0.43,-0.43,82808019,82808019,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/0001562762-24-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/tko-20231231x10k.htm
2022-12-31,TKO,USD,0001973266,2022-12-31,2022-12-30 19:00:00,2022,FY,1140147000,385618000,754529000,0.6617822088,0,0,0,209389000,0,209389000,595007000,0,139567000,60032000,603148000,0.5290089787,545140000,0.4781313287,-141800000,403340000,0.3537614009,14318000,387275000,0.3396711126,4.66,4.66,83162215,83162446,,
2021-12-31,TKO,USD,0001973266,2021-12-31,2021-12-30 19:00:00,2021,FY,1095174000,649075000,446099000,0.4073316204,0,0,0,190082000,0,190082000,839157000,395000,33610000,77924000,341396000,0.3117276341,256017000,0.2337683327,-26155000,229862000,0.2098862829,52454000,177408000,0.1619906974,3.27,3.27,83162446,83162446,,
2020-12-31,TKO,USD,0001973266,2020-12-31,2020-12-30 19:00:00,2020,FY,974207000,592096000,382111000,0.3922277298,0,0,0,173567000,0,173567000,765663000,1819000,35601000,86188000,292898000,0.300652736,208544000,0.2140653886,-37435000,171109000,0.1756392635,39338000,131770999,0.1352597538,2.13,2.13,83162446,83162446,,
2019-12-31,TKO,USD,0001973266,2019-12-31,2019-12-29 19:00:00,2019,FY,960442000,672326000,288116000,0.2999827163,0,0,0,171606000,0,171606000,843932000,4728000,26121000,83280000,204079000,0.2124844603,116510000,0.1213087308,-21832000,94678000,0.0985775299,17617000,77061000,0.0802349335,0.99,0.85,78157000,90231000,,
2018-12-31,TKO,USD,0001973266,2018-12-31,2018-12-29 19:00:00,2018,FY,930160000,634251000,295909000,0.3181269889,0,0,0,181431000,0,181431000,815682000,4508000,15405000,70155000,191597000,0.2059828417,114478000,0.1230734497,-8441000,106037000,0.1139986669,6449000,99588000,0.1070654511,1.28,1.12,77536000,88619000,,
2017-12-31,TKO,USD,0001973266,2017-12-31,2017-12-29 19:00:00,2017,FY,800959000,559103000,241856000,0.3019580278,0,0,0,160806000,0,160806000,719909000,2007000,14736000,65072000,143868000,0.1796196809,81050000,0.1011911971,-16990000,64060000,0.079979125,31420000,32640000,0.0407511496,0.43,0.42,76743000,78471000,,
2016-12-31,TKO,USD,0001973266,2016-12-31,2016-12-29 19:00:00,2016,FY,729216000,453620000,275596000,0.3779346586,0,0,0,219132000,0,219132000,672752000,2392000,3020000,62015000,118248000,0.1621577146,56464000,0.0774311041,-3251000,53213000,0.0729728914,19372000,33841000,0.0464073745,0.44,0.44,76149000,77539000,,
2015-12-31,TKO,USD,0001973266,2015-12-31,2015-12-29 19:00:00,2015,FY,658768000,419586000,239182000,0.3630747092,0,0,0,192773000,0,192773000,612359000,1792000,2367000,60622000,99215000,0.1506068904,46409000,0.0704481699,-10183000,36226000,0.0549905278,12082000,24144000,0.0366502319,0.32,0.32,75696000,76333000,,
