holder,shares,dateReported,change
First Financial Bank - Trust Division,0,2025-12-31,-226
HORIZON KINETICS ASSET MANAGEMENT LLC,3504692,2025-09-30,-72839
VANGUARD GROUP INC,2581228,2025-09-30,189842
"BlackRock, Inc.",1827103,2025-09-30,-42623
STATE STREET CORP,1169299,2025-09-30,22296
"GEODE CAPITAL MANAGEMENT, LLC",579319,2025-09-30,-26441
"SoftVest Advisors, LLC",393600,2025-09-30,300
FIRST MANHATTAN CO. LLC.,337681,2025-09-30,0
Invesco Ltd.,283910,2025-09-30,9389
MORGAN STANLEY,238075,2025-09-30,-44541
NORTHERN TRUST CORP,202395,2025-09-30,-2799
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,193072,2025-09-30,8867
PACIFIC HEIGHTS ASSET MANAGEMENT LLC,185000,2025-09-30,20000
SCHWARTZ INVESTMENT COUNSEL INC,153421,2025-09-30,-612
DIMENSIONAL FUND ADVISORS LP,147557,2025-09-30,17107
UBS Group AG,137192,2025-09-30,-15347
Legal & General Group Plc,129093,2025-09-30,-5080
TD ASSET MANAGEMENT INC,120852,2025-09-30,24729
Bank of New York Mellon Corp,119939,2025-09-30,-6022
UBS ASSET MANAGEMENT AMERICAS INC,112745,2025-09-30,-158
"Douglass Winthrop Advisors, LLC",109011,2025-09-30,6231
"Epoch Investment Partners, Inc.",108149,2025-09-30,20902
MAD RIVER INVESTORS,94772,2025-09-30,-241
"York GP, Ltd.",91700,2025-09-30,-593
AQR CAPITAL MANAGEMENT LLC,90589,2025-09-30,35716
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,83171,2025-09-30,21210
Amundi,81556,2025-09-30,3399
DEUTSCHE BANK AG\,65705,2025-09-30,3204
"Colony Group, LLC",62904,2025-09-30,-188
BANK OF AMERICA CORP /DE/,62723,2025-09-30,31417
GOLDMAN SACHS GROUP INC,60601,2025-09-30,-16269
"Moors & Cabot, Inc.",56944,2025-09-30,-2304
Swiss National Bank,56351,2025-09-30,-2800
DANSKE BANK A/S,56345,2025-09-30,16139
"Nuveen, LLC",51951,2025-09-30,-1596
ROYAL BANK OF CANADA,51193,2025-09-30,-11163
JPMORGAN CHASE & CO,50747,2025-09-30,-1635
"PNC FINANCIAL SERVICES GROUP, INC.",50458,2025-09-30,-542
"EagleClaw Capital Managment, LLC",48948,2025-09-30,1821
"Sumitomo Mitsui Trust Holdings, Inc.",45678,2025-09-30,610
RENAISSANCE TECHNOLOGIES LLC,45004,2025-09-30,-17996
RHUMBLINE ADVISERS,43836,2025-09-30,155
BARCLAYS PLC,41482,2025-09-30,1984
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",40310,2025-09-30,31054
LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE,39742,2025-09-30,-905
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",37670,2025-09-30,477
WELLS FARGO & COMPANY/MN,36105,2025-09-30,4469
Hodges Capital Management Inc.,35970,2025-09-30,-1555
National Pension Service,35699,2025-09-30,3264
"Lagoda Investment Management, L.P.",34092,2025-09-30,305
RAYMOND JAMES FINANCIAL INC,32884,2025-09-30,821
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,32871,2025-09-30,-6428
"ADVISOR GROUP HOLDINGS, INC.",31795,2025-09-30,25191
"HighTower Advisors, LLC",31631,2025-09-30,309
"BNP PARIBAS ARBITRAGE, SNC",31154,2025-09-30,-5721
"Ronald Blue Trust, Inc.",29153,2025-09-30,-588
HSBC HOLDINGS PLC,28742,2025-09-30,-401
TOCQUEVILLE ASSET MANAGEMENT L.P.,27893,2025-09-30,61
PRICE T ROWE ASSOCIATES INC /MD/,27629,2025-09-30,-34853
"One Charles Private Wealth Services, LLC",25787,2025-09-30,-210
Adviser Investments LLC,23724,2025-09-30,0
PRINCIPAL FINANCIAL GROUP INC,22554,2025-09-30,-1126
STATE OF WISCONSIN INVESTMENT BOARD,21934,2025-09-30,1447
First Dallas Securities Inc.,21816,2025-09-30,-1418
"Advisory Services Network, LLC",21260,2025-09-30,58
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,20329,2025-09-30,427
US BANCORP \DE\,19760,2025-09-30,9
Janney Montgomery Scott LLC,19269,2025-09-30,-274
"TWO SIGMA INVESTMENTS, LP",18787,2025-09-30,17475
SAPIENT CAPITAL LLC,17885,2025-09-30,3371
ALLIANCEBERNSTEIN L.P.,17875,2025-09-30,-2860
CITIGROUP INC,16839,2025-09-30,-321
FIRST TRUST ADVISORS LP,16592,2025-09-30,-18273
HOWLAND CAPITAL MANAGEMENT LLC,16468,2025-09-30,0
LPL Financial LLC,16256,2025-09-30,3066
AVIVA PLC,16031,2025-09-30,1112
abrdn plc,16006,2025-09-30,331
FRANKLIN RESOURCES INC,15994,2025-09-30,-1915
"MARSHALL WACE, LLP",15370,2025-09-30,10815
"Essex Financial Services, Inc.",15192,2025-09-30,-58
AMERICAN CENTURY COMPANIES INC,14869,2025-09-30,4517
CORTLAND ASSOCIATES INC/MO,14803,2025-09-30,-34
BANK OF MONTREAL /CAN/,14661,2025-09-30,3916
MGO ONE SEVEN LLC,14625,2025-09-30,313
"Summit Street Capital Management, LLC",14574,2025-09-30,0
Concorde Financial Corp,14128,2025-09-30,107
Korea Investment CORP,14076,2025-09-30,3059
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,13671,2025-09-30,180
Mitsubishi UFJ Trust & Banking Corp,13492,2025-09-30,1304
"Mariner, LLC",13479,2025-09-30,-1723
"Atlas Wealth Partners, LLC",13319,2025-09-30,451
BLI - Banque de Luxembourg Investments,13300,2025-09-30,0
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",13135,2025-09-30,397
"Lido Advisors, LLC",12838,2025-09-30,87
Fielder Capital Group LLC,12820,2025-09-30,-43
"COMMONWEALTH EQUITY SERVICES, LLC",12653,2025-09-30,-2305
CITADEL ADVISORS LLC,12580,2025-09-30,-7169
VICTORY CAPITAL MANAGEMENT INC,12527,2025-09-30,5042
BAR HARBOR WEALTH MANAGEMENT,12494,2025-09-30,-3152
ASR Vermogensbeheer N.V.,12467,2025-09-30,863
Cerity Partners LLC,12128,2025-09-30,1157
NORTH POINT PORTFOLIO MANAGERS CORP/OH,11946,2025-09-30,-161
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",11322,2025-09-30,277
Hosking Partners LLP,11051,2025-09-30,-37
Clare Market Investments LLC,10967,2025-09-30,-148
"TIAA TRUST, NATIONAL ASSOCIATION",10907,2025-09-30,-196
"Pacer Advisors, Inc.",10880,2025-09-30,2443
FMR LLC,10870,2025-09-30,-4186
"Gotham Asset Management, LLC",10827,2025-09-30,6637
"American Money Management, LLC",10559,2025-09-30,-92
PRUDENTIAL FINANCIAL INC,10306,2025-09-30,-660
GREAT WEST LIFE ASSURANCE CO /CAN/,10280,2025-09-30,-1014
Mediolanum International Funds Ltd,10224,2025-09-30,4202
"NCM Capital Management, LLC",10078,2025-09-30,-80
APG Asset Management N.V.,10071,2025-09-30,-5224
Jefferies Financial Group Inc.,10015,2025-09-30,2480
"Chevy Chase Trust Holdings, LLC",9853,2025-09-30,-102
"Russell Investments Group, Ltd.",9851,2025-09-30,-461
SPROTT INC.,9787,2025-09-30,1266
"Bulldog Investors, LLP",9700,2025-09-30,800
"Ensign Peak Advisors, Inc",9660,2025-09-30,675
ROYAL LONDON ASSET MANAGEMENT LTD,9635,2025-09-30,-101
"Crawford Fund Management, LLC",9550,2025-09-30,9550
WELLINGTON MANAGEMENT GROUP LLP,9501,2025-09-30,1484
Wealthfront Advisers LLC,9319,2025-09-30,-517
"Lunt Capital Management, Inc.",9231,2025-09-30,0
"Rafferty Asset Management, LLC",9120,2025-09-30,21
"Compass Ion Advisors, LLC",8699,2025-09-30,589
Treasurer of the State of North Carolina,8641,2025-09-30,-4506
"Holt Capital Advisors, L.L.C. dba Holt Capital Partners, L.P.",8193,2025-09-30,-25
Pictet Asset Management Holding SA,8154,2025-09-30,-412
AMERIPRISE FINANCIAL INC,8141,2025-09-30,-15058
"Asset Management One Co., Ltd.",8098,2025-09-30,-82
BLAIR WILLIAM & CO/IL,7823,2025-09-30,1
"CI Private Wealth, LLC",7721,2025-09-30,-125
STIFEL FINANCIAL CORP,7708,2025-09-30,-34
Creative Planning,7626,2025-09-30,714
"SG Americas Securities, LLC",7589,2025-09-30,6978
"Jump Financial, LLC",7547,2025-09-30,-10004
NOMURA ASSET MANAGEMENT CO LTD,7533,2025-09-30,-1477
"NISA INVESTMENT ADVISORS, LLC",7444,2025-09-30,5213
BROWN ADVISORY INC,7363,2025-09-30,-33
"Miracle Mile Advisors, LLC",7344,2025-09-30,-21
Waverton Investment Management Ltd,7322,2025-09-30,0
"MISSION WEALTH MANAGEMENT, LP",7228,2025-09-30,-28
Neuberger Berman Group LLC,7187,2025-09-30,-35214
Spence Asset Management,7148,2025-09-30,351
CI INVESTMENTS INC.,7119,2025-09-30,-200
"Massar Capital Management, LP",7000,2025-09-30,7000
TORONTO DOMINION BANK,6989,2025-09-30,-665
"Pathstone Holdings, LLC",6958,2025-09-30,66
"PROMETHIUM ADVISORS,LLC",6907,2025-09-30,975
PECAUT & CO.,6869,2025-09-30,-6883
"Marietta Wealth Management, LLC",6848,2025-09-30,564
State of New Jersey Common Pension Fund D,6830,2025-09-30,159
STATE OF MICHIGAN RETIREMENT SYSTEM,6500,2025-09-30,100
NATIONAL BANK OF CANADA /FI/,6408,2025-09-30,-6765
"Resona Asset Management Co.,Ltd.",6275,2025-09-30,-285
"Empowered Funds, LLC",6253,2025-09-30,-5656
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,6044,2025-09-30,-507
BAHL & GAYNOR INC,6000,2025-09-30,0
"Stratos Wealth Partners, LTD.",5821,2025-09-30,-46
1900 WEALTH MANAGEMENT LLC,5811,2025-09-30,-600
Lansforsakringar Fondforvaltning AB (publ),5742,2025-09-30,0
Arizona State Retirement System,5730,2025-09-30,19
"MetLife Investment Management, LLC",5701,2025-09-30,14
Universal- Beteiligungs- und Servicegesellschaft mbH,5656,2025-09-30,606
CREDIT AGRICOLE S A,5635,2025-09-30,5635
Sienna Gestion,5587,2025-09-30,5587
Illinois Municipal Retirement Fund,5336,2025-09-30,3733
"KINGSWOOD WEALTH ADVISORS, LLC",5323,2025-09-30,-213
Squarepoint Ops LLC,5316,2025-09-30,350
ProShare Advisors LLC,5213,2025-09-30,19
"Kestra Advisory Services, LLC",5157,2025-09-30,99
"ADAMS NATURAL RESOURCES FUND, INC.",5150,2025-09-30,-300
GF FUND MANAGEMENT CO. LTD.,5116,2025-09-30,-260
BARTLETT & CO. WEALTH MANAGEMENT LLC,5053,2025-09-30,-10
"KLCM Advisors, Inc.",5014,2025-09-30,0
"State of Tennessee, Treasury Department",4996,2025-09-30,-1976
BROWN BROTHERS HARRIMAN & CO,4950,2025-09-30,-94
"XPONANCE, INC.",4944,2025-09-30,-45
Czech National Bank,4904,2025-09-30,297
"Private Advisor Group, LLC",4847,2025-09-30,513
KLP KAPITALFORVALTNING AS,4800,2025-09-30,-100
"Beacon Pointe Advisors, LLC",4769,2025-09-30,203
Zurcher Kantonalbank (Zurich Cantonalbank),4768,2025-09-30,242
"Rakuten Investment Management, Inc.",4767,2025-09-30,4767
Prospera Financial Services Inc,4739,2025-09-30,73
MERCER GLOBAL ADVISORS INC /ADV,4706,2025-09-30,38
VAN ECK ASSOCIATES CORP,4685,2025-09-30,24
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,4637,2025-09-30,14
"Ipswich Investment Management Co., Inc.",4635,2025-09-30,100
VOYA INVESTMENT MANAGEMENT LLC,4583,2025-09-30,-6895
Financial Engines Advisors L.L.C.,4485,2025-09-30,-481
PRING TURNER CAPITAL GROUP INC,4417,2025-09-30,2683
"GRIMES & COMPANY, INC.",4411,2025-09-30,7
AMALGAMATED BANK,4389,2025-09-30,132
MILLENNIUM MANAGEMENT LLC,4383,2025-09-30,-3180
IFM Investors Pty Ltd,4376,2025-09-30,233
JUPITER ASSET MANAGEMENT LTD,4278,2025-09-30,-1101
Quantinno Capital Management LP,4232,2025-09-30,1645
"Baird Financial Group, Inc.",4171,2025-09-30,-6
PUBLIC SECTOR PENSION INVESTMENT BOARD,4135,2025-09-30,279
Retirement Systems of Alabama,4119,2025-09-30,75
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,4071,2025-09-30,-100
Wallace Hart LLC,4032,2025-09-30,400
JANUS HENDERSON GROUP PLC,4031,2025-09-30,96
Rockefeller Capital Management L.P.,4024,2025-09-30,4024
DnB Asset Management AS,3963,2025-09-30,253
Morningstar Investment Management LLC,3958,2025-09-30,3958
TOWER BRIDGE ADVISORS,3944,2025-09-30,-323
Family Management Corp,3843,2025-09-30,-32
"GAMCO INVESTORS, INC. ET AL",3816,2025-09-30,-2290
Independent Advisor Alliance,3803,2025-09-30,99
"SPRING CAPITAL MANAGEMENT, LLC",3780,2025-09-30,0
AZZAD ASSET MANAGEMENT INC /ADV,3562,2025-09-30,1035
ENVESTNET ASSET MANAGEMENT INC,3418,2025-09-30,-215
Verition Fund Management LLC,3402,2025-09-30,2382
"True North Advisors, LLC",3345,2025-09-30,9
"Cresset Asset Management, LLC",3345,2025-09-30,241
COLLECTIVE FAMILY OFFICE LLC,3311,2025-09-30,-66
Man Group plc,3302,2025-09-30,-532
JB Capital LLC,3222,2025-09-30,0
Utah Retirement Systems,3207,2025-09-30,0
COMERICA BANK,3201,2025-09-30,-393
Daiwa Securities Group Inc.,3143,2025-09-30,206
SHUFRO ROSE & CO LLC,3138,2025-09-30,0
"Mraz, Amerine & Associates, Inc.",3096,2025-09-30,0
Police & Firemen's Retirement System of New Jersey,3087,2025-09-30,170
Cetera Investment Advisers,3030,2025-09-30,1040
ANCHOR CAPITAL ADVISORS LLC,2983,2025-09-30,47
GABELLI FUNDS LLC,2900,2025-09-30,0
Integrated Wealth Concepts LLC,2868,2025-09-30,177
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,2808,2025-09-30,-266
UniSuper Management Pty Ltd,2790,2025-09-30,486
"CIM, LLC",2790,2025-09-30,6
"D. E. Shaw & Co., Inc.",2769,2025-09-30,69
Curated Wealth Partners LLC,2766,2025-09-30,0
CIBC Asset Management Inc,2745,2025-09-30,3
Resurgent Financial Advisors LLC,2690,2025-09-30,-20
"Mutual Advisors, LLC",2681,2025-09-30,303
D.A. DAVIDSON & CO.,2675,2025-09-30,0
ARCADIA INVESTMENT MANAGEMENT CORP/MI,2671,2025-09-30,-1
OSTRUM ASSET MANAGEMENT,2658,2025-09-30,-239
"WORLD EQUITY GROUP, INC.",2648,2025-09-30,-21
"Gilbert & Cook, Inc.",2633,2025-09-30,0
NEW YORK LIFE INVESTMENT MANAGEMENT LLC,2620,2025-09-30,57
"ARMISTICE CAPITAL, LLC",2590,2025-09-30,2207
"Seneschal Advisors, LLC",2583,2025-09-30,-20
TEACHER RETIREMENT SYSTEM OF TEXAS,2560,2025-09-30,-407
"Mirae Asset Global Investments Co., Ltd.",2558,2025-09-30,397
Woodline Partners LP,2552,2025-09-30,513
NISSAY ASSET MANAGEMENT CORP /JAPAN/ /ADV,2516,2025-09-30,-15
"Sumitomo Mitsui DS Asset Management Company, Ltd",2511,2025-09-30,-7
MERIDIAN MANAGEMENT CO,2511,2025-09-30,795
"YOUSIF CAPITAL MANAGEMENT, LLC",2501,2025-09-30,-275
"Sandbox Financial Partners, LLC",2441,2025-09-30,-394
Spears Abacus Advisors LLC,2369,2025-09-30,87
"Inspire Investing, LLC",2266,2025-09-30,2266
SPIRIT OF AMERICA MANAGEMENT CORP/NY,2255,2025-09-30,-200
OREGON PUBLIC EMPLOYEES RETIREMENT FUND,2219,2025-09-30,604
CRAWFORD INVESTMENT COUNSEL INC,2204,2025-09-30,396
AXA Investment Managers S.A.,2203,2025-09-30,2203
"Fountainhead AM, LLC",2196,2025-09-30,267
TRUIST FINANCIAL CORP,2195,2025-09-30,14
"Empirical Asset Management, LLC",2164,2025-09-30,-250
"DAYMARK WEALTH PARTNERS, LLC",2147,2025-09-30,2147
Texas Yale Capital Corp.,2123,2025-09-30,5
Ethic Inc.,2122,2025-09-30,267
"Linden Thomas Advisory Services, LLC",2121,2025-09-30,51
Westerkirk Capital Inc.,2110,2025-09-30,0
MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,2092,2025-09-30,-68
"State of Alaska, Department of Revenue",2061,2025-09-30,-64
"Garrett Wealth Advisory Group, LLC",2007,2025-09-30,0
VIKING FUND MANAGEMENT LLC,2000,2025-09-30,900
Robeco Institutional Asset Management B.V.,1994,2025-09-30,-74
Balentine LLC,1978,2025-09-30,1498
OMERS ADMINISTRATION Corp,1964,2025-09-30,1300
"Steward Partners Investment Advisory, LLC",1960,2025-09-30,85
"Toroso Investments, LLC",1939,2025-09-30,-285
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,1916,2025-09-30,24
IPG Investment Advisors LLC,1910,2025-09-30,1910
SEI INVESTMENTS CO,1909,2025-09-30,20
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,1895,2025-09-30,-83
"IEQ CAPITAL, LLC",1895,2025-09-30,118
"NewEdge Wealth, LLC",1877,2025-09-30,-149
"Virtus Investment Advisers, Inc.",1876,2025-09-30,1876
