date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,TRGP,USD,0001389170,2025-02-20,2025-02-20 14:15:42,2024,FY,1553500000,1423000000,367000000,63200000,38700000,-75000000,33500000,40700000,39500000,204300000,3649700000,-2965800000,-57400000,0,0,1900000,-3021300000,1159800000,0,-754700000,-615500000,-402400000,-612800000,0,15600000,157300000,141700000,3649700000,-2965800000,683900000,https://www.sec.gov/Archives/edgar/data/1389170/000095017025023983/0000950170-25-023983-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000095017025023983/trgp-20241231.htm
2023-12-31,TRGP,USD,0001389170,2024-02-15,2024-02-15 16:01:08,2023,FY,1579300000,1329600000,349600000,62400000,139200000,-20600000,36000000,68200000,55600000,-248500000,3211600000,-2385400000,-19100000,0,0,3700000,-2400800000,1336100000,0,-373700000,-427300000,-1423200000,-888100000,0,-77300000,141700000,219000000,3211600000,-2385400000,826200000,https://www.sec.gov/Archives/edgar/data/1389170/000095017024015841/0000950170-24-015841-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000095017024015841/trgp-20231231.htm
2022-12-31,TRGP,USD,0001389170,2023-02-22,2023-02-22 16:49:32,2022,FY,1531400000,1096000000,125100000,57500000,-364000000,219700000,-236200000,-383000000,35500000,-65200000,2380800000,-1334300000,-2836800000,0,0,21400000,-4149700000,4697200000,0,-1190000000,-379700000,-1298100000,1829400000,0,60500000,219000000,158500000,2380800000,-1334300000,1046500000,https://www.sec.gov/Archives/edgar/data/1389170/000095017023003797/0000950170-23-003797-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000095017023003797/trgp-20221231.htm
2021-12-31,TRGP,USD,0001389170,2022-02-24,2022-02-24 11:57:41,2021,FY,422100000,870600000,12100000,59200000,219500000,-392400000,40600000,565400000,5900000,719400000,2302900000,-505100000,19600000,0,0,12300000,-473200000,-1179500000,0,-53200000,-187500000,-493800000,-1914000000,0,-84300000,158500000,242800000,2302900000,-505100000,1797800000,https://www.sec.gov/Archives/edgar/data/1389170/000156459022006563/0001564590-22-006563-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459022006563/trgp-10k_20211231.htm
2020-12-31,TRGP,USD,0001389170,2021-02-18,2021-02-18 15:38:23,2020,FY,-1325000000,865100000,-232700000,66200000,59300000,-25600000,-27700000,105700000,6900000,2311600000,1744500000,-951600000,209200000,0,0,4300000,-738100000,-23000000,0,-268200000,-395900000,-407600000,-1094700000,0,-88300000,242800000,331100000,1744500000,-951600000,792900000,https://www.sec.gov/Archives/edgar/data/1389170/000156459021006640/0001564590-21-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459021006640/trgp-10k_20201231.htm
2019-12-31,TRGP,USD,0001389170,2020-02-20,2020-02-20 17:10:37,2019,FY,41200000,971600000,-87900000,60300000,11100000,-24700000,-45000000,35000000,45800000,393500000,1389800000,-2877800000,-178200000,0,0,-15900000,-3071900000,1129100000,0,-13900000,-964800000,1630700000,1781100000,0,99000000,331100000,232100000,1389800000,-2877800000,-1488000000,https://www.sec.gov/Archives/edgar/data/1389170/000156459020005592/0001564590-20-005592-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459020005592/trgp-10k_20191231.htm
2018-12-31,TRGP,USD,0001389170,2019-03-01,2019-03-01 13:01:11,2018,FY,60400000,815900000,5500000,56300000,37100000,-6200000,-13900000,31600000,25600000,168800000,1144000000,-3114800000,-19600000,0,0,-12500000,-3146900000,1610000000,689000000,-4000000,-908300000,722400000,2097800000,0,94900000,232100000,137200000,1144000000,-3114800000,-1970800000,https://www.sec.gov/Archives/edgar/data/1389170/000156459019005727/0001564590-19-005727-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459019005727/trgp-10k_20181231.htm
2017-12-31,TRGP,USD,0001389170,2018-02-16,2018-02-16 16:20:34,2017,FY,104200000,809500000,-392700000,42300000,6900000,-20100000,-73200000,100200000,0,369300000,939500000,-1297500000,-577400000,0,0,-17800000,-1892700000,156900000,1660400000,0,-843200000,54100000,1016900000,0,63700000,137200000,73500000,939500000,-1297500000,-358000000,https://www.sec.gov/Archives/edgar/data/1389170/000156459018002330/0001564590-18-002330-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459018002330/trgp-10k_20171231.htm
2016-12-31,TRGP,USD,0001389170,2017-02-21,2017-02-17 19:01:59,2016,FY,-159100000,757700000,-37800000,29700000,-62700000,-222900000,-15900000,176100000,0,309600000,837400000,-562100000,4500000,0,0,-1000000,-558600000,-1104800000,577300000,0,-565900000,-95900000,-345500000,0,-66700000,73500000,140200000,837400000,-562100000,275300000,https://www.sec.gov/Archives/edgar/data/1389170/000156459017001810/0001564590-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459017001810/trgp-10k_20161231.htm
2015-12-31,TRGP,USD,0001389170,2016-02-29,2016-02-29 17:38:18,2015,FY,-151400000,644500000,24600000,25000000,91100000,235900000,41400000,-186200000,0,400900000,1034700000,-817200000,-1584900000,0,0,2500000,-2399600000,1323900000,780400000,0,-179000000,-790000000,1424100000,0,59200000,140200000,81000000,1034700000,-817200000,217500000,https://www.sec.gov/Archives/edgar/data/1389170/000114036116055579/0001140361-16-055579-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036116055579/form10k.htm
