date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,paymentDate,dividend,recordDate
2026-01-05,50.31,50.85,49.63,49.735,49.735,8331848,8331848,-0.575,-1.14291,50.07,"January 05, 26",-0.0114291,,,,,
2026-01-02,49.97,50.95,49.72,50.83,50.83,5495965,5495965,0.86,1.72,50.3675,"January 02, 26",0.0172,,,,,
2025-12-31,50.31,50.48,49.85,50.01,50.01,4267727,4267727,-0.3,-0.5963,50.1625,"December 31, 25",-0.005963,,,,,
2025-12-30,50.62,50.74,50.24,50.36,50.36,4752073,4752073,-0.26,-0.51363,50.49,"December 30, 25",-0.0051363,,,,,
2025-12-29,51.46,51.61,50.49,50.81,50.81,5349537,5349537,-0.65,-1.26,51.0925,"December 29, 25",-0.0126,,,,,
2025-12-26,51.69,51.87,51.23,51.39,51.39,3161549,3161549,-0.3,-0.58038,51.545,"December 26, 25",-0.0058038,,,,,
2025-12-24,51,51.68,51,51.65,51.65,1697400,1697400,0.65,1.27,51.3325,"December 24, 25",0.0127,,,,,
2025-12-23,51.75,51.84,50.51,51.08,51.08,4502235,4502235,-0.67,-1.29,51.295,"December 23, 25",-0.0129,,,,,
2025-12-22,51.16,51.8,51.15,51.72,51.72,3529237,3529237,0.56,1.09,51.4575,"December 22, 25",0.0109,,,,,
2025-12-19,52.16,52.26,51.14,51.4,51.4,8307725,8307725,-0.76,-1.46,51.74,"December 19, 25",-0.0146,,,,,
2025-12-18,53.46,53.64,52.1,52.33,52.33,6025500,6025500,-1.13,-2.11,52.8825,"December 18, 25",-0.0211,,,,,
2025-12-17,52.59,53.64,52.53,53.49,53.49,5481902,5481902,0.9,1.71,53.0625,"December 17, 25",0.0171,,,,,
2025-12-16,53.02,53.14,52.3,52.64,52.64,3952001,3952001,-0.38,-0.71671,52.775,"December 16, 25",-0.0071671,,,,,
2025-12-15,52.15,53,51.91,52.93,52.93,5097265,5097265,0.78,1.5,52.4975,"December 15, 25",0.015,,,,,
2025-12-12,52.15,52.38,51.81,51.97,51.97,4515128,4515128,-0.18,-0.34516,52.0775,"December 12, 25",-0.0034516,,,,,
2025-12-11,52.76,53.73,51.55,51.81,51.81,5803611,5803611,-0.95,-1.8,52.4625,"December 11, 25",-0.018,,,,,
2025-12-10,52.54,53.15,52.4,52.86,52.86,6028519,6028519,0.32,0.60906,52.7375,"December 10, 25",0.0060906,,,,,
2025-12-09,53.18,53.79,52.26,52.35,52.35,5130860,5130860,-0.83,-1.56,52.895,"December 09, 25",-0.0156,,,,,
2025-12-08,54.01,54.19,53.24,53.34,53.34,5690929,5690929,-0.67,-1.24,53.695,"December 08, 25",-0.0124,,,,,
2025-12-05,54.45,54.6,53.96,54.08,54.08,3634930,3634930,-0.37,-0.67952,54.2725,"December 05, 25",-0.0067952,,,,,
2025-12-04,54.16,54.58,53.43,54.38,54.38,5061632,5061632,0.22,0.4062,54.1375,"December 04, 25",0.004062,,,,,
2025-12-03,53.58,54.82,53.49,54.07,54.07,5625104,5625104,0.49,0.91452,53.99,"December 03, 25",0.0091452,,,,,
2025-12-02,53.81,53.81,52.96,53.22,53.22,4434187,4434187,-0.59,-1.1,53.45,"December 02, 25",-0.011,,,,,
2025-12-01,54.37,54.94,53.52,53.66,53.66,5810230,5810230,-0.71,-1.31,54.1225,"December 01, 25",-0.0131,,,,,
2025-11-28,54.67,54.86,54.14,54.78,54.78,2111700,2111700,0.11,0.20121,54.6125,"November 28, 25",0.0020121,,,,,
2025-11-26,54.27,55.03,54.2,54.63,54.63,3594967,3594967,0.36,0.66335,54.5325,"November 26, 25",0.0066335,,,,,
2025-11-25,53.11,54.88,53.01,54.42,54.42,5930537,5930537,1.31,2.47,53.855,"November 25, 25",0.0247,,,,,
2025-11-24,53.57,54.09,52.58,53.03,53.03,16174226,16174226,-0.54,-1.01,53.3175,"November 24, 25",-0.0101,2025-11-05,0.23,2025-12-09,0.23,2025-11-24
2025-11-21,52.66,53.97,52.44,52.92,52.69,5548648,5548648,0.26,0.49373,52.9975,"November 21, 25",0.0049373,,,,,
2025-11-20,52.57,53.37,52.25,52.64,52.41,4282924,4282924,0.07,0.13316,52.7075,"November 20, 25",0.0013316,,,,,
2025-11-19,53.56,53.78,52.09,52.54,52.31,5590202,5590202,-1.02,-1.9,52.9925,"November 19, 25",-0.019,,,,,
2025-11-18,52.85,53.86,52.02,53.53,53.3,7977400,7977400,0.68,1.29,53.065,"November 18, 25",0.0129,,,,,
2025-11-17,55.23,55.75,53.37,53.68,53.45,5655334,5655334,-1.55,-2.81,54.5075,"November 17, 25",-0.0281,,,,,
2025-11-14,55.99,56.37,55.35,55.42,55.18,4955300,4955300,-0.57,-1.02,55.7825,"November 14, 25",-0.0102,,,,,
2025-11-13,55.91,56.94,55.8,56.18,55.94,4264400,4264400,0.27,0.48292,56.2075,"November 13, 25",0.0048292,,,,,
2025-11-12,55.88,56.12,54.93,55.98,55.74,4602046,4602046,0.1,0.17895,55.7275,"November 12, 25",0.0017895,,,,,
2025-11-11,55.44,56.94,55.44,55.94,55.7,7143371,7143371,0.505,0.90188,55.94,"November 11, 25",0.0090188,,,,,
2025-11-10,54.21,55.96,53.92,55.46,55.22,6493125,6493125,1.25,2.31,54.8875,"November 10, 25",0.0231,,,,,
2025-11-07,53.22,54.3,53.15,54.27,54.03,3585800,3585800,1.05,1.97,53.735,"November 07, 25",0.0197,,,,,
2025-11-06,53.37,53.72,52.88,53.1,52.87,4611900,4611900,-0.27,-0.5059,53.2675,"November 06, 25",-0.005059,,,,,
2025-11-05,53.21,54.36,53.12,53.92,53.69,5992623,5992623,0.71,1.33,53.6525,"November 05, 25",0.0133,,,,,
2025-11-04,52.49,53.27,52.07,53.05,52.82,4674352,4674352,0.56,1.07,52.72,"November 04, 25",0.0107,,,,,
2025-11-03,54.21,54.21,51.9,52.49,52.26,7643329,7643329,-1.72,-3.17,53.2025,"November 03, 25",-0.0317,,,,,
2025-10-31,53.92,54.26,53.44,54.11,53.87,3834838,3834838,0.19,0.35237,53.9325,"October 31, 25",0.0035237,,,,,
2025-10-30,54.22,54.93,53.52,54.12,53.88,4235273,4235273,-0.1,-0.18443,54.1975,"October 30, 25",-0.0018443,,,,,
2025-10-29,55.18,55.28,53.98,54.24,54,4040952,4040952,-0.94,-1.7,54.67,"October 29, 25",-0.017,,,,,
2025-10-28,55.97,56.17,55.34,55.49,55.25,4042751,4042751,-0.48,-0.8576,55.7425,"October 28, 25",-0.008576,,,,,
2025-10-27,56.27,56.54,55.75,56.37,56.13,4952885,4952885,0.1,0.17771,56.2325,"October 27, 25",0.0017771,,,,,
2025-10-24,57.5,58.2,55.99,56.28,56.04,6354300,6354300,-1.22,-2.12,56.9925,"October 24, 25",-0.0212,,,,,
2025-10-23,53.2,58.21,53.15,56.35,56.1,14800117,14800117,3.15,5.92,55.2275,"October 23, 25",0.0592,,,,,
2025-10-22,54.74,55.2,54.46,54.83,54.59,5468800,5468800,0.09,0.16441,54.8075,"October 22, 25",0.0016441,,,,,
2025-10-21,55,55.56,54.64,54.77,54.53,4686243,4686243,-0.23,-0.41818,54.9925,"October 21, 25",-0.0041818,,,,,
2025-10-20,55.46,55.6,54.65,55.29,55.05,4503200,4503200,-0.17,-0.30653,55.25,"October 20, 25",-0.0030653,,,,,
2025-10-17,55.39,55.61,54.9,55.2,54.96,3386316,3386316,-0.19,-0.34302,55.275,"October 17, 25",-0.0034302,,,,,
2025-10-16,56,56.13,54.89,55.16,54.92,3952704,3952704,-0.84,-1.5,55.545,"October 16, 25",-0.015,,,,,
2025-10-15,55.54,56.58,55.5,55.81,55.57,6635500,6635500,0.27,0.48614,55.8575,"October 15, 25",0.0048614,,,,,
2025-10-14,54.64,55.72,54.45,55.48,55.24,3767426,3767426,0.84,1.54,55.0725,"October 14, 25",0.0154,,,,,
2025-10-13,54.37,55.27,54.3,54.91,54.67,5175600,5175600,0.54,0.99319,54.7125,"October 13, 25",0.0099319,,,,,
2025-10-10,54.46,54.73,53.5,54.24,54,6007053,6007053,-0.22,-0.40397,54.2325,"October 10, 25",-0.0040397,,,,,
2025-10-09,55.34,56.15,53.71,54.22,53.98,6383410,6383410,-1.12,-2.02,54.855,"October 09, 25",-0.0202,,,,,
2025-10-08,53.69,54.35,53.27,53.92,53.69,4646400,4646400,0.23,0.42839,53.8075,"October 08, 25",0.0042839,,,,,
2025-10-07,54.59,54.78,53.26,53.71,53.48,4918810,4918810,-0.875,-1.61,54.085,"October 07, 25",-0.0161,,,,,
2025-10-06,55.81,56.06,54.66,54.69,54.45,3802362,3802362,-1.12,-2.01,55.305,"October 06, 25",-0.0201,,,,,
2025-10-03,56.1,56.28,55.43,55.83,55.59,3016049,3016049,-0.27,-0.48128,55.91,"October 03, 25",-0.0048128,,,,,
2025-10-02,55.71,56.49,55.52,56.23,55.99,3875400,3875400,0.52,0.93341,55.9875,"October 02, 25",0.0093341,,,,,
2025-10-01,56.92,57.49,55.89,55.92,55.68,5747538,5747538,-1,-1.76,56.555,"October 01, 25",-0.0176,,,,,
2025-09-30,56.69,57.08,56.03,56.87,56.62,5084689,5084689,0.18,0.31752,56.6675,"September 30, 25",0.0031752,,,,,
2025-09-29,56.66,56.79,55.98,56.69,56.44,3572103,3572103,0.03,0.05294741,56.53,"September 29, 25",0.0005294741,,,,,
2025-09-26,56.5,56.81,56.18,56.52,56.27,2999500,2999500,0.02,0.03539823,56.5025,"September 26, 25",0.0003539823,,,,,
