symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
TSLA,2024-12-31,403.84,3197000000,1291076480000,16139000000,13623000000,1288560480000
TSLA,2023-12-31,248.48,3173500000,788551280000,16398000000,9573000000,781726280000
TSLA,2022-12-31,123.18,3130000000,385553400000,16253000000,5748000000,375048400000
TSLA,2021-12-31,352.26,2959000000,1042337340000,17576000000,8873000000,1033634340000
TSLA,2020-12-31,235.22,2799000000,658380780000,19384000000,13279000000,652275780000
TSLA,2019-12-31,27.89,2655000000,74047950000,6268000000,14603000000,82382950000
TSLA,2018-12-31,22.19,2559000000,56784210000,3686000000,13828000000,66926210000
TSLA,2017-12-31,20.76,2486370000,51617041200,3367914000,12130863000,60379990200
TSLA,2016-12-31,14.25,2163180000,30825315000,3393216000,8801990000,36234089000
TSLA,2015-12-31,16,1923030000,30768480000,1196908000,2897694000,32469266000
TSLA,2014-12-31,14.83,1868085000,27703700550,1905713000,2530909000,28328896550
TSLA,2013-12-31,10.03,1791315000,17966889450,845889000,606878000,17727878450
TSLA,2012-12-31,2.26,1610235000,3639131099,201890000,466666000,3903907099
TSLA,2011-12-31,1.9,1505832225,2861081227,255266000,280148000,2885963227
TSLA,2010-12-31,1.78,760774530,1354178663,99558000,72603000,1327223663
TSLA,2009-12-31,1.59,2044950000,3251470500,69627000,1090000,3182933500
TSLA,2008-12-31,1.59,2044950000,3251470500,9277000,55757000,3297950500
TSLA,2007-12-31,1.59,2044950000,3251470500,17211000,98000,3234357500
TSLA,2006-12-31,1.59,2044950000,3251470500,0,0,3251470500
