symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
TTWO,2030-03-31,9349870961,10862597197,9937666667,-606979644,-522451605,-555296423,-2851214858,-2454154427,-2608439063,1897607738,2304400061,2055674011,3503516624,4070354555,3723771217,11.74,13.16048,10.83728,9,8
TTWO,2029-03-31,9297926763,10802248887,9882456907,-603607504,-519549070,-552211415,-2835374631,-2440520112,-2593947603,1990809967,2417582950,2156640174,3484052466,4047741269,3703083412,12.31662,13.80687,11.36956,7,6
TTWO,2028-03-31,9121173579,9204759793,9162966686,-514343091,-509672465,-512007778,-2416065643,-2394125931,-2405095787,991167563,2705774789,1222454750,3417820780,3449141607,3433481194,10.64043,15.45274,5.66058,14,14
TTWO,2027-03-31,8206240659,10398594168,8990660722,-581052106,-458547890,-502379674,-2729423328,-2153974309,-2359868912,762474705,2022749958,1392612331.5,3074983675,3896486666,3368915938,7.85814,11.55197,4.35451,18,17
TTWO,2026-03-31,6448092649,6548063078,6478083778,-365892329,-360306187,-361982030,-1718735805,-1692495563,-1700367636,559017259,619165860,589091559.5,2416183055,2453643258,2427421116,3.3138,3.53607,3.19256,18,17
TTWO,2025-03-31,5559303957,5649292690,5609297698,-315670884,-310642498,-313436046,-1482826525,-1459206279,-1472328638,411609323,457149331,434379327,2083142528,2116862461,2101875824,2.51076,2.61079,2.35071,18,14
TTWO,2024-03-31,5293651099,5323785735,5303695978,-297482223,-295798362,-296359649,-1397387449,-1389477709,-1392114289,391313482,405479072,398396277,1983598993,1994890828,1987362938,2.28536,2.3157,2.2348,18,15
TTWO,2023-03-30,5082378618,5382259539,5232319079,568690518,853035776,710863147,393491761,590237644,491864703,-1472040002,-981359997,-1226700000,619118027,928677041,773897534,3.57754,4.0104,3.30245,9,10
TTWO,2022-03-30,3234079173,3757324514,3437397458,492544508,738816762,615680635,337559877,506339816,421949847,294916103,442374153,368645129,546674462,820011692,683343078,4.96268,5.56314,4.58108,12,7
TTWO,2021-03-30,3234624288,3757957823,3437976843,431153267,646729902,538941585,275649248,413473873,344561561,274456701,411685051,343070876,434386389,651579584,542982987,6.26574,7.02386,5.78394,9,6
TTWO,2020-03-30,2684244494,3118531458,2852996079,919264559,1378896838,1149080699,507833508,761750262,634791885,466080308,699120462,582600385,1302268010,1953402015,1627835013,4.71347,5.28377,4.35103,11,10
TTWO,2019-03-30,2771916685,3220388231,2946179996,365594446,548391670,456993058,182592865,273889298,228241082,283939471,425909207,354924339,477519424,716279137,596899281,4.80246,5.38353,4.43318,3,4
TTWO,2018-03-30,1903859828,2211887470,2023550625,244262691,366394038,305328365,104842679,163825980,134334330,121032184,183134418,152083302,306279219,459418831,382849026,3.26202,3.65671,3.01119,4,3
TTWO,2017-03-30,1733622165,2014106863,1842610556,147220377,220830565,184025472,-21830579,27037142,2603282,-26477310,21110990,-2683160,303859208,455788812,379824010,1.98429,2.22438,1.83171,8,7
TTWO,2016-03-30,1433899135,1665891304,1524044706,-99036323,739185,-49148569,-240873996,-111866595,-176370296,-241825454,-121077970,-181451713,285591822,428387733,356989778,1.75866,1.97145,1.62343,6,7
TTWO,2015-03-30,1605564163,1865330211,1706501875,19385072,89717462,54551268,-107753231,-38166171,-72959701,-123117836,-61504517,-92311177,316581803,474872703,395727254,1.75342,1.96557,1.61859,6,5
TTWO,2014-03-30,1610175271,2415262907,2012719089,465406990,745925336,605666163,240454113,483381576,361917845,199038235,437984229,318511232,257463673,386195510,321829592,1.655,2.23,1.08,9,9
TTWO,2013-03-30,878876679,1318315019,1098595849,140185345,233629836,186907591,-119317294,-38548912,-78933103,-164463219,-73519121,-118991170,366532631,549798948,458165790,-1,-0.64,-1.36,13,13
TTWO,2012-03-30,1784673504,2677010258,2230841882,98691709,178633056,138662383,-81909516,-43455271,-62682394,-110869666,-66145691,-88507679,300039392,450059087,375049240,-0.875,-0.57,-1.18,20,20
TTWO,2011-03-30,509989151,764983728,637486440,398771202,601543921,500157562,89892416,171762801,130827609,-1971720,44200341,21114311,489778856,734668284,612223570,-0.715,-0.43,-1,16,16
TTWO,2010-03-30,1077838118,1616757179,1347297649,-22981031,24254682,636826,-181196013,-120797341,-150996677,-187299708,-124866472,-156083090,263738954,395608431,329673693,-1.75,-1.38,-2.12,14,14
TTWO,2009-03-30,1232820364,1849230546,1541025455,154438574,241093723,197766149,8502820,72155614,40329218,-7381192,56806605,24712707,257745957,386618938,322182448,0.515,0.86,0.17,19,19
TTWO,2008-03-30,2125568989,3188353485,2656961237,27451038,70615547,49033293,-193001193,-124512262,-158756728,-218051789,-145367859,-181709824,330198956,495298434,412748695,-2.66,-2.13,-3.19,9,9
TTWO,2005-03-30,910697658,1366046487,1138372073,111483109,192722319,152102715,105606520,194541907,150074214,53467525,103435560,78451543,163451296,245176944,204314120,1.365,1.74,0.99,11,11
TTWO,2004-03-30,796055866,1194083799,995069833,144511350,216767027,180639189,125987311,188980966,157484139,75835214,113752821,94794018,146591207,219886812,183239010,1.45,1.74,1.16,12,12
TTWO,2003-03-30,603041589,904562385,753801987,98493228,147739842,123116535,89149871,133724807,111437339,51965639,77948458,64957049,98725661,148088492,123407077,1.055,1.27,0.84,17,17
TTWO,2001-03-30,278846604,418269908,348558256,34733079,52099619,43416349,31849939,47774910,39812425,18141073,27211611,22676342,55347424,83021137,69184281,0.49,0.58,0.4,7,7
