symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
UAL,2024-12-31,97.1,333200000,32353720000,8769000000,33633000000,57217720000
UAL,2023-12-31,41.26,331812000,13690563120,6058000000,36739000000,44371563120
UAL,2022-12-31,37.7,330100000,12444770000,7166000000,36433000000,41711770000
UAL,2021-12-31,43.78,321900000,14092782000,18283000000,39366000000,35175782000
UAL,2020-12-31,43.25,311845232,13487306284,11269000000,32751000000,34969306284
UAL,2019-12-31,88.09,251216381,22129651002,2762000000,20450000000,39817651002
UAL,2018-12-31,83.73,276662320,23164936053,1694000000,19787000000,41257936053
UAL,2017-12-31,67.4,303541076,20458668522,1482000000,14392000000,33368668522
UAL,2016-12-31,72.88,330300000,24072264000,2179000000,11705000000,33598264000
UAL,2015-12-31,57.3,376000000,21544800000,3006000000,11759000000,30297800000
UAL,2014-12-31,66.89,371000000,24816190000,2002000000,12115000000,34929190000
UAL,2013-12-31,37.83,348000000,13164840000,3220000000,12409000000,22353840000
UAL,2012-12-31,23.38,331000000,7738780000,4770000000,13166000000,16134780000
UAL,2011-12-31,18.87,329000000,6208230000,6246000000,12735000000,12697230000
UAL,2010-12-31,23.82,207000000,4930740000,8069000000,15133000000,11994740000
UAL,2009-12-31,12.91,150700000,1945537000,3042000000,8543000000,7446537000
UAL,2008-12-31,11.02,126800000,1397336000,2039000000,8149000000,7507336000
UAL,2007-12-31,33.21,117400000,3899189375,1259000000,8449000000,11089189375
UAL,2006-12-31,40.98,116217733,4762664275,3832000000,10600000000,11530664275
UAL,2005-12-31,31.57,116200000,3668856444,1761000000,1433000000,3340856444
UAL,2004-12-31,31.57,113500000,3583607628,1223000000,1204000000,3564607628
UAL,2003-12-31,31.57,102631579,3240452065,1640000000,852000000,2452452065
UAL,2002-12-31,31.57,56169251,1773467456,886000000,700000000,1587467456
UAL,2001-12-31,31.57,53308183,1683133138,1688000000,10152000000,10147133138
UAL,2000-12-31,31.57,61082474,1928595769,1679000000,7388000000,7637595769
UAL,1999-12-31,31.57,49792290,1572123614,310000000,5330000000,6592123614
UAL,1998-12-31,31.57,64594807,2039492890,390000000,5429000000,7078492890
UAL,1997-12-31,31.57,63991908,2020457177,295000000,4177000000,5902457177
UAL,1996-12-31,31.57,70409511,2223084235,229000000,3283000000,5277084235
UAL,1995-12-31,31.57,50500756,1594492462,194000000,4102000000,5502492462
UAL,1994-12-31,31.57,49739460,1570455579,500000000,4346000000,5416455579
UAL,1993-12-31,31.57,95000000,2999495371,437000000,4050000000,6612495371
UAL,1992-12-31,31.57,95000000,2999495371,522000000,4233000000,6710495371
UAL,1991-12-31,31.57,93000000,2936348100,449000000,2873000000,5360348100
UAL,1990-12-31,31.57,87000000,2746906287,221000000,1686000000,4211906287
UAL,1989-12-31,31.57,87000000,2746906287,465000000,1782000000,4063906287
UAL,1988-12-31,31.57,119000000,3757262623,1087000000,2509000000,5179262623
UAL,1987-12-31,31.57,223000000,7040920714,2208000000,2725000000,7557920714
UAL,1986-12-31,31.57,181000000,5714828024,102000000,1865000000,7477828024
UAL,1985-12-31,31.57,139000000,4388735333,751000000,3480000000,7117735333
UAL,1984-12-31,31.57,163000000,5146502585,442000000,1536000000,6240502585
UAL,1983-12-31,31.57,129000000,4072998978,292000000,1700000000,5480998978
