symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
VICI,2024-12-31,29.21,1046740000,30575275400,524615000,17650085000,47700745400
VICI,2023-12-31,31.88,1014513195,32342680656,522574000,17628522000,49448628656
VICI,2022-12-31,32.4,877508388,28431271771,208933000,14568973000,42791311771
VICI,2021-12-31,30.11,564467362,16996112269,739614000,4991844000,21248342269
VICI,2020-12-31,25.5,506140642,12906586371,315993000,7067415000,19658008371
VICI,2019-12-31,25.55,435071096,11116066502,1101893000,4817989000,14832162502
VICI,2018-12-31,18.78,367226395,6896511698,577883000,4122264000,10440892698
VICI,2017-12-31,20.5,327541414,6714598987,183646000,5085756000,11616708987
VICI,2016-12-31,18.55,360778938,6692449299,920000,14000,6691543299
VICI,2015-12-31,18.55,360778938,6692449299,351000,65000,6692163299
VICI,2014-12-31,18.55,360778938,6692449299,0,0,6692449299
