symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
VST,2024-12-31,137.87,344789000,47536059430,1188000000,17364000000,63712059430
VST,2023-12-31,38.52,369771359,14243592748,3485000000,14684000000,25442592748
VST,2022-12-31,23.2,422447074,9800772116,455000000,13336000000,22681772116
VST,2021-12-31,22.77,482214544,10980025166,1325000000,11009000000,20664025166
VST,2020-12-31,19.66,488668263,9607218050,406000000,9884000000,19085218050
VST,2019-12-31,22.99,494146268,11360422701,300000000,11312000000,22372422701
VST,2018-12-31,22.89,504954371,11558405552,636000000,11404000000,22326405552
VST,2017-12-31,18.32,427761460,7836589947,1487000000,4423000000,10772589947
VST,2016-12-31,15.5,427561170,6627198135,843000000,4623000000,10407198135
VST,2015-12-31,15.5,427500000,6626250000,1400000000,1444000000,6670250000
VST,2014-12-31,15.5,427500000,6626250000,1843000000,33887000000,38670250000
VST,2013-12-31,15.5,427500000,6626250000,746000000,32142000000,38022250000
VST,2012-12-31,15.5,427500000,6626250000,1175000000,0,5451250000
