date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,WAB,USD,0000943452,2025-02-12,2025-02-12 15:29:23,2024,FY,1067000000,459000000,51000000,66000000,187000000,-34000000,-117000000,70000000,268000000,4000000,1834000000,-207000000,-149000000,0,0,13000000,-343000000,-64000000,0,-1097000000,-140000000,-70000000,-1371000000,-25000000,95000000,715000000,620000000,1834000000,-207000000,1627000000,https://www.sec.gov/Archives/edgar/data/943452/000162828025005100/0001628280-25-005100-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828025005100/wab-20241231.htm
2023-12-31,WAB,USD,0000943452,2024-02-14,2024-02-14 16:02:42,2023,FY,825000000,477000000,-58000000,47000000,-97000000,-195000000,-58000000,-58000000,214000000,7000000,1201000000,-186000000,-308000000,0,0,2000000,-492000000,42000000,0,-409000000,-123000000,-143000000,-633000000,3000000,79000000,620000000,541000000,1201000000,-186000000,1015000000,https://www.sec.gov/Archives/edgar/data/943452/000162828024004774/0001628280-24-004774-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828024004774/wab-20231231.htm
2022-12-31,WAB,USD,0000943452,2023-02-15,2023-02-15 13:38:58,2022,FY,641000000,426000000,36000000,41000000,-109000000,-52000000,-368000000,306000000,5000000,3000000,1038000000,-149000000,-89000000,0,0,3000000,-235000000,-30000000,0,-473000000,-111000000,-94000000,-708000000,-27000000,68000000,541000000,473000000,1038000000,-149000000,889000000,https://www.sec.gov/Archives/edgar/data/943452/000162828023003675/0001628280-23-003675-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828023003675/wab-20221231.htm
2021-12-31,WAB,USD,0000943452,2022-02-17,2022-02-17 13:49:07,2021,FY,565000000,441000000,88000000,46000000,-63000000,-76000000,-41000000,109000000,-55000000,-4000000,1073000000,-130000000,-435000000,0,0,25000000,-540000000,-161000000,0,-300000000,-92000000,-100000000,-653000000,-6000000,-126000000,473000000,599000000,1073000000,-130000000,943000000,https://www.sec.gov/Archives/edgar/data/943452/000162828022002997/0001628280-22-002997-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828022002997/wab-20211231.htm
2020-12-31,WAB,USD,0000943452,2021-02-19,2021-02-19 15:05:40,2020,FY,412300000,385100000,29400000,20000000,-33200000,315000000,180800000,-269000000,-260000000,-29400000,783700000,-136400000,-40300000,0,0,21300000,-155400000,-199300000,0,-207000000,-92500000,-120200000,-619000000,-14800000,-5500000,598700000,604200000,783700000,-136400000,647300000,https://www.sec.gov/Archives/edgar/data/943452/000162828021002557/0001628280-21-002557-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828021002557/wab-20201231.htm
2019-12-31,WAB,USD,0000943452,2020-02-24,2020-02-24 15:43:54,2019,FY,326500000,319200000,-27300000,50000000,331200000,-6300000,255900000,-144300000,225900000,15900000,1015500000,-185300000,-2996400000,0,0,3900000,-3177800000,558000000,800000,0,-81700000,-15600000,461500000,-37300000,-1738100000,604200000,2342300000,1015500000,-185300000,830200000,https://www.sec.gov/Archives/edgar/data/943452/000162828020002098/0001628280-20-002098-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828020002098/wab-20191231.htm
2018-12-31,WAB,USD,0000943452,2019-02-27,2019-02-27 13:55:48,2018,FY,291703000,109297000,-5299000,25315000,-107243000,-54611000,-108883000,48763000,7488000,898000,314671000,-93305000,-51153000,0,0,-2829000,-147287000,2026700000,9962000,0,-46277000,-2300000,1978111000,-36542000,2108953000,2342354000,233401000,314671000,-93305000,221366000,https://www.sec.gov/Archives/edgar/data/943452/000162828019002095/0001628280-19-002095-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828019002095/wab1231201810k.htm
2017-12-31,WAB,USD,0000943452,2018-02-26,2018-02-26 16:30:27,2017,FY,262290000,103248000,-67423000,21287000,-132498000,-68676000,-8955000,-91722000,36855000,1907000,188811000,-89466000,-945299000,0,0,1291000,-1033474000,-52800000,4428000,-6800000,-42218000,4400000,-97431000,32263000,-909831000,233401000,1143232000,188811000,-89466000,99345000,https://www.sec.gov/Archives/edgar/data/943452/000162828018002245/0001628280-18-002245-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828018002245/wab1231201710k.htm
2016-12-31,WAB,USD,0000943452,2017-02-28,2017-02-28 09:55:44,2016,FY,313404000,69795000,-10228000,20813000,56514000,19728000,45340000,-18932000,10378000,-991000,449307000,-50216000,-183113000,0,0,-541736000,-775065000,772252000,0,-212176000,-32430000,-4675000,524194000,-26143000,172293000,398484000,226191000,449307000,-50216000,399091000,https://www.sec.gov/Archives/edgar/data/943452/000162828017001863/0001628280-17-001863-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828017001863/wab1231201610k.htm
2015-12-31,WAB,USD,0000943452,2016-02-19,2016-02-19 14:03:28,2015,FY,398628000,64734000,4981000,26019000,-44105000,21500000,20147000,-76650000,-9102000,-1997000,448260000,-49428000,-129550000,0,0,-201158000,-380136000,174720000,0,-387787000,-26963000,-8884000,-248914000,-18868000,-199658000,226191000,425849000,448260000,-49428000,398832000,https://www.sec.gov/Archives/edgar/data/943452/000162828016011421/0001628280-16-011421-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828016011421/wab1231201510k.htm
