date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,WRB,2024,FY,0.4486166689285099,0.11073411612340034,0.1321691961017922,-0.003532124212075392,0,-0.09863747420823596,0,0.12115191317774242,0.05575697176927438,0,0.05575697176927438,0.09921535091862599,0,-0.09928800361886501,0,0.09045889046601374,0.09045889046601374,0.05939502252980208,-1,0.1253445554971068,0,-0.05561410869053588,0,0.0013834837071441688,0,0.5272151898734178,-0.009173174576110506,0,0.0816288003764734,0.0816288003764734,0,0.11087512005353183,-0.009106344738496367,0,0.12603966155678994,0.09045889046601374,0.10324181993444176,-0.0005189201816326179,-0.41441856188896237
2023-12-31,WRB,2023,FY,-0.059441292831387396,0.14763202415047447,0.13182404014790525,0.11359576022923223,0,-0.12630375166071434,0,0.008437452744593982,-0.05882194394881111,0,-0.05882194394881111,0.11733731294740823,0,-0.11374625354950284,0,0.09866531502713483,0.09866531502713483,0.20651232674033845,0,0.38355167394468703,0,-0.21533503529165135,0,0.0018528890166445724,0,2.6630602782071096,-0.012752511042962046,0,0.09743646111765361,0.09743646111765361,0.5000047257639197,0.0865960601338155,0.2678697529062986,0,0.10478130003088171,0.09866531502713483,0.10585724318990955,0.0018493624334465673,0.0658559150569803
2022-12-31,WRB,2022,FY,-0.07616887094502127,0.05621865828472319,0.04478894331105891,0.14085061196789217,0,-0.06595230142085293,0,0.007976031418276044,0.09346780468252658,-1,-0.271519563953945,0.05552759648099741,0,-0.05487694355430973,0,0.05530954627712527,0.05482566612212721,-0.0799924729518691,0,0.6304347826086957,0,-0.029661621538562853,-1,-0.13323077450484655,0,-0.3333714939896966,-1.125938289954461,-1,55.15760572980904,0.06525021445223039,0.500007088679379,0.12710514041109755,-3.4850454859818054,0,0.014327497729975195,0.05482566612212721,0.0310227661119654,-0.13157791634578772,-0.18276553460230535
2021-12-31,WRB,2021,FY,-0.3387011110427312,0.17255740704264436,0.09918989144212631,0.06766588826960244,0,-0.0903449808976645,0,0.03437292143965708,0,0,0.5010256289345248,0.22926557466537204,0,-0.22232862070358084,0,0.1216314741824817,0.12214600016436586,0.3343909284621378,0,-0.48965650889007317,0,-0.16957420315528685,0,0.19877710401734247,0,-0.585636014326036,9.158295498275516,0,-1.0224522416202133,0.14147796726160394,0,0.0798662638899686,-3.5350801003667245,0,0.05422591296637099,0.12214600016436586,0.19965884212580118,0.19877710401734247,3.811271843339906
2020-12-31,WRB,2020,FY,1.3174199724531361,-0.001522604850263674,0.08728002072521003,0.11907534073016478,0,-0.09596767226785621,0,-0.038287952124068034,0,0,0,0.009831330630977964,0,-0.008528327685842524,0,0.07294120832893258,0.07294120832893258,0.18264624743973312,0,3.1257245652608434,0,-0.26216785482825666,0,0.03771686100372428,0,0.5960402786190188,-0.04327674308580519,0,0.08456633295044413,0.08456633295044413,0,0.052444464278780675,0.7583667250941512,0,0.03882557503869586,0.07294120832893258,0.00043802873212984056,0.03771686100372428,-0.7797486410881528
2019-12-31,WRB,2019,FY,0.2520884244412318,0.04219570315221523,0.05409280404736026,0.11982238678037879,0,-0.07042156766104836,0,0.01373531361378767,-0.01956229014603813,-1,-0.3876197042272332,0.038589362488501186,0,-0.03733412428439725,0,0.07094186341833461,-0.12225633749262364,0.4024529322699549,0,13.233285917496444,0,-0.4413993624400098,-1,-0.05851904934148145,1,-0.9209638957953726,-1.1595446710283364,-1,2.9334233347457084,-0.17481438868617208,0.4999787342633549,0.04944726014103899,0.49595666738495897,0,0.11715804644150787,-0.12225633749262364,0.04235068728707507,-0.05851904934148145,-0.1873040295306547
2018-12-31,WRB,2018,FY,-0.13979279746567755,-0.03688340876211088,-0.043370343527893734,0.09119873241075785,0,0.014791284790078884,0,-0.015575940987327407,-0.03301573109055855,-0.028037383177570093,-0.031152844078406686,-0.014466748878372437,0,0.01469630484596617,0,0.0245293018902081,0.020561290693024238,0.042428791690335144,0,-0.937935905358877,0,0.0033748792607850666,0.042428791690335144,0.11702739391415426,0.8570197136005107,2.8521391360472084,0.016828808932571503,0.030104111921668668,0.0010474533753873565,0.023993578646160453,0,0.08649521437908535,-8.447659065376927,0,0.00489841340709443,0.020561290693024238,0.015620232946800174,0.11702739391415426,0.27483726069127273
2017-12-31,WRB,2017,FY,0.19513256254047293,0.01933849586446278,0.02887823825517209,-0.050408408202889846,0,-0.014895373221367905,0,0.21042148400833352,0.23826230166144222,0.3048780487804878,0.2623778767664549,0.03536980988360929,0,-0.041078206237992805,0,0.04002051115770343,0.04632697270338087,0.156394279494013,0,-0.23300379198266521,0,-0.20954074546751247,0.156394279494013,0.0036351214218971356,0.029835706062183175,-0.3542663640084843,0.0351998688232745,0.03090423114346049,0.0717770421353306,0.040564663755711945,0,0.05471432857584468,0.2334617045781745,0,0.07214602608016155,0.04632697270338087,0.04809165183565056,0.0036351214218971356,-0.08632379174690184
2016-12-31,WRB,2016,FY,0.04145195781732276,0.10040348512059298,0.09703365346719275,0.08357894615414405,0,-0.0930953823553879,0,0.003469031428046315,-0.05726363582989217,-0.1276595744680851,-0.08402246745736804,0.08598615881476994,0,-0.08252432886318528,0,0.07518657591261356,0.07896329014657201,-0.051719228304976154,0,-0.7351648942847407,0,0.051719228304976154,-0.051719228304976154,0.13880649408839874,-0.2249425521098119,18.72764645426516,0.05918847799255647,0.06936294984623423,0.10424261918458526,0.07518652989533324,0,0.06764523548616315,1.83312842963807,0,0.09716045620169009,0.07896329014657201,0.0845733505468891,0.13880649408839874,0.19111242445349713
2015-12-31,WRB,2015,FY,0.13224285000467054,-0.02181482649589928,-0.014147057191302048,0.013277074996952565,0,0.008287282107851717,0,0.048557955784136006,0.01554881280474878,-0.020833333333333332,0.0014051768822081119,-0.027252548458543698,0,0.02514638935981459,0,0.0006573745512150078,0.0008864566694475211,-0.05275846082522021,0,-0.17538411487215888,0,0.05275846082522021,-0.05275846082522021,-0.11021641668570488,0.12801355103292936,-0.8181405532414824,0.018845977002070784,0.00030434299560914144,0.004921967036133329,0.0006573745512150078,0,0.07774391573526666,-1.3633778262053937,0,0.0022442534714468255,0.0008864566694475211,-0.015415579344661664,-0.11021641668570488,-0.20202498840634064
