date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,WST,USD,0000105770,2025-02-18,2025-02-18 16:44:56,2024,FY,2892700000,1890500000,1002200000,0.3464583261,69100000,0,0,338500000,0,407600000,2298100000,19600000,2900000,155400000,743800000,0.2571300169,594600000,0.2055519065,5600000,600200000,0.2074878142,107500000,492700000,0.1703253016,6.75,6.69,73000000,73700000,https://www.sec.gov/Archives/edgar/data/105770/000010577025000013/0000105770-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577025000013/wst-20241231.htm
2023-12-31,WST,USD,0000105770,2024-02-20,2024-02-20 16:44:29,2023,FY,2951100000,1818400000,1132700000,0.3838229813,68400000,0,0,353400000,0,421800000,2240200000,28000000,8800000,137300000,844100000,0.2860289384,710900000,0.2408932263,4800000,715700000,0.2425197384,122300000,593400000,0.2010775643,7.99,7.88,74300000,75300000,https://www.sec.gov/Archives/edgar/data/105770/000010577024000015/0000105770-24-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577024000015/wst-20231231.htm
2022-12-31,WST,USD,0000105770,2023-02-21,2023-02-21 16:18:23,2022,FY,2885500000,1746600000,1138900000,0.3946976261,58500000,0,0,316900000,0,375400000,2122000000,5100000,7600000,120600000,808100000,0.2800554497,763500000,0.2645988564,-62900000,700600000,0.2428002079,114700000,585900000,0.2030497314,7.88,7.73,74400000,75800000,https://www.sec.gov/Archives/edgar/data/105770/000010577023000012/0000105770-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577023000012/wst-20221231.htm
2021-12-31,WST,USD,0000105770,2022-02-22,2022-02-22 16:22:31,2021,FY,2830700000,1657300000,1173400000,0.4145264422,52800000,0,0,361900000,0,414700000,2072000000,1000000,8500000,122300000,879700000,0.3107711873,758700000,0.2680255767,10300000,769000000,0.2716642527,107200000,661800000,0.2337937613,8.9,8.67,74400000,76300000,https://www.sec.gov/Archives/edgar/data/105770/000162828022003342/0001628280-22-003342-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000162828022003342/wst-20211231.htm
2020-12-31,WST,USD,0000105770,2021-02-23,2021-02-23 16:49:23,2020,FY,2146699999,1378800000,767900000,0.3577118369,46900000,0,0,302000000,0,348900000,1727700000,1400000,8500000,109100000,518900000,0.2417198492,419000000,0.1951833047,-300000,418700000,0.1950435553,72500000,346200000,0.1612707878,4.68,4.57,73900000,75800000,https://www.sec.gov/Archives/edgar/data/105770/000010577021000008/0000105770-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577021000008/wst-20201231.htm
2019-12-31,WST,USD,0000105770,2020-02-24,2020-02-21 18:56:52,2019,FY,1843600000,1234800000,608800000,0.3302234758,38900000,0,0,272700000,0,311600000,1546400000,3800000,8000000,103400000,403200000,0.2187025385,297200000,0.1612063354,3500000,300700000,0.163104795,59000000,241700000,0.1311021914,3.27,3.21,74000000,75400000,https://www.sec.gov/Archives/edgar/data/105770/000010577020000015/0000105770-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577020000015/wst-20191231.htm
2018-12-31,WST,USD,0000105770,2019-02-28,2019-02-27 17:33:18,2018,FY,1718000000,1171700000,546300000,0.3179860303,40300000,0,0,262899999,-11699999,291500000,1463200000,2100000,8100000,104400000,353200000,0.2055878929,254800000,0.1483119907,-6500000,248300000,0.1445285215,41400000,206900000,0.1204307334,2.8,2.74,73900000,75400000,https://www.sec.gov/Archives/edgar/data/105770/000010577019000012/0000105770-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577019000012/wst10k12312018.htm
2017-12-31,WST,USD,0000105770,2018-02-26,2018-02-26 17:13:48,2017,FY,1600200000,1085400000,514799999,0.3217097857,39100000,0,0,246000000,0,285100000,1370500000,1300000,7100000,96700000,326200000,0.2038495188,229700000,0.1435445569,1900000,231600000,0.1447319085,80900000,150700000,0.094175728,2.04,1.99,73900000,75800000,https://www.sec.gov/Archives/edgar/data/105770/000010577018000006/0000105770-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577018000006/wst10k12312017.htm
2016-12-31,WST,USD,0000105770,2017-02-28,2017-02-28 12:15:34,2016,FY,1509100000,1008100000,501000000,0.3319859519,36800000,0,0,239800000,8900000,285500000,1293600000,1100000,6400000,90700000,286900000,0.1901133126,215500000,0.1428003446,-17500000,197999999,0.1312040282,54400000,143600000,0.0951560533,1.96,1.91,73300000,75000000,https://www.sec.gov/Archives/edgar/data/105770/000010577017000011/0000105770-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577017000011/wst10k123116.htm
2015-12-31,WST,USD,0000105770,2016-02-26,2016-02-26 17:40:44,2015,FY,1398000000,943900000,454100000,0.3248211731,34100000,0,0,233000000,61300000,328400000,1272300000,1600000,11700000,89900000,217700000,0.1557224607,125700000,0.0899141631,-3800000,121900000,0.0871959943,26300000,95600000,0.0683834049,1.33,1.3,72000000,73800000,https://www.sec.gov/Archives/edgar/data/105770/000010577016000060/0000105770-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577016000060/wst10k123115.htm
