symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
ACGL,2028-12-31,18984048850,18984146550,18984097700,4598140801,4598164465,4598152633,4410133445,4410156141,4410144793,4154327630,4460344149,4236000000,137210594,137211301,137210948,11.24425,11.68241,10.8809,1,1
ACGL,2027-12-31,18866957939,19110802157,18988880048,4569780123,4628841815,4599310969,4382932369,4439579165,4411255767,3441239769,4262816101,3822070360,136364299,138126727,137245513,10.08118,11.16505,9.0132,6,6
ACGL,2026-12-31,17494664178,18506291974,18135052416,4237395815,4482422947,4392504734,4064138488,4299147027,4212905361,3437402679,3834024156,3582649910,126445801,133757522,131074321,9.31974,10.04197,9.00315,5,11
ACGL,2025-12-31,17686511939,17923596550,17781345784,4283863406,4341287849,4306833183,4108706127,4163782617,4130736723,3233452754,3667395181,3450423967.5,127832415,129545987,128517844,9.1831,9.60554,8.46897,5,10
ACGL,2024-12-31,15044165975,16459260973,16087923988,3643858796,3986610023,3896668212,3494869827,3823606748,3737342450,3332235868,3415731710,3373983789,108734389,118962240,116278336,8.8271,8.94639,8.7277,4,10
ACGL,2023-12-31,15089365148,15937837977,15474000000,3654806522,3860315766,3747969219,3505369925,3702476371,3594723416,5389408636,5786404277,5406000000,109061074,115193563,111841091,14.58716,15.15559,14.11579,3,4
ACGL,2022-12-30,10059451633,10546844357,10263406903,1222827923,1834241886,1528534905,21734856,32602284,27168571,1022264466,1533396702,1277830585,63728368,95592552,79660460,4.064,4.2099,3.95901,2,5
ACGL,2021-12-30,8535031052,8948563737,8708078712,1496794948,2245192425,1870993687,1982750160,2078816828,2022950397,1287501669,1931252503,1609377087,45160264,67740396,56450330,3.32748,3.44694,3.24152,3,4
ACGL,2020-12-30,6793112166,7122246752,6930842440,1151281823,1726922735,1439102279,1578089658,1654550030,1610085408,1046270220,1569405331,1307837776,63748116,95622174,79685145,1.17554,1.21774,1.14517,5,4
ACGL,2019-12-30,5998653893,6289296004,6120276534,1458895760,2188343642,1823619701,1393531188,1461049477,1421785018,1196020620,1794030931,1495025776,58636218,87954327,73295273,2.76179,2.86094,2.69044,2,5
ACGL,2018-12-30,4788695910,5020714079,4885786667,762548242,1143822363,953185303,1112449096,1166348614,1135003989,527575390,791363086,659469238,54150751,81226127,67688439,2.11745,2.19347,2.06275,6,5
ACGL,2017-12-30,4292342797,4500312051,4379370000,707073190,1060609785,883841488,997142636,1045455416,1017359692,443142313,688272670,565707492,58962952,88444429,73703691,0.99325,1.02891,0.96759,11,10
ACGL,2016-12-30,4298007937,4506251673,4385150000,548049298,822073947,685061623,998458690,1046835233,1018702429,479749856,719624784,599687320,48068935,72103402,60086169,1.47509,1.52805,1.43698,6,7
ACGL,2015-12-30,3815364947,4000224041,3892721429,461169831,691754749,576462290,886337192,929281312,904307669,397126043,595689065,496407554,27576229,28912331,28135337,1.46156,1.51403,1.4238,6,5
ACGL,2014-12-30,2531461616,3797192425,3164327021,624302882,936454324,780378603,588077054,882115582,735096318,577281068,865921600,721601335,18296589,27444884,22870737,2.33,2.79,1.87,12,12
ACGL,2013-12-30,2110501887,3165752831,2638127359,494837251,742255875,618546563,490285029,735427544,612856287,456004107,684006159,570005134,15254028,22881042,19067535,0.98,1.18,0.78,8,8
ACGL,2012-12-30,3248680638,4873020958,4060850798,416010560,624015840,520013200,754692281,1132038422,943365351,402515576,603773365,503144471,23480418,35220627,29350522,0.39,0.57,0.21,16,16
ACGL,2011-12-30,3310894648,4966341975,4138618312,272939891,409409837,341174864,769145050,1153717577,961431314,253523858,380285788,316904823,23930080,35895121,29912601,0.14,0.24,0.04,14,14
ACGL,2010-12-30,1809368806,2714053210,2261711008,615754555,923631832,769693194,420329611,630494418,525412015,589344717,884017076,736680897,13077535,19616303,16346919,0.83,1,0.66,7,7
ACGL,2009-12-30,2176593818,3264890727,2720742273,697883015,1046824522,872353769,505638669,758458003,632048336,663703584,995555375,829629480,15731719,23597579,19664649,1.05,1.25,0.85,16,16
ACGL,2008-12-30,2284270760,3426406139,2855338450,193910284,400619997,297265141,530652810,795979215,663316013,165079213,364628250,264853732,16509973,24764960,20637467,0.71,0.84,0.58,20,20
ACGL,2007-12-30,2362358777,3543538166,2952948472,613063679,919595519,766329599,548793228,823189842,685991535,587477365,881216048,734346707,17074368,25611553,21342961,0.96,1.15,0.77,14,14
