symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
AJG,2028-12-31,19844628554,20700310497,20290000000,4713445374,4916684758,4819228860,3279119206,3420511779,3352712222,3644635260,4545626776,4095131018,10568582765,11024290233,10805772641,18.29,20.30204,16.27796,1,2
AJG,2027-12-31,18707463083,19061104590,18884283837,4443348742,4527344768,4485346755,3091214397,3149649991,3120432194,3104089160,3721724030,3412906595,9962966622,10151304213,10057135418,14.97994,16.62226,13.86373,5,4
AJG,2026-12-31,16778323694,17380099438,17074111772,3985144493,4128076727,4055399320,2772444106,2871881311,2821320020,2907737815,3084437457,2996087636,8935571766,9256057319,9093098563,13.39635,13.77596,12.98677,6,11
AJG,2025-12-31,13826216206,13956936795,13886548786,3283967479,3315015899,3298297519,2284638938,2306239161,2294608272,2382161670,2424698192,2403429931,7363378453,7432995849,7395509559,10.73939,10.82938,10.6394,6,10
AJG,2024-12-31,11419312464,11479892371,11449602418,2712285864,2726674648,2719480256,1886923039,1896933241,1891928140,2214498632,2261472853,2237985742.5,6081542346,6113805170,6097673758,10.03044,10.10037,9.89057,6,11
AJG,2023-12-31,10160469380,10598579379,10388500000,2413288677,2517347443,2467449926,1678912265,1751305402,1716591962,1142722913,1207210591,1174966752,5411124793,5644447466,5532566243,5.25363,5.39174,5.10372,5,8
AJG,2022-12-30,8283108798,8531405342,8411908681,1618380647,2427570973,2022975810,1241173449,1861760176,1551466813,837265427,1255898142,1046581785,4411305590,4543539991,4479900083,7.73957,7.8825,7.58551,2,7
AJG,2021-12-30,7833737435,8068563511,7955549727,1255570313,1883355470,1569462892,961760648,1442640973,1202200811,659732530,989598796,824665663,4171985493,4297045975,4236858629,5.41933,5.51941,5.31146,3,5
AJG,2020-12-30,6848913408,7054218152,6955411979,1084497763,1626746644,1355622204,703155201,1054732802,878944002,564499021,846748530,705623776,3647501287,3756839700,3704218850,4.62758,4.71304,4.53547,5,10
AJG,2019-12-30,7033783022,7244629463,7143156260,942556738,1413835109,1178195924,572735396,859103095,715919246,515574742,773362114,644468428,3745956636,3858246370,3804205149,3.59713,3.66356,3.52553,2,7
AJG,2018-12-30,6721289280,6922768331,6825803333,779505652,1169258479,974382066,490094609,735141913,612618261,494558233,741837350,618197792,3579532962,3686833939,3635193637,3.43194,3.49532,3.36363,11,10
AJG,2017-12-30,5963182613,6141936469,6055908333,658618315,987927474,823272895,413029080,619543621,516286351,358848955,538273434,448561195,3175790810,3270989110,3225173414,2.98998,3.0452,2.93046,11,10
AJG,2016-12-30,5502207309,5667142854,5587765000,608864595,913296893,761080744,387106060,580659091,483882576,324017367,486026051,405021709,2930290843,3018129975,2975855996,2.74178,2.79241,2.6872,10,11
AJG,2015-12-30,5271649237,5429673515,5353621818,521595826,782393737,651994782,326921406,490382109,408651758,266851334,400277002,333564168,2807503356,2891661780,2851159200,2.54677,2.5938,2.49608,11,10
AJG,2014-12-30,3367450495,5051175744,4209313120,437519761,656279641,546899702,265326077,397989116,331657597,216685747,325028620,270857184,1793391051,2690086577,2241738814,1.98,2.37,1.59,20,20
AJG,2013-12-30,2390034012,3585051018,2987542515,375873815,563810721,469842268,244535050,366802575,305668813,203058018,304587025,253822522,1272851855,1909277782,1591064818,1.96,2.36,1.56,15,15
AJG,2012-12-30,2058290988,3087436483,2572863736,347997498,521996249,434996874,236859250,355288877,296074064,157894964,236842447,197368706,281319587,421979381,351649484,1.78,2.14,1.42,7,7
AJG,2011-12-30,1803633004,2705449507,2254541256,293714545,440571817,367143181,195171383,292757074,243964229,113939049,170908576,142423813,555034070,832551105,693792588,1.44,1.72,1.16,17,17
AJG,2010-12-30,1421905009,2132857515,1777381262,260933429,391400143,326166786,180845161,271267743,226056452,130900078,196350119,163625099,174345808,647841718,411093763,1.335,1.6,1.07,19,19
AJG,2009-12-30,1423348764,2135023146,1779185955,257926649,386889973,322408311,195478271,293217408,244347840,102716532,154074799,128395666,876612864,1314919297,1095766081,1.245,1.49,1,16,16
AJG,2008-12-30,2062258665,3093387998,2577823332,188290381,282435573,235362977,123743659,197893384,160818522,62389357,99899825,81144591,781519801,1172279702,976899752,1.705,2.05,1.36,11,11
AJG,2007-12-30,1468904274,2203356412,1836130343,219689903,329534856,274612380,182818588,304609933,243714261,122354050,183531075,152942563,810722850,1216084277,1013403564,1.91,2.28,1.54,19,19
AJG,2006-12-30,1513928295,2270892442,1892410369,185382915,278074373,231728644,227206465,340809700,284008083,107934791,161902187,134918489,796116648,1194174973,995145811,1.68,2.01,1.35,9,9
AJG,2005-12-30,1271433552,1907150327,1589291940,12040989,123267734,67654362,141002949,271475576,206239263,-265628,71289059,35511716,769541338,1154312007,961926673,1.96,2.35,1.57,20,20
AJG,2004-12-30,1161547269,1742320905,1451934087,241338123,362007188,301672656,343065863,514598796,428832330,152433279,228649919,190541599,582303650,873455476,727879563,2.05,2.46,1.64,13,13
AJG,2003-12-30,991088850,1486633276,1238861063,193757166,290635750,242196458,159060508,238590763,198825636,116741604,175112406,145927005,620177559,930266338,775221949,1.84,2.21,1.47,13,13
AJG,2002-12-30,837117759,1255676639,1046397199,169302957,253954437,211628697,132270932,198406397,165338665,100726893,151090340,125908617,451387465,677081199,564234332,1.55,1.86,1.24,16,16
AJG,2001-12-30,728780184,1093170276,910975230,124357041,186535560,155446301,116808412,175212617,146010515,96408723,144613085,120510904,373310020,559965030,466637525,1.34,1.61,1.07,20,20
AJG,2000-12-30,585890537,878835807,732363172,104014366,156021550,130017958,62117771,93176657,77647214,64600129,96900195,80750162,280760949,421141424,350951187,0.92,1.1,0.74,9,9
AJG,1999-12-30,495684391,743526588,619605490,89566106,134349161,111957634,78780819,118171228,98476024,50755144,76132718,63443931,123659199,221836627,172747913,0.79,0.95,0.63,16,16
AJG,1998-12-30,412995301,619492952,516244127,70333642,105500462,87917052,48171211,72256816,60214014,41292920,61939379,51616150,206596571,309894856,258245714,0.65,0.78,0.52,20,20
AJG,1997-12-30,332280910,498421364,415351138,59939007,89908512,74923760,32031247,48046870,40039059,34745913,52118870,43432392,163059486,244589230,203824358,0.575,0.68,0.47,16,16
