symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
AJG,2024-12-31,2024,FY,52.403174603174605,6.6335600907029475,11.713832199546486,11.070294784580499,67.96961451247165,91.51746031746032,15.32562358276644,91.39909297052154,62.88662131519274,62588925000.00001,61086825000.00001,42.789994530662476,5.416656569940026,24.232035696310348,25.640690290864402,3.105610687969832,3.105610687969832,5.286659772044761,19.715603214562357,23.65048008052964,25.02532773453503,0.023369949236226692,0.03900051007426633,0.6691244696950902,0.20986939578431008,-0.4847986057319907,1.5075903597987752,5.985051140833989,1.7658439871470568,0.008394456367480348,0.3591987420523689,0.5644618300461276,0,0.261462107346954,0.054938247706066826,0.012280504374767414,0.16846729193873916,0.01016884611723165,116.79803486254916,0.05053259112781914,0.030822949790221873,-118.66836734693878,14852500000,3379300000,37700000,32680900000,3841250000,0,0,123.06497676310482,0,0,2.9659128827741985,0,0,0.07257796412533803,0.6435374149659864
AJG,2023-12-31,2023,FY,46.86784550953932,4.511400651465798,9.454164727780363,8.553280595625873,4.520707305723592,50.32712889716147,-24.632852489530013,50.140995812005585,40.08329455560726,48326712000,55672412000,49.847046931407945,4.798172340869151,23.786342471821627,26.291666394646647,4.4849528087385035,4.4849528087385035,5.527498485886476,25.557734012762246,27.401886105232073,30.28802132636962,0.020061368958848264,0.03803486568670345,0.7718764210741232,0.1611367062023644,3.372216866363678,1.0338454902188015,6.265925176946411,2.103209109730849,0.009799963217029953,0.4884992264053636,0.5640643771284465,0,0.3120924213128538,0.09528965890633459,0.019221795291851588,0.27796123474515433,0.003117584566963532,71.3416969685827,0.07045023558803307,0.027304552072977367,-172.12214983713355,1051400000,-5293600000,-8684400000,18287000000,3348850000,9349100000,0,137.2242575879427,0,0,2.6598795753446365,0,0,0.08997429305912596,0.9008841321544905
AJG,2022-12-31,2022,FY,40.65905848787447,5.2981455064194005,6.609605325725155,5.740846409890632,3.511174512601046,43.70042796005706,-17.457441749881124,43.47883975273419,31.726105563480743,39649962000,45326662000,35.5860366182014,4.637097045821346,28.52515251798561,32.841847096827635,4.3363622643160245,4.3363622643160245,5.300991977171193,20.758718571101443,32.60910935251798,37.54382672078191,0.02810090965534847,0.0304489573029099,0.7015945579421672,0.16724107366313506,2.599816807877261,1.0443609233970363,6.488516932658622,1.2455197132616487,0.010832292853143214,0.3854783701310357,0.5613407246275115,0,0.33529813548010345,0.1314388489208633,0.021366921619535472,0.30470313542361577,0.0028536009168947207,71.99331523034796,0.07977908267317843,0.04369943012679973,-124.80492154065621,946600000,-3671300000,-6883000000,14731000000,7652050000,16271900000,0,124.26630879704348,1377.8654203343292,0,2.937240218474116,0.26490250398434073,0,0.12185572422240692,0.8687589158345221
AJG,2021-12-31,2021,FY,40.5002466699556,4.473606314750864,8.407005426739023,7.772570300937346,1.9861864824864333,42.230389738529844,-20.03009373458313,41.97533300444006,33.64084854464726,34392109000,40582409000,37.9268956771063,4.189357200282603,20.18197817029517,21.829329736591557,4.042135889238869,4.042135889238869,4.943407435378956,22.960344554455446,23.814570154333666,25.758431609013012,0.026366513318505713,0.04580992692248097,0.7748695406892012,0.19771779877043036,3.5022913719943425,1.0558948311921124,5.913312693498452,1.7843979057591624,0.011397963410734714,0.4322893692104102,0.4784149876970302,0,0.37847353426300795,0.07546505486767209,0.015664969425292958,0.22708811583966096,0.0016322751967257046,65.00057755766291,0.07664985058185181,0.0437543426233305,-74.43290577207696,935400000,-4060100000,-7114500000,14415000000,9643050000,10815100000,0,551.007990839769,965.5968053193726,0,0.6624223351892197,0.3780045646270295,0,0.10657702975882657,0.6344351258016774
AJG,2020-12-31,2020,FY,36.698429319371726,4.286910994764398,9.175392670157068,8.655497382198952,3.479581151832461,32.63193717277487,-12.01151832460733,32.38848167539267,26.502094240837696,23628610000,27829510000,28.857608695652175,3.3709889576853937,13.482801711840228,14.29265061698524,3.8195677475671657,3.8195677475671657,3.970312722914943,17.07646192550776,15.879891583452212,16.833722477619162,0.03465290594749332,0.06996602847141664,0.7865086806116841,0.21787706995530956,2.5777136896361292,1.0976023680315738,5.296334012219959,2.0423027619158605,0.014702515298191473,0.4242794333170493,0.49455017547864294,0,0.3818345468712217,0.05666191155492154,0.014166690444260565,0.1765647226173542,0.0019402516620538135,55.893175875541694,0.0821572523851239,0.059313991814263466,-53.73965968586388,989200000,-2294200000,-4974500000,10340700000,6392400000,7066550000,0,358.94391816703285,631.3754638579651,0,1.0168719444081762,0.5781029211520181,0,0.13235912191652388,0.5198952879581152
AJG,2019-12-31,2019,FY,38.277956989247315,3.595698924731183,6.017204301075269,5.2709677419354835,3.2516129032258063,28.04032258064516,-14.632795698924731,27.717741935483872,27.566666666666666,17712780000,22055580000,26.484419856459333,2.4878548253437645,15.826286633309506,18.06689106487148,3.435705557171952,3.435705557171952,3.0978243465314548,17.226884323986564,19.706558255897068,22.496511627906976,0.03775804814376964,0.05534986602893504,0.959674134419552,0.25198117627885186,3.3920174958993985,1.0220266786234726,4.148498331479422,1.5635652416876222,0.01812815379629849,0.48011363636363635,0.4690506622470048,0,0.40424144885611263,0.12401715511079342,0.01949520344958355,0.2925801011804384,0.001966374987710156,47.35456403190093,0.07412498594108874,0.05717412118725208,-50.51465053763441,196500000,-2721700000,-5301800000,8994600000,5628800000,6044350000,0,302.0451002148967,479.66269225196135,0,1.208428806626271,0.7609514058439001,0,0.12972553583551547,0.7462365591397849
AJG,2018-12-31,2018,FY,37.8888037649119,3.4666739630075516,4.186822808361606,3.506074203786801,3.3227536390500165,25.00656670679654,-10.008208383495678,24.61913100580059,20.514392032395754,13467938000,16471138000,21.259570639305448,1.9451656604754615,17.602846686707622,21.0206617761823,2.9936068816821892,2.9936068816821892,2.378915913226841,15.886514274691358,21.528085217618614,25.708034961760575,0.047037638575407756,0.04757224157105564,0.8025072795572251,0.22103587608669034,2.896604938271605,1.055253717375481,4.459537572254336,1.1319721852345022,0.022408775567573893,0.4764009471191792,0.43708657095814435,0,0.3917350312232154,0.16259312508168866,0.01796701233426731,0.29689737470167066,0.0019786822265230077,43.82118506062813,0.09500431011830711,0.06376190188618476,-39.03182116668491,425100000,-1828900000,-3645600000,7260600000,4925000000,5363100000,0,282.87262774776855,420.388250165533,0,1.2903334016660766,0.8682450088847079,0,0.14081219853742025,0.6807486045748057
AJG,2017-12-31,2017,FY,34.683518997745374,2.67279007519131,4.743605406666148,4.02612259404467,3.782889256638937,23.12882481646434,-9.316170018992192,22.797294445616803,18.087564001466063,11395082720,13846882720,23.675634157490133,1.8244976815678238,13.340064059939124,15.71735547586207,2.775767982071519,2.775767982071519,2.2170620468810043,15.921447303667932,16.21035204870054,19.099148579310345,0.042237516991013115,0.06362393479843031,0.7631784078729417,0.24291717710546312,2.819133034379671,1.0525822934267044,4.120870265914585,1.7111378205128205,0.02480894671381552,0.5873675462289633,0.44067823747918533,0,0.4529982787228434,0.15125263404354952,0.020686563340591775,0.33488854328667705,0.0027699500448315614,37.0267282182455,0.0871915370662423,0.06822208677656665,-26.034991170296657,258300000,-1677600000,-3561900000,6513000000,3442100000,3991050000,0,262.0559273728705,402.69289491735447,0,1.3928324524430766,0.906397914159647,0,0.11724154730585598,0.7174828126214778
AJG,2016-12-31,2016,FY,31.992002703311556,2.234737553503041,3.503604415408876,2.276976796575805,3.072200946159045,20.58909664338815,-9.795562063527822,20.25568821806713,16.659157467898176,9226017600,11528717600,23.25105241935484,1.6241559017692104,14.83044140813374,22.819731882265643,2.565205360618362,2.565205360618362,2.029525147434205,14.516139007806597,18.531936344639124,28.515255008656936,0.04300880587958124,0.04382172433748663,0.7919145859978869,0.24789374738894304,2.8993956182321834,0.9575861396014484,4.330601092896175,1.3979775280898876,0.02950352056557967,0.6859879032258065,0.4469500924214418,0,0.4695637794179084,0.35010448480951617,0.03834169527330341,0.620866590649943,0.002587800369685767,31.913763652876852,0.08089854041715516,0.06510788415784724,-30.909129308402793,-195600000,-1739300000,-3417700000,5577100000,2321750000,2936600000,0,154.21820262300852,268.17148532332817,0,2.36677638431732,1.3610693902072695,0,0.11032641939609632,1.2266276188330705
AJG,2015-12-31,2015,FY,31.307659705409343,2.071540127381139,3.7889212083209958,3.2141384936048167,2.7891476378752778,21.413268771880933,-9.716150233106323,21.12355506011995,14.863068178519383,7051464660,9028064660,19.763073598654707,1.3076672094058304,10.805186423536622,12.737472290462428,1.938120732210098,1.938120732210098,1.6742201357466064,12.35536425345559,13.833994269077536,16.30792026734104,0.05059941688766827,0.07850851230104584,0.6753153945524009,0.22512781982444244,2.7050773231148213,1.0343774602190041,4.2436893203883495,1.829035874439462,0.036517236122686605,0.7216928251121076,0.4504302351457607,0,0.49127709871905295,0.1517008887526816,0.01835917216823678,0.296229802513465,0.002076997255396484,31.377724083330616,0.08156894882329989,0.06426397219070262,-29.393168794523888,144100000,-1673500000,-2889800000,5708500000,2099150000,2750200000,0,151.8509383576886,277.78581631573377,0,2.4036729963448336,1.313961975600431,0,0.09806777890773163,0.5747827147161793
