date,symbol,calendarYear,period,growthNetIncome,growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2024-12-28,AMD,2024,FY,0.9215456674473068,-0.10532244438186426,-0.14131501472031405,0.016618497109826588,0.3119055428009183,-0.492,-1.513793103448276,0.7398568019093079,2.6675,2.425925925925926,0.8242351529694061,-0.16483516483516483,-3.312977099236641,0.5072541644277271,-0.319718781386006,-7.909090909090909,0.22628250175685172,0,0,-0.12606232294617564,0,0.045112781954887216,-0.7993019197207679,0,0.8647450110864745,-0.031019577930333078,-0.18655635987590485,0.8242351529694061,-0.16483516483516483,1.1454058876003568
2023-12-30,AMD,2023,FY,-0.353030303030303,-0.166823087752229,0.3229235880398671,0.2802960222016651,-0.6516793066088841,-0.1457378551787351,0.5860099928622412,-1.4500537056928033,-1.8070175438596492,-1.2134387351778657,-0.532398316970547,-0.21333333333333335,-1.159367396593674,-0.395575553055868,-0.30696055684454754,0.3125,-1.711855927963982,1,0,0.6562804284323271,0,0.6121212121212121,0.6488970588235294,0,-1.3921739130434783,-0.18655635987590485,0.9072978303747534,-0.532398316970547,-0.21333333333333335,-0.6401284109149278
2022-12-31,AMD,2022,FY,-0.5825426944971537,8.205183585313176,-5.886363636363637,1.8522427440633245,-1.3850129198966408,-0.7046875,-1.5197841726618706,0.16229712858926343,0.24802110817941952,15.882352941176471,0.012496449872195399,-0.4950166112956811,0,-0.29717898832684825,1.568533969010727,-1.2857142857142858,3.91399416909621,-0.56,0,-1.0550275137568785,0,0.5865384615384616,-0.7224274406332454,0,1.446808510638298,0.9072978303747534,0.5893416927899686,0.012496449872195399,-0.4950166112956811,-0.03260869565217391
2021-12-25,AMD,2021,FY,0.26987951807228916,0.307909604519774,1.2518397383483237,0.38321167883211676,0.1686358754027927,-2.062200956937799,-0.3333333333333333,2.56140350877193,-2.8221153846153846,-1.158878504672897,2.287581699346405,-0.023809523809523808,1,-1.4188235294117648,7.739583333333333,-1.2592592592592593,0.27941176470588236,0,0,-24.628205128205128,0,0.23809523809523808,-316.8333333333333,0,6.52,0.5893416927899686,0.08503401360544217,2.287581699346405,-0.023809523809523808,3.144144144144144
2020-12-26,AMD,2020,FY,6.302052785923753,0.37209302325581395,-304.75,0.39086294416243655,-0.7177121771217713,0.6645264847512039,-2.0437956204379564,-2.3753351206434314,2.3419354838709676,-0.5596707818930041,1.1724137931034482,-0.3548387096774194,0,-1.9929577464788732,-0.40923076923076923,0,-5.389261744966443,0.5037220843672456,0,-12,0,-0.8390804597701149,-0.8604651162790697,0,-0.6770025839793282,0.08503401360544217,0.3573407202216066,1.1724137931034482,-0.3548387096774194,1.815217391304348
2019-12-28,AMD,2019,FY,0.011869436201780416,0.5176470588235295,0,0.43795620437956206,0.2544704264099037,0.22704714640198512,0.09271523178807947,0.8019323671497585,-7.739130434782608,1.0082644628099173,13.5,-0.3312883435582822,0,-1.3089430894308942,6.222222222222222,-0.6197183098591549,0.12352941176470589,-8.829268292682928,-1,0,0,5.96,0.5357142857142857,0,4.583333333333333,0.3573407202216066,-0.0906801007556675,13.5,-0.3312883435582822,3.13953488372093
2018-12-29,AMD,2018,FY,6.837209302325581,0.18055555555555555,-1.4444444444444444,0.41237113402061853,-1.753787878787879,-8.0561797752809,-13.583333333333334,3.76,1.2053571428571428,2.1025641025641026,-0.5,-0.4424778761061947,-1,0.44594594594594594,-0.7972972972972973,36.5,-0.49122807017543857,-0.025,2.5,0,0,9.714285714285714,1.8484848484848484,0,-0.3670886075949367,-0.08607594936708861,-0.05775316455696203,-0.5,-0.4424778761061947,-1.8666666666666667
2017-12-30,AMD,2017,FY,1.0865191146881288,0.08270676691729323,-0.18181818181818182,0.12790697674418605,-2.466666666666667,-1.4009009009009008,1.1643835616438356,-2.293103448275862,-3.1481481481481484,-0.7796610169491526,-0.24444444444444444,-0.4675324675324675,0,0,-0.3508771929824561,-2,-1.4115523465703972,0.9702159344750558,-0.9700149925037481,0,0,-0.5625,-1.2704918032786885,0,-1.1649269311064718,-0.0625,0.6101910828025477,-0.24444444444444444,-0.4675324675324675,-4.461538461538462
2016-12-31,AMD,2016,FY,0.24696969696969698,-0.20359281437125748,0,0.36507936507936506,0.7647058823529411,-0.20714285714285716,-5.636363636363637,1.3717948717948718,-1.4545454545454546,0.945054945054945,1.379746835443038,0.19791666666666666,0,1,-0.2597402597402597,-0.75,0.8843537414965986,-29.522727272727273,132.4,0,0,9,1.0677966101694916,0,24.95,0.6101910828025477,-0.024844720496894408,1.379746835443038,0.19791666666666666,1.039039039039039
2015-12-26,AMD,2015,FY,-0.6377171215880894,-0.17733990147783252,-1,-0.2222222222222222,1.3505154639175259,39,-1.0552763819095476,0.30357142857142855,0.9597069597069597,4.055555555555555,-1.4183673469387754,-0.010526315789473684,0,0.7126582278481013,-0.47079037800687284,0,13.25,0.9605381165919282,0.25,0,0,-1.3333333333333333,0.2826086956521739,0,0.6875,-0.024844720496894408,-0.07364787111622555,-1.4183673469387754,-0.010526315789473684,-0.7253886010362695
2014-12-27,AMD,2014,FY,-3.855421686746988,-0.13983050847457626,293,-0.10989010989010989,0.35044642857142855,1.035,1.6180124223602483,-1.5833333333333333,0.11935483870967742,-0.6727272727272727,0.33783783783783783,-0.13095238095238096,0,0.24256951102588686,-0.35044642857142855,-1,-1.0263736263736263,-19.272727272727273,0.3333333333333333,0,0,-0.4,2.5384615384615383,0,-1.2,-0.07364787111622555,0.5828779599271403,0.33783783783783783,-0.13095238095238096,0.16810344827586207
2013-12-28,AMD,2013,FY,0.9298393913778529,-0.09230769230769231,1.025,-0.061855670103092786,-3.036363636363636,-1.6896551724137931,-2.8795180722891565,2.6551724137931036,-2.2653061224489797,-0.8214285714285714,0.5621301775147929,0.3684210526315789,1,-0.1048728813559322,-0.002967359050445104,27.444444444444443,24.94736842105263,0.8875255623721882,-0.7857142857142857,0,0,-0.5238095238095238,-0.6486486486486487,0,2,0.5828779599271403,-0.36823935558112775,0.5621301775147929,0.3684210526315789,0.5074309978768577
2012-12-29,AMD,2012,FY,-395.3333333333333,-0.17981072555205047,-5.666666666666667,0.07777777777777778,1.873015873015873,1.8357348703170029,-1.5286624203821657,-7.285714285714286,8.205882352941176,0.3391304347826087,-1.8848167539267016,0.468,-18.5625,0.4047919293820933,-0.2190034762456547,0.5263157894736842,0.831858407079646,-1.3397129186602872,-0.2222222222222222,0,0,0.4,7.166666666666667,0,-2.216730038022814,-0.36823935558112775,0.43399339933993397,-1.8848167539267016,0.468,-4.568181818181818
2011-12-31,AMD,2011,FY,-0.9936305732484076,-0.17232375979112272,-2.2,0.034482758620689655,0.832111925383078,0.695079086115993,2.0902777777777777,-1.509090909090909,0.8759124087591241,0.6083916083916084,1.9271844660194175,-0.6891891891891891,1.0176991150442478,0.11888888888888889,0.00994733762434172,-1.95,0.8993766696349065,0.8054003724394786,0.2,0,0,-0.34782608695652173,-1.012396694214876,0,1.2502378686964795,0.43399339933993397,-0.6342788171394086,1.9271844660194175,-0.6891891891891891,1.2357142857142858
2010-12-25,AMD,2010,FY,0.6075085324232082,-0.6604609929078015,-0.9615384615384616,0.16,-0.44465832531280075,-0.18541666666666667,-2.6179775280898876,1.5238095238095237,-3.3492063492063493,2.254385964912281,-1.8710359408033828,0.6824034334763949,0,-0.21130551816958276,1.7698541329011346,-0.6774193548387096,0.1178318931657502,0.4098901098901099,-0.8818897637795275,0,0,1.1345029239766082,-0.6824146981627297,0,-2.451657458563536,-0.6342788171394086,0.7759914255091104,-1.8710359408033828,0.6824034334763949,-81
2009-12-26,AMD,2009,FY,1.094577146546159,-0.0776778413736713,4,-0.0963855421686747,-2.0469208211143695,-10.504950495049505,-0.4144736842105263,0.8423423423423423,-1.875,-1.080565371024735,1.6835260115606936,0.2532051282051282,-1,-6.43,0.4831730769230769,-0.7559055118110236,-46.148148148148145,0,0,0,0,-3.1923076923076925,5.927272727272728,0,2.4509018036072145,0.7759914255091104,-0.348463687150838,1.6835260115606936,0.2532051282051282,1.0053191489361701
2008-12-27,AMD,2008,FY,0.0831606984314886,0.07469244288224956,2.0833333333333335,0.07792207792207792,-13.62962962962963,2.8363636363636364,37,-3.212624584717608,1.3228699551569507,-0.23554835224203133,-1.232258064516129,0.629673590504451,-0.1910828025477707,0.6330275229357798,0.3550488599348534,1.7912087912087913,0.9838805970149254,0,-1,0,0,12.142857142857142,-0.8919980363279333,0,-10.596153846153847,-0.348463687150838,0.03768115942028986,-1.232258064516129,0.629673590504451,0.34035087719298246
2007-12-29,AMD,2007,FY,-19.35542168674699,0.35961768219832735,-11,14.4,-0.8430232558139535,0.8007246376811594,-0.3333333333333333,-0.038338658146964855,-2.7286821705426356,3.197278911564626,-1.2408702408702408,0.09262250942380183,1.040328795273568,0.7428032090608778,-0.905914802329145,-0.6996699669966997,0.6107366953288403,0,-0.05509641873278237,0,0,-1.0333333333333334,-0.45867658782885995,0,-0.9303882195448461,0.03768115942028986,1.180094786729858,-1.2408702408702408,0.09262250942380183,-2.5
2006-12-31,AMD,2006,FY,-2.0031241879830555,-0.3135653269298902,0.9082821241860038,-0.036051667630615,-0.21560400771626756,0.0008326394671107411,1.2159827213822894,0.46036485792936127,-0.5824661684312057,5.214852336805888,-0.1320796706353622,-0.22722253172637893,-403.2109722078727,-0.2314347696972902,1.974831087395122,3.130801687763713,-0.895943834591568,0,2.83418977655018,0,0,-0.43883727082514973,6.61449566866118,-1,3.618204759735025,1.179864058622547,-0.3107405782157001,-0.1320796706353622,-0.22722253172637893,-17.800712448050664
2005-12-25,AMD,2005,FY,0.8153824213436307,-0.004008978543633174,0.44429153924566767,1.7015625,2.8015758252953646,-5.069567010916805,0.8456503742061662,4.1576233481149725,4.30243534075892,-0.49785979127596525,0.3647734374209058,-0.05071461951189366,2.544932162809258,-3.5632891083490015,3.826557597785767,-4.515625,-0.458802764394029,0,0.5309960623236334,0,0,-0.15212352587994063,0.19716327519379845,0.0857743728406189,-4.7284262940208,-0.3106676234269804,-0.0514427541074363,0.3647734374209058,-0.05071461951189366,0.9142629292792182
2004-12-26,AMD,2004,FY,1.3320922437975882,0.22958470888242308,-14.207674183776506,0,0.6019348255517327,0.7364287541570734,-1.3245550590241004,-3.0985314577214407,1.1943704069412522,0.43989447856696123,2.675820235058494,-1.52515622917821,0,0.6338548807438508,-0.8497069955353275,-0.7721945312720002,-19.703148479857663,0,2.4901512586070664,0,0,0.3557559691475016,0.5437431283236476,-0.7930873713983775,-1.0734229240621278,-0.0514427541074363,2.3404165760991447,2.675820235058494,-1.52515622917821,-0.2871401011902595
2003-12-28,AMD,2003,FY,0.7893419247098261,0.31672020408136276,-0.9161374093205747,-0.33586994119681773,-2.877684366959181,-0.8493670642184158,-0.48967772967772966,1.1246411437159207,-2.39548730075972,-1.4856955922328585,4.324552918681813,0.19120977611760384,0.7636651703195141,0.7693559064527601,-0.6511011672855471,19.60280807611975,1.097359633609515,0,0.2144350388978375,0,0,3.2989818690823616,-0.7053226659613859,-0.1378922264798092,463.6191780821918,1.2581633033856718,-0.32167765067121007,4.324552918681813,0.19120977611760384,0.6540172808753024
2002-12-29,AMD,2002,FY,-20.50859180271042,0.2140135855648156,1.9826639298790636,0,1.3803594285767675,0,-0.4056795131845842,0,1.549192251546086,2.6927302797152515,-1.530346863908855,-0.03871461925419634,-16.261370178468624,-0.08097354269870816,-0.009786068692348538,1.070433816077675,-0.5435529997958524,0,-0.20506184275050401,1,0,1.0188483071181018,2.916240850711228,4.730034982508745,1.0088932746133557,0.003416899140626463,-0.2775670927895012,-1.530346863908855,-0.03871461925419634,-0.5532588709361919
2001-12-30,AMD,2001,FY,-1.0616270576770095,0.07563334311913932,-0.8899140280981338,0,-2.5045595193267958,0,0.7634114816615905,0,-12.463249516441007,1.322958951445849,-0.8609392212032331,0.15718570680121272,0,0.011776096275759313,0.15732491116584157,-1.3154326255030304,0.32150080534247283,0,-0.7015626778542042,0,0,1.4385645559745157,3.29756769888251,-2.186410530060477,-1.5521403683424588,-0.2775670927895012,1.0109035274118148,-0.8609392212032331,0.15718570680121272,-2.2778008288383766
