date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,ANET,USD,0001596532,2025-02-19,2025-02-18 19:50:17,2024,FY,2852054000,62038000,-492874000,355364000,985182000,-106080000,110608000,-51635000,1032289000,-53529000,3708235000,-32032000,0,-4526127000,2107433000,-6628000,-2457354000,0,0,-423619000,0,1809000,-421810000,-4767000,824304000,2763768000,1939464000,3708235000,-32032000,3676203000,https://www.sec.gov/Archives/edgar/data/1596532/000159653225000028/0001596532-25-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653225000028/anet-20241231.htm
2023-12-31,ANET,USD,0001596532,2024-02-13,2024-02-12 18:01:35,2023,FY,2087321000,70630000,-370796000,296756000,-15916000,-101473000,-655474000,198612000,542419000,-33981000,2034014000,-34434000,1799000,-2610042000,1955223000,0,-687454000,0,0,-112279000,0,28530000,-83749000,675000,1263486000,1939464000,675978000,2034014000,-34434000,1999580000,https://www.sec.gov/Archives/edgar/data/1596532/000159653224000043/0001596532-24-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653224000043/anet-20231231.htm
2022-12-31,ANET,USD,0001596532,2023-02-14,2023-02-13 18:10:10,2022,FY,1352446000,62700000,-244382000,230934000,-912821000,-401531000,-638948000,31436000,96222000,3936000,492813000,-44644000,-145087000,-1431548000,1837606000,0,216327000,0,48411000,-670287000,0,-32725000,-654601000,-3611000,50928000,675978000,625050000,492813000,-44644000,448169000,https://www.sec.gov/Archives/edgar/data/1596532/000159653223000016/0001596532-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653223000016/anet-20221231.htm
2021-12-31,ANET,USD,0001596532,2022-02-15,2022-02-14 19:10:53,2021,FY,840854000,50334000,-99290000,186875000,-6876000,-126969000,-170449000,66681000,223861000,43959000,1015856000,-64736000,-19933000,-2317264000,1475072000,1299000,-925562000,0,67245000,-411645000,0,-16482000,-360882000,-1816000,-272404000,625050000,897454000,1015856000,-64736000,951120000,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/0001596532-22-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/anet-20211231.htm
2020-12-31,ANET,USD,0001596532,2021-02-19,2021-02-18 19:04:33,2020,FY,634557000,44590000,-9144000,137042000,-85686000,10673000,-235318000,41161000,97798000,13755000,735114000,-15384000,-224021000,-2688064000,2318667000,0,-608802000,0,57556000,-395173000,0,-8722000,-346339000,1966000,-218061000,897454000,1115515000,735114000,-15384000,719730000,https://www.sec.gov/Archives/edgar/data/1596532/000159653221000049/0001596532-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653221000049/anet-20201231.htm
2019-12-31,ANET,USD,0001596532,2020-02-14,2020-02-13 19:39:57,2019,FY,859867000,32849000,-75741000,101280000,40798000,-60210000,20927000,-1937000,82018000,3981000,963034000,-15751000,26855000,-1503893000,1208717000,0,-284072000,0,57378000,-266142000,0,-9200000,-217964000,353000,461351000,1115515000,654164000,963034000,-15751000,947283000,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/0001596532-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/anet20191231-10k.htm
2018-12-31,ANET,USD,0001596532,2019-02-15,2019-02-15 17:26:01,2018,FY,328115000,27671000,-57896000,91202000,103587000,-77916000,51054000,39337000,91112000,10440000,503119000,-23830000,-104821000,-1174259000,547797000,0,-755113000,-1929000,53658000,0,0,-8878000,42851000,-1390000,-210533000,654164000,864697000,503119000,-23830000,479289000,https://www.sec.gov/Archives/edgar/data/1596532/000159653219000027/0001596532-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653219000027/anet20181231-10k.htm
2017-12-31,ANET,USD,0001596532,2018-02-20,2018-02-16 18:08:29,2017,FY,423201000,20640000,8426000,75427000,102481000,5773000,-69708000,-30104000,196520000,1452000,631627000,-15279000,0,-585373000,206332000,1740000,-392580000,-1617000,57111000,0,0,-4025000,51469000,753000,291269000,859192000,567923000,631627000,-15279000,616348000,https://www.sec.gov/Archives/edgar/data/1596532/000159653218000018/0001596532-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653218000018/anet20171231-10k.htm
2016-12-31,ANET,USD,0001596532,2017-02-17,2017-02-17 17:17:51,2016,FY,184189000,19749000,-21720000,59032000,-68448000,-108856000,-144361000,38678000,146091000,-41362000,131440000,-21419000,-2500000,-439711000,137855000,-204000,-325979000,-1336000,35181000,0,0,41755000,75600000,-464000,-119403000,567923000,687326000,131440000,-21419000,110021000,https://www.sec.gov/Archives/edgar/data/1596532/000159653217000019/0001596532-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653217000019/anet20161231-10k.htm
2015-12-31,ANET,USD,0001596532,2016-02-25,2016-02-25 17:08:19,2015,FY,121102000,13671000,-24409000,45303000,80646000,-47281000,-14123000,9037000,133013000,-35780000,200533000,-19989000,0,-4041000,208200000,0,184170000,-1086000,0,-261000,0,64452000,63105000,-513000,447295000,687326000,240031000,200533000,-19989000,180544000,https://www.sec.gov/Archives/edgar/data/1596532/000159653216000244/0001596532-16-000244-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653216000244/anet20151231-10k.htm
