symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
ARES,2029-12-31,10857750232,12732837472,11663317733,3060848420,3589443911,3287941506,2482572224,2911301878,2666761348,1772725983,2179769473,1947598161,4226580765,4956493269,4540162864,9.83365,11.00591,8.9507,1,1
ARES,2028-12-31,6191625612,7260892995,6651000000,1745446991,2046878255,1874946688,1415685334,1660168164,1520719072,1712796686,1789051611,1750924148.5,2410205167,2826437338,2589025172,8.84062,9.03313,8.64811,2,2
ARES,2027-12-31,6729150756,6896380709,6812765733,1896977736,1944120609,1920549173,1538587866,1576824188,1557706027,1504813765,1595300883,1550057324,2619446804,2684544167,2651995486,7.81634,8.05486,7.59798,4,7
ARES,2026-12-31,5456562162,6049666745,5620806509,1538229312,1705428150,1584530529,1247616621,1383227124,1285170299,1215573062,1426035626,1320804344,2124068079,2354945044,2188003239,6.53482,7.20022,6.13757,5,11
ARES,2025-12-31,4480216983,4689484018,4632411191,1262993233,1321986548,1305897462,1024380005,1072227903,1059178477,972538464,1047502074,1010020269,1744007600,1825468676,1803252019,5.05987,5.28896,4.91046,5,11
ARES,2024-12-31,3374074852,3569108080,3500846451,951166812,1006147553,986904294,771465942,816059349,800451656,784830376,832395134,808612755,1313421248,1389341552,1362769446,4.04275,4.20286,3.9627,4,11
ARES,2023-12-31,2998792052,3516670673,3221281000,845372910,991365213,908093541,685659339,804069788,736530364,356533663,438399471,378201000,1167335454,1368929318,1253943406,1.97776,2.21353,1.80018,3,8
ARES,2022-12-30,2386413745,2896192182,2575872948,1188683902,1442606937,1283054421,1061433099,1288173205,1145701080,574637167,738107351,635390370,928955835,1127396551,1002706345,3.20816,3.72679,2.90141,2,4
ARES,2021-12-30,2092332975,2539290774,2258444882,634610077,951915116,793262597,556948878,835423318,696186098,376655448,564983173,470819311,321104606,481656909,401380758,2.44654,2.84205,2.21261,3,3
ARES,2020-12-30,1434878361,1741392707,1548794446,398281788,597422684,497852236,194699977,355703538,275201758,95322123,171802327,133562225,186357997,279536997,232947497,1.76697,2.05262,1.59802,3,3
ARES,2019-12-30,1164237374,1412938216,1256667065,415858500,623787751,519823126,240108204,360162308,300135256,117928619,176892929,147410774,212998834,319498250,266248542,1.52233,1.76843,1.37677,2,4
ARES,2018-12-30,847253459,1028241163,914517556,266055144,399082715,332568930,68835232,120106848,94471040,47042761,82339142,64690952,167953589,251930384,209941987,1.3299,1.54489,1.20274,3,3
ARES,2017-12-30,1307547124,1586861360,1411354286,170918837,305374507,238146672,-253458031,-67924548,-160691290,26426846,91057770,58742308,159519698,239279547,199399623,1.86778,2.16972,1.68919,3,7
ARES,2016-12-30,1022365615,1240760245,1103532000,212879952,319319928,266099940,106495004,159742506,133118755,59863146,94389414,77126281,115943840,173915759,144929800,1.37031,1.59183,1.23929,2,7
ARES,2015-12-30,711124433,863032669,767581143,403814659,605721989,504768324,-159488989,-93674320,-126581655,-6731528,18742520,6005496,272578316,408867475,340722896,0.95619,1.11077,0.86476,3,5
