date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2025-11-02,AVGO,USD,0001730168,2025-12-18,2025-12-18 16:04:47,2025,FY,16178000000,0,16178000000,7145000000,2270000000,5980000000,31573000000,2530000000,97801000000,32273000000,130074000000,0,0,6915000000,139519000000,0,171092000000,1560000000,3152000000,0,0,13802000000,18514000000,61984000000,0,0,9302000000,71286000000,0,0,89800000000,0,5000000,9761000000,218000000,71308000000,81292000000,81292000000,171092000000,0,171092000000,0,65136000000,48958000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm
2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,9348000000,0,9348000000,4416000000,1760000000,4071000000,19595000000,2521000000,97873000000,40583000000,138456000000,0,0,5073000000,146050000000,0,165645000000,1662000000,1271000000,720000000,9395000000,3649000000,16697000000,66308000000,5100000000,4703000000,5172000000,81270000000,0,39000000,97967000000,0,5000000,0,207000000,67466000000,67678000000,67678000000,165645000000,0,165645000000,0,67566000000,58218000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm
2023-10-29,AVGO,USD,0001730168,2023-12-14,2023-12-14 16:54:05,2023,FY,14189000000,0,14189000000,3154000000,1898000000,1606000000,20847000000,2617000000,43653000000,3867000000,47520000000,0,0,1877000000,52014000000,0,72861000000,1210000000,1668000000,473000000,2487000000,1567000000,7405000000,37980000000,299000000,-299000000,3488000000,41468000000,0,468000000,48873000000,0,4000000,2682000000,207000000,21099000000,23988000000,23988000000,72861000000,0,72861000000,0,39648000000,25459000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/0001730168-23-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm
2022-10-30,AVGO,USD,0001730168,2022-12-16,2022-12-16 16:21:52,2022,FY,12416000000,0,12416000000,2958000000,1925000000,1205000000,18504000000,2223000000,43614000000,7111000000,50725000000,0,0,1797000000,54745000000,0,73249000000,998000000,514000000,680000000,2931000000,1929000000,7052000000,39464000000,410000000,3229000000,385000000,43488000000,0,522000000,50540000000,0,0,1604000000,-54000000,21159000000,22709000000,22709000000,73249000000,0,73249000000,0,39978000000,27562000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm
2021-10-31,AVGO,USD,0001730168,2021-12-17,2021-12-17 16:42:51,2021,FY,12163000000,0,12163000000,2071000000,1297000000,1055000000,16586000000,2348000000,43450000000,11374000000,54824000000,0,0,1812000000,58984000000,0,75570000000,1086000000,373000000,541000000,2619000000,1662000000,6281000000,39900000000,566000000,-566000000,4400000000,44300000000,0,608000000,50581000000,27000000,0,748000000,-116000000,24330000000,24989000000,24989000000,75570000000,0,75570000000,0,40273000000,28110000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/0001730168-21-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm
2020-11-01,AVGO,USD,0001730168,2020-12-18,2020-12-18 17:07:10,2020,FY,7618000000,0,7618000000,2297000000,1003000000,977000000,11895000000,2509000000,43447000000,16782000000,60229000000,0,240000000,1060000000,64038000000,0,75933000000,836000000,947000000,440000000,2620000000,1528000000,6371000000,40810000000,823000000,0,4028000000,45661000000,0,695000000,52032000000,27000000,0,0,-108000000,23982000000,23901000000,23901000000,75933000000,0,75933000000,0,41689000000,34071000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/0001730168-20-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm
2019-11-03,AVGO,USD,0001730168,2019-12-20,2019-12-20 16:10:06,2019,FY,5055000000,0,5055000000,3259000000,874000000,729000000,9917000000,2565000000,36714000000,17554000000,54268000000,0,0,743000000,57576000000,0,67493000000,855000000,2787000000,229000000,1501000000,1527000000,6899000000,30011000000,-4800000000,4800000000,5613000000,35624000000,0,0,42523000000,29000000,0,0,-140000000,25081000000,24970000000,24970000000,67493000000,0,67493000000,0,32798000000,27743000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016819000144/0001730168-19-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016819000144/avgo-11032019x10k.htm
2018-11-04,AVGO,USD,0001730168,2018-12-21,2018-12-21 17:17:50,2018,FY,4292000000,0,4292000000,3325000000,1124000000,366000000,9107000000,2635000000,26913000000,10762000000,37675000000,0,0,707000000,41017000000,0,50124000000,811000000,0,162000000,164000000,1201000000,2338000000,17493000000,0,169000000,3467000000,21129000000,0,0,23467000000,0,23285000000,3487000000,-115000000,0,26657000000,26657000000,50124000000,0,50124000000,0,17493000000,13201000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/0001730168-18-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/avgo-11042018x10k.htm
2017-10-31,AVGO,USD,0001730168,2017-10-31,2017-10-31 00:00:00,2017,FY,11204000000,0,11204000000,2448000000,1447000000,724000000,15823000000,2599000000,24706000000,10832000000,35538000000,0,21000000,437000000,38595000000,0,54418000000,1105000000,117000000,123000000,0,1184000000,2529000000,17431000000,0,10019000000,1253000000,28703000000,0,0,31232000000,0,20505000000,-129000000,-91000000,0,20285000000,23186000000,54418000000,2901000000,54418000000,-21000000,17548000000,6344000000,,
2016-10-31,AVGO,USD,0001730168,2016-10-31,2016-10-31 00:00:00,2016,FY,3097000000,0,3097000000,2181000000,1400000000,447000000,7125000000,2509000000,24732000000,15068000000,39800000000,0,0,532000000,42841000000,0,49966000000,1261000000,454000000,0,517000000,846000000,3078000000,13188000000,0,10287000000,1537000000,25012000000,0,0,28090000000,0,19241000000,-215000000,-134000000,0,18892000000,21876000000,49966000000,2984000000,49966000000,0,13642000000,10545000000,,
