symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
CFG,2024-12-31,43.76,450678000,19721669280,11236000000,12401000000,20886669280
CFG,2023-12-31,33.14,475089000,15744449460,12033000000,13972000000,17683449460
CFG,2022-12-31,39.37,475960000,18738545200,10850000000,15890000000,23778545200
CFG,2021-12-31,47.25,425669000,20112860250,9474000000,7006000000,17644860250
CFG,2020-12-31,35.76,427063000,15271772880,13039000000,8589000000,10821772880
CFG,2019-12-31,40.61,449731000,18263575910,3683000000,14321000000,28901575910
CFG,2018-12-31,29.73,478822000,14235378060,4222000000,17242000000,27255378060
CFG,2017-12-31,41.98,502157000,21080550860,3224000000,14436000000,32292550860
CFG,2016-12-31,35.63,522094000,18602209220,4143000000,17149000000,31608209220
CFG,2015-12-31,26.19,535600000,14027364000,3441000000,13318000000,23904364000
CFG,2014-12-31,24.86,556674000,13838915640,3646000000,15171000000,25363915640
CFG,2013-12-31,23.08,559804000,12920276319,2990000000,8447000000,18377276319
CFG,2012-12-31,23.08,559998000,12924753839,3189000000,4796000000,14531753839
CFG,2011-12-31,23.08,559998000,12924753839,0,0,12924753839
