date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-05,42.99,43.9895,42.62,43.9895,43.9895,2494174,2494174,0.9995,2.32496,43.53,"January 05, 26",0.0232496
2026-01-02,41.18,42.07,40.53,41.78,41.78,4553989,4553989,0.6,1.46,41.39,"January 02, 26",0.0146
2025-12-31,41.19,41.8,41.05,41.15,41.15,3671629,3671629,-0.04,-0.09711095,41.2975,"December 31, 25",-0.0009711095
2025-12-30,40.79,41.63,40.79,41.21,41.21,4557200,4557200,0.42,1.03,41.105,"December 30, 25",0.0103
2025-12-29,40.55,40.99,40.51,40.81,40.81,3897034,3897034,0.265,0.64118,40.715,"December 29, 25",0.0064118
2025-12-26,39.92,40.53,39.82,40.51,40.51,2672903,2672903,0.59,1.48,40.195,"December 26, 25",0.0148
2025-12-24,39.46,40.11,39.39,39.89,39.89,2539500,2539500,0.43,1.09,39.7125,"December 24, 25",0.0109
2025-12-23,39.92,39.99,39.34,39.6,39.6,3586207,3586207,-0.32,-0.8016,39.7125,"December 23, 25",-0.008016
2025-12-22,38.79,40.15,38.58,39.95,39.95,5009186,5009186,1.16,2.99,39.3675,"December 22, 25",0.0299
2025-12-19,39.24,39.86,38.97,39.02,39.02,10471819,10471819,-0.22,-0.56065,39.2725,"December 19, 25",-0.0056065
2025-12-18,38.64,39.91,38.27,39.22,39.22,5144600,5144600,0.58,1.5,39.01,"December 18, 25",0.015
2025-12-17,39.07,39.15,38.02,38.87,38.87,6387000,6387000,-0.2,-0.5119,38.7775,"December 17, 25",-0.005119
2025-12-16,40.29,40.47,38.36,38.97,38.97,7951033,7951033,-1.32,-3.28,39.5225,"December 16, 25",-0.0328
2025-12-15,41.11,41.25,40.44,40.45,40.45,7137000,7137000,-0.655,-1.61,40.8125,"December 15, 25",-0.0161
2025-12-12,40.86,41.74,40.64,40.85,40.85,6318400,6318400,-0.01,-0.02447381,41.0225,"December 12, 25",-0.0002447381
2025-12-11,38.46,41.4,38.45,40.46,40.46,9018630,9018630,2,5.2,39.6925,"December 11, 25",0.052
2025-12-10,37.89,38.85,37.25,38.67,38.67,8414200,8414200,0.78,2.06,38.165,"December 10, 25",0.0206
2025-12-09,37.9,38.37,37.85,38.08,38.08,4350700,4350700,0.18,0.47493,38.05,"December 09, 25",0.0047493
2025-12-08,38.67,38.67,37.77,37.88,37.88,5167300,5167300,-0.79,-2.04,38.2475,"December 08, 25",-0.0204
2025-12-05,38.88,38.88,37.75,38.34,38.34,7470600,7470600,-0.54,-1.39,38.4625,"December 05, 25",-0.0139
2025-12-04,38.67,39,38.4,38.85,38.85,4798315,4798315,0.18,0.46548,38.73,"December 04, 25",0.0046548
2025-12-03,38.78,39.34,38.59,38.81,38.81,3838200,3838200,0.03,0.07735946,38.88,"December 03, 25",0.0007735946
2025-12-02,37.93,38.97,37.41,38.81,38.81,7406905,7406905,0.88,2.32,38.28,"December 02, 25",0.0232
2025-12-01,39.03,39.1,37.86,37.89,37.89,6429900,6429900,-1.14,-2.92,38.47,"December 01, 25",-0.0292
2025-11-28,39.5,39.68,39.11,39.34,39.34,2125700,2125700,-0.16,-0.40506,39.4075,"November 28, 25",-0.0040506
2025-11-26,39.32,39.93,39.17,39.46,39.46,6691647,6691647,0.14,0.35605,39.47,"November 26, 25",0.0035605
2025-11-25,38.37,39.84,38.26,39.66,39.66,7073600,7073600,1.29,3.36,39.0325,"November 25, 25",0.0336
2025-11-24,39.31,39.71,37.33,38.17,38.17,21103300,21103300,-1.14,-2.9,38.63,"November 24, 25",-0.029
2025-11-21,35.25,36.71,35,36.5,36.5,7915900,7915900,1.25,3.55,35.865,"November 21, 25",0.0355
2025-11-20,36.01,36.28,34.39,34.83,34.83,8321318,8321318,-1.18,-3.28,35.3775,"November 20, 25",-0.0328
2025-11-19,36.93,37.13,35.68,35.95,35.95,6933800,6933800,-0.98,-2.65,36.4225,"November 19, 25",-0.0265
2025-11-18,36.81,37,35.46,36.93,36.93,8029500,8029500,0.12,0.326,36.55,"November 18, 25",0.00326
2025-11-17,36.38,38.15,36,37.08,37.08,9098300,9098300,0.705,1.92,36.9025,"November 17, 25",0.0192
2025-11-14,35.98,36.72,35.59,36.38,36.38,7387900,7387900,0.4,1.11,36.1675,"November 14, 25",0.0111
2025-11-13,35.8,36.5,35.46,36.09,36.09,7244240,7244240,0.29,0.81006,35.9625,"November 13, 25",0.0081006
2025-11-12,35.23,37.07,35.23,36.2,36.2,8729631,8729631,0.97,2.75,35.9325,"November 12, 25",0.0275
