symbol,date,marketCap
COIN,2026-01-02,62167416430
COIN,2025-12-31,59436602340
COIN,2025-12-30,60871659600
COIN,2025-12-29,61442002870
COIN,2025-12-26,62264663900
COIN,2025-12-24,63008475630
COIN,2025-12-23,63683951300
COIN,2025-12-22,65155804900
COIN,2025-12-19,64425134720
COIN,2025-12-18,62869175200
COIN,2025-12-17,64180701890
COIN,2025-12-16,66393738910
COIN,2025-12-15,65818139020
COIN,2025-12-12,70296779260
COIN,2025-12-11,70706795620
COIN,2025-12-10,72302179790
COIN,2025-12-09,72898806160
COIN,2025-12-08,72068260200
COIN,2025-12-05,70893405630
COIN,2025-12-04,72028835550
COIN,2025-12-03,72783160520
COIN,2025-12-02,69192889060
COIN,2025-12-01,68294007039
COIN,2025-11-28,71705553420
COIN,2025-11-26,69642330070
COIN,2025-11-25,66790613720
COIN,2025-11-24,67276851070
COIN,2025-11-21,63187200710
COIN,2025-11-20,62595830960
COIN,2025-11-19,67623787990
COIN,2025-11-18,68806527490
COIN,2025-11-17,69374242450
COIN,2025-11-14,74644004000
COIN,2025-11-13,74417969340
COIN,2025-11-12,79900624000
COIN,2025-11-11,79903252310
COIN,2025-11-10,83561859830
COIN,2025-11-07,81251575340
COIN,2025-11-06,77592967820
COIN,2025-11-05,83921938300
COIN,2025-11-04,80773222920
COIN,2025-11-03,86844619020
COIN,2025-10-31,90356041180
COIN,2025-10-30,86342611810
COIN,2025-10-29,91625514910
COIN,2025-10-28,93362827820
COIN,2025-10-27,94995008330
COIN,2025-10-24,93163076260
COIN,2025-10-23,84831333560
COIN,2025-10-22,84192654230
COIN,2025-10-21,88999833220
COIN,2025-10-20,90356041180
COIN,2025-10-17,88316472620
COIN,2025-10-16,86799937750
COIN,2025-10-15,88390065300
COIN,2025-10-14,89769928050
COIN,2025-10-13,93828038690
COIN,2025-10-10,93833295310
COIN,2025-10-09,101715597000
COIN,2025-10-08,101786561370
COIN,2025-10-07,98766633180
COIN,2025-10-06,101471164170
COIN,2025-10-03,99881036620
COIN,2025-10-02,97791530170
COIN,2025-10-01,90984207270
COIN,2025-09-30,88702834190
COIN,2025-09-29,87782925690
COIN,2025-09-26,82158342290
COIN,2025-09-25,80607639390
COIN,2025-09-24,84571130870
COIN,2025-09-23,84124318170
COIN,2025-09-22,87246750450
COIN,2025-09-19,90009104260
COIN,2025-09-18,90185201030
COIN,2025-09-17,84253105360
COIN,2025-09-16,86184913210
COIN,2025-09-15,85950993620
COIN,2025-09-12,84904926240
COIN,2025-09-11,85144102450
COIN,2025-09-10,82881127540
COIN,2025-09-09,83785266180
COIN,2025-09-08,79427528200
COIN,2025-09-05,78604867170
COIN,2025-09-04,80636550800
COIN,2025-09-03,79456439610
COIN,2025-09-02,79784978360
COIN,2025-08-29,80042552740
COIN,2025-08-28,81075478570
COIN,2025-08-27,81206894070
COIN,2025-08-26,81078106880
COIN,2025-08-25,80426286000
COIN,2025-08-22,84066495350
COIN,2025-08-21,78922892680
COIN,2025-08-20,80003128090
COIN,2025-08-19,79393360170
COIN,2025-08-18,84297786630
COIN,2025-08-15,83461984050
COIN,2025-08-14,85391163590
COIN,2025-08-13,85948365310
COIN,2025-08-12,84794537220
COIN,2025-08-11,84006044220
COIN,2025-08-08,81619538740
COIN,2025-08-07,81685246490
COIN,2025-08-06,79790234980
COIN,2025-08-05,78321009690
COIN,2025-08-04,83624939270
COIN,2025-08-01,82710287390
COIN,2025-07-31,99287038560
COIN,2025-07-30,99213445880
COIN,2025-07-29,97625946640
COIN,2025-07-28,99741736190
COIN,2025-07-25,102940389460
COIN,2025-07-24,104265057700
COIN,2025-07-23,104556800110
COIN,2025-07-22,106299369640
COIN,2025-07-21,108714786530
COIN,2025-07-18,110331197180
COIN,2025-07-17,107957833250
COIN,2025-07-16,104659304200
COIN,2025-07-15,101983684620
COIN,2025-07-14,103558042310
COIN,2025-07-11,101731366860
COIN,2025-07-10,102230745760
COIN,2025-07-09,98259369350
COIN,2025-07-08,93257695420
COIN,2025-07-07,93856950100
COIN,2025-07-03,93515269800
COIN,2025-07-02,93160447950
COIN,2025-07-01,88135119230
COIN,2025-06-30,92119637190
COIN,2025-06-27,90191094840
COIN,2025-06-26,95713363160
COIN,2025-06-25,90686159560
COIN,2025-06-24,87993926160
COIN,2025-06-23,78493276920
COIN,2025-06-20,78694875440
COIN,2025-06-18,75354464520
COIN,2025-06-17,64779473800
COIN,2025-06-16,66749525160
COIN,2025-06-13,61936679480
COIN,2025-06-12,61513067400
COIN,2025-06-11,63970527840
COIN,2025-06-10,65057628720
COIN,2025-06-09,65488896440
COIN,2025-06-06,64121088760
COIN,2025-06-05,62316909600
COIN,2025-06-04,65328128000
COIN,2025-06-03,66070725080
COIN,2025-06-02,62959983360
COIN,2025-05-30,62934464560
COIN,2025-05-29,63500981920
COIN,2025-05-28,64891756520
COIN,2025-05-27,67982083199
COIN,2025-05-23,67155274080
COIN,2025-05-22,69398376600
COIN,2025-05-21,66091140120
COIN,2025-05-20,66701039440
COIN,2025-05-19,67367080120
COIN,2025-05-16,67997394479
COIN,2025-05-15,62378154720
COIN,2025-05-14,67219071080
COIN,2025-05-13,65557797199
COIN,2025-05-12,52880057360
COIN,2025-05-09,50864072160
COIN,2025-05-08,52696322000
COIN,2025-05-07,50159753280
COIN,2025-05-06,50243965320
COIN,2025-05-05,50884487200
COIN,2025-05-02,52295676840
COIN,2025-05-01,51369344400
COIN,2025-04-30,51775093320
COIN,2025-04-29,52601902440
COIN,2025-04-28,52382440760
COIN,2025-04-25,53497612320
COIN,2025-04-24,52025177560
COIN,2025-04-23,49710622400
COIN,2025-04-22,48485720000
COIN,2025-04-21,44657900000
COIN,2025-04-17,44665555640
COIN,2025-04-16,43945925480
COIN,2025-04-15,44803357160
COIN,2025-04-14,45061097040
COIN,2025-04-11,44785494000
COIN,2025-04-10,43284988560
COIN,2025-04-09,45191242920
COIN,2025-04-08,38653326360
COIN,2025-04-07,40135968640
COIN,2025-04-04,40970433400
COIN,2025-04-03,43575902880
COIN,2025-04-02,46686644600
COIN,2025-04-01,44535409760
COIN,2025-03-31,43951029240
COIN,2025-03-28,44157000540
COIN,2025-03-27,47876313240
COIN,2025-03-26,49239638100
COIN,2025-03-25,51849503940
COIN,2025-03-24,51547389120
COIN,2025-03-21,48201277080
COIN,2025-03-20,48333293640
COIN,2025-03-19,48173350500
COIN,2025-03-18,45987460920
COIN,2025-03-17,47972786880
COIN,2025-03-14,46490139360
COIN,2025-03-13,45060806220
COIN,2025-03-12,48676028940
COIN,2025-03-11,48665873820
COIN,2025-03-10,45502553940
COIN,2025-03-07,55205771100
COIN,2025-03-06,54373051260
COIN,2025-03-05,56475161100
COIN,2025-03-04,53961768900
COIN,2025-03-03,52235398500
COIN,2025-02-28,54741174360
COIN,2025-02-27,52900558860
COIN,2025-02-26,54065858880
COIN,2025-02-25,53946536220
COIN,2025-02-24,57648077460
COIN,2025-02-21,59757803640
COIN,2025-02-20,65142556019
COIN,2025-02-19,65670622260
COIN,2025-02-18,67183735140
COIN,2025-02-14,69641274180
COIN,2025-02-13,75683570580
COIN,2025-02-12,69791062200
COIN,2025-02-11,67760038199
COIN,2025-02-10,71141693160
COIN,2025-02-07,69686972220
COIN,2025-02-06,68640994860
COIN,2025-02-05,69851992920
COIN,2025-02-04,71184852420
COIN,2025-02-03,72205441980
COIN,2025-01-31,73962277740
COIN,2025-01-30,76493441400
COIN,2025-01-29,73878498000
COIN,2025-01-28,71547897960
COIN,2025-01-27,70575545220
COIN,2025-01-24,75655644000
COIN,2025-01-23,75150426780
COIN,2025-01-22,75109806300
COIN,2025-01-21,74688368820
COIN,2025-01-17,75015871440
COIN,2025-01-16,71499661140
COIN,2025-01-15,69798678540
COIN,2025-01-14,64832824860
COIN,2025-01-13,63774153600
COIN,2025-01-10,65698548839
COIN,2025-01-08,66010818780
COIN,2025-01-07,67107571739
COIN,2025-01-06,73055933280
COIN,2025-01-03,68712080699
COIN,2025-01-02,65299960379
COIN,2024-12-31,63037907400
COIN,2024-12-30,64274873360
COIN,2024-12-27,66827659259
COIN,2024-12-26,69015761460
COIN,2024-12-24,70326107720
COIN,2024-12-23,67441333899
COIN,2024-12-20,70097237260
COIN,2024-12-19,68892523520
COIN,2024-12-18,70386469160
COIN,2024-12-17,78379329840
COIN,2024-12-16,79302356860
COIN,2024-12-13,78112733480
COIN,2024-12-12,78711317760
COIN,2024-12-11,78925097860
COIN,2024-12-10,76060444520
COIN,2024-12-09,78097643120
COIN,2024-12-06,86422491720
COIN,2024-12-05,80625278420
COIN,2024-12-04,83233395640
COIN,2024-12-03,77803381100
COIN,2024-12-02,76055414400
COIN,2024-11-29,74496077200
COIN,2024-11-27,78213335880
COIN,2024-11-26,73764194740
COIN,2024-11-25,78525203320
COIN,2024-11-22,76618787840
COIN,2024-11-21,74252116380
COIN,2024-11-20,80484435060
COIN,2024-11-19,81631302420
COIN,2024-11-18,81842567460
COIN,2024-11-15,76923110100
COIN,2024-11-14,70129933040
COIN,2024-11-13,71608788320
COIN,2024-11-12,80263109780
COIN,2024-11-11,81548305440
COIN,2024-11-08,68092734440
COIN,2024-11-07,64279903480
COIN,2024-11-06,63960490860
COIN,2024-11-05,48782103760
COIN,2024-11-04,46848022620
COIN,2024-11-01,45995417280
COIN,2024-10-31,45082450500
COIN,2024-10-30,53253880440
COIN,2024-10-29,55245807960
COIN,2024-10-28,54350446600
COIN,2024-10-25,51568790240
COIN,2024-10-24,52604994960
COIN,2024-10-23,50032088580
COIN,2024-10-22,52997344320
COIN,2024-10-21,53751862320
COIN,2024-10-18,55384136260
COIN,2024-10-17,51357525200
COIN,2024-10-16,52936982880
COIN,2024-10-15,49380688040
COIN,2024-10-14,49383203100
COIN,2024-10-11,44360628280
COIN,2024-10-10,41314890620
COIN,2024-10-09,41993956820
COIN,2024-10-08,42175041140
COIN,2024-10-07,42484393520
COIN,2024-10-04,42984890460
COIN,2024-10-03,41020628600
COIN,2024-10-02,41365191820
COIN,2024-10-01,41501005060
COIN,2024-09-30,44810824020
COIN,2024-09-27,47584525820
COIN,2024-09-26,44772701620
COIN,2024-09-25,41575184720
COIN,2024-09-24,42719821120
COIN,2024-09-23,42356523480
COIN,2024-09-20,42324175060
COIN,2024-09-19,41863832160
COIN,2024-09-18,40470361760
COIN,2024-09-17,40423083300
COIN,2024-09-16,40186691000
COIN,2024-09-13,40572383700
COIN,2024-09-12,40532570260
COIN,2024-09-11,39104263100
COIN,2024-09-10,39430235640
COIN,2024-09-09,38581711700
COIN,2024-09-06,36665689900
COIN,2024-09-05,39738789800
COIN,2024-09-04,40614685480
COIN,2024-09-03,42085294420
COIN,2024-08-30,45626202240
COIN,2024-08-29,46850465520
COIN,2024-08-28,47328226800
COIN,2024-08-27,49343782200
COIN,2024-08-26,50762136000
COIN,2024-08-23,52603507600
COIN,2024-08-22,49376130620
COIN,2024-08-21,51317035820
COIN,2024-08-20,49082506500
COIN,2024-08-19,50876599640
COIN,2024-08-16,51088108540
COIN,2024-08-15,49050158080
COIN,2024-08-14,48761510640
COIN,2024-08-13,49254201960
COIN,2024-08-12,47711431160
COIN,2024-08-09,48843625860
COIN,2024-08-08,47855754880
COIN,2024-08-07,44518890940
COIN,2024-08-06,48316097780
COIN,2024-08-05,47146577980
COIN,2024-08-02,50871622960
COIN,2024-08-01,52912061760
COIN,2024-07-31,55828396240
COIN,2024-07-30,55853279640
COIN,2024-07-29,58276922800
COIN,2024-07-26,60449243620
COIN,2024-07-25,57610047680
COIN,2024-07-24,60979260040
COIN,2024-07-23,64107103420
COIN,2024-07-22,65978335099
COIN,2024-07-19,64146916860
COIN,2024-07-18,58038042160
COIN,2024-07-17,61984549400
COIN,2024-07-16,62579262660
COIN,2024-07-15,60429336900
COIN,2024-07-12,54250788680
COIN,2024-07-11,53407241420
COIN,2024-07-10,54633993040
COIN,2024-07-09,54736014980
COIN,2024-07-08,54882827040
COIN,2024-07-05,55659189120
COIN,2024-07-03,55972719960
COIN,2024-07-02,56612223340
COIN,2024-07-01,58070390580
COIN,2024-06-28,54734804540
COIN,2024-06-27,55170752000
COIN,2024-06-26,52850624840
COIN,2024-06-25,54606729580
COIN,2024-06-24,52291528380
COIN,2024-06-21,55628866280
COIN,2024-06-20,57887418940
COIN,2024-06-18,58114013100
COIN,2024-06-17,60367639800
COIN,2024-06-14,60219861000
COIN,2024-06-13,60993236720
COIN,2024-06-12,62796138080
COIN,2024-06-11,60145971600
COIN,2024-06-10,61527703380
COIN,2024-06-07,60136119680
COIN,2024-06-06,63318289839
COIN,2024-06-05,61919317200
COIN,2024-06-04,60145971600
COIN,2024-06-03,56990894220
COIN,2024-05-31,55643644160
COIN,2024-05-30,57820918480
COIN,2024-05-29,58286421700
COIN,2024-05-28,60343010000
COIN,2024-05-24,58532719700
COIN,2024-05-23,53904780280
COIN,2024-05-22,57020449980
COIN,2024-05-21,55609162440
COIN,2024-05-20,55463846620
COIN,2024-05-17,51131464800
COIN,2024-05-16,49055172660
COIN,2024-05-15,54163393180
COIN,2024-05-14,50010808900
COIN,2024-05-13,49138913980
COIN,2024-05-10,49486194160
COIN,2024-05-09,51833414100
COIN,2024-05-08,52018137600
