date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,CPAY,USD,0001175454,2025-02-27,2025-02-27 17:13:10,2024,FY,1553642000,0,1553642000,2090500000,0,5031727000,8675869000,377705000,5984667000,2410442000,8395109000,60088000,0,448260000,9281162000,0,17957031000,1570426000,2769974000,129314000,3266126000,972041000,8707881000,5226106000,0,439176000,437879000,6103161000,0,0,14811042000,0,131000,9196405000,-1713996000,-4360198000,3122342000,3145989000,17957031000,23647000,17957031000,60088000,7996080000,6442438000,https://www.sec.gov/Archives/edgar/data/1175454/000162828025008746/0001628280-25-008746-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000162828025008746/flt-20241231.htm
2023-12-31,CPAY,USD,0001175454,2023-12-31,2023-12-30 19:00:00,2023,FY,1389648000,0,1389648000,2161586000,0,3533031000,7084265000,343154000,5644958000,2085663000,7730621000,69521000,0,248691000,8391987000,0,15476252000,1624995000,2126749000,109323000,2397279000,567407000,6825753000,4596156000,0,470232000,301752000,5368140000,0,0,12193893000,0,129000,8192659000,-1289099000,-3621330000,3282359000,3282359000,15476252000,0,15476252000,69521000,6722905000,5333257000,,
2022-12-31,CPAY,USD,0001175454,2022-12-31,2022-12-30 19:00:00,2022,FY,1435163000,0,1435163000,2064745000,0,2606244000,6106152000,294692000,5201435000,2130974000,7332409000,74281000,0,281726000,7983108000,0,14089260000,1568942000,2314056000,94557000,1505004000,560896000,6043455000,4722838000,0,527465000,254009000,5504312000,0,0,11547767000,0,128000,7210769000,-1509650000,-3159754000,2541493000,2541493000,14089260000,0,14089260000,74281000,7036894000,5601731000,,
2021-12-31,CPAY,USD,0001175454,2021-12-31,2021-12-30 19:00:00,2021,FY,1520027000,0,1520027000,1793274000,0,2174747000,5488048000,236294000,5078978000,2335385000,7414363000,52016000,0,213932000,7916605000,0,13404653000,1406350000,1517628000,93627000,1788705000,484041000,5290351000,4460039000,0,566291000,221392000,5247722000,0,0,10538073000,0,127000,6256442000,-1464616000,-1925373000,2866580000,2866580000,13404653000,0,13404653000,52016000,5977667000,4457640000,,
2020-12-31,CPAY,USD,0001175454,2020-12-31,2020-12-30 19:00:00,2020,FY,934900000,0,934900000,1366775000,0,1654643000,3956318000,202509000,4719181000,2115882000,6835063000,7480000,0,193209000,7238261000,0,11194579000,1054478000,1205697000,78771000,1175322000,454043000,3968311000,3097580000,0,498154000,275123000,3870857000,0,0,7839168000,0,126000,5416945000,-1363158000,-698502000,3355411000,3355411000,11194579000,0,11194579000,7480000,4303277000,3368377000,,
2019-12-31,CPAY,USD,0001175454,2019-12-31,2019-12-30 19:00:00,2019,FY,1271494000,0,1271494000,1568961000,0,1778116000,4618571000,199825000,4833047000,2341882000,7174929000,30440000,0,224776000,7629970000,0,12248541000,1249586000,1746838000,0,1007631000,459013000,4463068000,3289947000,0,519980000,263930000,4073857000,0,0,8536925000,0,124000,4712729000,-972465000,-28772000,3711616000,3711616000,12248541000,0,12248541000,30440000,5036785000,3765291000,,
2018-12-31,CPAY,USD,0001175454,2018-12-31,2018-12-30 19:00:00,2018,FY,1031145000,0,1031145000,1425815000,0,1419026000,3875986000,186201000,4542074000,2407910000,6949984000,42674000,0,147632000,7326491000,0,11202477000,1117649000,2070616000,0,926685000,380263000,4495213000,2748431000,0,491946000,126707000,3367084000,0,0,7862297000,0,123000,3817656000,-913858000,436259000,3340180000,3340180000,11202477000,0,11202477000,42674000,4819047000,3787902000,,
2017-12-31,CPAY,USD,0001175454,2017-12-31,2017-12-30 19:00:00,2017,FY,913595000,0,913595000,1420011000,0,1216095000,3549701000,180057000,4715823000,2724957000,7440780000,32859000,0,114962000,7768658000,0,11318359000,1437314000,1616512000,0,732171000,309505000,4095502000,2902104000,0,518912000,125319000,3546335000,0,0,7641837000,0,122000,2958921000,-551857000,1269336000,3676522000,3676522000,11318359000,0,11318359000,32859000,4518616000,3605021000,,
2016-12-31,CPAY,USD,0001175454,2016-12-31,2016-12-30 19:00:00,2016,FY,475018000,0,475018000,1202009000,0,850666000,2527693000,142504000,4195150000,2653233000,6848383000,36200000,0,71952000,7099039000,0,9626732000,1151432000,1336506000,0,530787000,277593000,3296318000,2521727000,0,668580000,56069000,3246376000,0,0,6542694000,0,121000,2218721000,-666403000,1531599000,3084038000,3084038000,9626732000,0,9626732000,36200000,3858233000,3383215000,,
2015-12-31,CPAY,USD,0001175454,2015-12-31,2015-12-30 19:00:00,2015,FY,447152000,0,447152000,638954000,0,858518000,1944624000,80760000,3546034000,2183595000,5729629000,76568000,0,58225000,5945182000,0,7889806000,669528000,875100000,0,507233000,195613000,2247474000,2059900000,0,713428000,38957000,2812285000,0,0,5059759000,0,121000,1766336000,-570811000,1634401000,2830047000,2830047000,7889806000,0,7889806000,76568000,2935000000,2487848000,,
