symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
CRL,2026-01-01,10,7,0,0,1
CRL,2025-12-01,10,8,0,0,1
CRL,2025-11-01,9,10,0,1,2
CRL,2025-10-01,7,11,0,1,2
CRL,2025-09-01,6,12,0,0,1
CRL,2025-08-01,5,12,1,0,1
CRL,2025-07-01,5,14,1,0,0
CRL,2025-06-01,4,15,1,0,1
CRL,2025-05-01,4,16,1,0,2
CRL,2025-04-01,2,16,1,0,2
CRL,2025-03-01,2,16,3,0,3
CRL,2025-02-01,3,13,3,1,3
CRL,2025-01-01,4,12,3,1,3
CRL,2024-12-01,4,12,3,0,3
CRL,2024-11-01,4,13,3,0,5
CRL,2024-10-01,6,13,3,0,5
CRL,2024-09-01,6,13,0,0,5
CRL,2024-08-01,6,13,0,0,5
CRL,2024-07-01,6,10,0,0,5
CRL,2024-06-01,6,8,0,0,5
CRL,2024-05-01,5,7,0,0,5
CRL,2024-04-01,5,7,0,0,5
CRL,2024-03-01,5,7,0,0,5
CRL,2024-02-01,5,7,0,0,5
CRL,2024-01-01,5,7,0,0,5
CRL,2023-12-01,5,7,0,0,5
CRL,2023-11-01,5,7,0,0,5
CRL,2023-10-01,5,7,0,0,5
CRL,2023-09-01,5,7,0,0,5
CRL,2023-08-01,5,7,0,0,5
CRL,2023-07-01,5,7,0,0,5
CRL,2023-06-01,5,7,0,0,5
CRL,2023-05-01,5,7,0,0,5
CRL,2023-04-01,5,7,0,0,5
CRL,2023-03-01,5,7,0,0,5
CRL,2023-02-01,5,7,0,0,5
CRL,2023-01-01,3,8,0,0,5
CRL,2022-12-01,3,8,0,0,5
CRL,2022-11-01,3,8,0,0,5
CRL,2022-10-01,3,8,0,0,5
CRL,2022-09-01,8,2,0,0,6
CRL,2022-08-01,3,8,0,0,5
CRL,2022-07-01,8,2,0,0,6
CRL,2022-06-01,3,8,0,0,5
CRL,2022-05-01,7,1,0,0,6
CRL,2022-04-01,3,8,0,0,5
CRL,2022-03-01,3,8,0,0,5
CRL,2022-02-01,3,8,0,0,5
CRL,2022-01-01,3,8,0,0,5
CRL,2021-12-01,3,8,0,0,5
CRL,2021-11-01,3,8,0,0,5
CRL,2021-10-01,3,8,0,0,5
CRL,2021-09-01,3,8,0,0,5
CRL,2021-08-01,3,8,0,0,5
CRL,2021-07-01,3,8,0,0,5
CRL,2021-06-01,3,8,0,0,5
CRL,2021-05-01,3,8,0,0,5
CRL,2021-04-01,3,8,0,0,5
CRL,2021-03-01,3,8,0,0,5
CRL,2021-02-01,9,3,0,0,5
CRL,2021-01-01,9,3,0,0,5
CRL,2020-12-01,5,7,0,0,5
CRL,2020-09-01,5,9,0,0,6
CRL,2020-08-01,11,4,0,0,7
CRL,2020-07-01,11,4,0,0,7
CRL,2020-06-01,7,8,0,0,6
CRL,2020-05-01,11,4,0,0,6
CRL,2020-04-01,7,8,0,0,6
CRL,2020-03-01,7,8,0,0,6
CRL,2020-02-01,7,8,0,0,6
CRL,2020-01-01,7,8,0,0,6
CRL,2019-12-01,7,8,0,0,6
CRL,2019-11-01,7,8,0,0,6
CRL,2019-10-01,7,8,0,0,6
CRL,2019-09-01,7,8,0,0,6
CRL,2019-08-01,7,8,0,0,6
CRL,2019-07-01,7,8,0,0,6
CRL,2019-06-01,7,8,0,0,6
CRL,2019-05-01,7,8,0,0,6
CRL,2019-04-01,7,8,0,0,6
CRL,2019-03-01,7,8,0,0,6
CRL,2019-02-01,7,8,0,0,6
CRL,2019-01-01,7,8,0,0,6
