date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-02,200.13,203,198.57,202.42,202.42,483500,483500,2.29,1.14,201.03,"January 02, 26",0.0114
2025-12-31,202.53,202.53,199.45,199.48,199.48,312022,312022,-3.05,-1.51,200.9975,"December 31, 25",-0.0151
2025-12-30,202.77,203.63,200.9,201.98,201.98,300861,300861,-0.79,-0.3896,202.32,"December 30, 25",-0.003896
2025-12-29,203.17,205,202.52,203.16,203.16,471500,471500,-0.01,-0.00492199,203.4625,"December 29, 25",-4.92199e-05
2025-12-26,203.42,204.19,202.33,203.66,203.66,293300,293300,0.24,0.11798,203.4,"December 26, 25",0.0011798
2025-12-24,202.69,204.01,201.04,203.16,203.16,242000,242000,0.47,0.23188,202.725,"December 24, 25",0.0023188
2025-12-23,202.2,204.07,201.56,202.87,202.87,462230,462230,0.67,0.33136,202.675,"December 23, 25",0.0033136
2025-12-22,196.99,204.47,196.99,203.02,203.02,631702,631702,6.03,3.06,200.3675,"December 22, 25",0.0306
2025-12-19,193.46,198.34,191.89,197.06,197.06,1174534,1174534,3.6,1.86,195.1875,"December 19, 25",0.0186
2025-12-18,197.32,199.93,193.63,193.85,193.85,670804,670804,-3.47,-1.76,196.1825,"December 18, 25",-0.0176
2025-12-17,194.56,198.95,194.56,195.98,195.98,586926,586926,1.42,0.72985,196.0125,"December 17, 25",0.0072985
2025-12-16,197.31,198.32,194.5,195.22,195.22,722519,722519,-2.09,-1.06,196.3375,"December 16, 25",-0.0106
2025-12-15,197.08,200.58,195.1,198.15,198.15,843224,843224,1.07,0.54293,197.7275,"December 15, 25",0.0054293
2025-12-12,194.37,195.51,192.09,193.03,193.03,515160,515160,-1.34,-0.68941,193.75,"December 12, 25",-0.0068941
2025-12-11,194.93,196.38,192.38,194.43,194.43,639012,639012,-0.5,-0.2565,194.53,"December 11, 25",-0.002565
2025-12-10,187.59,195.06,186.1,194.85,194.85,1107338,1107338,7.26,3.87,190.9,"December 10, 25",0.0387
2025-12-09,186.8,191.34,185.93,185.99,185.99,1070104,1070104,-0.81,-0.43362,187.515,"December 09, 25",-0.0043362
2025-12-08,184.39,189.15,183.43,187.12,187.12,810819,810819,2.73,1.48,186.0225,"December 08, 25",0.0148
2025-12-05,185.01,185.9,182.71,184.31,184.31,705100,705100,-0.7,-0.37836,184.4825,"December 05, 25",-0.0037836
2025-12-04,186.61,186.72,176.37,184.04,184.04,992766,992766,-2.57,-1.38,183.435,"December 04, 25",-0.0138
2025-12-03,180.91,185.93,180,184.67,184.67,770517,770517,3.76,2.08,182.8775,"December 03, 25",0.0208
