symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
CSGP,2024-12-31,71.59,406300000,29087017000,4681000000,1042400000,25448417000
CSGP,2023-12-31,87.39,405300000,35419167000,5215900000,1110400000,31313667000
CSGP,2022-12-31,77.28,396284000,30624827520,4967970000,1105580000,26762437520
CSGP,2021-12-31,79.03,392210000,30996356300,3827126000,1113582000,28282812300
CSGP,2020-12-31,92.43,380730000,35190873900,3693813000,1124692000,32621752900
CSGP,2019-12-31,59.83,363100000,21724273000,1070731000,149823000,20803365000
CSGP,2018-12-31,33.73,360580000,12162363399,1100416000,4000000,11065947399
CSGP,2017-12-31,29.7,332000000,9860400000,1211463000,0,8648937000
CSGP,2016-12-31,18.85,321670000,6063479500,567223000,338339000,5834595500
CSGP,2015-12-31,20.67,315000000,6511050000,421818000,355112000,6444344000
CSGP,2014-12-31,18.36,302150000,5547474000,527012000,385000000,5405462000
CSGP,2013-12-31,18.46,276700000,5107882000,255953000,153125000,5005054000
CSGP,2012-12-31,8.94,265330000,2372050200,156027000,170625000,2386648200
CSGP,2011-12-31,6.67,231310000,1542837700,545280000,0,997557700
CSGP,2010-12-31,5.76,203300000,1171008000,206405000,0,964603000
CSGP,2009-12-31,4.18,197800000,826804000,205786000,0,621018000
CSGP,2008-12-31,3.29,193720000,637338800,159982000,0,477356800
CSGP,2007-12-31,4.72,190440000,898876800,57785000,0,841091800
CSGP,2006-12-31,5.36,187510000,1005053600,38159000,0,966894600
CSGP,2005-12-31,4.32,184530000,797169600,28065000,0,769104600
CSGP,2004-12-31,4.62,181650000,839223000,36807000,0,802416000
CSGP,2003-12-31,4.17,162020000,675623400,35643000,0,639980400
CSGP,2002-12-31,1.85,157590000,291541500,25546000,0,265995500
CSGP,2001-12-31,2.4,156359310,375262344,30746087,0,344516257
CSGP,2000-12-31,2.36,151369760,357232633,47101242,0,310131391
CSGP,1999-12-31,3.59,117265890,420984545,94100000,0,326884545
CSGP,1998-12-31,1.26,72130370,90884266,19700000,0,71184266
CSGP,1997-12-31,0.91875,57894737,53190789,1100000,1700000,53790789
