symbol,date,marketCap
CVNA,2026-01-02,55720003250
CVNA,2025-12-31,58750670260
CVNA,2025-12-30,59798944150
CVNA,2025-12-29,60355796150
CVNA,2025-12-26,61040724110
CVNA,2025-12-24,61472284410
CVNA,2025-12-23,60884805550
CVNA,2025-12-22,60361364670
CVNA,2025-12-19,62676476860
CVNA,2025-12-18,64837062620
CVNA,2025-12-17,62121016990
CVNA,2025-12-16,63366973340
CVNA,2025-12-15,62356286960
CVNA,2025-12-12,63436579840
CVNA,2025-12-11,65810161490
CVNA,2025-12-10,65105743710
CVNA,2025-12-09,63527068290
CVNA,2025-12-08,62364639740
CVNA,2025-12-05,55653181010
CVNA,2025-12-04,55525105050
CVNA,2025-12-03,54989135000
CVNA,2025-12-02,53204424340
CVNA,2025-12-01,52241070380
CVNA,2025-11-28,52135268500
CVNA,2025-11-26,49744981290
CVNA,2025-11-25,48895781990
CVNA,2025-11-24,46065581700
CVNA,2025-11-21,43139324440
CVNA,2025-11-20,43608472250
CVNA,2025-11-19,45905486750
CVNA,2025-11-18,44161147860
CVNA,2025-11-17,44982504560
CVNA,2025-11-14,44312890030
CVNA,2025-11-13,44344909020
CVNA,2025-11-12,45688314470
CVNA,2025-11-11,45505945440
CVNA,2025-11-10,44865565640
CVNA,2025-11-07,42319359870
CVNA,2025-11-06,40391259820
CVNA,2025-11-05,43111481840
CVNA,2025-11-04,43126795270
CVNA,2025-11-03,46264656290
CVNA,2025-10-31,42674353020
CVNA,2025-10-30,42469709910
CVNA,2025-10-29,49274441350
CVNA,2025-10-28,50422948600
CVNA,2025-10-27,49441496950
CVNA,2025-10-24,47557396800
CVNA,2025-10-23,46312942140
CVNA,2025-10-22,44264128320
CVNA,2025-10-21,48189780180
CVNA,2025-10-20,45715766400
CVNA,2025-10-17,45202547340
CVNA,2025-10-16,46678559940
CVNA,2025-10-15,48128843880
CVNA,2025-10-14,46841056740
CVNA,2025-10-13,45807847920
CVNA,2025-10-10,44583705360
CVNA,2025-10-09,48753102420
CVNA,2025-10-08,48872266740
CVNA,2025-10-07,50145158340
CVNA,2025-10-06,50049014400
CVNA,2025-10-03,50877748080
CVNA,2025-10-02,53449259940
CVNA,2025-10-01,53544049740
CVNA,2025-09-30,51083577360
CVNA,2025-09-29,53171661240
CVNA,2025-09-26,50007036060
CVNA,2025-09-25,50290051320
CVNA,2025-09-24,50754521340
CVNA,2025-09-23,51200033400
CVNA,2025-09-22,52926561900
CVNA,2025-09-19,53067392460
CVNA,2025-09-18,51208158240
CVNA,2025-09-17,51194616840
CVNA,2025-09-16,49370590260
CVNA,2025-09-15,49473504900
CVNA,2025-09-12,48988722780
CVNA,2025-09-11,47969055360
CVNA,2025-09-10,49442359680
CVNA,2025-09-09,50780250000
CVNA,2025-09-08,50402444940
CVNA,2025-09-05,49951516320
CVNA,2025-09-04,50126200380
CVNA,2025-09-03,49063200480
CVNA,2025-09-02,49614335460
CVNA,2025-08-29,50363174880
CVNA,2025-08-28,51102535320
CVNA,2025-08-27,49744332900
CVNA,2025-08-26,50401090800
CVNA,2025-08-25,49036117680
CVNA,2025-08-22,48452483340
CVNA,2025-08-21,45914824980
CVNA,2025-08-20,45852534540
CVNA,2025-08-19,46614915360
CVNA,2025-08-18,48682687140
CVNA,2025-08-15,47393545860
CVNA,2025-08-14,46391482260
CVNA,2025-08-13,47377296180
CVNA,2025-08-12,46732725540
CVNA,2025-08-11,46751683500
CVNA,2025-08-08,47064489840
CVNA,2025-08-07,48444358500
CVNA,2025-08-06,48057074460
CVNA,2025-08-05,47495106360
CVNA,2025-08-04,48838413240
CVNA,2025-08-01,49802560920
CVNA,2025-07-31,52834480380
CVNA,2025-07-30,45172756260
CVNA,2025-07-29,45566811000
CVNA,2025-07-28,45543790620
CVNA,2025-07-25,44973697680
CVNA,2025-07-24,44157151260
CVNA,2025-07-23,46447002000
CVNA,2025-07-22,46252005840
CVNA,2025-07-21,46300754880
CVNA,2025-07-18,47059073280
CVNA,2025-07-17,46866785400
CVNA,2025-07-16,47668436280
CVNA,2025-07-15,47179591740
CVNA,2025-07-14,47034698760
CVNA,2025-07-11,46537729380
CVNA,2025-07-10,46792307700
CVNA,2025-07-09,47542501260
CVNA,2025-07-08,46842410880
CVNA,2025-07-07,48386130480
CVNA,2025-07-03,47168758620
CVNA,2025-07-02,46499813460
CVNA,2025-07-01,45805139640
CVNA,2025-06-30,45629101440
CVNA,2025-06-27,43232273640
CVNA,2025-06-26,41501682720
CVNA,2025-06-25,42758324640
CVNA,2025-06-24,43734659580
CVNA,2025-06-23,43343313120
CVNA,2025-06-20,43317584460
CVNA,2025-06-18,41695324740
CVNA,2025-06-17,39809007720
CVNA,2025-06-16,39276830700
CVNA,2025-06-13,40222020420
CVNA,2025-06-12,43190295300
CVNA,2025-06-11,46084092480
CVNA,2025-06-10,45837639000
CVNA,2025-06-09,46028572740
CVNA,2025-06-06,46238464440
CVNA,2025-06-05,46487626200
CVNA,2025-06-04,46804494960
CVNA,2025-06-03,46057009680
CVNA,2025-06-02,44881616160
CVNA,2025-05-30,44302044240
CVNA,2025-05-29,43285085100
CVNA,2025-05-28,43374458340
CVNA,2025-05-27,42372394740
CVNA,2025-05-23,41180751540
CVNA,2025-05-22,40928881500
CVNA,2025-05-21,39553075260
CVNA,2025-05-20,40934298060
CVNA,2025-05-19,41329706940
CVNA,2025-05-16,40609304460
CVNA,2025-05-15,40272123600
CVNA,2025-05-14,41371685280
CVNA,2025-05-13,39684426840
CVNA,2025-05-12,37864462680
CVNA,2025-05-09,36307201680
CVNA,2025-05-08,38664759420
CVNA,2025-05-07,35095246380
CVNA,2025-05-06,35046497340
CVNA,2025-05-05,35149411980
CVNA,2025-05-02,34814939400
CVNA,2025-05-01,34106724180
CVNA,2025-04-30,33088410900
CVNA,2025-04-29,32985496260
CVNA,2025-04-28,32706543420
CVNA,2025-04-25,32113430100
CVNA,2025-04-24,31824998280
CVNA,2025-04-23,29906181900
CVNA,2025-04-22,28700997300
CVNA,2025-04-21,26518123620
CVNA,2025-04-17,28627873740
CVNA,2025-04-16,28342150200
CVNA,2025-04-15,28952867340
CVNA,2025-04-14,27723308220
CVNA,2025-04-11,27922366800
CVNA,2025-04-10,27578415240
CVNA,2025-04-09,29850662160
CVNA,2025-04-08,23876196480
CVNA,2025-04-07,22731948180
CVNA,2025-04-04,22014253980
CVNA,2025-04-03,24616911060
CVNA,2025-04-02,30646896480
CVNA,2025-04-01,28787662260
CVNA,2025-03-31,28312359120
CVNA,2025-03-28,27402795780
CVNA,2025-03-27,27341129100
CVNA,2025-03-26,27464462460
CVNA,2025-03-25,29715296280
CVNA,2025-03-24,28638810540
CVNA,2025-03-21,25598375100
CVNA,2025-03-20,24857034360
CVNA,2025-03-19,23606273220
CVNA,2025-03-18,22323338160
CVNA,2025-03-17,25001817000
CVNA,2025-03-14,24288628440
CVNA,2025-03-13,22343446860
CVNA,2025-03-12,24035258820
CVNA,2025-03-11,23087468760
CVNA,2025-03-10,23005693380
CVNA,2025-03-07,25265911260
CVNA,2025-03-06,25048737300
CVNA,2025-03-05,28941781620
CVNA,2025-03-04,28834535220
CVNA,2025-03-03,29419028100
CVNA,2025-02-28,31248919800
CVNA,2025-02-27,29923086180
CVNA,2025-02-26,31185912540
CVNA,2025-02-25,29717977440
CVNA,2025-02-24,28909607700
CVNA,2025-02-21,29935151400
CVNA,2025-02-20,33208847760
CVNA,2025-02-19,37780225560
CVNA,2025-02-18,38143522740
CVNA,2025-02-14,38250769140
CVNA,2025-02-13,36517399200
CVNA,2025-02-12,35918159940
CVNA,2025-02-11,36349826700
CVNA,2025-02-10,35902072980
CVNA,2025-02-07,35400696060
CVNA,2025-02-06,35280043860
CVNA,2025-02-05,34316166840
CVNA,2025-02-04,34540043700
CVNA,2025-02-03,33733014540
CVNA,2025-01-31,33176673840
CVNA,2025-01-30,32702108520
CVNA,2025-01-29,32905876680
CVNA,2025-01-28,32824101300
CVNA,2025-01-27,32462144700
CVNA,2025-01-24,32236927260
CVNA,2025-01-23,32592180960
CVNA,2025-01-22,31376274900
CVNA,2025-01-21,31144354560
CVNA,2025-01-17,30899028420
CVNA,2025-01-16,31090731360
CVNA,2025-01-15,28693774320
CVNA,2025-01-14,26166781020
CVNA,2025-01-13,26075621580
CVNA,2025-01-10,25881237480
CVNA,2025-01-08,26409426000
CVNA,2025-01-07,26590404300
CVNA,2025-01-06,25316853300
CVNA,2025-01-03,23749715280
CVNA,2025-01-02,26752614480
CVNA,2024-12-31,27262034880
CVNA,2024-12-30,27406030200
CVNA,2024-12-27,27996974760
CVNA,2024-12-26,29164545840
CVNA,2024-12-24,29142417960
CVNA,2024-12-23,28974506400
CVNA,2024-12-20,29216611440
CVNA,2024-12-19,29023968720
CVNA,2024-12-18,30330815280
CVNA,2024-12-17,33022606800
CVNA,2024-12-16,33290744640
CVNA,2024-12-13,32313213000
CVNA,2024-12-12,32250734280
CVNA,2024-12-11,32664655800
