date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-02,229.73,230.78,219.65,219.79,219.79,3794351,3794351,-9.94,-4.33,224.9875,"January 02, 26",-0.0433
2025-12-31,228.41,228.61,226.08,226.48,226.48,2445671,2445671,-1.93,-0.84497,227.395,"December 31, 25",-0.0084497
2025-12-30,230.24,231.52,228,228.13,228.13,2546922,2546922,-2.11,-0.91644,229.4725,"December 30, 25",-0.0091644
2025-12-29,233.07,235,230.09,231.01,231.01,2717299,2717299,-2.06,-0.88385,232.2925,"December 29, 25",-0.0088385
2025-12-26,232.52,234.7,231.76,233.95,233.95,1706729,1706729,1.43,0.615,233.2325,"December 26, 25",0.00615
2025-12-24,231.98,233.24,230.57,232.06,232.06,1223400,1223400,0.08,0.03448573,231.9625,"December 24, 25",0.0003448573
2025-12-23,233.29,233.98,230.1,232.7,232.7,2694900,2694900,-0.59,-0.2529,232.5175,"December 23, 25",-0.002529
2025-12-22,235.86,235.98,232,234.89,234.89,3840400,3840400,-0.97,-0.41126,234.6825,"December 22, 25",-0.0041126
2025-12-19,232.24,239,231.46,234.25,234.25,8727743,8727743,2.01,0.86548,234.2375,"December 19, 25",0.0086548
2025-12-18,224.11,233.49,223.65,230.94,230.94,3326900,3326900,6.83,3.05,228.0475,"December 18, 25",0.0305
2025-12-17,228.99,229.91,221.18,221.3,221.3,4010404,4010404,-7.69,-3.36,225.345,"December 17, 25",-0.0336
2025-12-16,226.88,229.95,225,227.94,227.94,4154300,4154300,1.06,0.46721,227.4425,"December 16, 25",0.0046721
2025-12-15,228.58,229.77,221.18,226.98,226.98,5021540,5021540,-1.6,-0.69997,226.6275,"December 15, 25",-0.0069997
2025-12-12,225.01,230.18,224.52,227.49,227.49,3672200,3672200,2.48,1.1,226.8,"December 12, 25",0.011
2025-12-11,219.5,226.6,216.3,224.52,224.52,4250200,4250200,5.02,2.29,221.73,"December 11, 25",0.0229
2025-12-10,228.97,229.05,216.72,220.3,220.3,6952811,6952811,-8.66,-3.79,223.76,"December 10, 25",-0.0379
2025-12-09,225,232.63,222.64,229.99,229.99,5384300,5384300,4.99,2.22,227.565,"December 09, 25",0.0222
2025-12-08,224.65,225.65,219.38,225.43,225.43,5334100,5334100,0.78,0.34721,223.7775,"December 08, 25",0.0034721
2025-12-05,221.19,227.71,220.48,225,225,4488031,4488031,3.81,1.72,223.595,"December 05, 25",0.0172
2025-12-04,220.9,223.18,217.03,221.19,221.19,4925627,4925627,0.29,0.13128,220.575,"December 04, 25",0.0013128
2025-12-03,216.36,223.99,215.71,222.48,222.48,7354800,7354800,6.13,2.83,219.635,"December 03, 25",0.0283
2025-12-02,205.58,218.67,202.29,216.98,216.98,10330209,10330209,11.4,5.55,210.88,"December 02, 25",0.0555
2025-12-01,204.5,208.35,200.55,205.58,205.58,6384400,6384400,1.08,0.52812,204.745,"December 01, 25",0.0052812
2025-11-28,196.99,199.79,196.24,198.37,198.37,1383923,1383923,1.38,0.70054,197.8475,"November 28, 25",0.0070054
2025-11-26,196.95,200.49,195.33,195.98,195.98,3646200,3646200,-0.97,-0.49251,197.1875,"November 26, 25",-0.0049251
2025-11-25,188.08,196.67,187.22,195.49,195.49,5652633,5652633,7.41,3.94,191.865,"November 25, 25",0.0394
2025-11-24,190.48,190.48,184.86,188.08,188.08,8715900,8715900,-2.4,-1.26,188.475,"November 24, 25",-0.0126
2025-11-21,187.63,191.31,182.04,189.63,189.63,6709143,6709143,2,1.07,187.6525,"November 21, 25",0.0107
2025-11-20,203.25,203.61,186.83,187.73,187.73,14574543,14574543,-15.52,-7.64,195.355,"November 20, 25",-0.0764
2025-11-19,216.05,216.5,201.65,202.32,202.32,9410100,9410100,-13.73,-6.36,209.13,"November 19, 25",-0.0636
2025-11-18,210.8,214.34,207.2,212.08,212.08,7355000,7355000,1.28,0.60721,211.105,"November 18, 25",0.0060721
2025-11-17,207.34,211,204.42,210.65,210.65,10819618,10819618,3.31,1.6,208.3525,"November 17, 25",0.016
2025-11-14,196.69,209.32,192.9,206.96,206.96,11454424,11454424,10.27,5.22,201.4675,"November 14, 25",0.0522
2025-11-13,197.75,203,195,195.21,195.21,6346100,6346100,-2.54,-1.28,197.74,"November 13, 25",-0.0128
2025-11-12,201.25,201.99,196.01,196.51,196.51,5119321,5119321,-4.74,-2.36,198.94,"November 12, 25",-0.0236
2025-11-11,202.23,203.6,198.85,200.63,200.63,5152100,5152100,-1.6,-0.79118,201.3275,"November 11, 25",-0.0079118
2025-11-10,207.52,208.64,201.41,204.08,204.08,6391900,6391900,-3.44,-1.66,205.4125,"November 10, 25",-0.0166
2025-11-07,195.66,206.69,195.56,204.31,204.31,9524127,9524127,8.65,4.42,200.555,"November 07, 25",0.0442
2025-11-06,211.26,211.26,194.68,196.46,196.46,18356903,18356903,-14.8,-7.01,203.415,"November 06, 25",-0.0701
2025-11-05,241.51,241.51,234.79,238,238,8126701,8126701,-3.51,-1.45,238.9525,"November 05, 25",-0.0145
2025-11-04,238.41,244.17,236.39,239.93,239.93,4975900,4975900,1.52,0.63756,239.725,"November 04, 25",0.0063756
2025-11-03,255.89,258,241,242.05,242.05,5147045,5147045,-13.84,-5.41,249.235,"November 03, 25",-0.0541
2025-10-31,257,260.74,254.1,254.37,254.37,2704321,2704321,-2.63,-1.02,256.5525,"October 31, 25",-0.0102
2025-10-30,264.17,265.46,254.03,254.07,254.07,3204500,3204500,-10.1,-3.82,259.4325,"October 30, 25",-0.0382
2025-10-29,261.29,268,259.11,266.06,266.06,4231831,4231831,4.77,1.83,263.615,"October 29, 25",0.0183
2025-10-28,263.16,265.59,259.83,261.42,261.42,2775500,2775500,-1.74,-0.66119,262.5,"October 28, 25",-0.0066119
2025-10-27,265.4,269,262.35,263.35,263.35,3706619,3706619,-2.05,-0.77242,265.025,"October 27, 25",-0.0077242
2025-10-24,255.63,261.68,253.24,258.15,258.15,2720037,2720037,2.52,0.9858,257.175,"October 24, 25",0.009858
2025-10-23,251,258.94,246.72,254.59,254.59,4772300,4772300,3.59,1.43,252.8125,"October 23, 25",0.0143
2025-10-22,261.52,262.83,250.38,252.31,252.31,4247910,4247910,-9.21,-3.52,256.76,"October 22, 25",-0.0352
