date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2025-03-31,DECK,USD,0000910521,2025-05-23,2025-05-23 12:55:21,2025,FY,966091000,69353000,-5545000,37943000,-38204000,-41339000,-24344000,35636000,-8157000,14885000,1044523000,-86171000,0,0,11168000,0,-75003000,0,3804000,-567002000,0,-18136000,-581334000,-1049000,387137000,1889188000,1502051000,1044523000,-86171000,958352000,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/0000910521-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/deck-20250331.htm
2024-03-31,DECK,USD,0000910521,2024-05-24,2024-05-24 14:32:03,2024,FY,759563000,57166000,-1510000,37288000,167806000,-34618000,58541000,119601000,24282000,12871000,1033184000,-89365000,0,0,0,34000,-89331000,0,2444000,-424905000,0,4786000,-417675000,-5922000,520256000,1502051000,981795000,1033184000,-89365000,943819000,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/0000910521-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/deck-20240331.htm
2023-03-31,DECK,USD,0000910521,2023-05-26,2023-05-26 13:38:57,2023,FY,516822000,47858000,-9719000,26897000,-54302000,12653000,-26056000,-74247000,33348000,9866000,537422000,-81025000,12000,0,0,0,-81013000,-1537000,2170000,-314060000,0,4396000,-309031000,-9110000,138268000,981795000,843527000,537422000,-81025000,456397000,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/0000910521-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/deck-20230331.htm
2022-03-31,DECK,USD,0000910521,2022-05-27,2022-05-27 12:43:59,2022,FY,451949000,42878000,-27796000,26816000,-325997000,-86627000,-228554000,89184000,-100000000,4503000,172353000,-51017000,8000,0,0,0,-51009000,0,1991000,-370677000,0,1204000,-367482000,304000,-245834000,843527000,1089361000,172353000,-51017000,121336000,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/0000910521-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/deck-20220331.htm
2021-03-31,DECK,USD,0000910521,2021-05-28,2021-05-28 13:43:58,2021,FY,382575000,40530000,-8171000,22701000,136374000,-33173000,33378000,79176000,56993000,22208000,596217000,-32218000,49000,0,0,0,-32169000,-31279000,1502000,-106579000,0,6775000,-129581000,5458000,439925000,1089361000,649436000,596217000,-32218000,563999000,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/0000910521-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/deck-20210331.htm
2020-03-31,DECK,USD,0000910521,2020-06-01,2020-06-01 12:42:44,2020,FY,276142000,38912000,2934000,14477000,-50987000,-10493000,-32777000,23312000,-31029000,4856000,286334000,-32455000,491000,0,0,0,-31964000,-464000,1288000,-196553000,0,3615000,-192114000,-2512000,59744000,649436000,589692000,286334000,-32455000,253879000,https://www.sec.gov/Archives/edgar/data/910521/000091052120000016/0000910521-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052120000016/deck331202010-k.htm
2019-03-31,DECK,USD,0000910521,2019-05-30,2019-05-30 15:48:57,2019,FY,264308000,44941000,6939000,14774000,25041000,-16157000,8827000,26667000,5704000,3502000,359505000,-29086000,68000,0,0,68000,-29018000,-198000,1025000,-166723000,0,-1297000,-167193000,-3572000,159722000,589692000,429970000,359505000,-29086000,330419000,https://www.sec.gov/Archives/edgar/data/910521/000091052119000011/0000910521-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052119000011/deck331201910-kdocument.htm
2018-03-31,DECK,USD,0000910521,2018-05-30,2018-05-30 15:12:10,2018,FY,114394000,48572000,8138000,14306000,135288000,10770000,-751000,-4462000,129731000,6657000,327355000,-34813000,116000,0,0,116000,-34697000,-688000,765000,-157792000,0,0,-157715000,3263000,138206000,429970000,291764000,327355000,-34813000,292542000,https://www.sec.gov/Archives/edgar/data/910521/000091052118000015/0000910521-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052118000015/deck331201810-k.htm
2017-03-31,DECK,USD,0000910521,2017-05-30,2017-05-30 15:23:38,2017,FY,5710000,52628000,-24495000,6175000,-598000,-1336000,1060000,-7825000,7503000,159910000,199330000,-44499000,0,0,0,0,-44499000,-63473000,798000,-21024000,0,-19260000,-103757000,-5266000,45808000,291764000,245956000,199330000,-44499000,154831000,https://www.sec.gov/Archives/edgar/data/910521/000091052117000008/0000910521-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052117000008/deckfy2017331201710-kdocum.htm
2016-03-31,DECK,USD,0000910521,2016-05-31,2016-05-31 16:50:00,2016,FY,122265000,50024000,8167000,6622000,-95553000,-23545000,-61492000,14775000,-25291000,34288000,125813000,-70886000,2835000,0,0,-1035000,-67221000,-493000,0,-97891000,0,61573000,-36811000,-968000,20813000,245956000,225143000,125813000,-70886000,54927000,https://www.sec.gov/Archives/edgar/data/910521/000091052116000058/0000910521-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052116000058/deckfy2016331201610-k.htm
