date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-29,DPZ,USD,0001286681,2025-02-24,2025-02-24 06:10:31,2024,FY,186126000,0,186126000,309104000,70919000,339129000,905278000,511481000,11578000,155025000,166603000,82699000,23432000,47520000,831735000,0,1737013000,85898000,1189599000,0,0,336965000,1612462000,4007642000,0,0,79200000,4086842000,0,221903000,5699304000,0,343000,-3956474000,-7432000,1272000,-3962291000,-3962291000,1737013000,0,1737013000,82699000,5197241000,5011115000,https://www.sec.gov/Archives/edgar/data/1286681/000095017025025223/0000950170-25-025223-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000095017025025223/dpz-20241229.htm
2023-12-31,DPZ,USD,0001286681,2024-02-26,2024-02-26 06:27:12,2023,FY,114098000,0,114098000,282809000,82964000,337420000,817291000,511688000,11688000,134105000,145793000,143553000,13680000,42894000,857608000,0,1674899000,106267000,95696000,0,0,345387000,547350000,5113610000,0,0,84306000,5197916000,0,287582000,5745266000,0,347000,-4069648000,-3867000,2801000,-4070367000,-4070367000,1674899000,0,1674899000,143553000,5209306000,5095208000,https://www.sec.gov/Archives/edgar/data/1286681/000095017024019725/0000950170-24-019725-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000095017024019725/dpz-20231231.htm
2022-12-31,DPZ,USD,0001286681,2023-02-23,2023-02-23 07:35:54,2022,FY,60356000,0,60356000,257492000,81570000,391236000,790654000,521437000,11763000,108354000,120117000,125840000,1926000,42247000,811567000,0,1602221000,89715000,89690000,0,5500000,351716000,536621000,5162664000,22700000,7761000,61540000,5254665000,0,301007000,5791286000,0,354000,-4194418000,-4694000,9693000,-4189065000,-4189065000,1602221000,0,1602221000,125840000,5252354000,5191998000,https://www.sec.gov/Archives/edgar/data/1286681/000095017023003938/0000950170-23-003938-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000095017023003938/dpz-20230101.htm
2021-12-31,DPZ,USD,0001286681,2022-03-01,2022-03-01 08:36:11,2021,FY,148160000,0,148160000,255327000,68328000,388725000,860540000,534767000,15034000,95558000,110592000,125840000,2109000,37968000,811276000,0,1671816000,91547000,96831000,0,232714000,169649000,590741000,5195021000,24300000,3922000,63280000,5290611000,0,297964000,5881352000,0,361000,-4207917000,-2820000,840000,-4209536000,-4209536000,1671816000,0,1671816000,125840000,5291852000,5143692000,https://www.sec.gov/Archives/edgar/data/1286681/000095017022002426/0000950170-22-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000095017022002426/dpz-20220102.htm
2020-12-31,DPZ,USD,0001286681,2021-02-25,2021-02-25 07:36:32,2020,FY,168821000,0,168821000,244560000,66683000,389320000,869384000,525632000,15061000,81306000,96367000,13251000,1904000,60630000,697784000,0,1567168000,94499000,38716000,0,196429000,141175000,470819000,4318286000,15000000,6099000,57369000,4396754000,0,295829000,4867573000,0,389000,-3303492000,-2424000,5122000,-3300405000,-3300405000,1567168000,0,1567168000,13251000,4357002000,4188181000,https://www.sec.gov/Archives/edgar/data/1286681/000119312521055734/0001193125-21-055734-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312521055734/d326373d10k.htm
2019-12-31,DPZ,USD,0001286681,2020-02-20,2020-02-20 07:38:05,2019,FY,190615000,0,190615000,210260000,52955000,333787000,787617000,471666000,15093000,73140000,88233000,11982000,10073000,12521000,594475000,0,1382092000,111101000,76712000,0,164097000,101921000,453831000,4273786000,0,0,70234000,4344020000,0,254312000,4797851000,0,389000,-3412649000,-3742000,243000,-3415759000,-3415759000,1382092000,0,1382092000,11982000,4350498000,4159883000,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/0001193125-20-042675-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/d796357d10k.htm
2018-12-31,DPZ,USD,0001286681,2019-02-21,2019-02-21 07:37:41,2018,FY,25438000,0,25438000,190091000,45975000,305447000,566951000,234939000,14919000,63809000,78728000,8718000,5526000,12523000,340434000,0,907385000,92546000,35893000,0,144154000,107150000,379743000,3495691000,-35697000,35697000,71872000,3567563000,0,17006000,3947306000,0,410000,-3036471000,-4429000,569000,-3039921000,-3039921000,907385000,0,907385000,8718000,3531584000,3506146000,https://www.sec.gov/Archives/edgar/data/1286681/000119312519046191/0001193125-19-046191-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312519046191/d696297d10k.htm
2017-12-31,DPZ,USD,0001286681,2018-02-20,2018-02-20 07:40:21,2017,FY,35768000,0,35768000,173677000,39961000,330374000,579780000,169586000,15423000,52823000,68246000,8119000,2750000,8272000,256973000,0,836753000,106894000,32324000,0,138844000,120223000,398285000,3121490000,0,0,52362000,3173852000,0,0,3572137000,0,429000,-2739437000,-2030000,5654000,-2735384000,-2735384000,836753000,0,836753000,8119000,3153814000,3118046000,https://www.sec.gov/Archives/edgar/data/1286681/000119312518049576/0001193125-18-049576-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312518049576/d531906d10k.htm
2016-12-31,DPZ,USD,0001286681,2017-02-28,2017-02-28 07:35:48,2016,FY,42815000,0,42815000,150369000,40181000,262508000,495873000,138534000,16058000,40256000,56314000,7260000,8935000,9379000,220422000,0,716295000,111510000,38887000,0,134924000,118377000,403698000,2148990000,0,0,46750000,2195740000,0,0,2599438000,0,481000,-1881520000,-3110000,1006000,-1883143000,-1883143000,716295000,0,716295000,7260000,2187877000,2145062000,https://www.sec.gov/Archives/edgar/data/1286681/000119312517060262/0001193125-17-060262-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312517060262/d350071d10k.htm
2015-12-31,DPZ,USD,0001286681,2016-02-25,2016-02-25 07:36:28,2015,FY,133449000,0,133449000,131582000,36861000,300745000,602637000,131890000,16097000,28505000,44602000,6054000,5865000,8797000,197208000,0,799845000,106927000,59333000,0,110564000,99159000,375983000,2181460000,0,0,42653000,2224113000,0,0,2600096000,0,498000,-1804143000,-3548000,6942000,-1800251000,-1800251000,799845000,0,799845000,6054000,2240793000,2107344000,https://www.sec.gov/Archives/edgar/data/1286681/000119312516476935/0001193125-16-476935-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312516476935/d128680d10k.htm
