symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
EQT,2024-12-31,46.11,509597000,23497517670,202093000,9366055000,32661479670
EQT,2023-12-31,38.66,380902000,14725671319,80977000,5841493000,20486187319
EQT,2022-12-31,33.83,370048000,12518723840,1458644000,5714414000,16774493840
EQT,2021-12-31,21.81,323196000,7048904760,113963000,5643772000,12578713760
EQT,2020-12-31,12.71,260613000,3312391230,18210000,4950470000,8244651230
EQT,2019-12-31,10.9,255141000,2781036900,4596000,5322015000,8098455900
EQT,2018-12-31,18.89,260932000,4929005480,3487000,5497381000,10422899480
EQT,2017-12-31,30.99,187380000,5806906200,147315000,7331554000,12991145200
EQT,2016-12-31,35.61,166978000,5946086580,1103540000,3289459000,8132005580
EQT,2015-12-31,28.38,152398000,4325055240,1601232000,3092343000,5816166240
EQT,2014-12-31,41.22,151553000,6247014660,1077429000,2988900000,8158485660
EQT,2013-12-31,48.88,150574000,7360057120,845641000,2501516000,9015932120
EQT,2012-12-31,32.11,149619000,4804266090,182055000,2526173000,7148384090
EQT,2011-12-31,29.83,149392000,4456363360,831251000,2746942000,6372054360
EQT,2010-12-31,24.41,144458000,3526219780,0,2002850000,5529069780
EQT,2009-12-31,23.91,130820000,3127906200,0,1954200000,5082106200
EQT,2008-12-31,18.27,127234000,2324565180,0,1573417000,3897982180
EQT,2007-12-31,29.01,121454245,3523387647,81711000,1232829000,4674505647
EQT,2006-12-31,22.73,120374863,2736120635,0,899499000,3635619635
EQT,2005-12-31,19.98,120955814,2416697163,74966000,1131734000,3473465163
EQT,2004-12-31,16.51,123283700,2035413887,0,923850000,2959263887
EQT,2003-12-31,11.68,124088321,1449351589,37334000,853014000,2265031589
EQT,2002-12-31,9.54,132850862,1267397223,17748000,593305000,1842954223
EQT,2001-12-31,9.27,130868966,1213155314,29622000,563393000,1746926314
EQT,2000-12-31,9.09,130273620,1184187205,52023000,600617000,1732781205
EQT,1999-12-31,4.54,135549020,615392550,18000000,505900000,1103292550
EQT,1998-12-31,3.96,147878788,585600000,102400000,471200000,954400000
EQT,1997-12-31,4.82,151650485,730955337,69400000,704000000,1365555337
EQT,1996-12-31,4.05,156315789,633078945,14700000,627000000,1245378945
EQT,1995-12-31,4.25,139753086,593950615,30200000,550500000,1114250615
EQT,1994-12-31,3.69,134143646,494990053,23400000,692100000,1163690053
EQT,1993-12-31,4.99,129515419,646281940,15000000,634700000,1265981940
EQT,1992-12-31,4.58,125000000,572500000,11600000,477100000,1038000000
EQT,1991-12-31,3.71,125268293,464745367,8300000,483700000,940145367
EQT,1990-12-31,3.45,125319149,432351064,18200000,337600000,751751064
EQT,1989-12-31,3.72,125679012,467525924,10100000,338300000,795725924
EQT,1988-12-31,3.07,124768212,383038410,8900000,317500000,691638410
EQT,1987-12-31,2.87,122477876,351511504,4200000,259900000,607211504
EQT,1986-12-31,3.31,121573034,402406742,3600000,266400000,665206742
EQT,1985-12-31,2.34,115789474,270947369,4500000,253300000,519747369
