date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,ERIE,USD,0000922621,2025-02-27,2025-02-27 16:25:43,2024,FY,3795115000,3118660000,676455000,0.1782436105,0,0,0,33353000,-33353000,0,3118660000,65066000,0,56530000,766338000,0.2019274778,676455000,0.1782436105,80824000,757279000,0.1995404619,156965000,600314000,0.1581807139,12.89,11.48,46189044,52687566,https://www.sec.gov/Archives/edgar/data/922621/000092262125000004/0000922621-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262125000004/erie-20241231.htm
2023-12-31,ERIE,USD,0000922621,2024-02-26,2024-02-26 16:25:53,2023,FY,3268940000,2748684000,520256000,0.1591512845,0,0,0,32561000,-32561000,0,2748684000,51742000,0,47415000,600232000,0.1836167076,520256000,0.1591512845,41680000,561936000,0.171901595,115875000,446061000,0.1364543246,9.58,8.53,46188982,52680711,https://www.sec.gov/Archives/edgar/data/922621/000092262124000006/0000922621-24-000006-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262124000006/erie-20231231.htm
2022-12-31,ERIE,USD,0000922621,2023-03-01,2023-03-01 16:25:32,2022,FY,2840124000,2463910000,376214000,0.1324639347,0,0,0,6030000,-6030000,0,2463910000,0,2009000,46166000,428410000,0.1508420055,376214000,0.1324639347,238000,376452000,0.1325477338,77883000,298569000,0.1051253396,6.41,5.71,46188916,46188916,https://www.sec.gov/Archives/edgar/data/922621/000092262123000007/0000922621-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262123000007/erie-20221231.htm
2021-12-31,ERIE,USD,0000922621,2022-02-24,2022-02-24 16:30:25,2021,FY,2633977000,2315880000,318097000,0.12076681,0,0,0,4083000,-4083000,0,2315880000,0,4132000,37210000,351224000,0.1333436093,318097000,0.12076681,58307000,376404000,0.1429032979,78544000,297860000,0.1130837513,6.4,5.69,46188806,46188806,https://www.sec.gov/Archives/edgar/data/922621/000092262122000013/0000922621-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262122000013/erie-20211231.htm
2020-12-31,ERIE,USD,0000922621,2021-02-25,2021-02-25 16:27:12,2020,FY,2536489000,2198332000,338157000,0.133316959,0,0,0,1635000,-1635000,0,2198332000,0,731000,21195000,357717000,0.1410284058,338157000,0.133316959,30358000,368515000,0.1452854714,75211000,293304000,0.1156338545,6.3,5.61,52313367,52694660,https://www.sec.gov/Archives/edgar/data/922621/000092262121000010/0000922621-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262121000010/erie-20201231.htm
2019-12-31,ERIE,USD,0000922621,2020-02-27,2020-02-27 16:38:14,2019,FY,2477298000,2119958999,357339000,0.1442454642,0,0,0,1671000,-1670999,0,2119959000,0,856000,16813000,375823000,0.1517068193,357339000,0.1442454642,39366000,396705000,0.1601361645,79884000,316821000,0.1278897412,6.8,6.06,52289640,58420660,https://www.sec.gov/Archives/edgar/data/922621/000092262120000009/0000922621-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262120000009/erie10-k12312019.htm
2018-12-31,ERIE,USD,0000922621,2019-02-21,2019-02-21 16:34:22,2018,FY,2382212000,2037869000,344343000,0.1445475885,0,0,0,0,0,0,2037869000,0,2460000,13368000,357711000,0.1501591798,344343000,0.1445475885,26977000,371320000,0.1558719375,83096000,288224000,0.1209900714,4.93,4.93,52289437,52696513,https://www.sec.gov/Archives/edgar/data/922621/000092262119000008/0000922621-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262119000008/erie10-k12312018.htm
2017-12-31,ERIE,USD,0000922621,2018-02-22,2018-02-22 16:37:03,2017,FY,1691774000,1401522000,290252000,0.1715666513,0,0,0,0,0,0,1401522000,0,1238000,14831000,305083000,0.1803331887,290252000,0.1715666513,25443000,315695000,0.1866058942,118696000,196999000,0.1164452226,4.23,3.76,52393351,58438263,https://www.sec.gov/Archives/edgar/data/922621/000092262118000016/0000922621-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262118000016/erie10-k12312017.htm
2016-12-31,ERIE,USD,0000922621,2017-02-23,2017-02-23 16:49:55,2016,FY,1596631000,1303114000,293517000,0.183835213,0,0,0,2412000,-2412000,0,1303114000,0,101000,15095000,306200000,0.1917788143,293517000,0.183835213,26574000,320091000,0.2004790086,109725000,210366000,0.1317561791,4.52,4.01,52460362,58536103,https://www.sec.gov/Archives/edgar/data/922621/000092262117000008/0000922621-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262117000008/erie10-k12312016.htm
2015-12-31,ERIE,USD,0000922621,2016-02-25,2016-02-25 16:56:40,2015,FY,1505508000,1074593000,430915000,0.2862256461,0,0,0,0,198374000,198374000,1272967000,0,0,16461000,249002000,0.1653940065,232541000,0.1544601556,33708000,266249000,0.1768499404,91571000,174678000,0.1160259527,3.75,3.33,52455855,58599611,https://www.sec.gov/Archives/edgar/data/922621/000092262116000067/0000922621-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262116000067/erie10-k12312015.htm
