symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
ERIE,2024-12-31,2024,FY,83.62164845845261,12.996891643827917,13.23363609777245,10.530722393821357,6.915969076995835,43.02444536414306,43.02444536414306,43.02444536414306,0.1626576207119593,19040509608.120003,18773184608.120003,31.717583811338734,4.929704300254453,31.150168929716042,39.14546263624477,9.581297248832312,9.581297248832312,4.860492224044922,22.86106266804354,30.712826700935302,38.59586806054227,0.03152825278079693,0.025545744836186973,0.0037805861141331424,0.002600901331919045,-0.3255352624131439,1.4268098171740735,0,1.0182154672388117,0.012473825800267053,0.3956396152680097,0.20876531818007646,0,0,0.20424573291735446,0.03232313346817164,1.9535418655233385,0,112.16791530894714,0.286735622356546,0.20782077494604678,-0.9378252124031837,342520000,1987258000,243676000,856014000,676462500,177978000,0,67.8637151887788,21.660003014115038,0,5.37842643870391,16.851336528538006,0,0.30208156162913924,2.7029137039510926
ERIE,2023-12-31,2023,FY,71.64513822798692,9.657303120471457,8.253158729499603,6.24733405035859,4.894500597566753,36.000685185051275,37.07299719227412,36.000685185051275,0,15469613851.44,15325558851.44,34.680489555105694,4.674706592570566,40.58082619965635,53.61006747842722,9.303156267122114,9.303156267122114,4.631175133759779,24.898231845569985,40.20293241547199,53.11084375217461,0.02883465639696482,0.018653212857872296,0,0,-0.2340348448811427,1.312015763557915,0,0.8546028457991172,0.014329704808977195,0.49696117795548145,0.22275336514751531,0,-0.02003629502695023,0.24303721094948913,0.02799666144488604,1.7287468278847589,0,88.44526223023985,0.2530143444052622,0.17690352501474324,-2.315703775415531,221212000,1712364000,121060000,614293000,579866500,167039000,-4862500,70.016747169118,22.692224715536597,0,5.21303851946137,16.08480457846413,0,0.26825331436973604,2.0058246791410124
ERIE,2022-12-31,2022,FY,61.729138653091574,6.464083287860664,7.927269823781965,6.472288719657331,3.6016649535572562,31.35834579880593,30.43219286635781,31.35834579880593,2.695560120960622,11488107187.52,11468513187.52,38.477226997846394,4.029215463344933,31.375240849483276,38.428446377028784,7.931540827943508,7.931540827943508,4.022343274001631,26.659739011067437,31.32172755445826,38.36290320564112,0.025989398873675875,0.02602238951293555,0.08457285516235757,0.05469899832816541,-0.04554826921691102,1.0992273752494728,187.3827775012444,1.226356386630896,0.01799878749604851,0.6925434321714579,0.23438114872253876,0,0.019101960476115627,0.18354126155257924,0.023570409953416138,1.2993812838360401,0,67.53381803061993,0.19502051651184027,0.1359184186303136,-5.106219639361097,70302000,1405630000,-12252000,526954000,502030000,150754000,-4862500,67.20043160744135,24.174874488110362,-1.4406471827298886,5.431512733909021,15.098320373059789,-253.35835475578406,0.2061359782602692,1.4549811041246345
ERIE,2021-12-31,2021,FY,57.79772700770832,6.448748642690612,8.720597800254893,5.499038013669373,4.808481085222251,29.06500765575105,29.06500765575105,29.06500765575105,2.1209467939049995,8898735363.96,8808865363.96,29.875563566642047,3.3333490774525694,22.09252214273301,35.035218800286614,6.6285893429613,6.6285893429613,3.29968495897525,20.50323267523677,21.86940561170226,34.68139154452467,0.0334721719230282,0.028542707431067026,0.06989462769594734,0.041850853925658446,-0.2091785314442792,1.2106114956813128,91.09486931268151,1.3522930235681192,0.021666112331067477,0.6472873161888135,0.2391673234422432,0,0,0.36941960406560176,0.05573852041198558,3.030735075462859,0,64.94028714958749,0.1846286970988513,0.1328512165390978,-6.887789002382958,132867000,1342478000,-135849000,507669000,486880000,144511500,0,65.50770562569485,21.79979316717619,0,5.571863592438685,16.74327812199513,0,0.22187328209475313,3.2215597865855203
ERIE,2020-12-31,2020,FY,49.12622045528058,5.606674103006981,6.548899825163232,5.487450272508745,3.4204833345940053,22.710218594800065,22.710218594800065,22.710218594800065,1.8464688002207925,12848162935.199999,12782786935.199999,43.80493595450454,4.999366890509494,37.502482333951164,44.7566698199375,10.814515015554926,10.814515015554926,4.973928342486531,31.675922713722493,37.311656431646696,44.528932044435614,0.0228284776181066,0.022343038568846684,0.08069034247774501,0.04528033811939038,-0.16200263165067935,0,504.12448700410397,1.168054305430543,0.02124054632373417,0.9304407713498623,0.2371381166540465,0,0,0.16208059078503773,0.02160657878455601,1.6187505465994227,0.005291915276436424,53.52474077989164,-0.4688078409559522,0.13853901664618287,-7.247846425178483,-627669000,1188048000,-929074000,-362328000,484353000,136595500,0,70.25115001879408,25.02246703409676,0,5.195644482721673,14.58689103287195,0,0.2468789139832734,1.061449552654487
ERIE,2019-12-31,2019,FY,47.37645927568061,6.058963113917021,6.971304449600342,5.019885392211536,7.112881251429537,21.67261048268835,21.67261048268835,21.67261048268835,2.306977060848,8680080240,8463116240,27.39742706449383,3.503849855770279,23.8118993654791,33.06848404498491,7.659437248346133,7.659437248346133,3.4162689510910678,22.51888851932958,23.21670614248053,32.24191673524123,0.03649977779468085,0.030240273447057445,0.10569131517851707,0.059405130341626,-0.5773036775290495,1.5167360884242622,417.45210280373834,1.1505771397729316,0.0193144527889756,0.5291663115765685,0,0,0,0.2799216518940984,0.041189634836018924,3.315969062784349,0.0035926238991029744,54.3558167879046,0.19793513313112623,0.15713456731341507,-2.973920837856218,303692000,1133253000,8417000,547472000,464602500,116023000,0,69.84835292322524,21.0886271956621,0,5.22560639906849,17.3079070824999,0,0.27956775759693553,1.951419057388806
ERIE,2018-12-31,2018,FY,46.05151897122166,5.512088416633746,5.040884261194091,3.9642423382757017,12.789504694800979,18.620816284558583,1.7230248625549363,18.620816284558583,1.954314405794807,6970704846.47,6804017846.47,24.185025696923226,2.8948013654730382,26.4457569530512,33.62811569637413,7.159192054891174,7.159192054891174,2.825579419366547,0,25.81337271267333,32.8239832815696,0.04134789900707933,0.029737021515833035,0.10242668989146242,0.056080799537992734,0,2.48024307080583,150.9430894308943,0.9145144054624181,0.02244737131270724,0.5428902520262019,0.24100252158630703,0,0.4968580019310284,0.21358195648462544,0.023379075152574244,4.211325553560742,0,48.056120103307954,0.22020423349789975,0.32212760868666257,3.929149208472067,697643000,90096000,364291000,1712051000,440158500,106929000,0,68.98840867638313,0,0,5.290743865569851,0,0,0.29601755005792507,1.07664192291839
ERIE,2017-12-31,2017,FY,32.782117715662054,3.760000004580734,3.7624239762789746,3.2103119344284736,5.476095621369971,16.363603083910398,0.21082827857298153,16.363603083910398,1.449916803374535,6383605885.84,6242612885.84,32.404255279671474,3.7166604383764223,32.38337857938578,37.95269820771824,7.445792920741267,7.445792920741267,3.6345715509107372,0,31.668135536864746,37.11444708850826,0.03086014448933629,0.0263485877743637,0.08716221260077635,0.04485853844773177,0,3.3512134905764355,255.00403877221325,1.0006446733232148,0.022834273074929846,0.7399276138457556,0.13983808473041778,0,0.5080249889096256,0.14674370707060458,0.016841866246692264,1.9504416425055626,0,37.206999645031296,0.13870258213417183,0.24037136955028363,-3.869159848164703,533314000,11046000,-48376000,1462761000,405029000,95081000,-5753000,90.35527913062971,0,0,4.039609013573043,0,0,0.22977824537175276,0.5521120418505012
ERIE,2016-12-31,2016,FY,30.831754458728287,4.009999016018989,4.848155641777691,4.367640467292238,4.67419572895818,15.571947444815573,1.249343266064386,15.571947444815573,0.47401502871825396,5899167706.900001,5734861706.900001,28.04240089605735,3.6472137889696405,23.194387373002645,25.74616680152579,7.221319003194967,7.221319003194967,3.5456301184275203,0,22.548367934150104,25.02907417207849,0.035660284713374735,0.03884073336853924,0.030316681152146502,0.015988844091661798,0,3.2596679575551866,3169.2178217821784,1.2090166661913047,0.023051556890126088,0.6464209995911887,0.13190927666783106,0,0.48508123218557025,0.09911298439859084,0.015585073990151133,0,0,37.48304434610697,0.16257472188196745,0.26375337581151126,-3.887320678420023,453373000,65541000,-78035000,1273884000,369211500,87004000,-5753000,86.85309546847034,0,0,4.202498460547136,0,0,0.257514291660036,0.48051517448545245
ERIE,2015-12-31,2015,FY,29.01931538433603,3.3300000543313995,4.144017860351338,3.904654685353999,4.669755168417329,14.669534983273078,14.669534983273078,14.669534983273078,0,5016877972.2,4833988972.2,28.720720252121044,3.2957359170376677,23.079051110047935,24.49384329905967,6.519634065364268,6.519634065364268,3.1755907093066567,0,22.237710219985463,23.600926522541524,0.03481806832216018,0.040826586003283136,0,0,0,1.4250559233922446,0,1.2444497876092009,0.0252862438956972,0.7262391371552227,0.1489344929455609,0,0,0.05776113498146086,0.008248408752142411,0.7627726140574692,0,33.152902234263046,0.18165406090077232,0.12412314111601255,-2.433999026419453,189447000,769503000,-2647000,248534000,362607000,44071500,0,84.77302095014363,0,0,4.305615110904946,0,0,0.22700106432333597,0.23936317499733825
ERIE,2014-12-31,2014,FY,26.965767026646972,3.170629377644853,3.52095926941794,3.152363311859191,9.729282708632306,151.1067390330967,151.1067390330967,13.306781603440683,0,4795397707.849999,4281397707.8499994,28.628385468194978,3.366119714314193,25.77990628531339,28.794269892218082,6.821333866073968,6.821333866073968,3.0053184547387453,17.03943942566384,23.016658555316024,25.70792426954485,0.034930366615014356,0.0347291320024148,0,0,-2.0456571574121245,0,0,0,0.024716615225880968,0.7075967881555775,0.14508562712383136,0,0,0.10468623160746829,0.013669032933293182,0,0,30.81062536138945,0.3040018148820326,0.009432650073206442,-170.02108926134207,514000000,7983000000,-9261000000,514000000,855334000,0,0,95.22543410217695,0,0,3.833009567678681,0,0,0.23827169274537696,0.3685959575587488
