date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2025-09-30,FICO,USD,0000814547,2025-11-07,2025-11-07 16:02:16,2025,FY,134136000,0,134136000,529148000,0,41881000,705165000,93926000,783340000,0,783340000,54625000,118553000,112524000,1162968000,0,1868133000,32315000,399541000,0,187372000,229987000,849215000,2675337000,0,0,89365000,2764702000,0,19187000,3613917000,0,238000,4552816000,-92050000,-6206788000,-1745784000,-1745784000,1868133000,0,1868133000,54625000,3074878000,2940742000,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/0000814547-25-000030-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
2024-09-30,FICO,USD,0000814547,2024-11-06,2024-11-06 16:16:04,2024,FY,150667000,0,150667000,426642000,0,40104000,617413000,68045000,782752000,0,782752000,45289000,86513000,117872000,1100471000,0,1717884000,22473000,26555000,0,156897000,174360000,380285000,2215984000,0,0,84294000,2300278000,0,33518000,2680563000,0,244000,3900870000,-91629000,-4772164000,-962679000,-962679000,1717884000,0,1717884000,45289000,2242539000,2091872000,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/0001628280-24-045719-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm
2023-09-30,FICO,USD,0000814547,2023-11-08,2023-11-08 16:16:41,2023,FY,136778000,0,136778000,387947000,0,31723000,556448000,36669000,773327000,917000,774244000,33014000,59136000,115770000,1018833000,0,1575281000,19009000,66336000,0,136730000,145613000,367688000,1835561000,0,0,60022000,1895583000,0,40239000,2263271000,0,248000,3388059000,-102145000,-3974152000,-687990000,-687990000,1575281000,0,1575281000,33014000,1901897000,1765119000,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/0000814547-23-000022-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm
2022-09-30,FICO,USD,0000814547,2022-11-09,2022-11-09 16:25:02,2022,FY,133202000,0,133202000,322410000,0,29103000,484715000,54268000,761067000,2017000,763084000,25650000,11803000,102514000,957319000,0,1442034000,17273000,49369000,0,120045000,144772000,331459000,1862861000,0,0,49661000,1912522000,0,58561000,2243981000,0,252000,2958684000,-124702000,-3636181000,-801947000,-801947000,1442034000,0,1442034000,25650000,1912230000,1779028000,https://www.sec.gov/Archives/edgar/data/814547/000081454722000016/0000814547-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454722000016/fico-20220930.htm
2021-09-30,FICO,USD,0000814547,2021-11-10,2021-11-10 16:25:41,2021,FY,195354000,0,195354000,312107000,0,43513000,550974000,75188000,788185000,4099000,792284000,33196000,20549000,95585000,1016802000,0,1567776000,20749000,272074000,0,105417000,160967000,559207000,1062688000,0,0,56823000,1119511000,0,75744000,1678718000,0,276000,2585143000,-75854000,-2620507000,-110942000,-110942000,1567776000,0,1567776000,33196000,1334762000,1139408000,https://www.sec.gov/Archives/edgar/data/814547/000081454721000019/0000814547-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454721000019/fico-20210930.htm
2020-09-30,FICO,USD,0000814547,2020-11-12,2020-11-10 17:45:30,2020,FY,157394000,0,157394000,334180000,0,42504000,534078000,104075000,812364000,9236000,821600000,26573000,14629000,105285000,1072162000,0,1606240000,23033000,95000000,0,115159000,181319000,414511000,812642000,0,0,48005000,860647000,0,73207000,1275158000,0,291000,2193059000,-82995000,-1779273000,331082000,331082000,1606240000,0,1606240000,26573000,907642000,750248000,https://www.sec.gov/Archives/edgar/data/814547/000081454720000012/0000814547-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454720000012/fico10-k2020.htm
2019-09-30,FICO,USD,0000814547,2019-11-08,2019-11-08 15:20:24,2019,FY,106426000,0,106426000,297427000,0,51853000,455706000,53027000,803542000,14139000,817681000,21865000,6006000,79163000,977742000,0,1433448000,23118000,218000000,0,111016000,138694000,490828000,610658000,0,0,46063000,652853000,0,3868000,1143681000,0,289000,1956648000,-90085000,-1577085000,289767000,289767000,1433448000,0,1433448000,21865000,824790000,718364000,https://www.sec.gov/Archives/edgar/data/814547/000081454719000016/0000814547-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454719000016/fico10-k2019.htm
2018-09-30,FICO,USD,0000814547,2018-11-09,2018-11-09 15:45:21,2018,FY,90023000,0,90023000,266742000,0,39624000,338512000,48837000,800890000,14536000,815426000,19756000,20117000,36254000,916567000,0,1255079000,20251000,235000000,0,52215000,115317000,422215000,528944000,0,0,40183000,569127000,0,0,991342000,0,290000,1764524000,-76421000,-1400956000,263737000,263737000,1255079000,0,1255079000,19756000,763944000,673921000,https://www.sec.gov/Archives/edgar/data/814547/000081454718000010/0000814547-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454718000010/fico10-k2018.htm
2017-09-30,FICO,USD,0000814547,2017-11-09,2017-11-09 15:34:39,2017,FY,105618000,0,105618000,168586000,0,36727000,310931000,40703000,804414000,21185000,825599000,25515000,47204000,5668000,944689000,0,1255620000,19510000,142000000,0,55431000,109714000,326655000,462801000,0,0,39627000,502428000,0,0,829083000,0,302000,1598395000,-66494000,-1105666000,426537000,426537000,1255620000,0,1255620000,25515000,604801000,499183000,https://www.sec.gov/Archives/edgar/data/814547/000081454717000014/0000814547-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454717000014/fico10-k2017.htm
2016-09-30,FICO,USD,0000814547,2016-11-10,2016-11-10 15:27:57,2016,FY,75926000,0,75926000,167786000,0,23926000,267638000,45122000,798415000,33619000,832034000,21936000,47598000,6348000,953414000,0,1221052000,22952000,77000000,0,47129000,98996000,246077000,493624000,0,0,34147000,528147000,0,0,774224000,0,309000,1471377000,-77011000,-947847000,446828000,446828000,1221052000,0,1221052000,21936000,570624000,494698000,https://www.sec.gov/Archives/edgar/data/814547/000081454716000035/0000814547-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454716000035/fico10-k2016.htm
