symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
GNRC,2029-12-31,5677407844,6106757980,5911381300,1011270543,1087747195,1052946334,820614141,882672531,854432730,711366612,782177562,749954666,892178529,959648928,928946382,12.42667,12.9606,11.78727,3,1
GNRC,2028-12-31,5544376959,5624737706,5584557333,987574832,1001888839,994731835,801385819,813001184,807193501,668532303,698711131,683621717,871273338,883901659,877587499,11.31667,11.57757,11.07751,4,3
GNRC,2027-12-31,5191388588,5210193249,5200790919,924699880,928049402,926374641,750364779,753082811,751723795,495190226,741983584,506628790,815802839,818757905,817280372,9.77885,12.29459,8.20525,15,12
GNRC,2026-12-31,4620085243,4853115858,4751798200,822938256,864446107,846399215,667788432,701470743,686826260,436976217,560694564,498835390.5,726025146,762644835,746723231,8.17981,9.29065,7.24065,14,14
GNRC,2025-12-31,4277039936,4297072909,4287056423,761834382,765402693,763618537,618204566,621100137,619652352,378557018,404643484,391600251,672117153,675265243,673691198,6.54406,6.7049,6.27265,14,14
GNRC,2024-12-31,4284120085,4324252358,4304186222,763095511,770243947,766669729,619227933,625028663,622128298,411303152,432082402,421692777,673229766,679536368,676383067,6.99753,7.15956,6.81525,17,17
GNRC,2023-12-31,3864758222,4157027954,4024030000,688397989,740457622,716767777,558613250,600858000,581634438,210036938,230944735,223221000,607328978,653257822,632357806,3.66908,3.82673,3.48029,8,7
GNRC,2022-12-30,4442712193,4704953309,4580796432,658462946,987694422,823078684,589283645,883925470,736604558,420712808,631069214,525891011,448538844,672808268,560673557,8.42922,8.72622,8.0989,12,9
GNRC,2021-12-30,3581178928,3792566098,3692485793,580149403,870224107,725186755,527810111,791715169,659762640,388340639,582510958,485425799,343355089,515032633,429193862,9.59088,9.92881,9.21504,9,8
GNRC,2020-12-30,2381299895,2521861497,2455313239,349097710,523646564,436372138,303658815,455488223,379573519,223143838,334715758,278929798,225992910,338989367,282491139,6.3125,6.53492,6.06513,11,12
GNRC,2019-12-30,2135680093,2261743431,2202059311,299370676,449056016,374213346,264099817,396149727,330124772,179114814,268672222,223893518,232589652,348884478,290737065,4.91375,5.08689,4.72119,8,9
GNRC,2018-12-30,1944663343,2059451486,2005105556,257749082,386623624,322186353,232424839,348637259,290531049,155013403,232520106,193766755,193631744,290447615,242039680,4.65889,4.82305,4.47632,5,4
GNRC,2017-12-30,1609395541,1704393745,1659417273,217522084,326283127,271902606,182887865,274331797,228609831,114277236,171415857,142846547,192237703,288356557,240297130,3.219,3.33242,3.09286,5,4
GNRC,2016-12-30,1398503032,1481052830,1441970000,188353378,282530067,235441723,150962732,226444100,188703416,72876864,109315296,91096080,176519609,264779412,220649511,2.95111,3.05509,2.83546,4,5
GNRC,2015-12-30,1266744236,1341516674,1306116000,167017676,250526515,208772096,145550601,218325903,181938252,62367658,93551488,77959573,149742875,224614312,187178594,2.79333,2.89175,2.68387,5,4
GNRC,2014-12-30,1164363427,1746545138,1455454283,263425570,395138357,329281964,227473210,341209817,284341514,133692860,200539293,167116077,136939902,205409853,171174878,3.31,3.97,2.65,10,10
GNRC,2013-12-30,947116637,1420674956,1183895797,220329086,330493630,275411358,209397850,314096775,261747313,103926728,155890092,129908410,97142257,145713386,121427822,2.57,3.08,2.06,11,11
GNRC,2012-12-30,791582770,1187374157,989478464,164581993,246872992,205727493,141655274,212482912,177069093,57785572,86678358,72231965,94947339,142421008,118684174,2.13,2.55,1.71,13,13
GNRC,2011-12-30,575607679,863411518,719509599,116132964,174199445,145166205,76702780,115054170,95878475,204911551,307367327,256139439,76427861,114641792,95534827,1.69,2.03,1.35,20,20
GNRC,2010-12-30,440733813,661100720,550917267,105783853,158675782,132229818,66335925,99503889,82919907,43929961,65894943,54912452,57766323,86649486,72207905,1.58,1.9,1.26,11,11
