date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,adjDividend,declarationDate,paymentDate
2026-01-05,317.605,319.01,314.63,316.17,316.17,15355645,15355645,-1.44,-0.45181908,316.6,"January 05, 26",-0.0045181908,,,,,
2026-01-02,316.9,322.5,310.33,315.15,315.15,32009385,32009385,-1.75,-0.55222,316.22,"January 02, 26",-0.0055222,,,,,
2025-12-31,312.85,314.58,311.44,313,313,16377700,16377700,0.155,0.0479463,312.9675,"December 31, 25",0.000479463,,,,,
2025-12-30,312.5,316.95,312.46,313.85,313.85,17380900,17380900,1.35,0.432,313.94,"December 30, 25",0.00432,,,,,
2025-12-29,311.37,314.02,310.62,313.56,313.56,19621800,19621800,2.19,0.70334,312.3925,"December 29, 25",0.0070334,,,,,
2025-12-26,314.48,315.08,312.27,313.51,313.51,10899017,10899017,-0.97,-0.30845,313.835,"December 26, 25",-0.0030845,,,,,
2025-12-24,314.77,315.08,311.92,314.09,314.09,10097400,10097400,-0.68,-0.21603,313.965,"December 24, 25",-0.0021603,,,,,
2025-12-23,309.63,314.94,309.32,314.35,314.35,25478700,25478700,4.73,1.52,312.06,"December 23, 25",0.0152,,,,,
2025-12-22,309.88,310.13,305.3,309.78,309.78,26429937,26429937,-0.095,-0.03227056,308.7725,"December 22, 25",-0.0003227056,,,,,
2025-12-19,301.73,307.25,300.97,307.16,307.16,59943239,59943239,5.43,1.8,304.2775,"December 19, 25",0.018,,,,,
2025-12-18,301.72,303.96,299.23,302.46,302.46,33518048,33518048,0.74,0.24526,301.8425,"December 18, 25",0.0024526,,,,,
2025-12-17,308.01,308.09,296.12,296.72,296.72,43930400,43930400,-11.29,-3.67,302.235,"December 17, 25",-0.0367,,,,,
2025-12-16,304.95,310.77,302.59,306.57,306.57,30585020,30585020,1.63,0.53123,306.22,"December 16, 25",0.0053123,,,,,
2025-12-15,311.32,311.42,304.88,308.22,308.22,29151900,29151900,-3.09,-0.99576,308.96,"December 15, 25",-0.0099576,,,,,
2025-12-12,313.7,314.87,305.56,309.29,309.29,35940200,35940200,-4.41,-1.41,310.855,"December 12, 25",-0.0141,,,,,
2025-12-11,320.08,321.12,308.6,312.43,312.43,42353700,42353700,-7.65,-2.39,315.5575,"December 11, 25",-0.0239,,,,,
2025-12-10,315.83,321.31,314.68,320.21,320.21,33428923,33428923,4.38,1.39,318.0075,"December 10, 25",0.0139,,,,,
2025-12-09,312.37,317.99,311.9,317.08,317.08,30194027,30194027,4.71,1.51,314.835,"December 09, 25",0.0151,,,,,
2025-12-08,320.05,320.44,311.22,313.72,313.72,33909433,33909433,-6.33,-1.98,316.3575,"December 08, 25",-0.0198,0.21,2025-12-08,0.21,2025-10-21,2025-12-15
2025-12-05,319.49,323.16,319.17,321.27,321.06,28851705,28851705,1.78,0.55714,320.7725,"December 05, 25",0.0055714,,,,,
2025-12-04,322.23,322.36,314.7,317.62,317.41,31240924,31240924,-4.61,-1.43,319.2275,"December 04, 25",-0.0143,,,,,
2025-12-03,315.89,321.58,314.1,319.63,319.42,41838317,41838317,3.74,1.18,317.8,"December 03, 25",0.0118,,,,,
2025-12-02,316.74,318.38,313.91,315.81,315.6,35854744,35854744,-0.93,-0.29362,316.21,"December 02, 25",-0.0029362,,,,,
2025-12-01,317.7,319.85,313.89,314.89,314.68,41183000,41183000,-2.81,-0.88448,316.5825,"December 01, 25",-0.0088448,,,,,
