date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,HLT,USD,0001585689,2025-02-06,2025-02-06 10:05:57,2024,FY,1301000000,0,1301000000,1583000000,0,388000000,3272000000,978000000,5035000000,6419000000,11454000000,0,318000000,500000000,13250000000,0,16522000000,409000000,652000000,0,664000000,2975000000,4700000000,11351000000,1300000000,322000000,2538000000,15511000000,0,852000000,20211000000,0,3000000,-2822000000,-782000000,-126000000,-3727000000,-3689000000,16522000000,38000000,16522000000,0,12003000000,10702000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/0001585689-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/hlt-20241231.htm
2023-12-31,HLT,USD,0001585689,2024-02-07,2024-02-07 10:10:16,2023,FY,800000000,0,800000000,1487000000,0,327000000,2614000000,1000000000,5052000000,6083000000,11135000000,0,140000000,512000000,12787000000,0,15401000000,457000000,155000000,0,502000000,2608000000,3722000000,9965000000,1132000000,401000000,2528000000,14026000000,0,924000000,17748000000,0,3000000,-4207000000,-731000000,2575000000,-2360000000,-2347000000,15401000000,13000000,15401000000,0,10120000000,9320000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000027/0001585689-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000027/hlt-20231231.htm
2022-12-31,HLT,USD,0001585689,2023-02-09,2023-02-09 11:08:28,2022,FY,1209000000,0,1209000000,1327000000,0,334000000,2870000000,942000000,5032000000,5888000000,10920000000,0,204000000,576000000,12642000000,0,15512000000,368000000,151000000,0,433000000,2420000000,3372000000,9540000000,986000000,735000000,1977000000,13238000000,0,944000000,16610000000,0,3000000,-5190000000,-706000000,4791000000,-1102000000,-1098000000,15512000000,4000000,15512000000,0,9691000000,8482000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000036/0001585689-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000036/hlt-20221231.htm
2021-12-31,HLT,USD,0001585689,2022-02-16,2022-02-16 11:22:28,2021,FY,1427000000,0,1427000000,1068000000,0,376000000,2871000000,999000000,5071000000,5835000000,10906000000,0,213000000,452000000,12570000000,0,15441000000,274000000,194000000,0,350000000,2201000000,3019000000,9582000000,896000000,700000000,2063000000,13241000000,0,1218000000,16260000000,0,3000000,-6322000000,-779000000,6277000000,-821000000,-819000000,15441000000,2000000,15441000000,0,9776000000,8349000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568922000013/0001585689-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568922000013/hlt-20211231.htm
2020-12-31,HLT,USD,0001585689,2021-02-17,2021-02-17 12:18:54,2020,FY,3218000000,0,3218000000,771000000,0,213000000,4202000000,1118000000,5095000000,5823000000,10918000000,0,194000000,323000000,12553000000,0,16755000000,224000000,226000000,0,370000000,1611000000,2431000000,11402000000,1004000000,649000000,2755000000,15810000000,0,1393000000,18241000000,0,3000000,-6732000000,-860000000,6099000000,-1490000000,-1486000000,16755000000,4000000,16755000000,0,11628000000,8410000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568921000016/0001585689-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568921000016/hlt-20201231.htm
2019-12-31,HLT,USD,0001585689,2020-02-11,2020-02-11 11:17:12,2019,FY,538000000,0,538000000,1261000000,0,294000000,2093000000,1247000000,5159000000,6078000000,11237000000,0,100000000,280000000,12864000000,0,14957000000,303000000,170000000,0,332000000,2066000000,2871000000,8993000000,827000000,795000000,1943000000,12558000000,0,1415000000,15429000000,0,3000000,-5965000000,-840000000,6320000000,-482000000,-472000000,14957000000,10000000,14957000000,0,9163000000,8625000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/0001585689-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/hlt-20191231.htm
2018-12-31,HLT,USD,0001585689,2019-02-13,2019-02-13 11:23:06,2018,FY,403000000,0,403000000,1150000000,0,430000000,1983000000,367000000,5160000000,6156000000,11316000000,16000000,90000000,223000000,12012000000,0,13995000000,283000000,32000000,19000000,350000000,1931000000,2615000000,7266000000,826000000,898000000,1832000000,10822000000,0,225000000,13437000000,0,3000000,-6417000000,-782000000,7747000000,551000000,558000000,13995000000,7000000,13995000000,16000000,7282000000,6879000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568919000034/0001585689-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568919000034/q42018hwh10-k.htm
2017-12-31,HLT,USD,0001585689,2018-02-14,2018-02-14 11:30:05,2017,FY,570000000,0,570000000,1005000000,0,432000000,1986000000,353000000,5190000000,6232000000,11422000000,11000000,113000000,423000000,12322000000,0,14308000000,282000000,46000000,12000000,366000000,1756000000,2208000000,6556000000,97000000,1063000000,1759000000,10075000000,0,0,12233000000,0,3000000,-6596000000,-742000000,9407000000,2072000000,2075000000,14308000000,3000000,14308000000,0,6602000000,6032000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568918000033/0001585689-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568918000033/a2017hwh10-k.htm
2016-12-31,HLT,USD,0001585689,2017-02-15,2017-02-15 13:19:35,2016,FY,1418000000,0,1418000000,768000000,541000000,1186000000,3557000000,8930000000,5822000000,6374000000,12196000000,114000000,117000000,1297000000,22654000000,0,26211000000,314000000,33000000,60000000,65000000,2212000000,2684000000,6583000000,64000000,4575000000,9275000000,17678000000,0,0,20362000000,0,10000000,-3323000000,-1001000000,10220000000,5899000000,5849000000,26211000000,-50000000,26211000000,114000000,10812000000,9394000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568917000038/0001585689-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568917000038/a2016hwh10-knospin.htm
2015-12-31,HLT,USD,0001585689,2016-02-26,2016-02-26 12:19:38,2015,FY,609000000,0,609000000,1102000000,442000000,185000000,2585000000,9119000000,5887000000,6654000000,12541000000,138000000,78000000,1255000000,23131000000,0,25716000000,331000000,204000000,33000000,65000000,1810000000,2467000000,10249000000,283000000,4630000000,2066000000,17228000000,0,0,19765000000,0,10000000,-3392000000,-784000000,10151000000,5985000000,5951000000,25716000000,-34000000,25716000000,138000000,10547000000,9938000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568916000161/0001585689-16-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568916000161/a2015hwh10-k.htm
