date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-05,76.73,78.3,76.73,78.09,78.09,294345,294345,1.36,1.77245,77.71,"January 05, 26",0.0177245
2026-01-02,75.65,77.42,75.31,76.82,76.82,922404,922404,1.17,1.55,76.3,"January 02, 26",0.0155
2025-12-31,76.28,76.83,75.51,75.58,75.58,595300,595300,-0.7,-0.91767,76.05,"December 31, 25",-0.0091767
2025-12-30,76.44,76.95,76.38,76.44,76.44,653735,653735,0,0,76.5525,"December 30, 25",0
2025-12-29,76.26,76.78,76.13,76.44,76.44,701100,701100,0.18,0.23603,76.4025,"December 29, 25",0.0023603
2025-12-26,76.24,76.46,75.65,76.13,76.13,812400,812400,-0.11,-0.14428,76.12,"December 26, 25",-0.0014428
2025-12-24,76.2,76.78,75.85,76.19,76.19,510500,510500,-0.01,-0.01312336,76.255,"December 24, 25",-0.0001312336
2025-12-23,77.57,77.68,76.41,76.5,76.5,825044,825044,-1.07,-1.38,77.04,"December 23, 25",-0.0138
2025-12-22,76.89,78.1,76.65,77.58,77.58,1250100,1250100,0.69,0.89739,77.305,"December 22, 25",0.0089739
2025-12-19,76.95,77.65,76.66,77.35,77.35,2588200,2588200,0.4,0.51982,77.1525,"December 19, 25",0.0051982
2025-12-18,76.6,77.15,76.27,77.02,77.02,1113100,1113100,0.42,0.5483,76.76,"December 18, 25",0.005483
2025-12-17,76.77,77.51,76.38,76.61,76.61,1554721,1554721,-0.16,-0.20841,76.8175,"December 17, 25",-0.0020841
2025-12-16,77.58,77.74,76.33,77.05,77.05,993213,993213,-0.53,-0.68317,77.175,"December 16, 25",-0.0068317
2025-12-15,77.12,77.58,76.83,77.39,77.39,1351400,1351400,0.27,0.3501,77.23,"December 15, 25",0.003501
2025-12-12,76.01,76.68,75.54,76.55,76.55,1099543,1099543,0.54,0.71043,76.195,"December 12, 25",0.0071043
2025-12-11,76.1,77.46,75.51,76.24,76.24,1256000,1256000,0.14,0.18397,76.3275,"December 11, 25",0.0018397
2025-12-10,74.52,76.32,74.36,75.88,75.88,1499436,1499436,1.36,1.83,75.27,"December 10, 25",0.0183
2025-12-09,72.95,75.08,72.95,74.44,74.44,1347600,1347600,1.49,2.04,73.855,"December 09, 25",0.0204
2025-12-08,73.77,73.99,72.78,72.86,72.86,1092513,1092513,-0.91,-1.23,73.35,"December 08, 25",-0.0123
2025-12-05,73.19,73.87,72.72,73.62,73.62,1070400,1070400,0.43,0.58751,73.35,"December 05, 25",0.0058751
2025-12-04,72.64,73.46,72.34,73.34,73.34,1119738,1119738,0.7,0.96366,72.945,"December 04, 25",0.0096366
2025-12-03,72.04,73.15,72.04,72.88,72.88,1737800,1737800,0.84,1.17,72.5275,"December 03, 25",0.0117
2025-12-02,73.44,73.54,71.27,71.67,71.67,1638600,1638600,-1.77,-2.41,72.48,"December 02, 25",-0.0241
2025-12-01,73.96,75.02,73.04,73.11,73.11,1454800,1454800,-0.85,-1.15,73.7825,"December 01, 25",-0.0115
2025-11-28,75.14,75.51,74.57,74.57,74.57,453727,453727,-0.57,-0.75858,74.9475,"November 28, 25",-0.0075858
2025-11-26,75.31,75.86,75.23,75.25,75.25,943600,943600,-0.06,-0.07967069,75.4125,"November 26, 25",-0.0007967069
2025-11-25,74.74,75.84,74.74,75.5,75.5,1431500,1431500,0.76,1.02,75.205,"November 25, 25",0.0102
2025-11-24,73.49,74.96,72.75,74.46,74.46,1436909,1436909,0.97,1.32,73.915,"November 24, 25",0.0132
2025-11-21,71.49,74.3,71.23,73.4,73.4,1493432,1493432,1.91,2.67,72.605,"November 21, 25",0.0267
2025-11-20,70.71,71.81,70.71,71.18,71.18,967200,967200,0.47,0.66469,71.1025,"November 20, 25",0.0066469
2025-11-19,71.22,71.76,70.21,70.6,70.6,1158100,1158100,-0.62,-0.87054,70.9475,"November 19, 25",-0.0087054
2025-11-18,71.13,71.46,70.06,71.2,71.2,1416400,1416400,0.07,0.09841136,70.9625,"November 18, 25",0.0009841136
2025-11-17,71.3,72.09,70.77,71.25,71.25,1272000,1272000,-0.05,-0.07012623,71.3525,"November 17, 25",-0.0007012623
2025-11-14,72.73,73.31,71.33,71.43,71.43,1499900,1499900,-1.3,-1.79,72.2,"November 14, 25",-0.0179
2025-11-13,72.51,73.57,72.26,73.34,73.34,1447800,1447800,0.83,1.14,72.92,"November 13, 25",0.0114
2025-11-12,73.09,73.63,72.65,72.84,72.84,967031,967031,-0.25,-0.34204,73.0525,"November 12, 25",-0.0034204
