symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
INCY,2029-12-31,4249879322,4671492496,4457633934,565963279,622110185,593630296,479099040,526628500,502519714,886190249,1002181753,943347039,1093263226,1201721406,1146707209,4.48082,4.76028,4.20933,9,3
INCY,2028-12-31,6285322206,6310316959,6297819583,837026489,840355081,838690785,708559376,711377094,709968235,1885001416,2872450280,2378725848,1616872177,1623301970,1620087074,10.14248,13.6439,8.9536,14,9
INCY,2027-12-31,6072299666,6118302239,6095300953,808657934,814784171,811721052,684544836,689730816,687137826,1652325765,2232731714,1942528739.5,1562073042,1573907007,1567990025,9.276,10.60529,7.84841,18,11
INCY,2026-12-31,5413293134,5766773096,5534486264,720896972,767970468,737036456,610253457,650102097,623915847,1386449532,1758992895,1572721213.5,1392546439,1483477643,1423722852,7.74176,8.35507,6.58552,16,14
INCY,2025-12-31,4911807330,4991674116,4971707420,654113299,664749288,662090291,553719765,562723338,560472445,1359979595,1470914168,1415446881.5,1263541367,1284086755,1278950408,6.7135,6.98672,6.45979,16,13
INCY,2024-12-31,4143898963,4233983723,4203955470,551849704,563846437,559847526,467151622,477307092,473921935,215254294,325955179,270604736.5,1066000233,1089174151,1081449512,1.27561,1.54826,1.02244,16,14
INCY,2023-12-31,3592258088,3948631344,3767865000,478386799,525845600,501772655,404963829,445138637,424760415,658142046,744284607,701213326.5,924092984,1015768476,969267109,3.32774,3.53529,3.12612,15,12
INCY,2022-12-30,3221228476,3467633009,3338121935,550447741,825671614,688059678,554896172,832344258,693620215,1159098715,1738648075,1448873395,811343974,1217015959,1014179967,1.76,1.84877,1.67988,6,8
INCY,2021-12-30,2821821082,3037673360,2924220657,481448251,722172378,601810315,430745119,646117678,538431399,1067083052,1600624579,1333853816,647240440,970860659,809050550,2.58429,2.71463,2.46665,6,6
INCY,2020-12-30,2449072646,2636411919,2537945750,-4702289009,-2897596346,-3799942678,-4573446176,-2863082892,-3718264534,-4995511343,-3132069081,-4063790212,854010655,1281015983,1067513319,-1.31446,-1.25462,-1.38076,11,5
INCY,2019-12-30,2081002798,2240186950,2156519210,286225822,429338733,357782278,211985934,317978901,264982418,233181822,349772733,291477278,244154522,366231783,305193153,1.88544,1.98054,1.79961,6,5
INCY,2018-12-30,1724626442,1856549953,1787210500,118896910,232098991,175497951,20911224,167264586,94087905,39688007,142840511,91264259,484544869,726817304,605681087,0.5003,0.52553,0.47752,11,10
INCY,2017-12-30,1466926526,1579137550,1520159048,-266714212,-158579513,-212646863,-223733969,-140614894,-182174432,-308177506,-194120414,-251148960,197908833,296863250,247386042,-1.28029,-1.22201,-1.34486,11,10
INCY,2016-12-30,1066036417,1147581768,1104721250,141965788,152825313,147117509,776451997,1164677996,970564997,865441937,1298162907,1081802422,274233295,295210487,284184803,0.6202,0.65148,0.59197,10,11
INCY,2015-12-30,709635355,763918176,735386938,50856591,118416851,84636721,36381572,77280900,56831236,-12011689,50637957,19313134,225092165,337638249,281365207,-0.19042,-0.18175,-0.20002,11,10
INCY,2014-12-30,121448656,182172986,151810821,16173513,24260270,20216891,13691196,20536795,17113996,1128409594,1855122863,1491766229,31242145,46863219,39052682,-0.045,0.07,-0.16,20,20
INCY,2013-12-30,340418475,510627714,425523095,-39468877,-19169000,-29318939,-14605366,6138840,-4233263,-87120366,-58080243,-72600305,88833128,133249693,111041411,-0.34,-0.24,-0.44,8,8
INCY,2011-12-30,85703225,128554838,107129032,-134139813,-89426543,-111783179,-168071582,-112047721,-140059652,-221910547,-147940363,-184925455,47501792,71252689,59377241,-1.56,-1.24,-1.88,12,12
INCY,2010-12-30,165485999,248228999,206857499,19419367,66986112,43202740,-7248629,36387931,14569651,-66067137,-23493706,-44780422,32299673,48449510,40374592,-0.67,-0.47,-0.87,16,16
INCY,2009-12-30,6701374,10052061,8376718,-179549706,-119699804,-149624755,-157063873,-104709248,-130886561,-234300825,-156200551,-195250689,1723899,2585849,2154874,-1.49,-1.2,-1.78,13,13
INCY,2008-12-30,3092310,4638465,3865388,-194694576,-129796384,-162245480,-187014825,-124676550,-155845688,-210058614,-140039076,-175048845,795483,1193225,994354,-1.91,-1.54,-2.28,20,20
INCY,2007-12-30,29760692,44641041,37200867,-91776484,-61184323,-76480404,-106384682,-70923121,-88653902,-108046167,-72030777,-90038472,12405481,18608224,15506853,-1.13,-0.91,-1.35,10,10
INCY,2006-12-30,25251603,37877404,31564504,-88190719,-58793812,-73492266,-102278157,-68185438,-85231798,-97937735,-65291822,-81614779,17210725,25816088,21513407,-1.1,-0.88,-1.32,10,10
INCY,2005-12-30,7330848,10996272,9163560,-122771101,-81847400,-102309251,-129562758,-86375172,-107968965,-132756449,-88504299,-110630374,1885829,2828743,2357286,-1.47,-1.18,-1.76,7,7
INCY,2004-12-30,11463676,17195516,14329596,-162984713,-108656474,-135820594,-160977462,-107318307,-134147885,-179105676,-119403783,-149254730,2948981,4423472,3686227,-1.51,-1.2,-1.82,16,16
INCY,2003-12-30,27877452,41816179,34846816,-132882041,-88588027,-110735034,-137853858,-91902570,-114878214,-149886245,-99924163,-124905204,7171354,10757032,8964193,-1.23,-0.99,-1.47,16,16
INCY,2002-12-30,78750819,118126228,98438524,-116847919,-77898612,-97373266,-107336121,-71557413,-89446767,-144107411,-96071607,-120089509,36050718,54076076,45063398,-1.14,-0.91,-1.37,20,20
INCY,2001-12-30,221111418,331667128,276389273,-248786325,-161046147,-204916236,-96774427,-64516284,-80645356,-313778271,-209185514,-261481893,67853574,101780362,84816968,-1.965,-1.58,-2.35,12,12
INCY,2000-12-30,240888737,361333104,301110921,4689503,7121329,5905416,-90626712,-60417808,-75522261,-43260046,-28840030,-36050038,95382532,143073798,119228165,-0.94,-0.75,-1.13,16,16
INCY,1999-12-30,139201332,208801999,174001666,-3140000,1490000,-825000,-33919999,-22613333,-28266666,-33597999,-22398666,-27998333,54537333,81805999,68171666,-0.54,-0.43,-0.65,8,8
INCY,1998-12-30,104593777,156890666,130742222,15703111,25714666,20708889,9729777,14594666,12162222,-2254223,4778666,1262222,33249777,49874666,41562222,0.36,0.44,0.28,19,19
INCY,1997-12-30,69470474,104205711,86838093,16160000,24240000,20200000,5302857,7954285,6628571,7500950,11251427,9376189,17874285,26811427,22342857,0.19,0.23,0.15,12,12
