date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,IT,USD,0000749251,2025-02-13,2025-02-13 16:34:58,2024,FY,1933147000,0,1933147000,1696225000,0,567159000,4196531000,500387000,2930205000,409689000,3339894000,3095000,262757000,232007000,4338140000,0,8534671000,55793000,100312000,103191000,2762927000,946793000,3969016000,2799694000,27389000,48742000,330661000,3206486000,0,339779000,7175502000,0,82000,5993007000,-88333000,-4545587000,1359169000,1359169000,8534671000,0,8534671000,3095000,2900006000,966859000,https://www.sec.gov/Archives/edgar/data/749251/000074925125000008/0000749251-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925125000008/it-20241231.htm
2023-12-31,IT,USD,0000749251,2024-02-15,2024-02-15 16:34:58,2023,FY,1318999000,0,1318999000,1601228000,0,507659000,3427886000,629527000,2937260000,501958000,3439218000,0,144714000,194574000,4408033000,0,7835919000,63139000,108093000,72181000,2640515000,893791000,3777719000,2962101999,33490000,86550000,295424000,3377566000,0,513405999,7155285000,0,82000,4739292000,-76331000,-3982409000,680634000,680634000,7835919000,0,7835919000,0,3070195000,1750596000,https://www.sec.gov/Archives/edgar/data/749251/000074925124000006/0000749251-24-000006-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925124000006/it-20231231.htm
2022-12-31,IT,USD,0000749251,2023-02-16,2023-02-16 16:35:48,2022,FY,697999000,0,697999000,1556786000,0,531322000,2786107000,701173000,2930211000,584714000,3514925000,0,138318000,159213000,4513629000,0,7299736000,83225000,107517000,119570000,2443762000,843526000,3597600000,3050874000,39115000,139531000,244818000,3474338000,0,597267000,7071938000,0,82000,3856826000,-101610000,-3527500000,227798000,227798000,7299736000,0,7299736000,0,3158391000,2460392000,https://www.sec.gov/Archives/edgar/data/749251/000074925123000006/0000749251-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925123000006/it-20221231.htm
2021-12-31,IT,USD,0000749251,2022-02-23,2022-02-23 16:37:11,2021,FY,756493000,0,756493000,1365180000,0,498407000,2620080000,821820000,2951317000,714418000,3665735000,0,140004000,168685000,4796244000,0,7416324000,49277000,95685000,67551000,2238035000,928232000,3378780000,3154599000,48176000,181789000,281921999,3666485999,0,697766000,7045266000,0,82000,3049027000,-81431000,-2596620000,371058000,371058000,7416324000,0,7416324000,0,3250284000,2489682000,https://www.sec.gov/Archives/edgar/data/749251/000074925122000006/0000749251-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925122000006/it-20211231.htm
2020-12-31,IT,USD,0000749251,2021-02-24,2021-02-24 16:38:34,2020,FY,712583000,0,712583000,1241508000,0,368967000,2323058000,984048000,2945547000,806998000,3752545000,0,103559000,152757000,4992909000,0,7315967000,38588000,104510000,88046000,1974548000,741802000,2947494000,2738452000,26754000,173233000,339605999,3278044999,0,780166000,6225539000,0,82000,2255467000,-99228000,-1065893000,1090428000,1090428000,7315967000,0,7315967000,0,2842962000,2130379000,https://www.sec.gov/Archives/edgar/data/749251/000074925121000010/0000749251-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925121000010/it-20201231.htm
2019-12-31,IT,USD,0000749251,2020-02-19,2020-02-19 16:53:40,2019,FY,280836000,0,280836000,1326012000,0,411893000,2018741000,1047495000,2937726000,925087000,3862813000,0,79618000,142627000,5132553000,0,7151294000,32994999,216234000,7878000,1928020000,671407000,2856534000,2876421000,24409000,189814000,265523000,3356167000,0,832533000,6212701000,0,82000,1988722000,-77938000,-972273000,938593000,938593000,7151294000,0,7151294000,0,3092655000,2811819000,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/0000749251-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/it-12312019x10k.htm
2018-12-31,IT,USD,0000749251,2019-02-22,2019-02-22 16:31:53,2018,FY,156368000,0,156368000,1255118000,0,400253000,1811739000,267665000,2923136000,1042565000,3965701000,0,34494000,121875000,4389735000,0,6201474000,37508000,165578000,19725000,1745244000,652880000,2620935000,2116109000,21194000,214687000,377791999,2729781999,0,0,5350717000,0,82000,1755432000,-39867000,-864890000,850757000,850757000,6201474000,0,6201474000,0,2281687000,2123024000,https://www.sec.gov/Archives/edgar/data/749251/000074925119000005/0000749251-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925119000005/it-12312018x10k.htm
2017-12-31,IT,USD,0000749251,2018-02-22,2018-02-22 16:07:49,2017,FY,538908000,0,538908000,1176843000,0,872857000,2588608000,221507000,2987294000,1292022000,4279316000,0,31067000,162675000,4694565000,0,7283173000,49000000,379721000,46758000,1630198000,716908000,2822585000,2899124000,16204999,206338000,355455999,3477122999,0,0,6299708000,0,82000,1647284000,1508000,-665409000,983465000,983465000,7283173000,0,7283173000,0,3278845000,2739937000,https://www.sec.gov/Archives/edgar/data/749251/000074925118000004/0000749251-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925118000004/it-12312017x10k.htm
2016-12-31,IT,USD,0000749251,2017-02-22,2017-02-22 16:10:20,2016,FY,474233000,0,474233000,643013000,0,225950000,1343196000,121606000,738453000,76801000,815254000,0,27275000,60004000,1024139000,0,2367335000,41009000,30000000,20378000,989478000,379384000,1460249000,664391000,11289000,22500000,148027999,846207999,0,0,2306457000,0,78000,1644005000,-49683000,-1533522000,60878000,60878000,2367335000,0,2367335000,0,694391000,220158000,https://www.sec.gov/Archives/edgar/data/749251/000074925117000005/0000749251-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925117000005/it-12312016x10k.htm
2015-12-31,IT,USD,0000749251,2016-02-24,2016-02-24 16:23:37,2015,FY,372976000,0,372976000,580763000,0,187258000,1140997000,108733000,715359000,96544000,811903000,0,26418000,80466000,1027520000,0,2174686000,31570000,35000000,13714000,900801000,342407000,1323492000,790000000,7603000,23400000,162591000,977425000,0,0,2307086000,0,78000,1450684000,-44402000,-1538760000,-132400000,-132400000,2174686000,0,2174686000,0,818831000,445855000,https://www.sec.gov/Archives/edgar/data/749251/000074925116000034/0000749251-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925116000034/it-12312015x10k.htm
