symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
JBHT,2024-12-31,170.66,101947000,17398275020,46983000,1789802000,19141094020
JBHT,2023-12-31,199.74,103220027,20617168192,53344000,1928868000,22492692192
JBHT,2022-12-31,174.36,104141000,18158024760,51927000,1571238000,19677335760
JBHT,2021-12-31,204.4,105359000,21535379600,355549000,1483529000,22663359600
JBHT,2020-12-31,136.65,105700000,14443905000,313302000,1440924000,15571527000
JBHT,2019-12-31,116.78,107329000,12533880620,35000000,1420240000,13919120620
JBHT,2018-12-31,93.04,108710825,10114455158,7600000,1149104000,11255959158
JBHT,2017-12-31,114.98,109753008,12619400859,14612000,1085649000,13690437859
JBHT,2016-12-31,97.07,111305021,10804378388,6377000,986278000,11784279388
JBHT,2015-12-31,73.36,113947780,8359209140,5566000,998003000,9351646140
JBHT,2014-12-31,84.25,116575163,9821457482,5961000,933539000,10749035482
JBHT,2013-12-31,77.3,117241438,9062763157,5831000,708417000,9765349157
JBHT,2012-12-31,59.71,117529307,7017674920,5589000,685347000,7697432920
JBHT,2011-12-31,45.07,116932448,5270145431,5450000,749177000,6013872431
JBHT,2010-12-31,40.81,121490168,4958013756,7651000,654207000,5604569756
JBHT,2009-12-31,32.27,126503000,4082251810,7843000,565000000,4639408810
JBHT,2008-12-31,26.27,125206000,3289161620,2373000,633500000,3920288620
JBHT,2007-12-31,27.55,134334000,3700901700,14957000,913100000,4599044700
JBHT,2006-12-31,20.77,148581000,3086027370,7371000,396400000,3475056370
JBHT,2005-12-31,22.64,157583000,3567679120,7412000,124000000,3684267120
JBHT,2004-12-31,22.43,160439560,3598659330,23838000,0,3574821330
JBHT,2003-12-31,13.5,160000000,2160000000,61229000,171777000,2270548000
JBHT,2002-12-31,7.33,152400000,1117092000,80628000,370438000,1406902000
JBHT,2001-12-31,5.8,143043478,829652172,49245000,561116000,1341523172
JBHT,2000-12-31,4.2,141568627,594588233,5370000,495460000,1084678233
JBHT,1999-12-31,3.46,141777778,490551111,12606000,327639000,805584111
JBHT,1998-12-31,5.75,142296000,818202000,9227000,433395000,1242370000
JBHT,1997-12-31,4.69,147096774,689883870,3701000,340290000,1026472870
JBHT,1996-12-31,3.5,151653324,530786634,3786000,382321000,909321634
JBHT,1995-12-31,4.19,146666667,614533334,4260000,369325000,979598334
JBHT,1994-12-31,3.81,153874286,586261029,2142000,367318000,951437029
JBHT,1993-12-31,5.81,152800000,887767999,3400000,306500000,1190867999
JBHT,1992-12-31,5.81,143703704,834918520,1800000,216300000,1049418520
JBHT,1991-12-31,5,138823529,694117645,2500000,156900000,848517645
JBHT,1990-12-31,2.92,141176471,412235295,8400000,137600000,541435295
JBHT,1989-12-31,3.42,140689655,481158620,1800000,105000000,584358620
JBHT,1988-12-31,3.79,141935484,537935484,700000,65400000,602635484
JBHT,1987-12-31,2.71,142222222,385422221,1500000,72000000,455922221
JBHT,1986-12-31,4.29,141142857,605502856,1300000,41500000,645702856
JBHT,1985-12-31,2.29,138723404,317676595,1200000,25200000,341676595
