symbol,date,marketCap
KDP,2026-01-02,37671205000
KDP,2025-12-31,38051585000
KDP,2025-12-30,38241775000
KDP,2025-12-29,38255360000
KDP,2025-12-26,38173850000
KDP,2025-12-24,38038000000
KDP,2025-12-23,37902150000
KDP,2025-12-22,38364040000
KDP,2025-12-19,37888565000
KDP,2025-12-18,38173850000
KDP,2025-12-17,38105925000
KDP,2025-12-16,38839515000
KDP,2025-12-15,39708955000
KDP,2025-12-12,40089335000
KDP,2025-12-11,40034995000
KDP,2025-12-10,40116505000
KDP,2025-12-09,39478010000
KDP,2025-12-08,39396500000
KDP,2025-12-05,38975365000
KDP,2025-12-04,38825930000
KDP,2025-12-03,38486305000
KDP,2025-12-02,38214605000
KDP,2025-12-01,38268945000
KDP,2025-11-28,37902150000
KDP,2025-11-26,37603280000
KDP,2025-11-25,36747425000
KDP,2025-11-24,37168560000
KDP,2025-11-21,37684790000
KDP,2025-11-20,36964785000
KDP,2025-11-19,36530065000
KDP,2025-11-18,37250070000
KDP,2025-11-17,36625160000
KDP,2025-11-14,36856105000
KDP,2025-11-13,36679500000
KDP,2025-11-12,36543650000
KDP,2025-11-11,36312705000
KDP,2025-11-10,35484020000
KDP,2025-11-07,35266660000
KDP,2025-11-06,35810060000
KDP,2025-11-05,36299120000
KDP,2025-11-04,35945910000
KDP,2025-11-03,36190440000
KDP,2025-10-31,36896860000
KDP,2025-10-30,37603280000
KDP,2025-10-29,36883275000
KDP,2025-10-28,39192725000
KDP,2025-10-27,39708955000
KDP,2025-10-24,36896860000
KDP,2025-10-23,37426675000
KDP,2025-10-22,37209315000
KDP,2025-10-21,37589695000
KDP,2025-10-20,37698375000
KDP,2025-10-17,38078755000
KDP,2025-10-16,37657620000
KDP,2025-10-15,36584405000
KDP,2025-10-14,36258365000
KDP,2025-10-13,35891570000
KDP,2025-10-10,35076470000
KDP,2025-10-09,35117225000
KDP,2025-10-08,34750430000
KDP,2025-10-07,34410805000
KDP,2025-10-06,34370050000
KDP,2025-10-03,35103640000
KDP,2025-10-02,34967790000
KDP,2025-10-01,34777600000
KDP,2025-09-30,34655335000
KDP,2025-09-29,34872695000
KDP,2025-09-26,34641750000
KDP,2025-09-25,34981375000
KDP,2025-09-24,35660625000
KDP,2025-09-23,36000250000
KDP,2025-09-22,35253075000
KDP,2025-09-19,36828935000
KDP,2025-09-18,36951200000
KDP,2025-09-17,37032710000
KDP,2025-09-16,36625160000
KDP,2025-09-15,36339875000
KDP,2025-09-12,36991955000
KDP,2025-09-11,37481015000
KDP,2025-09-10,37277240000
KDP,2025-09-09,37508185000
KDP,2025-09-08,37535355000
KDP,2025-09-05,38921025000
KDP,2025-09-04,39736125000
KDP,2025-09-03,39518765000
KDP,2025-09-02,39274235000
KDP,2025-08-29,39518765000
KDP,2025-08-28,39790465000
KDP,2025-08-27,40374620000
KDP,2025-08-26,39328575000
KDP,2025-08-25,42249350000
KDP,2025-08-22,47737690000
KDP,2025-08-21,47819200000
KDP,2025-08-20,47792030000
KDP,2025-08-19,47792030000
KDP,2025-08-18,47072025000
KDP,2025-08-15,47248630000
KDP,2025-08-14,47044855000
KDP,2025-08-13,47302970000
KDP,2025-08-12,47289385000
KDP,2025-08-11,47031270000
KDP,2025-08-08,46759570000
KDP,2025-08-07,46053150000
KDP,2025-08-06,45387484999
KDP,2025-08-05,45265220000
KDP,2025-08-04,45210880000
KDP,2025-08-01,45265220000
KDP,2025-07-31,44355025000
KDP,2025-07-30,45944470000
KDP,2025-07-29,45985225000
KDP,2025-07-28,44789745000
KDP,2025-07-25,45197295000
KDP,2025-07-24,45604845000
KDP,2025-07-23,45509750000
KDP,2025-07-22,45890130000
KDP,2025-07-21,45265220000
KDP,2025-07-18,45564090000
KDP,2025-07-17,46039565000
KDP,2025-07-16,45115785000
KDP,2025-07-15,44477290000
KDP,2025-07-14,45183710000
KDP,2025-07-11,45496165000
KDP,2025-07-10,45713525000
KDP,2025-07-09,45713525000
KDP,2025-07-08,46229755000
KDP,2025-07-07,45890130000
KDP,2025-07-03,45903715000
KDP,2025-07-02,45971640000
KDP,2025-07-01,45604845000
KDP,2025-06-30,44912010000
KDP,2025-06-27,44620155000
KDP,2025-06-26,44878232000
KDP,2025-06-25,44796733999
KDP,2025-06-24,45570964999
KDP,2025-06-23,45177058000
KDP,2025-06-20,45611714000
KDP,2025-06-18,45109143000
KDP,2025-06-17,44647321000
KDP,2025-06-16,44959730000
KDP,2025-06-13,44851066000
KDP,2025-06-12,45014062000
KDP,2025-06-11,44633738000
KDP,2025-06-10,44755985000
KDP,2025-06-09,44783151000
KDP,2025-06-06,44511491000
KDP,2025-06-05,44226248000
KDP,2025-06-04,44552239999
KDP,2025-06-03,44579406000
KDP,2025-06-02,45163475000
KDP,2025-05-30,45733961000
KDP,2025-05-29,45435135000
KDP,2025-05-28,44457158999
KDP,2025-05-27,44647321000
KDP,2025-05-23,44715236000
KDP,2025-05-22,44837483000
KDP,2025-05-21,45625297000
KDP,2025-05-20,46005621000
KDP,2025-05-19,45951289000
KDP,2025-05-16,45937706000
KDP,2025-05-15,45557382000
KDP,2025-05-14,44443576000
KDP,2025-05-13,44932564000
KDP,2025-05-12,45516633000
KDP,2025-05-09,45557382000
KDP,2025-05-08,46372362000
KDP,2025-05-07,46236532000
KDP,2025-05-06,46345196000
KDP,2025-05-05,46793435000
KDP,2025-05-02,46739102999
KDP,2025-05-01,46236532000
KDP,2025-04-30,46983597000
KDP,2025-04-29,46494608999
KDP,2025-04-28,46236532000
KDP,2025-04-25,46725520000
KDP,2025-04-24,46807018000
KDP,2025-04-23,47798577000
KDP,2025-04-22,48192483999
KDP,2025-04-21,47961573000
KDP,2025-04-17,48083820000
KDP,2025-04-16,47689913000
KDP,2025-04-15,48070237000
KDP,2025-04-14,48504893000
KDP,2025-04-11,47757827999
KDP,2025-04-10,47200925000
KDP,2025-04-09,47119427000
KDP,2025-04-08,45598131000
KDP,2025-04-07,45638880000
KDP,2025-04-04,45924123000
KDP,2025-04-03,48396229000
KDP,2025-04-02,47730662000
KDP,2025-04-01,47499751000
KDP,2025-03-31,46481026000
KDP,2025-03-28,45788554000
KDP,2025-03-27,46494246000
KDP,2025-03-26,46222826000
KDP,2025-03-25,45910693000
KDP,2025-03-24,45937835000
KDP,2025-03-21,45530704999
KDP,2025-03-20,45367853000
KDP,2025-03-19,45422137000
KDP,2025-03-18,45584989000
KDP,2025-03-17,45924264000
KDP,2025-03-14,45584989000
KDP,2025-03-13,44933581000
KDP,2025-03-12,44526451000
KDP,2025-03-11,45110004000
KDP,2025-03-10,44160034000
KDP,2025-03-07,45245714000
KDP,2025-03-06,45503563000
KDP,2025-03-05,45191429999
KDP,2025-03-04,45598560000
KDP,2025-03-03,46317823000
KDP,2025-02-28,45489992000
KDP,2025-02-27,45612131000
KDP,2025-02-26,45788554000
KDP,2025-02-25,47417074000
KDP,2025-02-24,46304252000
KDP,2025-02-21,46195684000
KDP,2025-02-20,44974294000
KDP,2025-02-19,44485738000
KDP,2025-02-18,44037895000
KDP,2025-02-14,42952215000
KDP,2025-02-13,43250777000
KDP,2025-02-12,42979357000
KDP,2025-02-11,42830076000
