symbol,date,marketCap
KVUE,2026-01-02,33219760000
KVUE,2025-12-31,33085500000
KVUE,2025-12-30,33258120000
KVUE,2025-12-29,32970420000
KVUE,2025-12-26,32970420000
KVUE,2025-12-24,33008780000
KVUE,2025-12-23,32644360000
KVUE,2025-12-22,32625180000
KVUE,2025-12-19,32644360000
KVUE,2025-12-18,32797800000
KVUE,2025-12-17,33143040000
KVUE,2025-12-16,33085500000
KVUE,2025-12-15,33008780000
KVUE,2025-12-12,33238939999
KVUE,2025-12-11,33219760000
KVUE,2025-12-10,33219760000
KVUE,2025-12-09,32644360000
KVUE,2025-12-08,32145680000
KVUE,2025-12-05,32471740000
KVUE,2025-12-04,32586819999
KVUE,2025-12-03,32548459999
KVUE,2025-12-02,32337480000
KVUE,2025-12-01,33027959999
KVUE,2025-11-28,33277300000
KVUE,2025-11-26,33027959999
KVUE,2025-11-25,32663540000
KVUE,2025-11-24,32145680000
KVUE,2025-11-21,31915520000
KVUE,2025-11-20,30975699999
KVUE,2025-11-19,30803079999
KVUE,2025-11-18,31129140000
KVUE,2025-11-17,31148319999
KVUE,2025-11-14,31953880000
KVUE,2025-11-13,32164860000
KVUE,2025-11-12,31973060000
KVUE,2025-11-11,32068959999
KVUE,2025-11-10,32164860000
KVUE,2025-11-07,32375839999
KVUE,2025-11-06,31570280000
KVUE,2025-11-05,31129140000
KVUE,2025-11-04,30630460000
KVUE,2025-11-03,30956520000
KVUE,2025-10-31,27561660000
KVUE,2025-10-30,27298080000
KVUE,2025-10-29,27432270000
KVUE,2025-10-28,27815670000
KVUE,2025-10-27,28908360000
KVUE,2025-10-24,28755000000
KVUE,2025-10-23,28927530000
KVUE,2025-10-22,29119230000
KVUE,2025-10-21,28620810000
KVUE,2025-10-20,28678320000
KVUE,2025-10-17,29310930000
KVUE,2025-10-16,27048870000
KVUE,2025-10-15,31170420000
KVUE,2025-10-14,30959549999
KVUE,2025-10-13,31093739999
KVUE,2025-10-10,31918049999
KVUE,2025-10-09,32282280000
KVUE,2025-10-08,30825359999
KVUE,2025-10-07,31093739999
KVUE,2025-10-06,30077730000
KVUE,2025-10-03,30307770000
KVUE,2025-10-02,30154410000
KVUE,2025-10-01,30384450000
KVUE,2025-09-30,31112910000
KVUE,2025-09-29,31323780000
KVUE,2025-09-26,31477140000
KVUE,2025-09-25,30997890000
KVUE,2025-09-24,32320620000
KVUE,2025-09-23,33049079999
KVUE,2025-09-22,32531489999
KVUE,2025-09-19,35157780000
KVUE,2025-09-18,34697700000
KVUE,2025-09-17,35157780000
KVUE,2025-09-16,34755210000
KVUE,2025-09-15,34985250000
KVUE,2025-09-12,36403830000
KVUE,2025-09-11,36135450000
KVUE,2025-09-10,35406990000
KVUE,2025-09-09,36173790000
KVUE,2025-09-08,35330310000
KVUE,2025-09-05,35694540000
KVUE,2025-09-04,39375180000
KVUE,2025-09-03,39202650000
KVUE,2025-09-02,39835260000
KVUE,2025-08-29,39701070000
KVUE,2025-08-28,39375180000
KVUE,2025-08-27,39777750000
KVUE,2025-08-26,39854430000
KVUE,2025-08-25,40621230000
KVUE,2025-08-22,41426370000
KVUE,2025-08-21,41100480000
KVUE,2025-08-20,41464710000
KVUE,2025-08-19,41196330000
KVUE,2025-08-18,40448700000
KVUE,2025-08-15,40640400000
KVUE,2025-08-14,40372020000
KVUE,2025-08-13,41618070000
KVUE,2025-08-12,41982300000
KVUE,2025-08-11,40678740000
KVUE,2025-08-08,40908780000
KVUE,2025-08-07,41713920000
KVUE,2025-08-06,41100480000
KVUE,2025-08-05,41483880000
KVUE,2025-08-04,42519060000
KVUE,2025-08-01,41388030000
KVUE,2025-07-31,41100480000
KVUE,2025-07-30,41560560000
KVUE,2025-07-29,42499890000
KVUE,2025-07-28,42864120000
KVUE,2025-07-25,43784280000
KVUE,2025-07-24,43132500000
KVUE,2025-07-23,43209180000
KVUE,2025-07-22,43458390000
KVUE,2025-07-21,42423210000
KVUE,2025-07-18,42174000000
KVUE,2025-07-17,41886450000
KVUE,2025-07-16,41886450000
KVUE,2025-07-15,41004630000
KVUE,2025-07-14,41828940000
KVUE,2025-07-11,40908780000
KVUE,2025-07-10,40103640000
KVUE,2025-07-09,39796920000
KVUE,2025-07-08,39681900000
KVUE,2025-07-07,40065300000
KVUE,2025-07-03,40352850000
KVUE,2025-07-02,40065300000
KVUE,2025-07-01,40199490000
KVUE,2025-06-30,40122810000
KVUE,2025-06-27,40026960000
KVUE,2025-06-26,40467870000
KVUE,2025-06-25,40582890000
KVUE,2025-06-24,40621230000
KVUE,2025-06-23,40966290000
KVUE,2025-06-20,41004630000
KVUE,2025-06-18,40947120000
KVUE,2025-06-17,41100480000
KVUE,2025-06-16,41503050000
KVUE,2025-06-13,41119650000
KVUE,2025-06-12,42250680000
KVUE,2025-06-11,41886450000
KVUE,2025-06-10,41253840000
KVUE,2025-06-09,40832100000
KVUE,2025-06-06,41656410000
KVUE,2025-06-05,41503050000
KVUE,2025-06-04,41560560000
KVUE,2025-06-03,42576570000
KVUE,2025-06-02,45375390000
KVUE,2025-05-30,45758790000
KVUE,2025-05-29,45202860000
KVUE,2025-05-28,45145350000
KVUE,2025-05-27,45873810000
KVUE,2025-05-23,45490410000
KVUE,2025-05-22,45049500000
KVUE,2025-05-21,46008000000
KVUE,2025-05-20,46257210000
KVUE,2025-05-19,46008000000
KVUE,2025-05-16,46353060000
KVUE,2025-05-15,45777960000
KVUE,2025-05-14,44474400000
KVUE,2025-05-13,45356220000
KVUE,2025-05-12,46008000000
KVUE,2025-05-09,46851480000
KVUE,2025-05-08,46123020000
KVUE,2025-05-07,44301870000
KVUE,2025-05-06,45183690000
KVUE,2025-05-05,45317880000
KVUE,2025-05-02,45969660000
KVUE,2025-05-01,45931320000
KVUE,2025-04-30,45241200000
KVUE,2025-04-29,44819460000
KVUE,2025-04-28,44301870000
KVUE,2025-04-25,44110170000
KVUE,2025-04-24,43611750000
KVUE,2025-04-23,43956810000
KVUE,2025-04-22,44455230000
KVUE,2025-04-21,42691590000
KVUE,2025-04-17,44838630000
KVUE,2025-04-16,43573410000
KVUE,2025-04-15,43918470000
KVUE,2025-04-14,43535070000
KVUE,2025-04-11,42346530000
KVUE,2025-04-10,41924790000
KVUE,2025-04-09,41752260000
KVUE,2025-04-08,41196330000
KVUE,2025-04-07,41733090000
KVUE,2025-04-04,42806610000
KVUE,2025-04-03,45279540000
KVUE,2025-04-02,45758790000
KVUE,2025-04-01,45777960000
KVUE,2025-03-31,45969660000
KVUE,2025-03-28,45361800000
KVUE,2025-03-27,44979000000
KVUE,2025-03-26,44787600000
KVUE,2025-03-25,44213400000
KVUE,2025-03-24,44730180000
