date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,MGM,USD,0000789570,2025-02-18,2025-02-18 16:14:47,2024,FY,2415532000,0,2415532000,1328926000,140559000,478582000,4363599000,29728446000,5145004000,1715381000,6860385000,380626000,39591000,858980000,37868028000,0,42231627000,412662000,344424000,382842000,596430000,1615325000,3351683000,31438237000,0,2811663000,910088000,35159988000,0,25248351000,38511671000,0,2944000,3081753000,-61216000,0,3023481000,3719956000,42231627000,696475000,42231627000,380626000,31853705000,29438173000,https://www.sec.gov/Archives/edgar/data/789570/000078957025000008/0000789570-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957025000008/mgm-20241231.htm
2023-12-31,MGM,USD,0000789570,2024-02-23,2024-02-23 08:28:47,2023,FY,2927833000,0,2927833000,1070579000,141678000,770503000,4910593000,29477009000,5165694000,1724582000,6890276000,240803000,0,849867000,37457955000,0,42368548000,461718000,144327000,390890000,566222000,1562911000,3126068000,31471274000,0,2860997000,542708000,34874979000,0,25211618000,38001047000,0,3266000,3664008000,143896000,0,3811170000,4367501000,42368548000,556331000,42368548000,240803000,31615601000,28687768000,https://www.sec.gov/Archives/edgar/data/789570/000078957024000005/0000789570-24-000005-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957024000005/mgm-20231231.htm
2022-12-31,MGM,USD,0000789570,2023-02-24,2023-02-24 08:11:14,2022,FY,5911893000,0,5911893000,925165000,126065000,1191569000,8154692000,29754857000,5029312000,1551252000,6580564000,173039000,0,1029054000,37537514000,0,45692206000,369817000,1412874000,211756000,612216000,1909229000,4515892000,32582116000,0,2969443000,256282000,35807841000,0,25275700000,40323733000,0,3791000,4794239000,33499000,0,4831529000,5368473000,45692206000,536944000,45692206000,173039000,33994990000,28083097000,https://www.sec.gov/Archives/edgar/data/789570/000078957023000008/0000789570-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957023000008/mgm-20221231.htm
2021-12-31,MGM,USD,0000789570,2022-02-25,2022-02-25 08:14:02,2021,FY,4703059000,0,4703059000,857777000,96374000,758972000,6416182000,25928298000,3480997000,3616385000,7097382000,967044000,0,490210000,34482934000,0,40899116000,286196000,1119371000,195973000,489432000,1351292000,3442264000,23573261000,0,2439364000,319914000,26332539000,0,11921835000,29774803000,0,4538000,4340588000,-24616000,1750135000,6070645000,11124313000,40899116000,5053668000,40899116000,967044000,24692632000,19989573000,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/0000789570-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/mgm-20211231.htm
2020-12-31,MGM,USD,0000789570,2021-02-26,2021-02-26 08:16:34,2020,FY,5101637000,0,5101637000,559917000,88323000,200782000,5950659000,22918785000,2091278000,3643748000,5735026000,1447043000,0,443421000,30544275000,0,36494934000,142523000,250868000,109100000,256193000,1097899000,1856583000,20766801000,0,2153016000,472084000,23391901000,0,8502153000,25248484000,0,4943000,3091007000,-30677000,3439453000,6504726000,11246450000,36494934000,4741724000,36494934000,1447043000,21017669000,15916032000,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/0001564590-21-009205-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/mgm-10k_20201231.htm
2019-12-31,MGM,USD,0000789570,2020-02-27,2020-02-27 16:25:40,2019,FY,2329604000,0,2329604000,1374884000,102888000,200317000,4007693000,22678436000,2084564000,3826504000,5911068000,822366000,0,456793000,29868663000,0,33876356000,235437000,217698000,218027000,367152000,2153109000,3191423000,15446874000,0,2106506000,363588000,17916968000,0,4373418000,21108391000,0,5031000,4201337000,-10202000,3531099000,7727265000,12767965000,33876356000,5040700000,33876356000,822366000,15664572000,13334968000,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/0001564590-20-007393-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/mgm-10k_20191231.htm
2018-12-31,MGM,USD,0000789570,2019-02-27,2019-02-27 14:03:00,2018,FY,1526762000,0,1526762000,685637000,110831000,203548000,2526778000,20729888000,1821392000,3944463000,5765855000,732867000,0,455318000,27683928000,0,30210706000,302578000,43411000,235160000,563944000,1803789000,2948882000,15088005000,0,1342538000,259240000,16689783000,0,0,19638665000,0,5275000,2423479000,-8556000,4092085000,6512283000,10572041000,30210706000,4059758000,30210706000,732867000,15131416000,13604654000,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/0001564590-19-004807-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/mgm-10k_20181231.htm
2017-12-31,MGM,USD,0000789570,2018-03-01,2018-03-01 06:04:26,2017,FY,1499995000,0,1499995000,584824000,102292000,189244000,2376355000,19635459000,1806531000,3877960000,5684491000,1033297000,0,430440000,26783687000,0,29160042000,255028000,158042000,170639000,453648000,2100940000,3138297000,12751052000,0,1295375000,284416000,14330843000,0,0,17469140000,0,5663000,2217299000,-3610000,5357709000,7577061000,11690902000,29160042000,4113841000,29160042000,1033297000,12909094000,11409099000,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/0001564590-18-003942-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/mgm-10k_20171231.htm
2016-12-31,MGM,USD,0000789570,2017-03-01,2017-03-01 06:23:57,2016,FY,1446581000,0,1446581000,542924000,97733000,142349000,2229587000,18425023000,1817119000,4087706000,5904825000,1220443000,0,393423000,25943714000,0,28173301000,250477000,8375000,10654000,363434000,1660481000,2293421000,12979220000,0,2551228000,325981000,15856429000,0,0,18149850000,0,5741000,545811000,15053000,5653575000,6220180000,10023451000,28173301000,3803271000,28173301000,1220443000,12987595000,11541014000,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/0001564590-17-003007-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/mgm-10k_20161231.htm
2015-12-31,MGM,USD,0000789570,2016-02-29,2016-02-29 06:14:09,2015,FY,1670312000,0,1670312000,496552000,104200000,137685000,2408749000,15371795000,1430767000,4164781000,5595548000,1491497000,0,347589000,22806429000,0,25215178000,182031000,328442000,153531000,232408000,1341539000,2237951000,12368311000,0,2680576000,157663000,15206550000,0,0,17444501000,0,5648000,-555629000,14022000,5655886000,5119927000,7770677000,25215178000,2650750000,25215178000,1491497000,12696753000,11026441000,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/0001564590-16-013639-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/mgm-10k_20151231.htm
